step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.3148505158104993,0.1531321257352829,0.4076007008552551,0.4652792513370514,0.14685827493667603,0.35,4,0,0,0,0,,,nan,0,0.31428784132003784,6.285756587982178,125.71513366699219,0.35474276542663574,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,0.04569441177345009,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.30179865722535326,0.586286106|0.43652095|0.354692725|0.348298872|0.301798657|0.414821793,0.736286106|0.58652095|0.504692725|0.498298872|0.451798657|0.564821793,0.706286106|0.55652095|0.474692725|0.468298872|0.421798657|0.534821793,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.063645554|-0.0473513143|-0.0570345377|-0.0915900365,-0.108062501|-0.0655872293|-0.0989106482|-0.160787877|-0.160817033|-0.157469434,2.23708192|1.68049657|1.38350581|1.1850563|0.989343058|1.4102277,0.662172616|-0.589201212|0.345344305,-0.0082720872|0.160849422|0.0120005216,0.005018618889153004,0.0015877597033977509,0.0016006110236048698,0.001796923577785492
1,0.1,-0.14267869774529118,0.174346923828125,0.3888099193572998,0.45335397124290466,0.1686042845249176,0.35,4,0,0,0,0,,,nan,0,0.5626598596572876,6.49579381942749,121.28923034667969,0.5626598596572876,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,5.536982861838622e-08,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.29112917209181344,0.580857006|0.434680104|0.353527562|0.337754077|0.291129172|0.402209723,0.730857006|0.584680104|0.503527562|0.487754077|0.441129172|0.552209723,0.700857006|0.554680104|0.473527562|0.457754077|0.411129172|0.522209723,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.122077391|-0.0673001219|-0.0827608539|-0.145597297,-0.107252314|-0.0640559288|-0.0970812702|-0.160906195|-0.160978668|-0.157633672,2.21617571|1.67466449|1.43910637|1.12280999|0.920777167|1.30560792,0.661759198|-0.581158876|0.345944405,-0.0082720872|0.160849422|0.0120005216,0.004650539718568325,0.0014518490061163902,0.0013181930407881737,0.0018471581861376762
2,0.15000000000000002,-0.010627275364766153,0.22462674975395203,0.36208444833755493,0.4383688271045685,0.22132271528244019,0.35,4,0,0,0,0,,,nan,0,0.8459168076515198,6.963266849517822,56.13507080078125,0.8459166288375854,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,5.5243110286603e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.2791766356399876,0.575440058|0.433871013|0.356021568|0.326321589|0.279176636|0.386750747,0.725440058|0.583871013|0.506021568|0.476321589|0.429176636|0.536750747,0.695440058|0.553871013|0.476021568|0.446321589|0.399176636|0.506750747,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.156661636|-0.12111616|-0.143239709|-0.225214501,-0.106429911|-0.0624584405|-0.0947778951|-0.161047501|-0.161167879|-0.158505967,2.19533032|1.67302561|1.48597001|1.0231227|0.812298955|1.16328252,0.66134578|-0.573116541|0.346544504,-0.0082720872|0.160849422|0.0120005216,0.0042851585894823074,0.0012146858498454094,0.0011107753962278366,0.0019245082512497902
3,0.2,0.10359314135741443,0.24047008156776428,0.33072662353515625,0.42475613951683044,0.23653019964694977,0.35,4,0,0,0,0,,,nan,0,0.9902588725090027,4.021721363067627,113.95195007324219,0.990258514881134,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,9.658332228872881e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.26420947098322667,0.56999467|0.435048253|0.361820397|0.312380782|0.264209471|0.367170686,0.71999467|0.585048253|0.511820397|0.462380782|0.414209471|0.517170686,0.68999467|0.555048253|0.481820397|0.432380782|0.384209471|0.487170686,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.188015673|-0.112586334|-0.130019986|-0.243724296,-0.105598697|-0.0607503805|-0.091988646|-0.16098296|-0.16104249|-0.159587437,2.17437998|1.67944263|1.54330862|0.975953835|0.765775408|1.06537101,0.660932362|-0.565074205|0.347144604,-0.0082720872|0.160849422|0.0120005216,0.0030789319425821304,0.0008055884391069412,0.000932023860514164,0.0013219602406024933
4,0.25,0.19438823830348773,0.2191181480884552,0.297770231962204,0.41667303442955017,0.2145201712846756,0.35,4,0,0,0,0,,,nan,0,1.0480942726135254,4.872821807861328,92.10723876953125,1.0480705499649048,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,0.0012382243546690752,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.25071448048962675,0.564561554|0.437157832|0.369863856|0.299212561|0.25071448|0.346707437,0.714561554|0.587157832|0.519863856|0.449212561|0.40071448|0.496707437,0.684561554|0.557157832|0.489863856|0.419212561|0.37071448|0.466707437,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.216636561|-0.0468123886|-0.0472219257|-0.206497565,-0.104754234|-0.0590171806|-0.0890381199|-0.160478423|-0.160221691|-0.160593572,2.15349198|1.68961415|1.60705387|0.989559432|0.795414305|1.01973861,0.660518944|-0.55703187|0.347744703,-0.0082720872|0.160849422|0.0120005216,0.004423319362103939,0.0010213805362582207,0.0014389604330062866,0.0019395463168621063
5,0.30000000000000004,0.28381834332699607,0.1938159465789795,0.26348212361335754,0.41281506419181824,0.1885749101638794,0.35,4,0,0,0,0,,,nan,0,1.119091510772705,2.6570687294006348,106.49957275390625,1.1190907955169678,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,1.2133540833145852e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.24289290857729917,0.559182466|0.439151286|0.379128619|0.289769044|0.242892909|0.328602417,0.709182466|0.589151286|0.529128619|0.439769044|0.392892909|0.478602417,0.679182466|0.559151286|0.499128619|0.409769044|0.362892909|0.448602417,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.235589139|0.00221226623|0.0217506278|-0.172453471,-0.103892494|-0.0573194454|-0.0861730007|-0.159354183|-0.158396615|-0.161259405,2.13283737|1.6992857|1.66593062|1.00193426|0.834925647|0.980696794,0.660105526|-0.548989534|0.348344803,-0.0082720872|0.160849422|0.0120005216,0.0032955119386315346,0.0010063648223876953,0.0009846435859799385,0.0012784646824002266
6,0.35000000000000003,0.35431158838736154,0.16953887045383453,0.22853276133537292,0.4124498665332794,0.16369852423667908,0.35,4,0,0,0,0,,,nan,0,1.1893366575241089,2.799314498901367,23.889177322387695,1.189335823059082,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,1.4214783006188246e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.23946836390205273,0.55383487|0.44157426|0.389538972|0.283248414|0.239468364|0.312951186,0.70383487|0.59157426|0.539538972|0.433248414|0.389468364|0.462951186,0.67383487|0.56157426|0.509538972|0.403248414|0.359468364|0.432951186,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.248281428|0.0384835816|0.0790671662|-0.145183135,-0.103015234|-0.0556322361|-0.083362781|-0.157466287|-0.155373911|-0.161347587,2.11232425|1.71066481|1.72307453|1.01401095|0.881566711|0.945274022,0.659692109|-0.540947199|0.348944902,-0.0082720872|0.160849422|0.0120005216,0.0037566861137747765,0.0008015353232622147,0.001064389944076538,0.001870064064860344
7,0.4,0.4116595334479076,0.10930149257183075,0.19533847272396088,0.4169292151927948,0.10306037217378616,0.35,4,0,0,0,0,,,nan,0,1.2147479057312012,1.4897352457046509,57.35342788696289,1.214747428894043,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,7.533774070687084e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.23972197537331918,0.548498942|0.444897938|0.40113433|0.27905319|0.239721975|0.299482924,0.698498942|0.594897938|0.55113433|0.42905319|0.389721975|0.449482924,0.668498942|0.564897938|0.52113433|0.39905319|0.359721975|0.419482924,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.25988721|0.103984317|0.17074135|-0.0727589056,-0.102123655|-0.0539480202|-0.0806015146|-0.154710752|-0.151064246|-0.160609982,2.09187211|1.72564373|1.78382301|1.06548632|0.978565005|0.964562808,0.659278691|-0.532904863|0.349545002,-0.0082720872|0.160849422|0.0120005216,0.005006256513297558,0.0016046417877078056,0.001509181223809719,0.0018616113811731339
8,0.45,0.3856393513150362,0.06098443642258644,0.16737064719200134,0.42725226283073425,0.05396422743797302,0.35,4,0,0,0,0,,,nan,0,1.197603702545166,2.777057409286499,54.745018005371094,1.1976035833358765,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,4.3123213825359436e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.24498227949944495,0.543199741|0.448511157|0.413392242|0.278668915|0.244982279|0.290376132,0.693199741|0.598511157|0.563392242|0.428668915|0.394982279|0.440376132,0.663199741|0.568511157|0.533392242|0.398668915|0.364982279|0.410376132,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.269341213|0.191996404|0.286622157|0.0361072466,-0.10121535|-0.0522968742|-0.0779939039|-0.151115329|-0.1456388|-0.158853938,2.07158361|1.74174775|1.84491628|1.15555673|1.12091248|1.03875784,0.658865273|-0.524862528|0.350145102,-0.0082720872|0.160849422|0.0120005216,0.004915456287562847,0.001492437906563282,0.0015037273988127708,0.0018861973658204079
9,0.5,0.22710705557037014,0.054909076541662216,0.14918512105941772,0.44332239031791687,0.049044687300920486,0.35,4,0,0,0,0,,,nan,0,1.1693174839019775,2.847696542739868,19.261688232421875,1.1693171262741089,1.0,nan,0,0,0,0,0.30179865722535326,0.0,filtered,5.15498512237465e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2561900001600431,0.537965808|0.451739827|0.4257055|0.283177815|0.25619|0.287252865,0.687965808|0.601739827|0.5757055|0.433177815|0.40619|0.437252865,0.657965808|0.571739827|0.5457055|0.403177815|0.37619|0.407252865,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.275917708|0.287816511|0.406894069|0.167075104,-0.100288076|-0.050692201|-0.0756022438|-0.146863414|-0.139516444|-0.156039661,2.05157516|1.75626711|1.90313746|1.27366436|1.29213763|1.1600469,0.658451855|-0.516820192|0.350745201,-0.0082720872|0.160849422|0.0120005216,0.004948119632899761,0.001444104127585888,0.0014772359281778336,0.001994773745536804
