episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
12,9013,configs/experiments/reaching_recovery/manifests/v1_final.json,24.167855828302642,0.9694378171116114,16,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04038581997156143,0.8,0.3134823143482208,0.06058986356947571,0.11464507132768631,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1445387878920883,1.348730206489563,19.85962677001953,0,0,0,0.0,0,nan
13,9014,configs/experiments/reaching_recovery/manifests/v1_final.json,21.675840589214538,0.6846547499299049,7,1,0,0,0,0,0,,any,0,0,,,nan,0,0.051483962684869766,0.35000000000000003,0.6377220749855042,0.09780782141855784,0.15235507488250732,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3812759667634964,3.4132115840911865,61.18413543701172,0,0,0,0.0,0,nan
14,9015,configs/experiments/reaching_recovery/manifests/v1_final.json,21.38159081112706,0.8326819837093353,6,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04545183107256889,0.30000000000000004,0.29089292883872986,0.13878033061822256,0.14879441261291504,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3069310213128726,2.5907669067382812,47.70109176635742,0,0,0,0.0,0,nan
15,9016,configs/experiments/reaching_recovery/manifests/v1_final.json,21.405360067297657,16.63801794499159,170,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05464639887213707,8.5,0.20943987369537354,0.09787069379406817,0.4559408128261566,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2279079197522472,2.0945050716400146,32.69411087036133,0,0,0,0.0,0,nan
16,9017,configs/experiments/reaching_recovery/manifests/v1_final.json,24.337597741001975,0.45789542980492115,15,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04031865671277046,0.75,0.5851223468780518,0.030526361986994745,0.047728102654218674,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21789295276006063,2.251373767852783,43.16911697387695,0,0,0,0.0,0,nan
17,9018,configs/experiments/reaching_recovery/manifests/v1_final.json,-8.316310789752373,6.0004010032862425,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.2360221892595291,12.0,0.29537710547447205,0.025001670847026012,0.13088300824165344,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04585348339945388,0.6662099957466125,9.132148742675781,0,0,0,0.0,0,nan
18,9019,configs/experiments/reaching_recovery/manifests/v1_final.json,-39.80857349055709,13.433390410616994,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.3982681930065155,12.0,0.2478349208831787,0.055972460044237476,0.30992814898490906,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18146844503935428,1.8017756938934326,28.264205932617188,0,0,0,0.0,0,nan
19,9020,configs/experiments/reaching_recovery/manifests/v1_final.json,21.661747440350144,0.3805001303553581,5,1,0,0,0,0,0,,any,0,0,,,nan,0,0.042298756539821625,0.25,0.3828181028366089,0.07610002607107162,0.08135990798473358,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39475369453430176,3.5275380611419678,67.9887466430664,0,0,0,0.0,0,nan
20,9021,configs/experiments/reaching_recovery/manifests/v1_final.json,-21.241366283569185,10.032001627609134,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.1902831643819809,12.0,0.2130197137594223,0.04180000678170472,0.39283618330955505,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06391832644245975,0.9382434487342834,16.553651809692383,0,0,0,0.0,0,nan
21,9022,configs/experiments/reaching_recovery/manifests/v1_final.json,-5.897655510263846,82.95502300560474,107,0,1,1,0,1,1,pybullet_contact,any,0,0,6,wrist_2_link,0.0014550766711839574,1,0.2714485228061676,5.3500000000000005,0.001315484056249261,0.44817778509910977,0.8859751224517822,9,0.08411214953271028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17991362769748562,1.8144440650939941,28.054241180419922,0,0,0,0.0,0,nan
