episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,48,-78.07896423746712,38.29715368896723,48,0,1,0.10416666666666667,0.0713791474699974,0.3186907018534839,0.0,0.20000000298023224
2,82,-89.0243147253936,74.2274533957243,34,0,1,0.4411764705882353,0.004742944613099098,0.6243368645801264,0.0,0.20000000298023224
3,106,-46.582878086683905,32.73410242795944,24,0,1,0.16666666666666666,0.06665559858083725,0.5305876011649767,0.0,0.20000000298023224
4,346,-261.14210887695754,181.73159507568926,240,0,0,0.1625,0.010361178778111935,0.26971497948203854,0.0,0.20000000298023224
5,376,-81.53964811818452,66.0919937491417,30,0,1,0.43333333333333335,0.007115984335541725,0.6363997916380565,0.0,0.20000000298023224
6,401,-43.033881098649076,21.614145144820213,25,0,1,0.04,0.1001141145825386,0.42456580579280856,0.0,0.20000000298023224
7,458,-107.13577139762464,45.087909661233425,57,0,1,0.10526315789473684,0.07909824699163437,0.3348756080918145,0.0,0.20000000298023224
8,484,-56.79720139519752,40.15808744728565,26,0,1,0.23076923076923078,0.027217859402298927,0.544541824895602,0.0,0.20000000298023224
9,724,-303.58200216343295,172.3470571152866,240,0,0,0.14583333333333334,0.03775271400809288,0.2806127379803608,0.0,0.20000000298023224
10,768,-70.38398545752105,63.22597686946392,44,0,1,0.25,0.03707807883620262,0.5051358379423618,0.0,0.20000000298023224
11,1008,-187.28679043991056,35.07343971543014,240,0,0,0.0,0.15851782262325287,0.1461393321476256,0.0,0.19946040213108063
12,1039,-69.12366948679289,48.912554040551186,31,0,1,0.25806451612903225,-0.004706316161900759,0.5455662593726189,0.0,0.19761304557323456
13,1073,-60.703359054051944,47.06569218635559,34,0,1,0.20588235294117646,0.06429996341466904,0.531343887833988,0.0,0.1956212967634201
14,1110,-76.3040663576578,47.21148630976677,37,0,1,0.1891891891891892,0.0598117969930172,0.4922023326963992,0.0,0.19347675144672394
15,1350,-235.27905879650115,140.798159327358,240,0,0,0.10833333333333334,0.049145832657814026,0.26165899719732505,0.0,0.18009431660175323
16,1590,-145.68210413577373,30.81041882187128,240,0,0,0.0,0.2010681927204132,0.12837674509113034,0.0,0.16762258112430573
17,1830,-182.8728931061767,85.68172743916512,240,0,0,0.041666666666666664,0.11113033443689346,0.23200719766318798,0.0,0.15610197186470032
18,2070,-265.74272002366274,188.2970228381455,240,0,0,0.17083333333333334,0.01736573874950409,0.2720709284922729,0.0,0.14545968174934387
19,2111,-69.38634031676844,33.61254898458719,41,0,1,0.07317073170731707,0.09382655471563339,0.4051841215752974,0.0,0.14372430741786957
20,2152,-69.8201820582201,65.48319794237614,41,0,1,0.2926829268292683,-0.006705140694975853,0.5239804376189302,0.0,0.14201229810714722
21,2168,-34.33000151730959,22.867163985967636,16,0,1,0.125,0.08156145364046097,0.5541977491229773,0.0,0.1413525938987732
22,2408,-343.03342343617504,44.161516033113,240,0,0,0.0,0.15403775870800018,0.1840063168046375,0.0,0.13191242516040802
23,2432,-47.350567872498516,28.622502103447914,24,0,1,0.125,0.08255328983068466,0.4842709209769964,0.0,0.1310080885887146
24,2672,-257.9359787384204,241.36060689389706,240,0,0,0.2125,0.005541300401091576,0.3681691953912377,0.0,0.12243346124887466
25,2720,-83.65527625491399,61.12051731348038,48,0,1,0.20833333333333334,-0.0036053338553756475,0.4816774440308412,0.0,0.12081407010555267
26,2960,-304.69920244027173,128.10473764687777,240,0,0,0.07916666666666666,0.04858432337641716,0.29626974019532404,0.0,0.1130753755569458
27,3200,-108.21570297900112,37.925796039402485,240,0,0,0.0,0.12440242618322372,0.158024150164177,0.0,0.10587902367115021
28,3440,-447.95725487411244,28.994223851710558,240,0,0,0.0,0.13523724675178528,0.120809266048794,0.0,0.0991290807723999
29,3680,-346.20570210646406,21.42469190992415,240,0,0,0.0,0.2382868379354477,0.08926954962468396,0.0,0.09278853982686996
30,3920,-684.0383906033546,46.915033649653196,240,0,0,0.0,0.1627524048089981,0.195479306873555,0.0,0.08683183789253235
31,3946,-52.60936604080381,18.321182265877724,26,0,1,0.0,0.1521405726671219,0.3969685486876048,0.0,0.08620980381965637
32,4186,-375.5438340784592,41.954492054879665,240,0,0,0.0,0.12272237986326218,0.1748103835619986,0.0,0.0806790366768837
33,4426,-189.67867750646508,27.666875578463078,240,0,0,0.0,0.21298344433307648,0.11527864824359615,0.0,0.0755554586648941
34,4666,-89.92613382780488,32.26797692477703,240,0,0,0.0,0.17656196653842926,0.13444990385323763,0.0,0.07079470157623291
35,4769,-57.746460012840615,31.562577985227108,103,0,1,0.0,0.15615926682949066,0.22876289306045736,0.0,0.06885781139135361
36,5009,-195.82330558696611,136.2162981890142,240,0,0,0.10416666666666667,0.044078364968299866,0.2550679091208925,0.0,0.06461862474679947
37,5025,18.059861282206928,5.354077309370041,16,1,0,0.0,0.22867415845394135,0.33462983183562756,0.0,0.064348965883255
38,5265,-224.72610819213676,117.18727796338499,240,0,0,0.058333333333333334,0.08434975147247314,0.31328032484743745,0.0,0.06051640212535858
39,5505,-179.64621706021893,75.59712662175298,240,0,0,0.041666666666666664,0.09278792887926102,0.1899880275906374,0.0,0.057034414261579514
40,5745,-238.1596403385498,101.9066197220236,240,0,0,0.058333333333333334,0.08076264709234238,0.2496109155084317,0.0,0.0538468137383461
41,5985,-365.4066947254909,89.83658375032246,240,0,0,0.07083333333333333,0.08780570328235626,0.16181909895967692,0.0,0.0509478822350502
42,6201,-138.12456143961168,43.93520207516849,216,0,1,0.0,0.14558838307857513,0.1663666762739282,0.0,0.04850935563445091
43,6441,-130.84873597535972,39.88336893543601,240,0,0,0.0,0.19085927307605743,0.16618070389765005,0.0,0.04597216099500656
44,6681,-181.34125429052324,67.45844422280788,240,0,0,0.0,0.12065472453832626,0.2810768509283662,0.0,0.04357266053557396
45,6921,-197.2064690259885,49.79904705286026,240,0,0,0.004166666666666667,0.11962021142244339,0.19499602938691776,0.0,0.041295018047094345
46,6949,-29.98180332068617,18.75531078875065,28,0,1,0.0,0.1335161328315735,0.3841182424553803,0.0,0.04103891924023628
47,6967,22.41670997353781,1.4654341861605644,18,1,0,0.0,0.4117761552333832,0.08141301034225358,0.0,0.040874019265174866
48,7101,-117.08075836047507,66.84130258113146,134,0,1,0.05223880597014925,0.02850828506052494,0.2823977804562049,0.0,0.039667580276727676
49,7326,-170.79623258438784,86.08444375917315,225,0,1,0.035555555555555556,0.06767261773347855,0.24037530559632514,0.0,0.03773120790719986
50,7566,-329.2067104107106,93.25737724639475,240,0,0,0.04583333333333333,0.09539496898651123,0.2510724051933115,0.0,0.0357687883079052
