train_seed,episode,reset_seed,success,outcome,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,static_candidate_path_status,ik_status,goal_x_m,goal_y_m,goal_z_m,obstacle_x_m,obstacle_y_m,obstacle_z_m,obstacle_goal_distance_m,obstacle_goal_y_opposite_side,trace_steps,initial_goal_error_m,best_goal_error_m,final_goal_error_m,initial_to_best_progress_m,regression_after_best_m,tail_goal_progress_m,tail_qdot_norm_radps,tail_risk,min_distance_m,failure_mode
4301,0,9001,1,success,0,0,0,0,,candidate_path_found,reachable,0.4543037414550781,-0.3700195848941803,0.4104900360107422,0.6971578001976013,0.42724892497062683,0.5072214007377625,0.8390304688101135,1,20,0.5548480749130249,0.04107222706079483,0.04107222706079483,0.5137758478522301,0.0,0.5137758478522301,1.3908479750156402,0.0867017226293683,0.20788989961147308,success
4301,1,9002,1,success,0,0,0,0,,candidate_path_found,reachable,0.5647520422935486,0.36733007431030273,0.6305513381958008,0.5887582302093506,-0.563705563545227,0.29332199692726135,0.9905186947391327,1,14,0.27331429719924927,0.052012842148542404,0.052012842148542404,0.22130145505070686,0.0,0.22130145505070686,1.3573813140392303,0.02822694235614368,0.6453798413276672,success
4301,2,9003,1,success,0,0,0,0,,candidate_path_found,reachable,0.510016679763794,0.4373528063297272,0.2925204932689667,0.6988133788108826,-0.49598777294158936,0.2489803582429886,0.9532389909375686,1,9,0.21903306245803833,0.05492572858929634,0.05492572858929634,0.164107333868742,0.0,0.164107333868742,1.2235761880874634,0.034122274360722966,0.6198212504386902,success
4301,3,9004,1,success,0,0,0,0,,candidate_path_found,reachable,0.26167941093444824,-0.42003360390663147,0.5635185837745667,0.5240224599838257,0.5641673803329468,0.38707947731018066,1.0337341104232893,1,27,0.6274994611740112,0.04312610626220703,0.04312610626220703,0.5843733549118042,0.0,0.5843733549118042,1.4379226984801117,0.04262068377876723,0.2982042729854584,success
4301,4,9005,1,success,0,0,0,0,,candidate_path_found,reachable,0.5594142079353333,-0.03803456202149391,0.5897340774536133,0.5812970399856567,0.45397278666496277,0.2165585458278656,0.6179078142443083,1,11,0.35906627774238586,0.04076997935771942,0.04076997935771942,0.31829629838466644,0.0,0.31829629838466644,1.3620435053651982,0.07667353275147351,0.2839759886264801,success
4301,5,9006,0,timeout,0,0,0,0,,not_found,reachable,0.5862905979156494,0.3789258897304535,0.3534838855266571,0.4327596426010132,0.5309967398643494,0.32073941826820374,0.21856234313419723,0,240,0.2638222277164459,0.09431049972772598,0.1772192120552063,0.16951172798871994,0.08290871232748032,-0.02439652383327484,0.5469746306538582,0.34146192694703736,0.16987556219100952,nonconvergent_timeout
4301,6,9007,1,success,0,0,0,0,,candidate_path_found,reachable,0.6955180168151855,-0.2602905035018921,0.22127969563007355,0.25754275918006897,-0.5338269472122192,0.33936792612075806,0.5297068458295218,0,16,0.49503570795059204,0.0522688664495945,0.0522688664495945,0.44276684150099754,0.0,0.44276684150099754,1.2744881957769394,0.2610343829728663,0.26763999462127686,success
4301,7,9008,1,success,0,0,0,0,,candidate_path_found,reachable,0.46883243322372437,-0.13904930651187897,0.5446380376815796,0.5129725933074951,0.5978840589523315,0.2961401641368866,0.7789546405426074,1,11,0.32043012976646423,0.05230694264173508,0.05230694264173508,0.26812318712472916,0.0,0.26812318712472916,1.2721246535127813,0.03506341610442509,0.40724417567253113,success
4301,8,9009,1,success,0,0,0,0,,not_found,reachable,0.6325720548629761,-0.33444416522979736,0.4043465852737427,0.2323497235774994,-0.510794460773468,0.3183285892009735,0.4457313505311207,0,20,0.4864935576915741,0.05113770440220833,0.05113770440220833,0.43535585328936577,0.0,0.43535585328936577,1.3616729229688644,0.2995639812201262,0.2218596488237381,success
4301,9,9010,1,success,0,0,0,0,,candidate_path_found,reachable,0.39078229665756226,0.16764187812805176,0.1828269511461258,0.6591886878013611,-0.5502150058746338,0.3605918884277344,0.7867406622538442,1,11,0.24278198182582855,0.051189638674259186,0.051189638674259186,0.19159234315156937,0.0,0.19159234315156937,1.160254342989488,0.030268531970002434,0.5077783465385437,success
4301,10,9011,1,success,0,0,0,0,,candidate_path_found,reachable,0.5608811378479004,0.42477425932884216,0.5830913782119751,0.4579482674598694,-0.4526648223400116,0.2576884925365448,0.9414783884147834,1,14,0.3514177203178406,0.04666897654533386,0.04666897654533386,0.3047487437725067,0.0,0.3047487437725067,1.549854815006256,0.0448851545474359,0.4665784239768982,success
4301,11,9012,1,success,0,0,0,0,,candidate_path_found,reachable,0.5216274857521057,-0.18959097564220428,0.2431846708059311,0.3147638142108917,0.6136689782142639,0.29999080300331116,0.831412093205429,1,21,0.3802255392074585,0.0533592514693737,0.0533592514693737,0.3268662877380848,0.0,0.3268662877380848,1.1377600346292769,0.03899335320151988,0.3725595772266388,success
4301,12,9013,1,success,0,0,0,0,,candidate_path_found,reachable,0.6966773867607117,-0.146866574883461,0.37480291724205017,0.36676642298698425,0.5703997611999512,0.41030630469322205,0.7902991404633691,1,11,0.3692631423473358,0.051834143698215485,0.051834143698215485,0.31742899864912033,0.0,0.31742899864912033,1.290374994277954,0.056843780489130455,0.3227919340133667,success
4301,13,9014,1,success,0,0,0,0,,candidate_path_found,reachable,0.3783205449581146,0.17246606945991516,0.3539166748523712,0.5300361514091492,-0.580690324306488,0.1804313063621521,0.7876289429624876,1,7,0.14687597751617432,0.042191360145807266,0.042191360145807266,0.10468461737036705,0.0,0.10468461737036705,1.2984242609569006,0.05648695970220225,0.6369741559028625,success
4301,14,9015,1,success,0,0,0,0,,candidate_path_found,reachable,0.54691481590271,0.20365647971630096,0.3100093603134155,0.40587714314460754,0.5663957595825195,0.2172057032585144,0.4001048975676855,0,4,0.11380741000175476,0.04840167239308357,0.04840167239308357,0.06540573760867119,0.0,0.06540573760867119,0.9858535081148148,0.13030818104743958,0.2961113154888153,success
4301,15,9016,1,success,0,0,0,0,,candidate_path_found,reachable,0.2591612637042999,0.16397514939308167,0.6739024519920349,0.6173083186149597,0.5330652594566345,0.4440748393535614,0.563309465408673,0,14,0.37865006923675537,0.04012758284807205,0.04012758284807205,0.3385224863886833,0.0,0.3385224863886833,1.178257976259504,0.12711465465170996,0.2325902283191681,success
4301,16,9017,1,success,0,0,0,0,,candidate_path_found,reachable,0.28337109088897705,0.2104504257440567,0.19474224746227264,0.473103404045105,-0.6020686030387878,0.28995370864868164,0.8397920844655795,1,16,0.3507902920246124,0.04667125642299652,0.04667125642299652,0.3041190356016159,0.0,0.3041190356016159,1.3745060861110687,0.02468489285092801,0.5853528380393982,success
4301,17,9018,1,success,0,0,0,0,,candidate_path_found,reachable,0.4575916826725006,-0.37730544805526733,0.7763434648513794,0.5873687267303467,0.5625784397125244,0.3257732391357422,1.0503510517685652,1,23,0.6651008129119873,0.053146060556173325,0.053146060556173325,0.611954752355814,0.0,0.611954752355814,1.6258289399354353,0.04467099273334379,0.2930971086025238,success
4301,18,9019,1,success,0,0,0,0,,candidate_path_found,reachable,0.3202974796295166,0.03634938970208168,0.48585379123687744,0.6244223117828369,0.5185324549674988,0.2500264048576355,0.6169335281272229,0,14,0.26425209641456604,0.046010252088308334,0.046010252088308334,0.2182418443262577,0.0,0.2182418443262577,1.3216254711151123,0.08563737411584173,0.2495664656162262,success
4301,19,9020,1,success,0,0,0,0,,candidate_path_found,reachable,0.4629130959510803,0.1524135023355484,0.20317210257053375,0.3142184913158417,-0.4506590962409973,0.2306969314813614,0.621742921799732,1,5,0.13103868067264557,0.05132051557302475,0.05132051557302475,0.07971816509962082,0.0,0.07971816509962082,1.1068746209144593,0.06960326880216598,0.38832682371139526,success
4301,20,9021,0,timeout,0,0,0,0,,not_checked_due_to_ik,not_reachable,0.772355318069458,-0.38114866614341736,0.7591578364372253,0.4974748492240906,0.43383774161338806,0.5553798675537109,0.8839047333187449,1,240,0.8761380314826965,0.14864467084407806,0.19357188045978546,0.7274933606386185,0.0449272096157074,-0.0008987337350845337,0.019167279110600552,0.02988490763430794,0.22358570992946625,low_motion_stall
