reset_seed,static_candidate_path_status,ik_status,goal_x_m,goal_y_m,goal_z_m,obstacle_x_m,obstacle_y_m,obstacle_z_m,obstacle_goal_distance_m,obstacle_goal_y_opposite_side,actor_count,success_count,timeout_count,collision_count,failure_mode_counts,mean_final_goal_error_m,mean_best_goal_error_m,mean_tail_qdot_norm_radps,mean_tail_goal_progress_m,mean_min_distance_m
9001,candidate_path_found,reachable,0.4543037414550781,-0.3700195848941803,0.4104900360107422,0.6971578001976013,0.42724892497062683,0.5072214007377625,0.8390304688101135,1,3,3,0,0,"{""success"": 3}",0.047246319552262626,0.047246319552262626,1.4563620828317871,0.5076818441351255,0.20722929139931998
9002,candidate_path_found,reachable,0.5647520422935486,0.36733007431030273,0.6305513381958008,0.5887582302093506,-0.563705563545227,0.29332199692726135,0.9905186947391327,1,3,3,0,0,"{""success"": 3}",0.05111566434303919,0.05111566434303919,1.4638870725264919,0.2239462211728096,0.6446665724118551
9003,candidate_path_found,reachable,0.510016679763794,0.4373528063297272,0.2925204932689667,0.6988133788108826,-0.49598777294158936,0.2489803582429886,0.9532389909375686,1,3,3,0,0,"{""success"": 3}",0.05414281537135442,0.05414281537135442,1.2866779019010712,0.16546168675025305,0.6198515693346659
9004,candidate_path_found,reachable,0.26167941093444824,-0.42003360390663147,0.5635185837745667,0.5240224599838257,0.5641673803329468,0.38707947731018066,1.0337341104232893,1,3,2,1,0,"{""near_goal_regression"": 1, ""success"": 2}",0.07243072738250096,0.05350667734940847,1.4088535991715798,0.40070124218861264,0.3005739649136861
9005,candidate_path_found,reachable,0.5594142079353333,-0.03803456202149391,0.5897340774536133,0.5812970399856567,0.45397278666496277,0.2165585458278656,0.6179078142443083,1,3,3,0,0,"{""success"": 3}",0.04502582922577858,0.04502582922577858,1.325761793802182,0.3139398358762264,0.28355760375658673
9006,not_found,reachable,0.5862905979156494,0.3789258897304535,0.3534838855266571,0.4327596426010132,0.5309967398643494,0.32073941826820374,0.21856234313419723,0,3,0,3,0,"{""nonconvergent_timeout"": 3}",0.17747092247009277,0.10333868116140366,0.6304135599070125,0.03081320971250534,0.1889976461728414
9007,candidate_path_found,reachable,0.6955180168151855,-0.2602905035018921,0.22127969563007355,0.25754275918006897,-0.5338269472122192,0.33936792612075806,0.5297068458295218,0,3,3,0,0,"{""success"": 3}",0.05116162324945132,0.05116162324945132,1.3735283715029558,0.4450473027924697,0.28347495198249817
9008,candidate_path_found,reachable,0.46883243322372437,-0.13904930651187897,0.5446380376815796,0.5129725933074951,0.5978840589523315,0.2961401641368866,0.7789546405426074,1,3,3,0,0,"{""success"": 3}",0.042581443985303245,0.042581443985303245,1.4311502136967398,0.27756840487321216,0.40723682443300885
9009,not_found,reachable,0.6325720548629761,-0.33444416522979736,0.4043465852737427,0.2323497235774994,-0.510794460773468,0.3183285892009735,0.4457313505311207,0,3,3,0,0,"{""success"": 3}",0.05018670856952667,0.05018670856952667,1.2490288203789128,0.3105533495545387,0.2401490012804667
9010,candidate_path_found,reachable,0.39078229665756226,0.16764187812805176,0.1828269511461258,0.6591886878013611,-0.5502150058746338,0.3605918884277344,0.7867406622538442,1,3,3,0,0,"{""success"": 3}",0.045899042238791786,0.045899042238791786,1.2843226971048296,0.19729439541697502,0.5096690456072489
9011,candidate_path_found,reachable,0.5608811378479004,0.42477425932884216,0.5830913782119751,0.4579482674598694,-0.4526648223400116,0.2576884925365448,0.9414783884147834,1,3,3,0,0,"{""success"": 3}",0.04591215029358864,0.04591215029358864,1.5838965204026962,0.3070865732928117,0.46504050493240356
9012,candidate_path_found,reachable,0.5216274857521057,-0.18959097564220428,0.2431846708059311,0.3147638142108917,0.6136689782142639,0.29999080300331116,0.831412093205429,1,3,3,0,0,"{""success"": 3}",0.0487998736401399,0.0487998736401399,1.3370803658924404,0.3313620078066985,0.3737139403820038
9013,candidate_path_found,reachable,0.6966773867607117,-0.146866574883461,0.37480291724205017,0.36676642298698425,0.5703997611999512,0.41030630469322205,0.7902991404633691,1,3,3,0,0,"{""success"": 3}",0.041085051372647285,0.041085051372647285,1.4087137439937303,0.32813114238282043,0.32205859820048016
9014,candidate_path_found,reachable,0.3783205449581146,0.17246606945991516,0.3539166748523712,0.5300361514091492,-0.580690324306488,0.1804313063621521,0.7876289429624876,1,3,2,1,0,"{""near_goal_regression"": 1, ""success"": 2}",0.14656183620293936,0.05518947045008341,1.131506670349174,0.005077674984931946,0.6079462369283041
9015,candidate_path_found,reachable,0.54691481590271,0.20365647971630096,0.3100093603134155,0.40587714314460754,0.5663957595825195,0.2172057032585144,0.4001048975676855,0,3,3,0,0,"{""success"": 3}",0.04968980699777603,0.04968980699777603,1.0540156927373674,0.06725577265024185,0.28233884771664935
9016,candidate_path_found,reachable,0.2591612637042999,0.16397514939308167,0.6739024519920349,0.6173083186149597,0.5330652594566345,0.4440748393535614,0.563309465408673,0,3,3,0,0,"{""success"": 3}",0.044836939622958503,0.044836939622958503,1.1867712524546172,0.33382698769370717,0.2294444739818573
9017,candidate_path_found,reachable,0.28337109088897705,0.2104504257440567,0.19474224746227264,0.473103404045105,-0.6020686030387878,0.28995370864868164,0.8397920844655795,1,3,3,0,0,"{""success"": 3}",0.04795251910885175,0.04795251910885175,1.5047175015012424,0.3034912285705407,0.5859326918919882
9018,candidate_path_found,reachable,0.4575916826725006,-0.37730544805526733,0.7763434648513794,0.5873687267303467,0.5625784397125244,0.3257732391357422,1.0503510517685652,1,3,3,0,0,"{""success"": 3}",0.048074912279844284,0.048074912279844284,1.705632998459581,0.612946379929781,0.29567429423332214
9019,candidate_path_found,reachable,0.3202974796295166,0.03634938970208168,0.48585379123687744,0.6244223117828369,0.5185324549674988,0.2500264048576355,0.6169335281272229,0,3,3,0,0,"{""success"": 3}",0.049856716146071754,0.049856716146071754,1.298808516600193,0.21449328089753786,0.2491640249888102
9020,candidate_path_found,reachable,0.4629130959510803,0.1524135023355484,0.20317210257053375,0.3142184913158417,-0.4506590962409973,0.2306969314813614,0.621742921799732,1,3,3,0,0,"{""success"": 3}",0.05043885111808777,0.05043885111808777,1.0362372855345408,0.07866748670736949,0.3859846790631612
9021,not_checked_due_to_ik,not_reachable,0.772355318069458,-0.38114866614341736,0.7591578364372253,0.4974748492240906,0.43383774161338806,0.5553798675537109,0.8839047333187449,1,3,0,3,0,"{""low_motion_stall"": 3}",0.23984960714975992,0.19187775254249573,0.08926667924970388,3.741184870402018e-05,0.2148112803697586
9022,not_found,reachable,0.426762193441391,-0.3766654431819916,0.7318882346153259,0.6578161120414734,-0.4318270683288574,0.5103235244750977,0.3248378656635033,0,3,2,1,0,"{""nonconvergent_timeout"": 1, ""success"": 2}",0.11288265759746234,0.0806168702741464,1.1644904552996236,0.4420890820523103,0.23876351118087769
9023,candidate_path_found,reachable,0.406000018119812,-0.39101743698120117,0.7544770240783691,0.6099634766578674,-0.6041398048400879,0.5562979578971863,0.3553831430625675,0,3,2,1,0,"{""near_goal_regression"": 1, ""success"": 2}",0.28120690522094566,0.04608095499376456,1.4155310075236052,0.3141064550727606,0.23377530773480734
9024,candidate_path_found,reachable,0.2947014570236206,-0.3038714826107025,0.3902565538883209,0.7061002254486084,-0.4976407587528229,0.5952106714248657,0.4988002298850932,0,3,2,1,0,"{""near_goal_regression"": 1, ""success"": 2}",0.11463437229394913,0.05648617694775263,1.0893522778899183,0.35751257588466007,0.34286296367645264
9025,candidate_path_found,reachable,0.4385749399662018,-0.15697911381721497,0.7415120601654053,0.2511029541492462,-0.4835616946220398,0.30672502517700195,0.5751883981316902,0,3,3,0,0,"{""success"": 3}",0.049080170691013336,0.049080170691013336,1.634597456498897,0.5007244572043419,0.3780947724978129
9026,candidate_path_found,reachable,0.7767952084541321,0.24368591606616974,0.3330538272857666,0.5992190837860107,-0.49545902013778687,0.32861950993537903,0.7601895684225503,1,3,3,0,0,"{""success"": 3}",0.050463832914829254,0.050463832914829254,1.430898036444302,0.24183067927757898,0.4592750072479248
9027,not_found,reachable,0.6487277150154114,0.44578102231025696,0.2878356873989105,0.4671536386013031,0.5631759762763977,0.4029713273048401,0.2449631319584574,0,3,1,2,0,"{""nonconvergent_timeout"": 2, ""success"": 1}",0.3000134117901325,0.1280679889023304,1.3264275337968554,0.03046974663933118,0.20578320821126303
9028,not_found,reachable,0.4338364005088806,0.011011946946382523,0.35872265696525574,0.6142196655273438,0.47773322463035583,0.3062407672405243,0.5031115404070557,0,3,3,0,0,"{""success"": 3}",0.052661082396904625,0.052661082396904625,1.2371152597996922,0.15508146459857622,0.1889642278353373
9029,candidate_path_found,reachable,0.2811163365840912,0.34624767303466797,0.7542107701301575,0.5904654264450073,0.6074085831642151,0.29847872257232666,0.6095847599380446,0,3,3,0,0,"{""success"": 3}",0.050275118400653206,0.050275118400653206,1.3293078741942994,0.39010578269759816,0.305711567401886
9030,candidate_path_found,reachable,0.6425586342811584,-0.19358918070793152,0.7321867942810059,0.46131715178489685,0.44087809324264526,0.5675142407417297,0.680083999650679,1,3,3,0,0,"{""success"": 3}",0.052256702135006584,0.052256702135006584,1.4961367256327527,0.46700449908773106,0.2538856565952301
9031,candidate_path_found,reachable,0.4482828974723816,0.3775303065776825,0.5327492356300354,0.6191287636756897,0.59727543592453,0.33105817437171936,0.3437375685925634,0,3,3,0,0,"{""success"": 3}",0.05131131907304128,0.05131131907304128,1.33061459991667,0.2234698881705602,0.27457351485888165
9032,candidate_path_found,reachable,0.3073599338531494,0.4296360909938812,0.3339064121246338,0.5064792037010193,-0.5691198110580444,0.48868072032928467,1.0301052965539652,1,3,3,0,0,"{""success"": 3}",0.05336260919769605,0.05336260919769605,0.919853363713302,0.19077232852578163,0.555415670077006
9033,not_found,reachable,0.48766839504241943,0.3526395857334137,0.49874740839004517,0.27848172187805176,0.4723191559314728,0.5485883951187134,0.24610239273614432,0,3,0,3,0,"{""near_goal_regression"": 1, ""near_goal_timeout"": 1, ""nonconvergent_timeout"": 1}",0.2741643860936165,0.11562737325827281,1.1731880214479233,0.05609222128987312,0.17014316469430923
9034,candidate_path_found,reachable,0.6907145977020264,-0.01991754025220871,0.7215651273727417,0.36195823550224304,0.6032282710075378,0.3389355540275574,0.8017461182791723,1,3,3,0,0,"{""success"": 3}",0.05181412150462469,0.05181412150462469,1.5528991665714276,0.4460361773769061,0.36108214656511944
9035,candidate_path_found,reachable,0.48136118054389954,0.24405716359615326,0.23359155654907227,0.6194106340408325,-0.5089532732963562,0.3095458745956421,0.7693188078487158,1,3,3,0,0,"{""success"": 3}",0.05065926909446716,0.05065926909446716,1.1099239649280668,0.08499272167682648,0.5617128014564514
9036,candidate_path_found,reachable,0.5143460035324097,0.05308446288108826,0.44574710726737976,0.22979430854320526,-0.6072130799293518,0.5242010951042175,0.7232686502056044,1,3,3,0,0,"{""success"": 3}",0.05290783941745758,0.05290783941745758,1.1182490950302473,0.10141055285930634,0.4845358331998189
9037,candidate_path_found,reachable,0.3250633180141449,0.31287387013435364,0.2945410907268524,0.3613186180591583,-0.44369077682495117,0.46481892466545105,0.7763369452375898,1,3,3,0,0,"{""success"": 3}",0.05134289090832075,0.05134289090832075,1.1984993957810932,0.2156959312657515,0.36206645766894024
9038,candidate_path_found,reachable,0.32626909017562866,0.14946982264518738,0.312423437833786,0.5720755457878113,-0.618523895740509,0.5097479820251465,0.8301639240781549,1,3,3,0,0,"{""success"": 3}",0.04608601828416189,0.04608601828416189,1.3862882576182358,0.24099121987819672,0.5209574302037557
