step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-0.9162351604025798,0.4078768491744995,0.5667107105255127,0.2632153034210205,0.34817323088645935,0.35,3,0,0,0,0.45459556579589844,9.091911315917969,181.83822631835938,0.5255528688430786,1.0,0.11309950979490108,0,0,0,0,0.11309950979490108,0.0,filtered,0.07562084004482113,0,0,12,joint_2_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.11309950979490108,0.421443911|0.43644391|0.246126441|0.11309951|0.121109401|0.128280374,0.541443911|0.55644391|0.366126441|0.23309951|0.241109401|0.248280374,0.541443911|0.55644391|0.366126441|0.23309951|0.241109401|0.248280374,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0779360233|0.0706051879|0.0621880401|0.0103138457,1.68577564|1.74577564|1.06244179|0.523003227|0.546625645|0.523435342,0.350882173|0.538490772|0.391462982,0.0739046708|-0.259192854|-0.00900880247,0.0019183121621608734
1,0.1,-0.7172780598317615,0.38083988428115845,0.5512617826461792,0.2570725679397583,0.3319360315799713,0.35,3,0,0,0,0.8585363030433655,8.209610939025879,45.98826217651367,0.8585357069969177,1.0,0.10336591709287835,0,0,0,0,0.11309950979490108,0.0,filtered,9.888854427571504e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.10336591709287835,0.41385299|0.42885299|0.23883922|0.103365917|0.111650638|0.118296412,0.53385299|0.54885299|0.35883922|0.223365917|0.231650638|0.238296412,0.53385299|0.54885299|0.35883922|0.223365917|0.231650638|0.238296412,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.144807558|0.135561588|0.119868813|0.0179799714,1.65541196|1.71541196|1.10016444|0.549025256|0.566471363|0.491165618,0.354577541|0.525531054|0.391012371,0.0739046708|-0.259192854|-0.00900880247,0.0018110685050487518
2,0.15000000000000002,-0.55875847074317,0.36284035444259644,0.530701756477356,0.253791868686676,0.3094263970851898,0.35,3,0,0,0,1.1169204711914062,5.205649375915527,60.64459228515625,1.1169195175170898,1.0,0.09705374469823208,0,0,0,0,0.11309950979490108,0.0,filtered,1.6615092554752402e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.09705374469823208,0.406447055|0.421447055|0.235150817|0.0970537447|0.105259632|0.108864123,0.526447055|0.541447055|0.355150817|0.217053745|0.225259632|0.228864123,0.526447055|0.541447055|0.355150817|0.217053745|0.225259632|0.228864123,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.188216565|0.189984331|0.171628745|0.040453994,1.62578822|1.68578822|1.12881983|0.57819931|0.592667271|0.475910487,0.35827291|0.512571335|0.390561759,0.0739046708|-0.259192854|-0.00900880247,0.0018004551529884338
3,0.2,-0.4879586276986882,0.3224760890007019,0.5107880234718323,0.24945922195911407,0.2651926577091217,0.35,5,0,0,0,1.156044363975525,4.605348110198975,130.4000244140625,1.1560437679290771,1.0,0.09363365000523277,0,0,0,0,0.11309950979490108,0.0,filtered,1.2143318881403525e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.09363365000523277,0.399232293|0.414232293|0.233947099|0.09363365|0.101594828|0.100623785,0.519232293|0.534232293|0.353947099|0.21363365|0.221594828|0.220623785,0.519232293|0.534232293|0.353947099|0.21363365|0.221594828|0.220623785,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.214459886|0.235818826|0.218204004|0.092570949,1.59692917|1.65692917|1.15024828|0.610353426|0.624583315|0.495066088,0.361968279|0.499611616|0.390111148,0.0739046708|-0.259192854|-0.00900880247,0.0018072538077831268
4,0.25,-0.45941729200960546,0.29319876432418823,0.4929034411907196,0.24573086202144623,0.23260575532913208,0.35,5,0,0,0,1.127478837966919,4.725890159606934,57.31602478027344,1.126313328742981,1.0,0.09235410855533943,0,0,0,0,0.11309950979490108,0.0,filtered,0.02539962683454384,0,0,12,joint_2_acceleration_upper,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.09235410855533943,0.392215001|0.407215001|0.234333384|0.0923541086|0.100012724|0.0946107884,0.512215001|0.527215001|0.354333384|0.212354109|0.220012724|0.214610788,0.512215001|0.527215001|0.354333384|0.212354109|0.220012724|0.214610788,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.227442056|0.259816831|0.243048823|0.131637447,1.56886|1.62886|1.16477559|0.629233265|0.643099717|0.510080601,0.365663648|0.486651897|0.389660537,0.0739046708|-0.259192854|-0.00900880247,0.0021805427968502045
5,0.30000000000000004,-0.4249961538031175,0.2817712128162384,0.47562241554260254,0.24267716705799103,0.21811434626579285,0.35,5,0,0,0,1.0976396799087524,4.301207065582275,76.9691162109375,1.097002387046814,1.0,0.09011614675757745,0,0,0,0,0.11309950979490108,0.0,filtered,0.00827429742025208,0,0,12,joint_4_acceleration_lower,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.09011614675757745,0.38540157|0.400401559|0.235658195|0.0921374109|0.0994336602|0.0901161468,0.50540157|0.520401559|0.355658195|0.212137411|0.21943366|0.210116147,0.50540157|0.520401559|0.355658195|0.212137411|0.21943366|0.210116147,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.230689455|0.267220899|0.251330796|0.152133007,1.54160628|1.60160623|1.17332224|0.635770543|0.649065437|0.512597594,0.369359016|0.473692179|0.389209926,0.0739046708|-0.259192854|-0.00900880247,0.002454405650496483
6,0.35000000000000003,-0.4037259244032368,0.30497950315475464,0.45775291323661804,0.23917411267757416,0.238030344247818,0.35,5,0,0,0,1.0672687292099,3.635936737060547,43.4487190246582,1.0672683715820312,1.0,0.08632001193716071,0,0,0,0,0.11309950979490108,0.0,filtered,7.428713391569298e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.08632001193716071,0.378798472|0.393798472|0.237479186|0.0922863855|0.0991696938|0.0863200119,0.498798472|0.513798472|0.357479186|0.212286385|0.219169694|0.206320012,0.498798472|0.513798472|0.357479186|0.212286385|0.219169694|0.206320012,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.225648265|0.256827563|0.241283651|0.149458424,1.51519389|1.57519389|1.17556501|0.625973105|0.637962426|0.494738472,0.373054385|0.46073246|0.388759315,0.0739046708|-0.259192854|-0.00900880247,0.0024054143577814102
7,0.4,-0.40814432393562244,0.36330538988113403,0.43879902362823486,0.23428349196910858,0.29237186908721924,0.35,5,0,0,0,0.9761043787002563,3.0327887535095215,75.79700469970703,0.9761043787002563,1.0,0.08214569891797491,0,0,0,0,0.11309950979490108,0.0,filtered,4.4890103274414094e-08,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.08214569891797491,0.372412244|0.387412244|0.239381939|0.0920213743|0.0984221729|0.0821456989,0.492412244|0.507412244|0.359381939|0.212021374|0.218422173|0.202145699,0.492412244|0.507412244|0.359381939|0.212021374|0.218422173|0.202145699,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.213305441|0.237963876|0.222562826|0.128045745,1.48964898|1.54964898|1.1708332|0.606049374|0.616251518|0.456628541,0.376749754|0.447772741|0.388308704,0.0739046708|-0.259192854|-0.00900880247,0.0025020642206072807
8,0.45,-0.4354537563501538,0.44798797369003296,0.4184938967227936,0.22705872356891632,0.3718026876449585,0.35,5,0,0,0,0.8623558282852173,5.180524826049805,65.5615234375,0.8621935248374939,0.9588536481144848,0.07670829184915878,0,0,0,0,0.11309950979490108,0.0,filtered,0.0023943288318233795,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07670829184915878,0.366249469|0.381249469|0.241033562|0.0909958656|0.0968428889|0.0767082918,0.486249469|0.501249469|0.361033562|0.210995866|0.216842889|0.196708292,0.486249469|0.501249469|0.361033562|0.210995866|0.216842889|0.196708292,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.190675402|0.209018659|0.19455738|0.0874787889,1.46499788|1.52499788|1.15480965|0.573002121|0.581928935|0.394311956,0.380445123|0.434813023|0.387858093,0.0739046708|-0.259192854|-0.00900880247,0.002081930637359619
9,0.5,-0.47432190055657664,0.5054326057434082,0.3990000784397125,0.21854089200496674,0.42331355810165405,0.35,5,0,0,0,0.7820310592651367,3.709311008453369,47.958770751953125,0.7820310592651367,0.8640015837182254,0.06912012669745804,0,0,0,0,0.11309950979490108,0.0,passthrough,9.76704941076669e-10,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06912012669745804,0.360316753|0.375316753|0.242066772|0.0888037155|0.0940763453|0.0691201267,0.480316753|0.495316753|0.362066772|0.208803716|0.214076345|0.189120127,0.480316753|0.495316753|0.362066772|0.208803716|0.214076345|0.189120127,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.160416921|0.185108581|0.174097733|0.0686995455,1.44126701|1.50126701|1.12868401|0.540323443|0.550403114|0.345180052,0.384140491|0.421853304|0.387407482,0.0739046708|-0.259192854|-0.00900880247,0.002320054918527603
