step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
11,0.6000000000000001,-0.3408010578762788,0.07967308163642883,0.4650348722934723,0.39846178889274597,0.07252838462591171,0.35,2,0,0,0,0,,,nan,0,0.7708920240402222,0.5935928821563721,15.110700607299805,0.7708920240402222,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.6941118501180765e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2261132959932297,0.475143576|0.246747736|0.226113296|0.286126122|0.319307287|0.322307287,0.625143576|0.396747736|0.376113296|0.436126122|0.469307287|0.472307287,0.595143576|0.366747736|0.346113296|0.406126122|0.439307287|0.442307287,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0704095716|0.167782598|0.267769273|0.23002139|0,-0.0632204178|-0.119922109|-0.141213652|-0.145545522|-0.127250119|0,1.83735388|0.937478407|0.93102213|1.26672824|1.38000042|1.28922915,0.289328039|0.500190496|0.613009453,0.0726079196|-0.145154759|-0.00199129619,0.005031950771808624,0.0015542637556791306,0.001465432345867157,0.0019774790853261948
12,0.65,-0.33048373737047343,0.08015085756778717,0.45585185289382935,0.3992219865322113,0.07289042323827744,0.35,2,0,0,0,0,,,nan,0,0.7604308724403381,0.5040379166603088,8.179301261901855,0.7604308724403381,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.628830736376408e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2273777190402143,0.472019054|0.244360334|0.227377719|0.292225659|0.324416346|0.327416346,0.622019054|0.394360334|0.377377719|0.442225659|0.474416346|0.477416346,0.592019054|0.364360334|0.347377719|0.412225659|0.444416346|0.447416346,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0719796309|0.160286279|0.261000096|0.224209396|0,-0.0617605569|-0.11954139|-0.139872501|-0.145233718|-0.126954188|0,1.82631566|0.929879577|0.929924654|1.28466901|1.39492059|1.30966539,0.292958319|0.492932796|0.612910032,0.0726079196|-0.145154759|-0.00199129619,0.004957430996000767,0.001518196426331997,0.0014360472559928894,0.001970885321497917
13,0.7000000000000001,-0.32411599374947514,0.08089802414178848,0.4471477270126343,0.39963051676750183,0.07352542877197266,0.35,2,0,0,0,0,,,nan,0,0.7511006593704224,0.3171107769012451,6.775802135467529,0.7511006593704224,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.588640664183957e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.22834307470120885,0.468967968|0.242066237|0.228343075|0.298001579|0.329249793|0.332249784,0.618967968|0.392066237|0.378343075|0.448001579|0.479249793|0.482249784,0.588967968|0.362066237|0.348343075|0.418001579|0.449249793|0.452249784,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0726002199|0.151761802|0.251869951|0.215266194|0,-0.0602829583|-0.11912203|-0.138488372|-0.144924456|-0.126653201|0,1.81558891|0.921743137|0.926645729|1.29895181|1.40561217|1.32899914,0.2965886|0.485675097|0.612810612,0.0726079196|-0.145154759|-0.00199129619,0.005088916048407555,0.0016025425866246223,0.001450556330382824,0.0020047705620527267
14,0.75,-0.322593905019287,0.08187408745288849,0.4390973150730133,0.39969250559806824,0.07439069449901581,0.35,2,0,0,0,0,,,nan,0,0.7428731918334961,0.37852704524993896,4.835331439971924,0.7428731918334961,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.524469772003332e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2289610974331444,0.465991202|0.239818903|0.228961097|0.303336164|0.333652521|0.336652521,0.615991202|0.389818903|0.378961097|0.453336164|0.483652521|0.486652521,0.585991202|0.359818903|0.348961097|0.423336164|0.453652521|0.456652521,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0724097386|0.143337606|0.242646331|0.205617076|0,-0.0587877682|-0.118657017|-0.137074568|-0.144614342|-0.126336322|0,1.80517704|0.913028335|0.922107428|1.31137664|1.41389084|1.34661008,0.30021888|0.478417397|0.612711191,0.0726079196|-0.145154759|-0.00199129619,0.004969586618244648,0.001533198170363903,0.0014651939272880554,0.0019427482038736343
15,0.8,-0.32224996009957974,0.08284297585487366,0.4316902160644531,0.3994719088077545,0.07524982839822769,0.35,2,0,0,0,0,,,nan,0,0.7364189624786377,0.4677724540233612,4.669044017791748,0.7364189624786377,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.4413140672158915e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.22923718662197468,0.463089631|0.237580437|0.229237187|0.30822494|0.337589439|0.340589439,0.613089631|0.387580437|0.379237187|0.45822494|0.487589439|0.490589439,0.583089631|0.357580437|0.349237187|0.42822494|0.457589439|0.460589439,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0721858841|0.136193684|0.235285046|0.197704448|0,-0.0572751529|-0.118148215|-0.135628491|-0.144279382|-0.125970773|0,1.79508337|0.904359416|0.917513939|1.32390542|1.42209143|1.36235776,0.303849161|0.471159697|0.612611771,0.0726079196|-0.145154759|-0.00199129619,0.004864356480538845,0.001491527073085308,0.0014259377494454384,0.001915263943374157
16,0.8500000000000001,-0.3209508509736818,0.08367200195789337,0.4248186945915222,0.3990415632724762,0.07597129046916962,0.35,2,0,0,0,0,,,nan,0,0.7324369549751282,0.49385198950767517,3.146775960922241,0.7324369549751282,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.377698287834312e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.22923561882665922,0.460264122|0.23535297|0.229235619|0.312763151|0.341148834|0.344148834,0.610264122|0.38535297|0.379235619|0.462763151|0.491148834|0.494148834,0.580264122|0.35535297|0.349235619|0.432763151|0.461148834|0.464148834,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0723769589|0.130489722|0.229893598|0.191708655|0,-0.0557452996|-0.117606212|-0.13414822|-0.143909845|-0.125549115|0,1.78531119|0.896182627|0.913283978|1.33703636|1.43075488|1.37659534,0.307479441|0.463901997|0.61251235,0.0726079196|-0.145154759|-0.00199129619,0.00485637690871954,0.0014690728858113289,0.0014347704127430916,0.0019208043813705444
17,0.9,-0.31928939915887955,0.08441359549760818,0.41841432452201843,0.3984431326389313,0.07660846412181854,0.35,2,0,0,0,0,,,nan,0,0.7298082709312439,0.3656635284423828,2.83493709564209,0.7298082709312439,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.359268584475048e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.22902896265667394,0.457515532|0.233160268|0.229028963|0.317051237|0.344429497|0.347429497,0.607515532|0.383160268|0.379028963|0.467051237|0.494429497|0.497429497,0.577515532|0.353160268|0.349028963|0.437051237|0.464429497|0.467429497,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0728157507|0.125588328|0.225372239|0.186603698|0,-0.0541984162|-0.117039813|-0.132635567|-0.1435109|-0.125083043|0,1.77586371|0.888417009|0.909068611|1.35006629|1.43923864|1.38971799,0.311109722|0.456644297|0.61241293,0.0726079196|-0.145154759|-0.00199129619,0.004886250011622906,0.0014970535412430763,0.001422705128788948,0.0019356384873390198
18,0.9500000000000001,-0.32076211766138735,0.0853462964296341,0.4125787317752838,0.39654237031936646,0.07743803411722183,0.35,1,0,0,0,0,,,nan,0,0.7272052764892578,0.37511125206947327,1.9683219194412231,0.7272052764892578,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.363487433115437e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2286584248494148,0.454844706|0.231016547|0.228658425|0.321134265|0.347479004|0.350479004,0.604844706|0.381016547|0.378658425|0.471134265|0.497479004|0.500479004,0.574844706|0.351016547|0.348658425|0.441134265|0.467479004|0.470479004,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0726084038|0.12017615|0.219804239|0.180332608|0,-0.0526347321|-0.116451303|-0.131093874|-0.143088087|-0.124581434|0,1.76674409|0.880223288|0.903715976|1.36125321|1.44566719|1.40191601,0.314740002|0.449386597|0.612313509,0.0726079196|-0.145154759|-0.00199129619,0.004861598834395409,0.0014975974336266518,0.0014442689716815948,0.0018875915557146072
19,1.0,-0.32493495956761764,0.08644334971904755,0.40738677978515625,0.3943173885345459,0.07843178510665894,0.35,1,0,0,0,0,,,nan,0,0.724991500377655,0.43323183059692383,1.4380820989608765,0.724991500377655,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.368816502558561e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.22810004063526212,0.452252479|0.228890198|0.228100041|0.324961552|0.350241278|0.353241278,0.602252479|0.378890198|0.378100041|0.474961552|0.500241278|0.503241278,0.572252479|0.348890198|0.348100041|0.444961552|0.470241278|0.473241278,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0718838244|0.114507241|0.21358123|0.173257558|0,-0.0510544983|-0.115839334|-0.129529699|-0.142631437|-0.124029661|0,1.75795542|0.871605283|0.897377705|1.370796|1.45019301|1.41296511,0.318370283|0.442128897|0.612214088,0.0726079196|-0.145154759|-0.00199129619,0.004967355169355869,0.0015379972755908966,0.0014240890741348267,0.0019733039662241936
20,1.05,-0.3303937274896569,0.08761237561702728,0.40284210443496704,0.39207345247268677,0.0794966071844101,0.35,1,0,0,0,0,,,nan,0,0.7236876487731934,0.4688919186592102,1.095621943473816,0.7236876487731934,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.383249403037023e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.22675632474060725,0.44973967|0.226756325|0.227341906|0.328502128|0.352678921|0.355678921,0.59973967|0.376756325|0.377341906|0.478502128|0.502678921|0.505678921,0.56973967|0.346756325|0.347341906|0.448502128|0.472678921|0.475678921,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0709613258|0.109065943|0.20754128|0.16635968|0,-0.049457988|-0.115203084|-0.127948716|-0.142132347|-0.123415975|0,1.74950069|0.86278354|0.890484853|1.37941744|1.45365939|1.42271568,0.322000563|0.434871197|0.612114668,0.0726079196|-0.145154759|-0.00199129619,0.005067083053290844,0.0015903664752840996,0.0013967547565698624,0.0020433589816093445
21,1.1,-0.33428525799808373,0.08899997174739838,0.39879676699638367,0.38977938890457153,0.08077852427959442,0.35,1,0,0,0,0,,,nan,0,0.7214183807373047,0.48618319630622864,3.6439523696899414,0.7231597304344177,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,0.008706632316685671,0,1,12,workspace_z_lower,workspace_z_lower,0,0,1,solved,osqp,9.485628189864759e-08,valid,0.22460651651942742,0.447307088|0.224606517|0.226395863|0.331767641|0.3548042|0.3578042,0.597307088|0.374606517|0.376395863|0.481767641|0.5048042|0.5078042,0.567307088|0.344606517|0.346395863|0.451767641|0.4748042|0.4778042,0.15|0.15|0.15|0.15|0.15|0.15,0|0.069489624|0.102716672|0.198179963|0.156340081|0,-0.0478454961|-0.114545813|-0.126355703|-0.141587152|-0.122737154|0,1.74138285|0.853369877|0.881944423|1.38366337|1.45281973|1.4312168,0.325630844|0.427613497|0.612015247,0.0726079196|-0.145154759|-0.00199129619,0.005095304921269417,0.0015928968787193298,0.0014707474038004875,0.0019957777112722397
22,1.1500000000000001,-0.33320447571743445,0.09088809788227081,0.3949267864227295,0.3873603940010071,0.08255860209465027,0.35,1,0,0,0,0,,,nan,0,0.7163920402526855,0.6457158327102661,8.353937149047852,0.7227086424827576,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,0.03491820208119482,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,3.61485352734503e-07,valid,0.22241262273928042,0.444955522|0.222412623|0.225218155|0.334594719|0.356464889|0.359464889,0.594955522|0.372412623|0.375218155|0.484594719|0.506464889|0.509464889,0.564955522|0.342412623|0.345218155|0.454594719|0.476464889|0.479464889,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0667194328|0.0940807135|0.18084119|0.13886335|0,-0.0462173401|-0.113846441|-0.124775112|-0.141027875|-0.122030533|0,1.73360475|0.842523483|0.87017822|1.37819219|1.44269237|1.43785955,0.329261124|0.420355797|0.611915827,0.0726079196|-0.145154759|-0.00199129619,0.005026416853070259,0.001463642343878746,0.001520317979156971,0.002005954273045063
23,1.2000000000000002,-0.3330646615388858,0.09278392046689987,0.3912643790245056,0.38482803106307983,0.08434450626373291,0.35,1,0,0,0,0,,,nan,0,0.7152343392372131,0.5333446264266968,3.622114896774292,0.7230263948440552,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,0.04872307970677285,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,5.08846710836619e-07,valid,0.22010811007544462,0.442685748|0.22010811|0.223695453|0.336583676|0.357290807|0.360290807,0.592685748|0.37010811|0.373695453|0.486583676|0.507290807|0.510290807,0.562685748|0.34010811|0.343695453|0.456583676|0.477290807|0.480290807,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0640282129|0.0868868835|0.166031895|0.123728506|0,-0.0445738601|-0.113047835|-0.123251842|-0.140528586|-0.121378557|0,1.72616913|0.831412818|0.858416853|1.37183801|1.43151318|1.44116323,0.332891405|0.413098097|0.611816406,0.0726079196|-0.145154759|-0.00199129619,0.004945850931107998,0.0014834236353635788,0.001470005139708519,0.0019584251567721367
24,1.25,-0.33348752375847224,0.0946103036403656,0.38782185316085815,0.3822062611579895,0.08606000989675522,0.35,1,0,0,0,0,,,nan,0,0.7192151546478271,0.5577282905578613,4.664895534515381,0.727440357208252,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,0.058294083465324234,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,6.090877127939986e-07,valid,0.21770374665686498,0.440498522|0.217703747|0.221894688|0.337857656|0.357395226|0.360395197,0.590498522|0.367703747|0.371894688|0.487857656|0.507395226|0.510395197,0.560498522|0.337703747|0.341894688|0.457857656|0.477395226|0.480395197,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0616523655|0.0811316388|0.154041906|0.110908715|0,-0.0429154179|-0.112155758|-0.121768253|-0.140070152|-0.120758603|0,1.71907867|0.820311594|0.846942137|1.36540238|1.41973102|1.44158079,0.336521685|0.405840397|0.611716986,0.0726079196|-0.145154759|-0.00199129619,0.005042640492320061,0.0015168935060501099,0.0014617173001170158,0.0020289346575737
