step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.6731109118187448,0.1404210329055786,0.2994077503681183,0.3680638372898102,0.09591089189052582,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.48171404004096985,9.63428020477295,192.68560791015625,1.3449963331222534,1.3449963331222534,0.3036935902809086,0.2994077503681183,0.004285839912790301,0.42639288305064627,0.12659599056046528,0.3997184098680773,0.08589631568031256,0.31382209418776474,0.3997184068836672,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,0.9796235654684025,1.3449963331222534,0.0,1.0,0.1967397704749444,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,0.9193258600788079,0,0,12,joint_4_acceleration_upper|joint_5_acceleration_upper,workspace_z_lower,,,0,0,1,solved,osqp,0.0,valid,0.1967397704749444,0.8888786198500727,0|0|0|0|0|0,,,,,,,,,,0.009568974957801402,0.0024815239012241364,0.001214712974615395,0.0016840070020407438
1,0.1,-0.9937441250322638,0.25275248289108276,0.2888234853744507,0.3606005609035492,0.19283759593963623,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.8406468033790588,8.00809097290039,111.7549819946289,1.3321157693862915,1.3321157693862915,0.2994077522205646,0.2888234853744507,0.01058426684611391,0.4295563306805596,0.24263495810681743,0.4046036948422285,0.21380220335550673,0.1908014914867218,0.4046036973455258,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,0.6835155140867182,filtered,0,0,1,0,0,0,1,2,1.0,0.9008869606297055,1.3321157693862915,0.0,1.0,0.1841419137007529,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,0.5269627987748802,0,0,12,joint_0_acceleration_upper|joint_3_acceleration_upper|joint_4_acceleration_upper|joint_5_acceleration_upper,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.1841419137007529,0.8903565681855448,0|0.0884613256|0.111913649|0.123174381|0.127165687|0.127165687,,,,,,,,,,0.009615246090106666,0.0025682910345494747,0.001174021977931261,0.0016754039097577333
2,0.15000000000000002,-1.4017481773751501,0.3895394802093506,0.2716608941555023,0.3483045697212219,0.2987414300441742,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1551785469055176,7.012571334838867,61.563880920410156,1.313177466392517,1.313177466392517,0.2888234907208638,0.2716608941555023,0.017162596565361454,0.4317191666704613,0.3683077217479536,0.4093149223867638,0.3456135426440293,0.06370137974273449,0.4093149299635945,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,0.39558333508629884,filtered,0,0,1,0,0,0,1,2,1.0,0.7704447195059783,1.313177466392517,0.0,1.0,0.16327115512095652,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,0.17320376016548206,0,0,12,,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.16327115512095652,0.8897521490601549,0|0.0996911822|0.186531098|0.214960721|0.243096425|0.243096425,,,,,,,,,,0.009949158993549645,0.002560463035479188,0.0013603050028905272,0.0016832560067996383
3,0.2,-1.65365972298364,0.4724036753177643,0.2514287233352661,0.33352842926979065,0.3532768189907074,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2506511211395264,4.232364177703857,103.92796325683594,1.2506511211395264,1.2506511211395264,0.2716608942175076,0.2514287233352661,0.020232170882241496,0.4199963263742748,0.4199963255575838,0.4047940435832205,0.40479404120526574,2.377954777532665e-09,0.4047940436756128,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,0.13189668921238581,filtered,0,0,1,0,0,0,1,2,1.0,0.601941459852198,1.2506511211395264,0.0,1.0,0.1363106335763517,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,3.5676072955346985e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.1363106335763517,0.8870053228890036,0|0.110067174|0.27543481|0.315916462|0.367891993|0.367891993,,,,,,,,,,0.009870081907138228,0.002757756970822811,0.0012026190524920821,0.001603935961611569
4,0.25,-1.5443289322844738,0.4266324043273926,0.23610295355319977,0.32280659675598145,0.31649062037467957,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1235878467559814,4.662576198577881,122.8416976928711,1.1149847507476807,1.1149847507476807,0.2514287262483303,0.23610295355319977,0.015325772695130524,0.3013052534915834,0.3127885004823748,0.294778172206831,0.30594623999824266,-0.011168067791411662,0.29477817562214387,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,2.852599925936248e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.43931107867571806,1.1149847507476807,0.0,1.0,0.1102897725881149,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,0.020869150419792752,0,0,12,joint_0_acceleration_lower|joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.1102897725881149,0.8825260396194489,0|0.105573507|0.315609604|0.354552293|0.418381927|0.418381927,,,,,,,,,,0.010645862086676061,0.0027310969308018684,0.0013190759345889091,0.0018998458981513977
5,0.30000000000000004,-1.5663333627773863,0.4290699064731598,0.2222762107849121,0.31245896220207214,0.314321905374527,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.098980188369751,1.1030818223953247,71.98609161376953,1.098980188369751,1.098980188369751,0.2361029469702863,0.2222762107849121,0.013826736185374194,0.2824932689184361,0.2824932499489584,0.2773951625910279,0.2773951418733085,2.0717719428908765e-08,0.2773951548568242,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,0.0187169828159519,filtered,0,0,1,0,0,0,1,2,1.0,0.4351786448348742,1.098980188369751,0.0,1.0,0.10962858317357987,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,4.8060858360461386e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.10962858317357987,0.8773142953113598,2.62427723e-17|0.0739733226|0.226129721|0.249885583|0.310728654|0.310728654,,,,,,,,,,0.010737342992797494,0.003438252955675125,0.0012626979732885957,0.0017095539951696992
6,0.35000000000000003,-1.5539388207995515,0.4199092984199524,0.21036089956760406,0.30143362283706665,0.30455446243286133,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.0656605958938599,1.6547292470932007,12.21806526184082,1.0656605958938599,1.0656605958938599,0.22227620523670516,0.21036089956760406,0.011915305669101095,0.24225581567904544,0.24225579638766026,0.2393120149373815,0.23931199435899164,2.057838985325411e-08,0.23931200896394608,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,4.373223363721945e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.3818937821361944,1.0656605958938599,0.0,1.0,0.1011030051417911,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,5.029434586985669e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.1011030051417911,0.8719224613466627,0|0.0671669519|0.204334415|0.222680211|0.280388669|0.280388669,,,,,,,,,,0.010112895048223436,0.0026053140172734857,0.0012422750005498528,0.002020154963247478
7,0.4,-1.5627711702596845,0.41846877336502075,0.19974860548973083,0.29159805178642273,0.3008827269077301,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.046743631362915,1.0879311561584473,11.335962295532227,1.046743631362915,1.046743631362915,0.21036090390791518,0.19974860548973083,0.01061229841818434,0.21513783235256195,0.2151378126552487,0.21333277408752524,0.21333275350903388,2.0578491355394135e-08,0.2133327784891541,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,4.719546360599977e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.3469001797672787,1.046743631362915,0.0,1.0,0.09550402876276459,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,5.226986953564193e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.09550402876276459,0.866234879071792,9.69301399e-18|0.0559303739|0.171194714|0.184551986|0.240053908|0.240053908,,,,,,,,,,0.010547246900387108,0.0028989880811423063,0.0012509329244494438,0.001775404904037714
8,0.45,-1.563595191669208,0.41492706537246704,0.1903761923313141,0.28288179636001587,0.29603174328804016,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.0312918424606323,1.0206754207611084,1.345118522644043,1.0312918424606323,1.0312918424606323,0.19974859952665264,0.1903761923313141,0.00937240719533855,0.18964674895505917,0.18964672880447772,0.18860827340989036,0.18860825284830146,2.0561588903733607e-08,0.18860826777938355,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,4.993569386955221e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.30914417787546133,1.0312918424606323,0.0,1.0,0.08946306846007382,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,5.3588375033996654e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.08946306846007382,0.8603278262592265,5.18251194e-19|0.0485279414|0.149252664|0.15945878|0.21288449|0.21288449,,,,,,,,,,0.010197016992606223,0.0027606800431385636,0.0012855479726567864,0.0016308070626109838
9,0.5,-1.568641421074696,0.4131825566291809,0.1820196956396103,0.27507442235946655,0.29281705617904663,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.0206663608551025,0.8111461400985718,4.190584182739258,1.0206663608551025,1.0206663608551025,0.1903761993272002,0.1820196956396103,0.008356503687589917,0.1690048835355275,0.16900485484377475,0.16833453300572684,0.1683345044347367,2.8570990157072984e-08,0.16833453919163283,0,0,disabled,0.0,1,TRACK,direct_path,0,0.6787637009983882,0.6787637009983882,18,1,1,1,6,1.9883905081879931,0.12613558769226074,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 47, 'obstacle_contact': 0, 'self_collision': 0}",0.0003839387944672989,65,65,nan,nan,5.196237653362636e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.2771967326113108,1.0206663608551025,0.0,1.0,0.08435147721780972,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,5.384720768064465e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.08435147721780972,0.8542179491774593,0|0.0414642617|0.128039241|0.135790021|0.187332488|0.187332488,,,,,,,,,,0.010691783973015845,0.0029148709727451205,0.001384309958666563,0.0017412180313840508
