step,total_steps,episode,reset_seed,reset_source,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,lambda,alpha,loss_actor,loss_actor_anchor,loss_reward_q,loss_cost_q,replay_size
740500,860000,1781,9140,focused,34,-0.21472235585799587,0.1482725292444229,-7.275949720365318,6.0204524248838425,0.1482725292444229,0.27860793471336365,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,500
741000,860000,1783,160796057,random,54,-0.4014253701938371,0.20953069627285004,-27.00928963376092,13.739466369152069,0.20953069627285004,0.23327846825122833,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,1000
741500,860000,1796,9091,focused,2,-0.0734547834482823,0.10755077004432678,-0.19953931818563328,0.20712538063526154,0.10755077004432678,0.516769528388977,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,1500
742000,860000,1798,9157,focused,240,-0.09947229358955437,0.019108803942799568,-11.195813043423549,5.37762158177793,0.019108803942799568,0.694325864315033,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,2000
742500,860000,1805,379776635,random,177,-8.886680832673303,3.800000011920929,-223.07611036859382,67.3314398266375,0.800000011920929,0.10148169845342636,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,2500
743000,860000,1819,9118,focused,122,-0.06935453504690764,0.03271522745490074,-5.496006097908038,4.202051740139723,0.03271522745490074,0.5203900933265686,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,3000
743500,860000,1824,2138597325,random,182,-0.4368289312406387,0.1692660003900528,-75.59109053456073,35.664809718728065,0.1692660003900528,0.2610618770122528,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,3500
744000,860000,1837,1303036522,random,8,-0.3669990245370969,0.2722581923007965,-3.7583301178216972,2.242658168077469,0.2722581923007965,0.2843199074268341,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,4000
744500,860000,1842,9199,focused,201,-0.2903332371302899,0.15376503765583038,-70.33838294204396,31.84982916712761,0.15376503765583038,0.278217077255249,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,4500
745000,860000,1846,1635449869,random,192,-0.6944528949905182,0.12247001379728317,-119.41009578062385,19.406167328357697,0.12247001379728317,0.3089047074317932,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009329927153885365,nan,nan,nan,nan,5000
