episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
26,5415,-152.64200602134528,32.268791411072016,240,0,0,0.0,0.1405729055404663,0.12336826411386331,0.6208333333333333,0.056641487782370686,0.0,0.0,0.0,0.0,0.005256049703238119,0.0033432562680294118,0.0,0.05888510122895241
27,5655,-236.10688127450086,91.36976346373558,240,0,0,0.0,0.12113095074892044,0.34979436880288023,0.7958333333333333,0.13149544709651798,0.004166666666666667,0.0,0.004166666666666667,0.0,0.00020241850819044394,0.004951938858721405,0.0,0.05539194867014885
28,5895,-201.73108023402577,68.42351586744189,240,0,0,0.0,0.13853757083415985,0.2596099334768951,0.5458333333333333,0.0339383761195294,0.0,0.0,0.0,0.0,0.017147866412699386,0.004045493485561261,0.0,0.05212850123643875
29,6135,-111.15426860764136,53.24290184676647,240,0,0,0.0,0.14733797311782837,0.2090207908457766,0.42916666666666664,0.029999247303894673,0.0,0.0,0.0,0.0,0.022431312640692258,0.0036277753417380152,0.0,0.04908863827586174
30,6375,-140.7331534828887,86.31356492638588,240,0,0,0.0,0.1223994717001915,0.33825528199474014,0.775,0.09753923211527565,0.0,0.0,0.0,0.0,0.0010472409583457687,0.0069280376541428264,0.0,0.04623652994632721
31,6393,-20.885289987018364,17.401395797729492,18,0,1,0.0,0.14351660013198853,0.4490332371658749,0.7222222222222222,0.12270857101085543,0.2777777777777778,0.0,0.2777777777777778,0.05555555555555555,-0.0022422532244006643,0.03489950288914972,0.0,0.046030763536691666
32,6633,-385.2590501729201,75.66560299694538,240,0,0,0.0,0.1301230639219284,0.2915169965631018,0.8833333333333333,0.1322320485960964,0.0,0.0,0.0,0.0,0.00033263955009965596,0.0042669604493615525,0.0,0.04334193095564842
33,6860,-97.31006939792573,87.89774062857032,227,1,0,0.0,0.12133928388357162,0.3556558184473394,0.6431718061674009,0.08503973876968146,0.0,0.0,0.0,0.01762114537444934,-0.003277050888736144,0.003723214253258075,0.0,0.04097045212984085
34,7020,-170.662536270438,94.93305519223213,160,0,1,0.06875,-0.002042150590568781,0.30148118641227484,0.69375,0.12685025717342524,0.0875,0.00625,0.08125,0.08125,-0.14316560123543676,0.023815541079966352,0.0,0.03940257430076599
35,7260,-178.77662707056896,101.488943554461,240,0,0,0.058333333333333334,0.06820563226938248,0.23011911693029105,0.55,0.08154024581394377,0.058333333333333334,0.0,0.058333333333333334,0.07083333333333333,-0.05181032459651469,0.014217623738416781,0.0,0.037193842232227325
36,7261,19.64700045659158,0.19799548387527466,1,1,0,0.0,0.4162890613079071,0.17700675129890442,1.0,0.04382064666952531,0.0,0.0,0.0,0.0,0.27060063800567546,0.00427154079079628,0.0,0.03718490153551102
37,7361,-72.56331648826742,52.87721686065197,100,0,1,0.0,0.1221662387251854,0.426447311937809,0.64,0.04633237363846322,0.0,0.0,0.0,0.0,0.002166251020367105,0.003929655160754919,0.0,0.03631633520126343
38,7601,-152.66940643271323,73.68307814374566,240,0,0,0.0,0.13160838186740875,0.2903592149106165,0.5833333333333334,0.07172989150897456,0.0,0.0,0.0,0.0,0.006869996479842433,0.003310039992599438,0.0,0.034379202872514725
39,7841,-72.08749713405994,46.90214425325394,240,0,0,0.0,0.147238090634346,0.18815623465925455,0.3625,0.03666803310650789,0.0,0.0,0.0,0.0,0.027238047665391396,0.003678325288152943,0.0,0.03262164443731308
40,8081,-97.2155189132373,62.13339688628912,240,0,0,0.0,0.14432184398174286,0.2515360996204739,0.4875,0.04996935868468288,0.0,0.0,0.0,0.0,0.024321852060403104,0.003424569743219763,0.0,0.030987920239567757
41,8321,-180.66775188230358,68.95440772548318,240,0,0,0.0,0.14099378883838654,0.2591279363570114,0.525,0.07818529127145267,0.0,0.0,0.0,0.0,0.0007049774972474054,0.0033662996953353285,0.0,0.02951343171298504
42,8561,-145.22913463884274,57.17020341567695,240,0,0,0.0,0.1262437254190445,0.22003095305214326,0.5333333333333333,0.059786243310749776,0.0,0.0,0.0,0.0,0.0062437084730376236,0.003264513118968656,0.0,0.028094694018363953
43,8721,-48.16372425503102,40.74905795790255,160,1,0,0.0,0.14321918785572052,0.23688021391863004,0.4125,0.03118334682718183,0.0,0.0,0.0,0.0,0.022958043806646122,0.00343382868450135,0.0,0.02722339890897274
44,8961,-110.33613201755837,50.531181022524834,240,0,0,0.0,0.13261906802654266,0.1991082895314321,0.3875,0.04248899657117099,0.0,0.0,0.0,0.0,0.012619073840802852,0.0036624002386815846,0.0,0.02605007402598858
45,9129,-218.99738550011986,165.6430358570069,168,0,1,0.17857142857142858,-0.004599666688591242,0.37156169214064166,0.6607142857142857,0.1944427089269673,0.20238095238095238,0.047619047619047616,0.15476190476190477,0.20833333333333334,-0.1299421270396811,0.04570678659781281,0.0,0.025277605280280113
46,9369,-133.42465561896705,33.601719208061695,240,0,0,0.0,0.17755191028118134,0.13804930372474095,0.5291666666666667,0.07255932686035889,0.0,0.0,0.0,0.0,0.05755189639137842,0.004223771067336202,0.0,0.024227438494563103
47,9450,-57.73718676336662,35.383046731352806,81,0,1,0.0,0.13251954317092896,0.32049401426388896,0.6172839506172839,0.06562186559201534,0.0,0.0,0.0,0.0,0.002139360721845285,0.0037660623245217182,0.0,0.02388097159564495
48,9690,-80.94215685813847,32.41341313160956,240,0,0,0.0,0.18244096636772156,0.13057368975132705,0.4083333333333333,0.03345044742717518,0.0,0.0,0.0,0.0,0.054678732296259414,0.003835781415303548,0.0,0.022891024127602577
49,9930,-94.44013219651798,60.87083027511835,240,0,0,0.0,0.1205352172255516,0.2448136730895688,0.38333333333333336,0.06195164491202565,0.0,0.0,0.0,0.0,0.00032798644161557977,0.003462644744043549,0.0,0.022060418501496315
50,10170,-140.75998639845307,66.71113723702729,240,0,0,0.0,0.13187246024608612,0.2623411344829947,0.4375,0.029497941486720098,0.0,0.0,0.0,0.0,0.011872461113161925,0.003479169289736698,0.0,0.021350866183638573
51,10410,-62.41461121541902,42.039112489670515,240,0,0,0.0,0.1710333526134491,0.16308380076661705,0.4083333333333333,0.025249950330403184,0.0,0.0,0.0,0.0,0.039014103587506455,0.0041519879441087445,0.0,0.02070418745279312
52,10650,-116.35540383283667,65.45656634867191,240,0,0,0.0,0.13475815951824188,0.2612699324575563,0.38333333333333336,0.01941172064940717,0.0,0.0,0.0,0.0,0.0126729761477955,0.0033124354667961597,0.0,0.020151324570178986
53,10890,-98.32174169089659,43.566393883898854,240,0,0,0.0,0.17248022556304932,0.16967377255981167,0.30833333333333335,0.028570308949960446,0.0,0.0,0.0,0.0,0.04409316262891039,0.0034215256726990145,0.0,0.019741883501410484
54,11130,-83.29436285553476,45.720779640600085,240,0,0,0.0,0.13774292171001434,0.1822508205504467,0.24166666666666667,0.009295758724082734,0.0,0.0,0.0,0.0,0.017742890054689986,0.003764672647230327,0.0,0.01939246617257595
55,11334,-26.490329837074956,38.61437661573291,204,1,0,0.0,0.17548859119415283,0.17487731360483402,0.696078431372549,0.1129422488101499,0.0,0.0,0.0,0.0,0.05437748983094226,0.003928786572799378,0.0,0.01920228824019432
56,11574,-95.03148819071946,29.704002808779478,240,0,0,0.0,0.1977023035287857,0.12021537850766133,0.3125,0.016519094447141048,0.0,0.0,0.0,0.0,0.077702333136699,0.0041095209385578835,0.0,0.019082071259617805
57,11814,-57.73386496312323,29.575600568205118,240,0,0,0.0,0.25772595405578613,0.11568655204803993,0.37083333333333335,0.017911168794721797,0.0,0.0,0.0,0.0,0.1331026782089595,0.0039132256448889775,0.0,0.01893708109855652
58,12054,-106.753136826071,61.73832049034536,240,0,0,0.0,0.12991935014724731,0.24883413906985272,0.9208333333333333,0.17346316921483718,0.0,0.0,0.0,0.0,0.009919337473935641,0.003836303394443045,0.0,0.018852731212973595
59,12294,-151.13395122836198,68.4988539069891,240,0,0,0.0,0.12129127234220505,0.26492320764809846,0.4625,0.035199996500356656,0.0,0.0,0.0,0.04583333333333333,-0.010122698480380887,0.00372540131987383,0.0,0.018710961565375328
60,12534,-69.6495076822041,28.085715176537633,240,0,0,0.0,0.21229594945907593,0.11560867194396754,0.32083333333333336,0.014800626939256942,0.0,0.0,0.0,0.0,0.09229596525280809,0.003874975636911889,0.0,0.018877234309911728
61,12568,-55.5548220477572,51.38121350109577,34,0,1,0.23529411764705882,-0.009615099988877773,0.5142826569430968,0.5588235294117647,0.18907045784111567,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.29411764705882354,-0.164001686877912,0.04995076544582844,0.0,0.018895350396633148
62,12808,-53.6998693643078,23.59028430469334,240,0,0,0.0,0.27055248618125916,0.0942662376522397,0.525,0.06442266768372286,0.0,0.0,0.0,0.0,0.14247589491178864,0.0038734924863092603,0.0,0.018954914063215256
63,13048,-195.00177913145026,62.544706270098686,240,0,0,0.0,0.12238011509180069,0.23912708366600174,0.8125,0.21237767455581444,0.004166666666666667,0.004166666666666667,0.0,0.0,0.002380112662785955,0.010641479445621372,0.0,0.018864978104829788
64,13288,-86.91126401755811,34.45814509317279,240,0,0,0.0,0.19366759061813354,0.13879054586092632,0.825,0.13754001169041957,0.0,0.0,0.0,0.0,0.07366758301299786,0.0036661376516955594,0.0,0.01884087361395359
65,13528,-56.20841999173403,30.458968576043844,240,0,0,0.0,0.1830962896347046,0.11856591526108483,0.9166666666666666,0.13819126475707708,0.0,0.0,0.0,0.0,0.048052213112633135,0.0033314479553761584,0.0,0.018685927614569664
66,13768,-128.14070622622825,44.89796815812588,240,0,0,0.0,0.1898604780435562,0.179197844521453,0.6916666666666667,0.116911954846151,0.0,0.0,0.0,0.0,0.06481394598370244,0.003195789987997462,0.0,0.018491264432668686
67,13787,22.38267325408703,2.2174271419644356,19,1,0,0.0,0.40718984603881836,0.10971597974237643,0.5789473684210527,0.04074332063346287,0.0,0.0,0.0,0.0,0.25221352956808385,0.0031468452101475314,0.0,0.018464844673871994
68,14027,-450.41115126897563,376.30599165707827,240,0,0,0.3458333333333333,0.004134641960263252,0.5152549411170184,0.725,0.25213635073133095,0.3541666666666667,0.3333333333333333,0.020833333333333332,0.37083333333333335,-0.11591746407025683,0.02113644895531858,0.0,0.018255118280649185
69,14264,-84.58382424030177,69.32837385684252,237,1,0,0.0,0.12420763820409775,0.2800239433577669,0.4936708860759494,0.04927317849991058,0.0,0.0,0.0,0.0,0.0030621030159328766,0.005247794374634948,0.0,0.017989084124565125
70,14504,-243.54341620209428,59.23284675180912,240,0,0,0.0,0.1204056665301323,0.2334085787491252,0.7333333333333333,0.16668409795819397,0.0,0.0,0.0,0.0,0.0004053226795281417,0.0035667502864574394,0.0,0.01787218078970909
71,14514,-48.11714331099126,43.88111102581024,10,0,1,0.9,-0.011124173179268837,0.8842987239360809,1.0,0.522882794719821,1.0,1.0,0.0,1.0,-0.15652244639163965,0.0029365831054747106,0.0,0.01785462535917759
72,14754,-101.85097779019756,48.438878091052175,240,0,0,0.0,0.12332241982221603,0.18865725124875704,0.5291666666666667,0.07066540500598496,0.0,0.0,0.0,0.0,0.003322419704610613,0.011265858301582436,0.0,0.017750881612300873
73,14994,-79.20433848180939,30.957755049690604,240,0,0,0.0,0.1298750936985016,0.12521894006058573,0.625,0.0729359954159569,0.0,0.0,0.0,0.0,0.009875098817623496,0.0031607461472352347,0.0,0.01758633367717266
74,15234,-68.57793071304108,28.201367761939764,240,0,0,0.0,0.23061661422252655,0.113987293241856,0.5875,0.09119153451150158,0.0,0.0,0.0,0.0,0.11060249988378346,0.003097568561012546,0.0,0.017618967220187187
75,15474,-212.40100706079997,32.609094232320786,240,0,0,0.0,0.21737749874591827,0.13048706093492607,0.7166666666666667,0.11025536659726454,0.0,0.0,0.0,0.0,0.09737749566324932,0.0031312801913979155,0.0,0.017735762521624565
76,15714,-66.98946254466537,45.227183578535914,240,0,0,0.0,0.14373810589313507,0.18453547553314517,0.5583333333333333,0.059703772431009224,0.0,0.0,0.0,0.0,0.02373812272289233,0.0035526701870063943,0.0,0.017994660884141922
77,15954,-97.08620050738574,57.3607383351773,240,0,0,0.0,0.12262440472841263,0.22308571967296303,0.4666666666666667,0.055633470023242086,0.0,0.0,0.0,0.0,0.002624404240943068,0.0038404843032670516,0.0,0.018107391893863678
78,16194,-80.30763046827485,23.530130797997117,240,0,0,0.0,0.20077741146087646,0.09550860757784298,0.525,0.09358410231188054,0.0,0.0,0.0,0.0,0.06896954690972668,0.004087686251538495,0.0,0.01805228553712368
79,16434,-103.99442346686637,53.3699142690748,240,0,0,0.0,0.12354402989149094,0.20567456736850243,0.725,0.12052493689807113,0.0,0.0,0.0,0.0,0.0012970345753965107,0.004297090131634225,0.0,0.017984788864850998
80,16463,16.29602787119507,6.11713844537735,29,1,0,0.0,0.24422860145568848,0.18693840221084398,0.3448275862068966,0.019534157644580993,0.0,0.0,0.0,0.0,0.11338231104013641,0.004167520858604333,0.0,0.018016211688518524
81,16703,-136.37097694296813,49.19082887843251,240,0,0,0.0,0.1355375200510025,0.18808867152159411,0.6583333333333333,0.09994884695757006,0.0,0.0,0.0,0.0,0.0010967491302657506,0.0039186629311492045,0.0,0.01834314689040184
82,16831,-32.09486270029996,39.332462050020695,128,1,0,0.0,0.13223771750926971,0.28904288093326613,0.6640625,0.08512044646479831,0.0,0.0,0.0,0.0,0.00729831398165065,0.012078925894456916,0.0,0.01805490255355835
83,16843,-60.496558073024865,54.349341690540314,12,0,1,1.0,-0.0012916454579681158,0.862445130944252,1.0,0.39087478297857103,1.0,1.0,0.0,1.0,-0.13561188974283733,0.0037588107710083327,0.0,0.01802181266248226
84,17083,-65.4139704115241,34.02140765823424,240,0,0,0.0,0.20147711038589478,0.1364155822743972,0.36666666666666664,0.039263451367512976,0.0,0.0,0.0,0.0,0.07422121316813296,0.004399444904023161,0.0,0.017712950706481934
85,17323,-84.18455130202146,23.852560887113214,240,0,0,0.0,0.19988089799880981,0.09721274795786788,0.8,0.18916664041571052,0.0,0.0,0.0,0.0,0.07988091219709098,0.003905224318926533,0.0,0.017566420137882233
86,17563,-76.5693861516885,39.878870794549584,240,0,0,0.0,0.18466410040855408,0.158549718450134,0.4375,0.0245242084972669,0.0,0.0,0.0,0.0,0.0646641231633368,0.003624708220983545,0.0,0.017708104103803635
87,17803,-115.34290521675125,48.434320997446775,240,0,0,0.0,0.12271033972501755,0.19334777538509418,0.7791666666666667,0.12438954100001448,0.0,0.0,0.0,0.0,0.0027103388720205457,0.003417130276405563,0.0,0.017712123692035675
88,18043,-68.25919516769683,18.6630218885839,240,0,0,0.0,0.3120214641094208,0.0757142287834237,0.6583333333333333,0.08652032847862849,0.0,0.0,0.0,0.0,0.19202148553168435,0.004162503844903161,0.0,0.017412330955266953
89,18056,-45.75620869948624,43.40052390098572,13,0,1,0.6153846153846154,-0.0019010325195267797,0.8308636179337134,1.0,0.3627327865619273,1.0,0.7692307692307693,0.23076923076923078,0.7692307692307693,-0.15166113386304453,0.040967097147726096,0.0,0.017422255128622055
90,18296,-178.40590834690354,50.73473561555147,240,0,0,0.0,0.12496235221624374,0.1995268515155961,0.48333333333333334,0.06085288807522476,0.004166666666666667,0.004166666666666667,0.0,0.0,0.004962347533396416,0.005864676425699144,0.0,0.01750093139708042
91,18394,-150.8731439638278,116.04236140847206,98,0,1,0.20408163265306123,-0.004790173843502998,0.4531246692854531,0.7755102040816326,0.205699627973835,0.23469387755102042,0.17346938775510204,0.061224489795918366,0.22448979591836735,-0.1391136963649437,0.017794609421446006,0.0,0.017517410218715668
92,18634,-189.86598314719066,65.35372798144817,240,0,0,0.0,0.12265554815530777,0.25557635105215015,0.625,0.0717726262028242,0.0,0.0,0.0,0.0,0.002502360970567552,0.0038976849638856946,0.0,0.01723942533135414
93,18874,-63.38867294802822,38.87264823168516,240,0,0,0.0,0.1747080683708191,0.15803796408387522,0.7541666666666667,0.11349107337306878,0.0,0.0,0.0,0.0,0.0547080560254003,0.00305311184298868,0.0,0.017078174278140068
94,19114,-79.89558743621383,50.79650615528226,240,0,0,0.0,0.18790443241596222,0.19612783279735596,0.3958333333333333,0.029979314875025878,0.0,0.0,0.0,0.0,0.03882461639119261,0.003375360311474651,0.0,0.01701621152460575
95,19353,-193.9206469882748,132.78899517655373,239,0,1,0.058577405857740586,0.04082188755273819,0.3203099401566399,0.6317991631799164,0.12275583999352083,0.07531380753138076,0.0,0.07531380753138076,0.06694560669456066,-0.09061270639717364,0.021495248658668295,0.0,0.016797151416540146
96,19593,-79.9351604766794,58.49479445628822,240,0,0,0.0,0.12656253576278687,0.2214062823060279,0.5833333333333334,0.09189094818428403,0.0,0.0,0.0,0.0,0.006113813100027787,0.01127736447378993,0.0,0.016644801944494247
97,19833,-104.56802888904465,19.835141142830253,240,0,0,0.0,0.2649001181125641,0.08157028541124116,0.7625,0.12165233960367304,0.0,0.0,0.0,0.0,0.1439340552836343,0.00999453713496526,0.0,0.016669543460011482
