step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.7524300795165277,0.13189394772052765,0.40765467286109924,0.4226602613925934,0.09878649562597275,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.40011176466941833,8.002235412597656,160.04470825195312,1.4752914905548096,1.4752914905548096,0.4139832051935895,0.40765467286109924,0.006328532332490255,0.5351215403875295,0.1802997825928243,0.4290441692504603,0.13031899834059074,0.29872517090986955,0.42904414787111145,0,0,disabled,0.0,1,TRACK,direct_path,0,1.3308520800201222,1.3308520800201222,56,1,1,1,55,1.177396849462748,0.42600253224372864,0.0016706213489180292;0.0017788321653482973;0.0039491338425247016;0.0027370396466042755;0.012519014973598808;0.006841733077990187;0.005295655223666921;0.008654259103455356;0.002206147487684026;0.0036422390181889614;0.012199142112725311;0.006139581967276527;0.005922197032856315;0.008937244172553588;0.010473368529213906;0.009975666760935132;0.006131713150248273;0.01282084863552648;0.012367541251704032;0.004882989856573378;0.009623715962391392;0.00486436463923294;0.014413715076963032;0.005777140027592799;0.004350996607854903;0.009849985434536;0.011937223241462612;0.010627676968243068;0.005311532331828394;0.004209847336206824;0.006099927380846257;0.007775739791350269;0.0072912120045104285;0.0021853882704522343;0.015761746699880615;0.011360750399295499;0.0061838976717608456;0.007439440385850643;0.010288052853624718;0.011200610823290054;0.009748147242688238;0.00440280879420093;0.004657407116176899;0.006226566881766112;0.00908060089532558;0.011239057781802344;0.005597933367588905;0.0077137636678226915;0.00628421415162524;0.007047748728930362;0.010143946156002231;0.012830290446797227;0.003387341338008619;0.007942041282818803;0.005058653672460084;0.008718481918797089,0.4381263852119446;0.43765223026275635;0.4102787971496582;0.4232870936393738;0.3731403350830078;0.46385061740875244;0.47205665707588196;0.44753777980804443;0.46569380164146423;0.4590153694152832;0.4391530752182007;0.46742257475852966;0.4681241810321808;0.46306112408638;0.4513819217681885;0.3980691730976105;0.4518529176712036;0.4341174364089966;0.37169432640075684;0.4470994174480438;0.42883896827697754;0.4293748736381531;0.467389315366745;0.4634070098400116;0.4257858395576477;0.4547869563102722;0.46865060925483704;0.35102978348731995;0.3920435905456543;0.418350487947464;0.40125009417533875;0.45774203538894653;0.4588773250579834;0.46898505091667175;0.34640228748321533;0.4393807649612427;0.40269821882247925;0.46154531836509705;0.4657840430736542;0.46602097153663635;0.4062235951423645;0.4451690912246704;0.4715264141559601;0.35320767760276794;0.4671056866645813;0.465883731842041;0.445418119430542;0.39068955183029175;0.41853445768356323;0.46330705285072327;0.4451858699321747;0.33930957317352295;0.46579089760780334;0.4607788026332855;0.4258737564086914;0.43670785427093506,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 9, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0016706213489180292,65,56,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,1.0,1.4752914905548096,0.0,1.0,0.24909772770989874,0,0,0,0,0.24909772770989874,0.0,filtered,linprog goal-velocity priority optimal,1.1505220132451797,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_4_acceleration_lower|joint_3_acceleration_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.13531899641086828,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.24909772770989874,0.9380961825708388,0|0|0|0|0|0,0.479276792|0.326625153|0.249097728|0.257618883|0.259831455|0.291111106,0.656181601|0.503529962|0.426002537|0.434523692|0.436736264|0.468015915,0.599276792|0.446625153|0.369097728|0.377618883|0.379831455|0.411111106,0|0|0|0|0|0,0|0.0337265281|-0.0682477188|-0.125380199|-0.130586433|-0.142446164,0|0|0|0|0|0,1.91710717|1.34022714|0.928143192|0.905095331|0.908739387|1.02199826,optimal,0.13531899641086828,0.13031899834059074,0.004999998070277539,0.548240244|-0.533131957|0.328104407,0|0|-0,0.019915828946977854,0.002558298991061747,0.0020799610065296292,0.009145941003225744
1,0.1,-1.095427771438491,0.25183701515197754,0.39486777782440186,0.4159046709537506,0.20275381207466125,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.8001950979232788,8.00168514251709,0.4978218674659729,1.4691078662872314,1.4691078662872314,0.40765465513059945,0.39486777782440186,0.012786877306197597,0.5323762487949605,0.35939136354092893,0.42741436859538656,0.25996959858879554,0.16744477000659103,0.42741435000546013,0,0,disabled,0.0,1,TRACK,direct_path,0,1.3308520800201222,1.3308520800201222,56,1,1,1,55,1.177396849462748,0.42600253224372864,0.0016706213489180292;0.0017788321653482973;0.0039491338425247016;0.0027370396466042755;0.012519014973598808;0.006841733077990187;0.005295655223666921;0.008654259103455356;0.002206147487684026;0.0036422390181889614;0.012199142112725311;0.006139581967276527;0.005922197032856315;0.008937244172553588;0.010473368529213906;0.009975666760935132;0.006131713150248273;0.01282084863552648;0.012367541251704032;0.004882989856573378;0.009623715962391392;0.00486436463923294;0.014413715076963032;0.005777140027592799;0.004350996607854903;0.009849985434536;0.011937223241462612;0.010627676968243068;0.005311532331828394;0.004209847336206824;0.006099927380846257;0.007775739791350269;0.0072912120045104285;0.0021853882704522343;0.015761746699880615;0.011360750399295499;0.0061838976717608456;0.007439440385850643;0.010288052853624718;0.011200610823290054;0.009748147242688238;0.00440280879420093;0.004657407116176899;0.006226566881766112;0.00908060089532558;0.011239057781802344;0.005597933367588905;0.0077137636678226915;0.00628421415162524;0.007047748728930362;0.010143946156002231;0.012830290446797227;0.003387341338008619;0.007942041282818803;0.005058653672460084;0.008718481918797089,0.4381263852119446;0.43765223026275635;0.4102787971496582;0.4232870936393738;0.3731403350830078;0.46385061740875244;0.47205665707588196;0.44753777980804443;0.46569380164146423;0.4590153694152832;0.4391530752182007;0.46742257475852966;0.4681241810321808;0.46306112408638;0.4513819217681885;0.3980691730976105;0.4518529176712036;0.4341174364089966;0.37169432640075684;0.4470994174480438;0.42883896827697754;0.4293748736381531;0.467389315366745;0.4634070098400116;0.4257858395576477;0.4547869563102722;0.46865060925483704;0.35102978348731995;0.3920435905456543;0.418350487947464;0.40125009417533875;0.45774203538894653;0.4588773250579834;0.46898505091667175;0.34640228748321533;0.4393807649612427;0.40269821882247925;0.46154531836509705;0.4657840430736542;0.46602097153663635;0.4062235951423645;0.4451690912246704;0.4715264141559601;0.35320767760276794;0.4671056866645813;0.465883731842041;0.445418119430542;0.39068955183029175;0.41853445768356323;0.46330705285072327;0.4451858699321747;0.33930957317352295;0.46579089760780334;0.4607788026332855;0.4258737564086914;0.43670785427093506,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 9, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0016706213489180292,65,56,nan,nan,0.7798608075835274,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4691078662872314,0.0,1.0,0.23281425611238427,0,0,0,0,0.24909772770989874,0.0,filtered,linprog goal-velocity priority optimal,0.8871848373676025,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_4_acceleration_lower|joint_3_acceleration_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.26496959664172204,1,continuity_tiebreak,0.9999988079071045,0,goal_velocity_linprog,0.0,valid,0.23281425611238427,0.9365482177104028,8.67518721e-20|0.0930039037|0.150266813|0.178729831|0.179386084|0.179866172,0.47935419|0.32836157|0.235800517|0.232814256|0.234681533|0.26350024,0.656181601|0.505188981|0.412627928|0.409641667|0.411508944|0.440327651,0.59935419|0.44836157|0.355800517|0.352814256|0.354681533|0.38350024,0|0|0.15|0.15|0.15|0.15,1.36311598e-19|0.0713131193|-0.135399739|-0.247586709|-0.247581948|-0.273472738,0|0|0|0|0|0,1.91741676|1.3847594|0.807802329|0.683670316|0.691144183|0.780528221,optimal,0.26496959664172204,0.2599695985887956,0.0049999980529264465,0.548240244|-0.533131957|0.328104407,0|0|-0,0.016455654986202717,0.004196855938062072,0.0012689699651673436,0.006212724954821169
2,0.15000000000000002,-1.35406945980214,0.3523714244365692,0.3757462501525879,0.39818376302719116,0.2839984595775604,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2002027034759521,8.000481605529785,1.5295686721801758,1.4574884176254272,1.4574884176254272,0.3948677615627724,0.3757462501525879,0.019121511410184533,0.5267377570755696,0.5351973614565823,0.4240150207861589,0.3876806745031569,0.03633434628300197,0.4240150033241741,0,0,disabled,0.0,1,TRACK,direct_path,0,1.3308520800201222,1.3308520800201222,56,1,1,1,55,1.177396849462748,0.42600253224372864,0.0016706213489180292;0.0017788321653482973;0.0039491338425247016;0.0027370396466042755;0.012519014973598808;0.006841733077990187;0.005295655223666921;0.008654259103455356;0.002206147487684026;0.0036422390181889614;0.012199142112725311;0.006139581967276527;0.005922197032856315;0.008937244172553588;0.010473368529213906;0.009975666760935132;0.006131713150248273;0.01282084863552648;0.012367541251704032;0.004882989856573378;0.009623715962391392;0.00486436463923294;0.014413715076963032;0.005777140027592799;0.004350996607854903;0.009849985434536;0.011937223241462612;0.010627676968243068;0.005311532331828394;0.004209847336206824;0.006099927380846257;0.007775739791350269;0.0072912120045104285;0.0021853882704522343;0.015761746699880615;0.011360750399295499;0.0061838976717608456;0.007439440385850643;0.010288052853624718;0.011200610823290054;0.009748147242688238;0.00440280879420093;0.004657407116176899;0.006226566881766112;0.00908060089532558;0.011239057781802344;0.005597933367588905;0.0077137636678226915;0.00628421415162524;0.007047748728930362;0.010143946156002231;0.012830290446797227;0.003387341338008619;0.007942041282818803;0.005058653672460084;0.008718481918797089,0.4381263852119446;0.43765223026275635;0.4102787971496582;0.4232870936393738;0.3731403350830078;0.46385061740875244;0.47205665707588196;0.44753777980804443;0.46569380164146423;0.4590153694152832;0.4391530752182007;0.46742257475852966;0.4681241810321808;0.46306112408638;0.4513819217681885;0.3980691730976105;0.4518529176712036;0.4341174364089966;0.37169432640075684;0.4470994174480438;0.42883896827697754;0.4293748736381531;0.467389315366745;0.4634070098400116;0.4257858395576477;0.4547869563102722;0.46865060925483704;0.35102978348731995;0.3920435905456543;0.418350487947464;0.40125009417533875;0.45774203538894653;0.4588773250579834;0.46898505091667175;0.34640228748321533;0.4393807649612427;0.40269821882247925;0.46154531836509705;0.4657840430736542;0.46602097153663635;0.4062235951423645;0.4451690912246704;0.4715264141559601;0.35320767760276794;0.4671056866645813;0.465883731842041;0.445418119430542;0.39068955183029175;0.41853445768356323;0.46330705285072327;0.4451858699321747;0.33930957317352295;0.46579089760780334;0.4607788026332855;0.4258737564086914;0.43670785427093506,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 9, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0016706213489180292,65,56,nan,nan,0.6038935994602763,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4574884176254272,0.0,1.0,0.20376321520943574,0,0,0,0,0.24909772770989874,0.0,filtered,linprog goal-velocity priority optimal,0.7676385209523487,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_4_acceleration_lower|joint_3_acceleration_upper,predictive_link_3,,,0,0,0,optimal; continuity_tiebreak,0.39268066294667237,1,continuity_tiebreak,0.9999930262565613,0,goal_velocity_linprog,0.0,valid,0.20376321520943574,0.933341485505482,0|0.184766361|0.306461957|0.356053883|0.356053883|0.357458438,0.479514527|0.332199884|0.21977214|0.203763215|0.205763215|0.231333939,0.656181601|0.508866959|0.396439215|0.380430289|0.382430289|0.408001013,0.599514527|0.452199884|0.33977214|0.323763215|0.325763215|0.351333939,0|0|0.15|0.15|0.15|0.15,0|0.118429338|-0.197348291|-0.33969487|-0.33969487|-0.381925554,0|0|0|0|0|0,1.91805811|1.44722888|0.681740271|0.475357991|0.483357991|0.543410202,optimal,0.39268066294667237,0.3876806745031569,0.004999988443515457,0.548240244|-0.533131957|0.328104407,0|0|-0,0.017601095023564994,0.0043706310680136085,0.0015867019537836313,0.006640090956352651
3,0.2,-1.4349959810588282,0.39587917923927307,0.35352152585983276,0.3789055645465851,0.31646528840065,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.39822518825531,3.9615185260772705,80.81158447265625,1.4418256282806396,1.4418256282806396,0.37574624010891555,0.35352152585983276,0.02222471424908279,0.518000450070853,0.6180245936236833,0.41860759445089896,0.44760709082458805,-0.028999496373689093,0.4186075832615457,0,0,disabled,0.0,1,TRACK,direct_path,0,1.3308520800201222,1.3308520800201222,56,1,1,1,55,1.177396849462748,0.42600253224372864,0.0016706213489180292;0.0017788321653482973;0.0039491338425247016;0.0027370396466042755;0.012519014973598808;0.006841733077990187;0.005295655223666921;0.008654259103455356;0.002206147487684026;0.0036422390181889614;0.012199142112725311;0.006139581967276527;0.005922197032856315;0.008937244172553588;0.010473368529213906;0.009975666760935132;0.006131713150248273;0.01282084863552648;0.012367541251704032;0.004882989856573378;0.009623715962391392;0.00486436463923294;0.014413715076963032;0.005777140027592799;0.004350996607854903;0.009849985434536;0.011937223241462612;0.010627676968243068;0.005311532331828394;0.004209847336206824;0.006099927380846257;0.007775739791350269;0.0072912120045104285;0.0021853882704522343;0.015761746699880615;0.011360750399295499;0.0061838976717608456;0.007439440385850643;0.010288052853624718;0.011200610823290054;0.009748147242688238;0.00440280879420093;0.004657407116176899;0.006226566881766112;0.00908060089532558;0.011239057781802344;0.005597933367588905;0.0077137636678226915;0.00628421415162524;0.007047748728930362;0.010143946156002231;0.012830290446797227;0.003387341338008619;0.007942041282818803;0.005058653672460084;0.008718481918797089,0.4381263852119446;0.43765223026275635;0.4102787971496582;0.4232870936393738;0.3731403350830078;0.46385061740875244;0.47205665707588196;0.44753777980804443;0.46569380164146423;0.4590153694152832;0.4391530752182007;0.46742257475852966;0.4681241810321808;0.46306112408638;0.4513819217681885;0.3980691730976105;0.4518529176712036;0.4341174364089966;0.37169432640075684;0.4470994174480438;0.42883896827697754;0.4293748736381531;0.467389315366745;0.4634070098400116;0.4257858395576477;0.4547869563102722;0.46865060925483704;0.35102978348731995;0.3920435905456543;0.418350487947464;0.40125009417533875;0.45774203538894653;0.4588773250579834;0.46898505091667175;0.34640228748321533;0.4393807649612427;0.40269821882247925;0.46154531836509705;0.4657840430736542;0.46602097153663635;0.4062235951423645;0.4451690912246704;0.4715264141559601;0.35320767760276794;0.4671056866645813;0.465883731842041;0.445418119430542;0.39068955183029175;0.41853445768356323;0.46330705285072327;0.4451858699321747;0.33930957317352295;0.46579089760780334;0.4607788026332855;0.4258737564086914;0.43670785427093506,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 9, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0016706213489180292,65,56,nan,nan,0.5266858464666242,filtered,0,0,1,0,0,0,1,2,1.0,0.835499659217564,1.4418256282806396,0.0,1.0,0.17367994547481025,0,0,0,0,0.24909772770989874,0.0,filtered,linprog goal-velocity priority optimal,0.8027435017988896,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_3_velocity_upper,predictive_link_3,,,0,0,0,optimal; continuity_tiebreak,0.4526070986435089,1,continuity_tiebreak,0.9999936819076538,0,goal_velocity_linprog,0.0,valid,0.17367994547481025,0.9282559809165074,6.67475984e-17|0.274511579|0.472286733|0.527497045|0.527497045|0.530604663,0.479768802|0.338705064|0.201808826|0.173679945|0.175679945|0.197257569,0.656181601|0.515117863|0.378221625|0.350092745|0.352092745|0.373670368,0.599768802|0.458705064|0.321808826|0.293679945|0.295679945|0.317257569,0|0|0.15|0.15|0.15|0.15,6.55172035e-17|0.157363368|-0.209526804|-0.341294434|-0.341294434|-0.393981784,0|0|0|0|0|0,1.91907521|1.51218362|0.597708499|0.353425348|0.361425348|0.395048493,optimal,0.4526070986435089,0.44760709082458805,0.0050000078189208486,0.548240244|-0.533131957|0.328104407,0|0|-0,0.022559320088475943,0.0026356891030445695,0.002387449028901756,0.011625743936747313
4,0.25,-1.3894481041216977,0.3907925486564636,0.3316490650177002,0.36163580417633057,0.3088058829307556,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.39822518825531,0.0,79.2303695678711,1.3766783475875854,1.3766783475875854,0.3535215298314849,0.3316490650177002,0.021872464813784687,0.49993142421543707,0.6113594682391861,0.4011854673963865,0.44123299496723073,-0.04004752757084423,0.40118547190352105,0,0,disabled,0.0,1,TRACK,direct_path,0,1.3308520800201222,1.3308520800201222,56,1,1,1,55,1.177396849462748,0.42600253224372864,0.0016706213489180292;0.0017788321653482973;0.0039491338425247016;0.0027370396466042755;0.012519014973598808;0.006841733077990187;0.005295655223666921;0.008654259103455356;0.002206147487684026;0.0036422390181889614;0.012199142112725311;0.006139581967276527;0.005922197032856315;0.008937244172553588;0.010473368529213906;0.009975666760935132;0.006131713150248273;0.01282084863552648;0.012367541251704032;0.004882989856573378;0.009623715962391392;0.00486436463923294;0.014413715076963032;0.005777140027592799;0.004350996607854903;0.009849985434536;0.011937223241462612;0.010627676968243068;0.005311532331828394;0.004209847336206824;0.006099927380846257;0.007775739791350269;0.0072912120045104285;0.0021853882704522343;0.015761746699880615;0.011360750399295499;0.0061838976717608456;0.007439440385850643;0.010288052853624718;0.011200610823290054;0.009748147242688238;0.00440280879420093;0.004657407116176899;0.006226566881766112;0.00908060089532558;0.011239057781802344;0.005597933367588905;0.0077137636678226915;0.00628421415162524;0.007047748728930362;0.010143946156002231;0.012830290446797227;0.003387341338008619;0.007942041282818803;0.005058653672460084;0.008718481918797089,0.4381263852119446;0.43765223026275635;0.4102787971496582;0.4232870936393738;0.3731403350830078;0.46385061740875244;0.47205665707588196;0.44753777980804443;0.46569380164146423;0.4590153694152832;0.4391530752182007;0.46742257475852966;0.4681241810321808;0.46306112408638;0.4513819217681885;0.3980691730976105;0.4518529176712036;0.4341174364089966;0.37169432640075684;0.4470994174480438;0.42883896827697754;0.4293748736381531;0.467389315366745;0.4634070098400116;0.4257858395576477;0.4547869563102722;0.46865060925483704;0.35102978348731995;0.3920435905456543;0.418350487947464;0.40125009417533875;0.45774203538894653;0.4588773250579834;0.46898505091667175;0.34640228748321533;0.4393807649612427;0.40269821882247925;0.46154531836509705;0.4657840430736542;0.46602097153663635;0.4062235951423645;0.4451690912246704;0.4715264141559601;0.35320767760276794;0.4671056866645813;0.465883731842041;0.445418119430542;0.39068955183029175;0.41853445768356323;0.46330705285072327;0.4451858699321747;0.33930957317352295;0.46579089760780334;0.4607788026332855;0.4258737564086914;0.43670785427093506,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 9, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0016706213489180292,65,56,nan,nan,0.5567549126978357,filtered,0,0,1,0,0,0,1,2,1.0,0.7113777969004148,1.3766783475875854,0.0,1.0,0.15382044750406637,0,0,0,0,0.24909772770989874,0.0,filtered,linprog goal-velocity priority optimal,0.8489560875450866,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_3_velocity_upper,predictive_link_3,,,0,0,0,optimal; continuity_tiebreak,0.44579817837146285,1,continuity_tiebreak,0.9999999403953552,0,goal_velocity_linprog,0.0,valid,0.15382044750406637,0.9219621863836494,0|0.316817103|0.567647291|0.606734387|0.606734387|0.611382017,0.480083492|0.347422066|0.19010305|0.153820448|0.155820448|0.174293114,0.656181601|0.523520175|0.366201159|0.329918557|0.331918557|0.350391223,0.600083492|0.467422066|0.31010305|0.273820448|0.275820448|0.294293114,0|0|0.15|0.15|0.15|0.15,0|0.178369917|-0.146147077|-0.282510123|-0.282510123|-0.336056868,0|0|0|0|0|0,1.92033397|1.56805818|0.614265121|0.332771667|0.340771667|0.361115587,optimal,0.44579817837146285,0.4412329949672307,0.004565183404232176,0.548240244|-0.533131957|0.328104407,0|0|-0,0.020476961042732,0.0038651389768347144,0.0017254638951271772,0.008397541008889675
5,0.30000000000000004,-1.315937219355483,0.3773843050003052,0.31020182371139526,0.3466130495071411,0.2962612509727478,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.39822518825531,0.0,0.0,1.278404951095581,1.278404951095581,0.3316490746284989,0.31020182371139526,0.021447250917103644,0.45190119555873765,0.6044149779710086,0.37687165181817134,0.4334974563220484,-0.05662580450387705,0.37687166273946726,0,0,disabled,0.0,1,TRACK,direct_path,0,1.3308520800201222,1.3308520800201222,56,1,1,1,55,1.177396849462748,0.42600253224372864,0.0016706213489180292;0.0017788321653482973;0.0039491338425247016;0.0027370396466042755;0.012519014973598808;0.006841733077990187;0.005295655223666921;0.008654259103455356;0.002206147487684026;0.0036422390181889614;0.012199142112725311;0.006139581967276527;0.005922197032856315;0.008937244172553588;0.010473368529213906;0.009975666760935132;0.006131713150248273;0.01282084863552648;0.012367541251704032;0.004882989856573378;0.009623715962391392;0.00486436463923294;0.014413715076963032;0.005777140027592799;0.004350996607854903;0.009849985434536;0.011937223241462612;0.010627676968243068;0.005311532331828394;0.004209847336206824;0.006099927380846257;0.007775739791350269;0.0072912120045104285;0.0021853882704522343;0.015761746699880615;0.011360750399295499;0.0061838976717608456;0.007439440385850643;0.010288052853624718;0.011200610823290054;0.009748147242688238;0.00440280879420093;0.004657407116176899;0.006226566881766112;0.00908060089532558;0.011239057781802344;0.005597933367588905;0.0077137636678226915;0.00628421415162524;0.007047748728930362;0.010143946156002231;0.012830290446797227;0.003387341338008619;0.007942041282818803;0.005058653672460084;0.008718481918797089,0.4381263852119446;0.43765223026275635;0.4102787971496582;0.4232870936393738;0.3731403350830078;0.46385061740875244;0.47205665707588196;0.44753777980804443;0.46569380164146423;0.4590153694152832;0.4391530752182007;0.46742257475852966;0.4681241810321808;0.46306112408638;0.4513819217681885;0.3980691730976105;0.4518529176712036;0.4341174364089966;0.37169432640075684;0.4470994174480438;0.42883896827697754;0.4293748736381531;0.467389315366745;0.4634070098400116;0.4257858395576477;0.4547869563102722;0.46865060925483704;0.35102978348731995;0.3920435905456543;0.418350487947464;0.40125009417533875;0.45774203538894653;0.4588773250579834;0.46898505091667175;0.34640228748321533;0.4393807649612427;0.40269821882247925;0.46154531836509705;0.4657840430736542;0.46602097153663635;0.4062235951423645;0.4451690912246704;0.4715264141559601;0.35320767760276794;0.4671056866645813;0.465883731842041;0.445418119430542;0.39068955183029175;0.41853445768356323;0.46330705285072327;0.4451858699321747;0.33930957317352295;0.46579089760780334;0.4607788026332855;0.4258737564086914;0.43670785427093506,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 9, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0016706213489180292,65,56,nan,nan,0.6166698917236186,filtered,0,0,1,0,0,0,1,2,1.0,0.6495588200551782,1.278404951095581,0.0,1.0,0.14392941120882852,0,0,0,0,0.24909772770989874,0.0,filtered,linprog goal-velocity priority optimal,0.9173365262080319,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_3_velocity_upper,predictive_link_3,,,0,0,0,optimal; continuity_tiebreak,0.43743890983798767,1,continuity_tiebreak,0.9999999403953552,0,goal_velocity_linprog,0.0,valid,0.14392941120882852,0.9153681912912524,0|0.313609685|0.565468273|0.59880104|0.59880104|0.604440249,0.480413191|0.357159105|0.186782373|0.143929411|0.145929411|0.162489778,0.656181601|0.532927515|0.362550783|0.319697821|0.321697821|0.338258187,0.600413191|0.477159105|0.306782373|0.263929411|0.265929411|0.282489778,0|0|0.15|0.15|0.15|0.15,0|0.197536554|-0.0955762414|-0.231222797|-0.231222797|-0.282665272,0|0|0|0|0|0,1.92165277|1.62617297|0.651553252|0.344494848|0.352494848|0.367293839,optimal,0.43743890983798767,0.4334974563220484,0.003941453515939275,0.548240244|-0.533131957|0.328104407,0|0|-0,0.020387797034345567,0.004544264986179769,0.0013383639743551612,0.007168421987444162
