seed,step,observation_max_abs_diff,action_max_abs_diff,qdot_cmd_max_abs_diff,qdot_requested_max_abs_diff,field_mismatches,passed,qdot_cmd_radps,qdot_requested_radps,termination_reason,collision_capsule_overlap,collision_pybullet_contact,collision_any,termination_collision,safety_filter_status,v1_safety_filter_status,safety_filter_safe_stop,v1_safety_filter_safe_stop,viability_status,viability_solver_status
9001,14,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34731319546699524, -0.32744911313056946, -0.3218112885951996, -0.27641037106513977, 0.10918604582548141, 0.29900312423706055]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,15,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3472174406051636, -0.326724648475647, -0.32183942198753357, -0.2744915783405304, 0.10472363978624344, 0.30044499039649963]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,16,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3471081256866455, -0.3260131776332855, -0.3219813406467438, -0.27254605293273926, 0.09635494649410248, 0.3015003800392151]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,17,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3470417261123657, -0.3250347971916199, -0.3212130069732666, -0.2711203396320343, 0.08763518929481506, 0.30193057656288147]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,18,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34697243571281433, -0.3238440155982971, -0.3204333186149597, -0.26955556869506836, 0.07719195634126663, 0.3022739887237549]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,19,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34688323736190796, -0.32268548011779785, -0.3191291093826294, -0.267805278301239, 0.06665123999118805, 0.3024047613143921]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,20,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34676483273506165, -0.32221972942352295, -0.3172632157802582, -0.2660493552684784, 0.05526690557599068, 0.30195292830467224]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,21,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3466605246067047, -0.32163843512535095, -0.315064936876297, -0.26424917578697205, 0.04362454637885094, 0.3014156222343445]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,22,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3465593159198761, -0.3189409375190735, -0.3131536543369293, -0.25904372334480286, 0.03264313191175461, 0.2974632978439331]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,23,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3464507758617401, -0.3149767518043518, -0.3106990158557892, -0.2522607743740082, 0.020560864359140396, 0.2915334403514862]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,24,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3463691473007202, -0.30926117300987244, -0.30822259187698364, -0.24373383820056915, 0.008011660538613796, 0.28373342752456665]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
