step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
10,0.55,-0.12780140825226302,0.14476604759693146,0.0889236256480217,0.3723014295101166,0.1316337138414383,0.35,2,0,0,0,0.46153873205184937,2.6503193378448486,99.22142028808594,0.46153873205184937,1.0,0.20440710647564797,0,0,0,0,0.2665228116481846,0.0,passthrough,7.644809509237796e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.20440710647564797,0.396423925|0.411423925|0.204407106|0.210942404|0.349867737|0.398017282,0.546423925|0.561423925|0.354407106|0.360942404|0.499867737|0.548017282,0.516423925|0.531423925|0.324407106|0.330942404|0.469867737|0.518017282,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0431129126|0.0457242089|0.0721285916|0.0732798378,-0.0939316899|0|-0.154940551|-0.162539748|-0.232383987|-0.229176623,1.49176401|1.6456957|0.705800788|0.726954076|1.23921555|1.43617234,0.371690512|-0.407022715|0.53077811,0.0712174475|0.228820443|-0.0157011691,0.0028884094208478928,0.0008000563830137253,0.0007942784577608109,0.0012438725680112839
11,0.6000000000000001,-0.19738557125795225,0.16053761541843414,0.09001018106937408,0.36571747064590454,0.14700847864151,0.35,2,0,0,0,0.47403156757354736,3.295895576477051,70.11039733886719,0.4740310311317444,1.0,0.19893006954317238,0,0,0,0,0.2665228116481846,0.0,filtered,7.461584747323062e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.19893006954317238,0.391816168|0.406816151|0.19893007|0.205176437|0.341865689|0.390223739,0.541816168|0.556816151|0.34893007|0.355176437|0.491865689|0.540223739,0.511816168|0.526816151|0.31893007|0.325176437|0.461865689|0.510223739,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0275331748|0.0339267149|0.0968925123|0.104957141,-0.0903630197|0|-0.150489621|-0.160359954|-0.23159855|-0.228574437,1.47690165|1.6272646|0.672763832|0.69427251|1.23275672|1.43727766,0.375251412|-0.395581841|0.529992759,0.0712174475|0.228820443|-0.0157011691,0.00302326213568449,0.0008224779739975929,0.0008030273020267487,0.0013444134965538979
12,0.65,-0.21721242270255064,0.16533292829990387,0.09194107353687286,0.3592122793197632,0.15141946077346802,0.35,2,0,0,0,0.5132036209106445,1.4734584093093872,55.845001220703125,0.5132033824920654,1.0,0.19287363905096455,0,0,0,0,0.2665228116481846,0.0,filtered,2.8812267629132627e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.19287363905096455,0.387388624|0.402388624|0.192873639|0.198930545|0.335147716|0.384049368,0.537388624|0.552388624|0.342873639|0.348930545|0.485147716|0.534049368,0.507388624|0.522388624|0.312873639|0.318930545|0.455147716|0.504049368,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0255364524|0.0330981218|0.0999754758|0.109248824,-0.0867232337|0|-0.146728922|-0.157958639|-0.230674118|-0.227745338,1.46283126|1.6095545|0.650302086|0.670861663|1.20989222|1.41770096,0.378812313|-0.384140968|0.529207408,0.0712174475|0.228820443|-0.0157011691,0.0030791601166129112,0.0007786611095070839,0.0009490624070167542,0.00128102395683527
13,0.7000000000000001,-0.2470205720385995,0.1796024739742279,0.09466979652643204,0.35234078764915466,0.16525191068649292,0.35,2,0,0,0,0.5341991782188416,1.939957618713379,40.42638397216797,0.5341988801956177,1.0,0.1869075480346417,0,0,0,0,0.2665228116481846,0.0,filtered,3.373668432833331e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1869075480346417,0.383144822|0.398144805|0.186907548|0.192766568|0.328637421|0.378136132,0.533144822|0.548144805|0.336907548|0.342766568|0.478637421|0.528136132,0.503144822|0.518144805|0.306907548|0.312766568|0.448637421|0.498136132,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0142297859|0.0220792932|0.0871533305|0.0980272833,-0.0830134087|0|-0.142885546|-0.155433|-0.229584679|-0.22674489,1.44956588|1.59257922|0.618974432|0.637712564|1.17211834|1.38382692,0.382373214|-0.372700095|0.528422058,0.0712174475|0.228820443|-0.0157011691,0.0032062269747257233,0.000933491624891758,0.00083197932690382,0.0013853302225470543
14,0.75,-0.2712756096746569,0.18638017773628235,0.09830871224403381,0.34550756216049194,0.17159198224544525,0.35,2,0,0,0,0.5521001815795898,0.8108218908309937,36.822811126708984,0.5520998239517212,1.0,0.18056613859809845,0,0,0,0,0.2665228116481846,0.0,filtered,4.277425463445376e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.18056613859809845,0.379088234|0.394088234|0.180566139|0.1861741|0.321557407|0.371728725,0.529088234|0.544088234|0.330566139|0.3361741|0.471557407|0.521728725,0.499088234|0.514088234|0.300566139|0.3061741|0.441557407|0.491728725,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0112131963|0.0205968113|0.0915123936|0.102977616,-0.0792348475|0|-0.139098392|-0.15314527|-0.228341556|-0.225508602,1.43711809|1.57635293|0.594379358|0.61214794|1.14940046|1.36438391,0.385934114|-0.361259222|0.527636707,0.0712174475|0.228820443|-0.0157011691,0.00446678139269352,0.0014250632375478745,0.0012190397828817368,0.0017342688515782356
15,0.8,-0.2841663480783958,0.19911447167396545,0.10184983164072037,0.3384348750114441,0.18388403952121735,0.35,2,0,0,0,0.5235025882720947,2.3768694400787354,45.1096076965332,0.5235023498535156,1.0,0.1742626918192428,0,0,0,0,0.2665228116481846,0.0,filtered,2.0003285397772754e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1742626918192428,0.375222257|0.390222257|0.174262692|0.179623886|0.314762651|0.365633367,0.525222257|0.540222257|0.324262692|0.329623886|0.464762651|0.515633367,0.495222257|0.510222257|0.294262692|0.299623886|0.434762651|0.485633367,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0032999773|0.0105384952|0.0618067035|0.071446494,-0.0753890862|0|-0.135310303|-0.15074505|-0.226992263|-0.224183747,1.42549994|1.56088903|0.565040442|0.578288989|1.09386504|1.30979621,0.389495015|-0.349818349|0.526851356,0.0712174475|0.228820443|-0.0157011691,0.00485613290220499,0.0014609266072511673,0.001389024779200554,0.0019151251763105392
16,0.8500000000000001,-0.31587272148058615,0.20117990672588348,0.10688696056604385,0.33167967200279236,0.18552075326442719,0.35,2,0,0,0,0.580949068069458,3.427607536315918,106.22652435302734,0.5809488892555237,1.0,0.16775682000564263,0,0,0,0,0.2665228116481846,0.0,filtered,4.3751798328421243e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16775682000564263,0.37155021|0.386550197|0.16775682|0.172679726|0.306558007|0.358036137,0.52155021|0.536550197|0.31775682|0.322679726|0.456558007|0.508036137,0.49155021|0.506550197|0.28775682|0.292679726|0.426558007|0.478036137,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00503921305|0.0180091195|0.098771026|0.110908365,-0.0714778992|0|-0.131258045|-0.148838912|-0.225628233|-0.222828796,1.41472294|1.54620079|0.544808448|0.559889111|1.09937482|1.32022412,0.393055916|-0.338377476|0.526066005,0.0712174475|0.228820443|-0.0157011691,0.0039423992857337,0.0007904581725597382,0.001247989945113659,0.0018362756818532944
17,0.9,-0.28216812032762423,0.20667356252670288,0.10966713726520538,0.32504746317863464,0.1903548240661621,0.35,2,0,0,0,0.4324778616428375,3.738469123840332,135.76661682128906,0.4324778616428375,1.0,0.1615371135649255,0,0,0,0,0.2665228116481846,0.0,passthrough,8.492995208879001e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1615371135649255,0.368075313|0.383075313|0.161537114|0.166219933|0.30027325|0.352480559,0.518075313|0.533075313|0.311537114|0.316219933|0.45027325|0.502480559,0.488075313|0.503075313|0.281537114|0.286219933|0.42027325|0.472480559,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00565222374|0.0114970268|0.0448375764|0.0500150359,-0.0675033032|0|-0.12742525|-0.146197322|-0.224022288|-0.221253008,1.40479795|1.53230125|0.524375428|0.530179436|1.02190829|1.23868426,0.396616817|-0.326936603|0.525280654,0.0712174475|0.228820443|-0.0157011691,0.004679187200963497,0.0012917201966047287,0.0014769826084375381,0.0018227314576506615
18,0.9500000000000001,-0.32399234259290455,0.19921785593032837,0.1150284856557846,0.31913527846336365,0.18298719823360443,0.35,2,0,0,0,0.5412655472755432,4.251012325286865,152.63815307617188,0.5817434191703796,1.0,0.15556077388215828,0,0,0,0,0.2665228116481846,0.0,filtered,0.10038936524739507,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,1.6542776735961606e-07,valid,0.15556077388215828,0.364800682|0.379800658|0.155560774|0.159547173|0.291362121|0.34395244,0.514800682|0.529800658|0.305560774|0.309547173|0.441362121|0.49395244,0.484800682|0.499800658|0.275560774|0.279547173|0.411362121|0.46395244,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0140889138|0.0321345955|0.121289406|0.130869144,-0.0634675593|0|-0.122754283|-0.144428574|-0.222680597|-0.220010208,1.39573517|1.51920263|0.513577727|0.525894715|1.06405729|1.2866687,0.400177717|-0.315495729|0.524495304,0.0712174475|0.228820443|-0.0157011691,0.004380817525088787,0.001199144870042801,0.0011623846367001534,0.001942797563970089
19,1.0,-0.2904858136537166,0.19741785526275635,0.11855058372020721,0.313604474067688,0.18108902871608734,0.35,2,0,0,0,0.37895089387893677,3.9518492221832275,150.90077209472656,0.37895089387893677,1.0,0.1502300388275053,0,0,0,0,0.2665228116481846,0.0,passthrough,6.495922184324353e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1502300388275053,0.361729313|0.376729278|0.150230039|0.154025313|0.286336694|0.339520221,0.511729313|0.526729278|0.300230039|0.304025313|0.436336694|0.489520221,0.481729313|0.496729278|0.270230039|0.274025313|0.406336694|0.459520221,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.01942636|0.0321283046|0.0900177246|0.094934117,-0.0593731745|0|-0.118611423|-0.141232111|-0.221043458|-0.21857064,1.38754408|1.50691711|0.501735092|0.506997443|1.01432104|1.23444436,0.403738618|-0.304054856|0.523709953,0.0712174475|0.228820443|-0.0157011691,0.004990126937627792,0.0013692844659090042,0.00144254881888628,0.0021003540605306625
