train_seed,episode,seed,seed_manifest,success,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,final_position_error_m,completion_time_s,min_distance_m,mean_risk,max_risk
4301,0,9001,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05274716392159462,1.1,0.20547451078891754,0.08685675263404846,0.2601965367794037
4301,1,9002,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.053125157952308655,0.8,0.6428321003913879,0.02568438951857388,0.03198198229074478
4301,2,9003,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.052370812743902206,0.5,0.6218382716178894,0.02500884421169758,0.0313970111310482
4301,3,9004,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04867558553814888,1.6,0.30266714096069336,0.03844842466060072,0.1240488812327385
4301,4,9005,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04348912090063095,0.55,0.28178057074546814,0.07992426272143018,0.14479348063468933
4301,5,9006,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04796865954995155,0.5,0.14803123474121094,0.5295350342988968,0.7296788096427917
4301,6,9007,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05036378651857376,0.9500000000000001,0.26919764280319214,0.23353118214168048,0.33451417088508606
4301,7,9008,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.048864495009183884,0.6000000000000001,0.4054262936115265,0.03523519355803728,0.061278440058231354
4301,8,9009,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.052411921322345734,1.0,0.24253086745738983,0.2604760494083166,0.36160793900489807
4301,9,9010,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05012836307287216,0.6000000000000001,0.5072038173675537,0.029118301812559366,0.03478027507662773
4301,10,9011,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04836977273225784,0.9,0.46605563163757324,0.042028341028425426,0.047257885336875916
4301,11,9012,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04634156450629234,0.8,0.3739626109600067,0.03950743027962744,0.0751710832118988
4301,12,9013,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04035108536481857,0.65,0.3232057988643646,0.053882274633416764,0.1068844124674797
4301,13,9014,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05419367551803589,0.55,0.6369909644126892,0.05548299374905499,0.0627162903547287
4301,14,9015,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.047654181718826294,0.30000000000000004,0.2674679160118103,0.21795744200547537,0.27817827463150024
4301,15,9016,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.053824231028556824,9.65,0.23155951499938965,0.06120070705064838,0.2122795283794403
4301,16,9017,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.054203957319259644,1.2000000000000002,0.5846410393714905,0.04488924782102307,0.0880431979894638
4301,17,9018,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.050260961055755615,1.3,0.2967051863670349,0.04178317220738301,0.12960685789585114
4301,18,9019,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05355421081185341,10.450000000000001,0.2490616738796234,0.05431183129905513,0.18549731373786926
4301,19,9020,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04134771600365639,0.30000000000000004,0.38901758193969727,0.06712815538048744,0.06806895136833191
4301,20,9021,configs/experiments/reaching_recovery/manifests/v1_final.json,0,0,0,0,0,,0.19685108959674835,12.0,0.21677638590335846,0.042963790552069746,0.24969877302646637
4301,21,9022,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.039019856601953506,1.25,0.2315995991230011,0.26659273087978363,0.4326927065849304
4301,22,9023,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.0517239086329937,1.4000000000000001,0.28132230043411255,0.23480946703680924,0.3512287735939026
4301,23,9024,configs/experiments/reaching_recovery/manifests/v1_final.json,0,0,0,0,0,,0.18485958874225616,12.0,0.2783028185367584,0.12702187756076455,0.3416762948036194
4301,24,9025,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05328749120235443,0.8500000000000001,0.3782457113265991,0.08286452972713639,0.1374213546514511
4301,25,9026,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04988741874694824,0.8500000000000001,0.4594033360481262,0.07409673622425865,0.09469842910766602
4301,26,9027,configs/experiments/reaching_recovery/manifests/v1_final.json,0,0,0,0,0,,0.24455828964710236,12.0,0.15773852169513702,0.3225285801415642,0.5374738574028015
4301,27,9028,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.0532839335501194,0.6000000000000001,0.1885441541671753,0.15207678141693273,0.2973593473434448
4301,28,9029,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04929996281862259,0.55,0.3006807267665863,0.09017192775552924,0.15928146243095398
4301,29,9030,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.054877251386642456,1.7000000000000002,0.25428998470306396,0.07674448455081266,0.17822563648223877
4301,30,9031,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.051338642835617065,0.65,0.2771420180797577,0.2340187573662171,0.3293432295322418
4301,31,9032,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05084183067083359,0.7000000000000001,0.5544975996017456,0.024080263849880015,0.028316574171185493
