region,method,episodes,success_rate,collision_rate,non_end_link_collision_rate,mean_final_position_error,mean_min_distance,safety_violation_rate,mean_rms_jerk
elbow,ee_fixed,300,0.16,0.09,0.09,0.3919485917159666,0.1771951220991711,0.0242849586851418,27.228300606409707
elbow,ldrc_adaptive,300,0.42,0.0333333333333333,0.0333333333333333,0.1598254608238736,0.153529903710975,0.0218721522438933,58.12942679405213
elbow,ldrc_fixed,300,0.4466666666666667,0.1033333333333333,0.1033333333333333,0.1945642366198202,0.1499508865984777,0.0387860844210389,37.10917732874552
elbow,link_fixed,300,0.21,0.06,0.06,0.4786804740751783,0.2118839601555373,0.0078272222878128,21.081794729232787
forearm,ee_fixed,300,0.25,0.09,0.09,0.367712557055056,0.1846668182736418,0.0140412881622958,25.69588857650757
forearm,ldrc_adaptive,300,0.4633333333333334,0.04,0.04,0.1411207934841513,0.1845272003641973,0.0097841828713921,40.33966252962748
forearm,ldrc_fixed,300,0.5666666666666667,0.05,0.05,0.156163235908995,0.1634524592508872,0.0224862891283491,35.001754690806074
forearm,link_fixed,300,0.2466666666666666,0.04,0.04,0.44631030589963,0.2256396122463047,0.009218127995263,22.73190908432007
upper_arm,ee_fixed,300,0.13,0.07,0.07,0.4305739972274751,0.1829356470952431,0.0208653613664109,26.158769877751663
upper_arm,ldrc_adaptive,300,0.47,0.07,0.06,0.1715764979707698,0.1369330462972477,0.0330220064619902,75.76230235735575
upper_arm,ldrc_fixed,300,0.4733333333333333,0.09,0.09,0.1887842801958322,0.1444956342650887,0.0487129122605538,37.022592048645016
upper_arm,link_fixed,300,0.12,0.05,0.05,0.547929326283435,0.2295094932367404,0.0103322649572649,20.749018179575604
wrist,ee_fixed,300,0.19,0.09,0.09,0.4398430737666786,0.1728017495934788,0.0134247245750981,26.12209951400757
wrist,ldrc_adaptive,300,0.6066666666666666,0.03,0.03,0.1279511755518615,0.2136263520084321,0.0052886408353346,30.609136681556706
wrist,ldrc_fixed,300,0.4066666666666667,0.04,0.04,0.1938393027149141,0.1709972499869763,0.0149921839786292,32.597929464976
wrist,link_fixed,300,0.21,0.03,0.03,0.4466535107915599,0.2323509216556946,0.0138289776462853,21.919276472727457
