step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,qdot_policy_norm,qdot_policy_limited_norm,policy_rate_limited,safety_qp_intervened,safety_qp_infeasible,safety_qp_correction_norm,safety_qp_solve_time_ms,acc_norm,jerk_norm,physics_rms_acceleration,physics_rms_jerk
0,0.05,-0.6812122614235911,0.29447516798973083,0.4462772011756897,0.34171465039253235,0.29447516798973083,0.35,3,0,0,0,0.09615695476531982,1.4061768054962158,0.2243662327528,1,0,0,0.0,0.0,1.9231390953063965,38.4627799987793,0.9351616501808167,63.5447998046875
1,0.1,-0.6254567745742861,0.2818414866924286,0.44342470169067383,0.3296497166156769,0.2818414866924286,0.35,3,0,0,0,0.301600843667984,1.4317147731781006,0.45096346735954285,1,0,0,0.0,0.0,4.134424686431885,45.601016998291016,2.010439872741699,136.480712890625
2,0.15000000000000002,-0.531500050066759,0.25261786580085754,0.437538206577301,0.3201789855957031,0.25261786580085754,0.35,3,0,0,0,0.522944450378418,1.4666385650634766,0.6708249449729919,1,0,0,0.0,0.0,4.426886081695557,7.7401909828186035,2.1526544094085693,146.07577514648438
3,0.2,-0.42089365063846795,0.20410914719104767,0.42901158332824707,0.31366050243377686,0.20410914719104767,0.35,3,0,0,0,0.7463215589523315,1.4957143068313599,0.8997285962104797,1,0,0,0.0,0.0,4.649564266204834,30.917177200317383,2.2609360218048096,153.44520568847656
4,0.25,-0.3000470248569679,0.1375543624162674,0.41845205426216125,0.3103826642036438,0.1375543624162674,0.35,3,0,0,0,0.9778802990913391,1.5836130380630493,1.1353487968444824,1,0,0,0.0,0.0,4.85792350769043,12.033576965332031,2.3622546195983887,160.3006134033203
5,0.30000000000000004,-0.23022440929205912,0.11723815649747849,0.4062776565551758,0.31040140986442566,0.11723815649747849,0.35,3,0,0,0,1.1796165704727173,1.50229012966156,1.299431562423706,1,0,0,0.0,0.0,4.474754810333252,34.320613861083984,2.175931453704834,147.6834716796875
6,0.35000000000000003,-0.1856984020610452,0.11481764167547226,0.3929557502269745,0.3132748007774353,0.11481764167547226,0.35,3,0,0,0,1.3310141563415527,1.5075435638427734,1.4207555055618286,1,0,0,0.0,0.0,4.297244548797607,41.52046203613281,2.089613914489746,141.84176635742188
7,0.4,-0.16008078423723765,0.11091310530900955,0.3796149790287018,0.3180599510669708,0.11091310530900955,0.35,3,0,0,0,1.4168565273284912,1.543608546257019,1.447809100151062,1,0,0,0.0,0.0,3.29620361328125,34.26479721069336,1.6028395891189575,108.8052749633789
8,0.45,-0.16308619712492856,0.10641997307538986,0.36770445108413696,0.32381346821784973,0.10641997307538986,0.35,3,0,0,0,1.4475098848342896,1.4956715106964111,1.4614455699920654,1,0,0,0.0,0.0,2.534956455230713,28.40071678161621,1.2326691150665283,83.68206787109375
9,0.5,-0.1738085773482215,0.10198954492807388,0.35747256875038147,0.3297703266143799,0.10198954492807388,0.35,4,0,0,0,1.443081259727478,1.4128155708312988,1.4279375076293945,1,0,0,0.0,0.0,2.0485105514526367,36.428768157958984,0.9961258769035339,67.66797637939453
