step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.15297646901319867,0.07835132628679276,0.2329283207654953,0.5850057601928711,0.0764903873205185,0.35,2,0,0,0,0,,,nan,0,0.35740387439727783,7.148077964782715,142.9615478515625,0.35740387439727783,1.0,nan,0,0,0,0,0.4209042768833716,0.0,passthrough,1.0726178892464755e-11,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.4209042768833716,0.597522038|0.42808905|0.420904277|0.475535595|0.4979291|0.558166395,0.747522038|0.57808905|0.570904277|0.625535595|0.6479291|0.708166395,0.717522038|0.54808905|0.540904277|0.595535595|0.6179291|0.678166395,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0318400398|-0.0107487235|0.026466781|0.0354862029|0,-0.134783612|-0.136936637|-0.146352272|-0.147691602|-0.145828461|0,2.25530454|1.54357952|1.52651611|1.78091756|1.88137414|2.23266558,0.512826622|-0.580360413|0.572271943,-0.0349794254|0.138806731|-0.0523388274,0.017336097545921803,0.0138194365426898,0.0014118365943431854,0.0020600343123078346
1,0.1,-0.132151597378291,0.09116622805595398,0.2292877584695816,0.5761272311210632,0.08915328979492188,0.35,2,0,0,0,0,,,nan,0,0.5227741003036499,3.7009975910186768,90.03932189941406,0.5227739214897156,1.0,nan,0,0,0,0,0.4209042768833716,0.0,filtered,4.0893087103172597e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.4130548498853287,0.590790136|0.419661862|0.41305485|0.469499633|0.492444808|0.552742701,0.740790136|0.569661862|0.56305485|0.619499633|0.642444808|0.702742701,0.710790136|0.539661862|0.53305485|0.589499633|0.612444808|0.672742701,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0497600671|-0.0313966305|0.00446564334|0.0135821439|0,-0.134496709|-0.136935804|-0.14624393|-0.147498444|-0.145484976|0,2.22866383|1.49195158|1.47457884|1.73496573|1.8378764|2.21097081,0.511077821|-0.573420286|0.569654822,-0.0349794254|0.138806731|-0.0523388274,0.004903367720544338,0.0014650234952569008,0.0014081615954637527,0.001996835693717003
2,0.15000000000000002,-0.16196521640611317,0.08924083411693573,0.22747793793678284,0.5672546625137329,0.08682510256767273,0.35,2,0,0,0,0,,,nan,0,0.47367721796035767,4.252913475036621,122.44049072265625,0.47367700934410095,1.0,nan,0,0,0,0,0.4209042768833716,0.0,filtered,2.6869680063567107e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.40417717529848873,0.584072743|0.410332743|0.404177175|0.462377442|0.485890156|0.546575886,0.734072743|0.560332743|0.554177175|0.612377442|0.635890156|0.696575886,0.704072743|0.530332743|0.524177175|0.582377442|0.605890156|0.666575886,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0406543548|-0.0313107464|-0.0108402673|-0.00492244313|0,-0.134203198|-0.1370486|-0.146237039|-0.147266209|-0.145015834|0,2.20208777|1.46362802|1.43916092|1.69140329|1.79362235|2.18630354,0.509329021|-0.56648016|0.567037702,-0.0349794254|0.138806731|-0.0523388274,0.004920748993754387,0.0014714989811182022,0.0014383988454937935,0.0019786953926086426
3,0.2,-0.16104260211729476,0.09072111546993256,0.22570273280143738,0.5584514141082764,0.08812001347541809,0.35,2,0,0,0,0,,,nan,0,0.48276621103286743,1.9792218208312988,50.9019775390625,0.4827660918235779,1.0,nan,0,0,0,0,0.4209042768833716,0.0,filtered,1.6876449005291237e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.395296801883544,0.577370194|0.401443147|0.395296802|0.454485128|0.478411725|0.539442128,0.727370194|0.551443147|0.545296802|0.604485128|0.628411725|0.689442128,0.697370194|0.521443147|0.515296802|0.574485128|0.598411725|0.659442128,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0313643707|-0.0298723727|-0.0238094342|-0.0225294564|0,-0.133902887|-0.137043332|-0.146288567|-0.147129664|-0.144636502|0,2.17557789|1.43736488|1.40502627|1.64700141|1.74648094|2.15776851,0.507580221|-0.559540033|0.564420581,-0.0349794254|0.138806731|-0.0523388274,0.0047934651374816895,0.0014489777386188507,0.0014004958793520927,0.001913502812385559
4,0.25,-0.14681178788631813,0.09304411709308624,0.22314833104610443,0.5496575236320496,0.09024399518966675,0.35,2,0,0,0,0,,,nan,0,0.4975775480270386,1.251187801361084,56.92829895019531,0.4975775480270386,1.0,nan,0,0,0,0,0.4209042768833716,0.0,passthrough,8.828192822283821e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3864820859800403,0.570682835|0.393017661|0.386482086|0.445943738|0.470061887|0.531456146,0.720682835|0.543017661|0.536482086|0.595943738|0.620061887|0.681456146,0.690682835|0.513017661|0.506482086|0.565943738|0.590061887|0.651456146,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0326560115|-0.0295849401|-0.0206351842|-0.0196054779|0,-0.133595582|-0.136925755|-0.14636476|-0.147014328|-0.144280008|0,2.14913576|1.40248888|1.36997864|1.61612544|1.71636206|2.12582459,0.50583142|-0.552599907|0.56180346,-0.0349794254|0.138806731|-0.0523388274,0.0050612278282642365,0.00164121575653553,0.0014355555176734924,0.001954244449734688
5,0.30000000000000004,-0.14279632039817444,0.09640070796012878,0.220326229929924,0.5408089756965637,0.09338483214378357,0.35,2,0,0,0,0,,,nan,0,0.5115146636962891,1.0302298069000244,22.405555725097656,0.5115146636962891,1.0,nan,0,0,0,0,0.4209042768833716,0.0,passthrough,9.383801633225621e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.37767930613953926,0.564011019|0.384533766|0.377679306|0.437569054|0.461880571|0.523568647,0.714011019|0.534533766|0.527679306|0.587569054|0.611880571|0.673568647,0.684011019|0.504533766|0.497679306|0.557569054|0.581880571|0.643568647,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0320209809|-0.0306180036|-0.0245340039|-0.0247001253|0,-0.133281081|-0.136825929|-0.146422666|-0.146848522|-0.143858763|0,2.122763|1.36928815|1.33367655|1.57889369|1.67896339|2.09427459,0.50408262|-0.545659781|0.559186339,-0.0349794254|0.138806731|-0.0523388274,0.004838593304157257,0.0014633461833000183,0.001423611305654049,0.0019207661971449852
6,0.35000000000000003,-0.14874793660677432,0.09202627092599869,0.2181665599346161,0.5324882864952087,0.08879324048757553,0.35,2,0,0,0,0,,,nan,0,0.5033658146858215,2.0060653686523438,36.98044967651367,0.5033658146858215,1.0,nan,0,0,0,0,0.4209042768833716,0.0,passthrough,1.0334882792169887e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3688209051801935,0.557355113|0.376086495|0.368820905|0.429007071|0.453465157|0.515414444,0.707355113|0.526086495|0.518820905|0.579007071|0.603465157|0.665414444,0.677355113|0.496086495|0.488820905|0.549007071|0.573465157|0.635414444,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0199357684|-0.0199289889|-0.0175594574|-0.0196684745|0,-0.132959174|-0.136707734|-0.146486397|-0.146664175|-0.143407885|0,2.09646128|1.34770248|1.30886824|1.55180465|1.65078427|2.06165777,0.50233382|-0.538719654|0.556569219,-0.0349794254|0.138806731|-0.0523388274,0.0047391122207045555,0.0014497898519039154,0.0013598958030343056,0.0018954956904053688
7,0.4,-0.13644852111956907,0.08614084124565125,0.2157796025276184,0.5247952342033386,0.0826948881149292,0.35,2,0,0,0,0,,,nan,0,0.4853084683418274,1.2297946214675903,43.05742645263672,0.4853084683418274,1.0,nan,0,0,0,0,0.4209042768833716,0.0,passthrough,1.0093248537522851e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.36049639111888154,0.55071549|0.368254984|0.360496391|0.420800811|0.445319679|0.507393025,0.70071549|0.518254984|0.510496391|0.570800811|0.595319679|0.657393025,0.67071549|0.488254984|0.480496391|0.540800811|0.565319679|0.627393025,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.00920955094|-0.00723978522|-0.00289241423|-0.00596444933|0,-0.132629647|-0.13648931|-0.146509608|-0.146513877|-0.143014937|0,2.07023231|1.32732107|1.28823617|1.53379695|1.63229933|2.0295721,0.50058502|-0.531779528|0.553952098,-0.0349794254|0.138806731|-0.0523388274,0.004370773211121559,0.0012328652665019035,0.0012839175760746002,0.0018266160041093826
8,0.45,-0.12106502509104872,0.08255156874656677,0.2128521203994751,0.5175499320030212,0.07889451831579208,0.35,2,0,0,0,0,,,nan,0,0.47453972697257996,2.441483736038208,43.57771301269531,0.47453972697257996,1.0,nan,0,0,0,0,0.4209042768833716,0.0,passthrough,8.952486751094307e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3528099551342282,0.544092539|0.360975465|0.352809955|0.413336435|0.437881628|0.500028797,0.694092539|0.510975465|0.502809955|0.563336435|0.587881628|0.650028797,0.664092539|0.480975465|0.472809955|0.533336435|0.557881628|0.620028797,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0086625673|0.00182750446|0.0199041462|0.0197738813|0,-0.132292275|-0.136205187|-0.146462272|-0.146355635|-0.142638107|0,2.04407788|1.29903411|1.26660505|1.52689425|1.62866229|2.00011519,0.498836219|-0.524839401|0.551334977,-0.0349794254|0.138806731|-0.0523388274,0.006596636958420277,0.001654607243835926,0.0013974709436297417,0.003512384369969368
9,0.5,-0.11341675535385023,0.08611520379781723,0.20947502553462982,0.5102161169052124,0.08239830285310745,0.35,2,0,0,0,0,,,nan,0,0.4695558249950409,1.8157271146774292,24.023006439208984,0.4695558249950409,1.0,nan,0,0,0,0,0.4209042768833716,0.0,passthrough,8.058825208552964e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.34558309336716087,0.537486657|0.353738554|0.345583093|0.407025839|0.431759708|0.494016135,0.687486657|0.503738554|0.495583093|0.557025839|0.581759708|0.644016135,0.657486657|0.473738554|0.465583093|0.527025839|0.551759708|0.614016135,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0135511973|-6.68060789e-05|0.0236395278|0.0254449139|0,-0.131946831|-0.135968858|-0.146335169|-0.146142273|-0.142211032|0,2.0179998|1.26543416|1.2359304|1.50560061|1.61027271|1.97606454,0.497087419|-0.517899275|0.548717856,-0.0349794254|0.138806731|-0.0523388274,0.005710972473025322,0.0012491950765252113,0.0012319162487983704,0.003202502615749836
