target_capsule,target_capsule_index,sample_index,capsule_closest_index,bullet_closest_link_index,capsule_distance_m,bullet_distance_m,capsule_minus_bullet_m,capsule_violation,bullet_violation,capsule_collision,bullet_collision
shoulder,0,0,0,1,0.0026995340215891644,0.037271020402806096,-0.03457148638121693,1,1,0,0
shoulder,0,1,0,1,-0.02731108339871237,0.020348527281377315,-0.047659610680089684,1,1,1,0
shoulder,0,2,1,3,-0.024875327267207467,0.042868753417757935,-0.0677440806849654,1,1,1,0
shoulder,0,3,0,2,0.1155476953869064,0.12929397553515432,-0.013746280148247914,1,0,0,0
shoulder,0,4,0,2,0.06060207549302132,0.07474663779523844,-0.014144562302217112,1,1,0,0
shoulder,0,5,0,1,0.246944771324005,0.28987308737004314,-0.04292831604603814,0,0,0,0
shoulder,0,6,0,3,0.2148473421849295,0.1159618167191725,0.09888552546575702,0,1,0,0
shoulder,0,7,0,2,0.02573260787829608,0.028947404311356256,-0.003214796433060177,1,1,0,0
shoulder,0,8,1,3,0.022616000588979807,0.09646886604671032,-0.07385286545773051,1,1,0,0
shoulder,0,9,0,2,0.1848408413867464,0.19181118001927716,-0.00697033863253077,0,0,0,0
shoulder,0,10,1,4,0.0966312870682614,0.14801250569613203,-0.05138121862787062,1,0,0,0
shoulder,0,11,0,1,0.06006989616270947,0.06180333848734898,-0.0017334423246395114,1,1,0,0
shoulder,0,12,2,5,-0.024680347372050902,-0.030654765123864676,0.005974417751813774,1,1,1,1
shoulder,0,13,0,1,0.0034943174662981774,0.004367344566442749,-0.0008730271001445716,1,1,0,0
shoulder,0,14,0,1,-0.04428656291264475,0.027608788764898126,-0.07189535167754288,1,1,1,0
shoulder,0,15,0,2,-0.02130108013991247,-0.020225066161814895,-0.0010760139780975758,1,1,1,1
shoulder,0,16,0,2,0.22369022372831804,0.22997827296396445,-0.006288049235646409,0,0,0,0
shoulder,0,17,0,1,0.19191222933211727,0.21340069881825025,-0.021488469486132977,0,0,0,0
shoulder,0,18,0,1,0.24586307754334336,0.31957566868943404,-0.07371259114609069,0,0,0,0
shoulder,0,19,0,2,0.29125141978855285,0.28974312168334065,0.0015082981052121913,0,0,0,0
shoulder,0,20,1,3,-0.014513964248525496,-0.03029854793248777,0.015784583683962274,1,1,1,1
shoulder,0,21,1,2,-0.06682210108708006,-0.033127752740887896,-0.033694348346192164,1,1,1,1
shoulder,0,22,0,2,-0.055407961299799635,-0.06256268343596193,0.007154722136162292,1,1,1,1
shoulder,0,23,0,1,0.16849401696318572,0.1758269329098443,-0.00733291594665858,0,0,0,0
shoulder,0,24,0,2,0.15262654549040372,0.15681430534997898,-0.004187759859575257,0,0,0,0
shoulder,0,25,0,1,0.001243980996222041,-0.005081246819148927,0.006325227815370968,1,1,0,1
shoulder,0,26,0,1,0.17323854025366775,0.17674925226261695,-0.0035107120089492017,0,0,0,0
shoulder,0,27,0,1,0.19961201303478981,0.20351116162528726,-0.0038991485904974477,0,0,0,0
shoulder,0,28,3,3,0.06601657196457122,0.05242923284118749,0.013587339123383738,1,1,0,0
shoulder,0,29,0,1,-0.014346016853150248,0.052591191182583805,-0.06693720803573405,1,1,1,0
shoulder,0,30,0,1,0.10984697403427024,0.12335157926515772,-0.013504605230887479,1,0,0,0
shoulder,0,31,0,1,-0.0005452992604172563,0.01856486947715666,-0.019110168737573915,1,1,1,0
shoulder,0,32,0,2,0.22559856810264178,0.2270746102111974,-0.0014760421085556197,0,0,0,0
shoulder,0,33,0,3,0.038182970554143256,-0.026190977693967547,0.0643739482481108,1,1,0,1
shoulder,0,34,4,3,0.016028688856097914,-0.002508588189860786,0.0185372770459587,1,1,0,1
shoulder,0,35,0,3,0.19021073328349752,0.14764727240634032,0.042563460877157205,0,0,0,0
shoulder,0,36,1,4,0.18600497972969748,0.2204220788460053,-0.0344170991163078,0,0,0,0
shoulder,0,37,0,1,0.1784945798497256,0.14275263906348845,0.03574194078623716,0,0,0,0
shoulder,0,38,4,4,-0.039793539579687634,-0.044215764320783564,0.00442222474109593,1,1,1,1
shoulder,0,39,3,3,-0.04325332030302244,-0.06704411197681993,0.023790791673797496,1,1,1,1
shoulder,0,40,0,3,0.26277741928563797,0.19085656856576427,0.0719208507198737,0,0,0,0
shoulder,0,41,1,3,0.221497860789152,0.08926081802703875,0.13223704276211326,0,1,0,0
shoulder,0,42,0,2,-0.03310433140395616,-0.02570562053675559,-0.007398710867200571,1,1,1,1
shoulder,0,43,1,3,0.001436022358274669,-0.10391780388231815,0.10535382624059282,1,1,0,1
shoulder,0,44,0,2,-0.046230592878939034,-0.040509576014065005,-0.005721016864874029,1,1,1,1
shoulder,0,45,0,1,0.005042932954846938,0.013862783430205916,-0.008819850475358978,1,1,0,0
shoulder,0,46,0,1,0.019360652356271643,-0.005226947557578632,0.024587599913850275,1,1,0,1
shoulder,0,47,0,3,0.030241818075631824,-0.09641590389897713,0.12665772197460895,1,1,0,1
shoulder,0,48,0,3,0.018955357015274774,-0.11424835877436194,0.13320371578963672,1,1,0,1
shoulder,0,49,0,3,0.21408505716660486,0.12585934445031532,0.08822571271628954,0,0,0,0
shoulder,0,50,2,4,-0.04200281907616344,-0.05763404998423481,0.01563123090807137,1,1,1,1
shoulder,0,51,0,1,0.1624367774895814,0.1582092963285429,0.004227481161038521,0,0,0,0
shoulder,0,52,1,4,0.0329257436498088,0.06345279951213137,-0.030527055862322572,1,1,0,0
shoulder,0,53,0,2,0.00909831571016946,0.024145973256213066,-0.015047657546043605,1,1,0,0
shoulder,0,54,0,2,0.003441908258034407,0.01838840344914021,-0.014946495191105802,1,1,0,0
shoulder,0,55,0,3,0.06943195916644657,0.011684836478102562,0.057747122688344005,1,1,0,0
shoulder,0,56,0,3,0.013105756113786712,0.010053246924569326,0.0030525091892173867,1,1,0,0
shoulder,0,57,0,2,0.050539051014387146,0.05301088621768954,-0.0024718352033023944,1,1,0,0
shoulder,0,58,1,2,0.2606199993092246,0.2788152136578029,-0.018195214348578292,0,0,0,0
shoulder,0,59,0,1,0.2713927423404984,0.27233926165584943,-0.0009465193153510021,0,0,0,0
shoulder,0,60,0,2,0.012800102440478425,0.0029083040797378695,0.009891798360740556,1,1,0,0
shoulder,0,61,0,1,0.008527055466139952,0.021849124950554327,-0.013322069484414376,1,1,0,0
shoulder,0,62,0,2,0.13859892001308455,0.14983020919432363,-0.011231289181239085,0,0,0,0
shoulder,0,63,0,1,0.07466827445578977,0.08355564342913241,-0.008887368973342635,1,1,0,0
shoulder,0,64,0,1,0.1564724969719914,0.16620615580578804,-0.009733658833796649,0,0,0,0
shoulder,0,65,1,2,-0.07605550755941703,-0.05441758898445395,-0.021637918574963083,1,1,1,1
shoulder,0,66,1,1,0.20941804364282907,0.21687187088683318,-0.007453827244004119,0,0,0,0
shoulder,0,67,0,3,0.17897404243366116,0.1407421574621722,0.038231884971488966,0,0,0,0
shoulder,0,68,0,1,0.032206706037732444,0.03274364481333589,-0.0005369387756034433,1,1,0,0
shoulder,0,69,0,3,0.16972833678193078,0.040649234023752215,0.12907910275817858,0,1,0,0
shoulder,0,70,0,3,0.14039104282059378,0.1345733346331402,0.005817708187453585,0,0,0,0
shoulder,0,71,0,2,0.1334937649088755,0.14806513358917292,-0.01457136868029743,0,0,0,0
shoulder,0,72,0,3,0.2509567109457098,0.16507463345220988,0.08588207749349994,0,0,0,0
shoulder,0,73,0,1,0.14904157416060332,0.16263291418027118,-0.013591340019667858,0,0,0,0
shoulder,0,74,1,1,-0.05108690510571823,0.027543583912394684,-0.07863048901811291,1,1,1,0
shoulder,0,75,0,1,0.044097806440566115,0.0962177442150664,-0.05211993777450029,1,1,0,0
shoulder,0,76,1,3,-0.019259663827408083,0.0661604610268347,-0.08542012485424279,1,1,1,0
shoulder,0,77,0,3,0.16408681459279617,0.06082185957261052,0.10326495502018565,0,1,0,0
shoulder,0,78,2,3,-0.04951653818961129,-0.059042631635099374,0.009526093445488083,1,1,1,1
shoulder,0,79,0,1,0.06567627720147035,0.13246167164586595,-0.0667853944443956,1,0,0,0
shoulder,0,80,0,1,0.16324679502343015,0.20420466104117718,-0.040957866017747036,0,0,0,0
shoulder,0,81,0,6,-0.0052808239080974345,0.031244709166001305,-0.03652553307409874,1,1,1,0
shoulder,0,82,1,4,0.042368556694424936,0.08971582712101048,-0.04734727042658554,1,1,0,0
shoulder,0,83,0,2,-0.05256234710267567,-0.037827340630665215,-0.014735006472010453,1,1,1,1
shoulder,0,84,0,3,0.05680623445928529,-0.008679836025441486,0.06548607048472677,1,1,0,1
shoulder,0,85,1,3,0.19957610466019726,0.05387959503868722,0.14569650962151004,0,1,0,0
shoulder,0,86,2,4,0.07778011130754,0.06765163411256547,0.010128477194974533,1,1,0,0
shoulder,0,87,0,1,0.07701161489198316,0.07794519744920961,-0.0009335825572264478,1,1,0,0
shoulder,0,88,1,1,-0.10437485804865748,0.011788415355696177,-0.11616327340435366,1,1,1,0
shoulder,0,89,0,1,0.156100212098033,0.1609352994577882,-0.0048350873597552135,0,0,0,0
shoulder,0,90,0,1,-0.07226351852393542,0.0012867392057097221,-0.07355025772964514,1,1,1,0
shoulder,0,91,0,1,-0.03851477052529717,0.021033131492663698,-0.05954790201796087,1,1,1,0
shoulder,0,92,0,3,0.28344945494875007,0.13821297596340734,0.14523647898534273,0,0,0,0
shoulder,0,93,0,3,0.17981781014038967,0.16698286681314872,0.012834943327240944,0,0,0,0
shoulder,0,94,0,1,0.10824644601398153,0.09987557359253782,0.008370872421443715,1,1,0,0
shoulder,0,95,1,3,0.17573791386022908,0.187536182309045,-0.01179826844881593,0,0,0,0
shoulder,0,96,0,2,0.07744572064641414,0.06622772459401696,0.011217996052397178,1,1,0,0
shoulder,0,97,0,1,0.17311429259745797,0.17651410059309317,-0.00339980799563519,0,0,0,0
shoulder,0,98,0,1,0.021956126187590227,0.022636195840957954,-0.0006800696533677264,1,1,0,0
shoulder,0,99,0,2,-0.01790821476293321,-0.003840459540101329,-0.01406775522283188,1,1,1,1
upper_arm,1,0,2,4,-0.019439195672730163,-0.06281000223525623,0.04337080656252607,1,1,1,1
upper_arm,1,1,1,3,0.0962491428494466,0.14415585834062167,-0.04790671549117506,1,0,0,0
upper_arm,1,2,0,2,-0.08207696249170778,-0.06691582717113896,-0.015161135320568814,1,1,1,1
upper_arm,1,3,1,3,-0.011903145278537933,-0.003358031816672019,-0.008545113461865914,1,1,1,1
upper_arm,1,4,2,4,-0.0124173101345312,-0.008985627124433092,-0.0034316830100981077,1,1,1,1
upper_arm,1,5,2,4,0.26204540947240884,0.2616688631807365,0.00037654629167233056,0,0,0,0
upper_arm,1,6,0,3,0.0793862999181224,-0.04279849793179971,0.12218479784992212,1,1,0,1
upper_arm,1,7,2,4,-0.038520315810719526,-0.04014446747546094,0.001624151664741412,1,1,1,1
upper_arm,1,8,0,3,0.0384714703638883,0.042215310211863935,-0.003743839847975633,1,1,0,0
upper_arm,1,9,1,4,0.20052834857615437,0.27081429795390044,-0.07028594937774607,0,0,0,0
upper_arm,1,10,0,1,-0.06757945099767293,-0.03922490338972811,-0.02835454760794482,1,1,1,1
upper_arm,1,11,0,3,-0.006639819320416643,-0.12319027683112005,0.1165504575107034,1,1,1,1
upper_arm,1,12,2,3,-0.04204265059525759,-0.04203006313049312,-1.2587464764464429e-05,1,1,1,1
upper_arm,1,13,1,3,0.05873085042575099,0.09564156545796682,-0.036910715032215824,1,1,0,0
upper_arm,1,14,0,2,0.05180128109284164,0.06431710255942433,-0.012515821466582686,1,1,0,0
