step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
10,0.55,-0.4283876011744317,0.09200458228588104,0.4521099925041199,0.42318859696388245,0.08082789927721024,0.35,0,0,0,0,0.939899206161499,4.132259845733643,32.63481521606445,0.9398991465568542,1.0,0.282318937535748,0,0,0,0,0.33174981301787704,0.0,filtered,2.1011389982751056e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.282318937535748,0.296552192|0.311552191|0.308120883|0.306192202|0.300731009|0.282318938,0.416552192|0.431552191|0.428120883|0.426192202|0.420731009|0.402318938,0.416552192|0.431552191|0.428120883|0.426192202|0.420731009|0.402318938,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0403474646|0.15416016|0.176927004|0.116528354,-0.0569458038|0|-0.0618896701|-0.147900053|-0.174123898|-0.214329704,1.12926296|1.24620876|1.21094133|1.23102892|1.20572714|1.0314744,0.452427149|-0.300451517|0.269303471,0.0946203694|0.317379653|0.0224396233,0.003805168904364109
11,0.6000000000000001,-0.4264834261144327,0.11628200113773346,0.44701260328292847,0.41963621973991394,0.10539491474628448,0.35,0,0,0,0,0.9240157604217529,4.810297012329102,24.467735290527344,0.9240155220031738,1.0,0.2787843946985731,0,0,0,0,0.33174981301787704,0.0,filtered,6.887089506352337e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2787843946985731,0.293944101|0.308944101|0.307232692|0.307411825|0.302217746|0.278784395,0.413944101|0.428944101|0.427232692|0.427411825|0.422217746|0.398784395,0.413944101|0.428944101|0.427232692|0.427411825|0.422217746|0.398784395,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0203385323|0.0936834438|0.117037293|0.0737011721,-0.0473548382|0|-0.051880696|-0.134009834|-0.155676942|-0.197300668,1.12842157|1.23577641|1.1973886|1.18932091|1.17023133|0.991538083,0.457158208|-0.284582496|0.270425349,0.0946203694|0.317379653|0.0224396233,0.0037132613360881805
12,0.65,-0.4067728827623586,0.12569668889045715,0.4409303367137909,0.41504478454589844,0.11513680964708328,0.35,5,0,0,0,0.9894627332687378,4.144717693328857,85.31193542480469,0.9894624948501587,1.0,0.2738124499001813,0,0,0,0,0.33174981301787704,0.0,filtered,8.549914848924948e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2738124499001813,0.29181872|0.30681872|0.305901894|0.306258913|0.301498864|0.27381245,0.41181872|0.42681872|0.425901894|0.426258913|0.421498864|0.39381245,0.41181872|0.42681872|0.425901894|0.426258913|0.421498864|0.39381245,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00349022986|0.0433357331|0.0871954221|0.0552518368,-0.037641288|0|-0.0420909213|-0.12072016|-0.138283708|-0.180960584,1.12963359|1.22727488|1.18500688|1.14765122|1.15490717|0.969541052,0.461889267|-0.268713474|0.271547228,0.0946203694|0.317379653|0.0224396233,0.003702276386320591
13,0.7000000000000001,-0.3862163877114074,0.1539318859577179,0.43294110894203186,0.4061615467071533,0.14366446435451508,0.35,5,0,0,0,1.0352650880813599,3.485102653503418,44.90806198120117,1.0352650880813599,1.0,0.268567179781202,0,0,0,0,0.33174981301787704,0.0,passthrough,3.428276395135574e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.268567179781202,0.290181592|0.305181592|0.304213474|0.303104769|0.299970901|0.26856718,0.410181592|0.425181592|0.424213474|0.423104769|0.419970901|0.38856718,0.410181592|0.425181592|0.424213474|0.423104769|0.419970901|0.38856718,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0095673879|-0.0168317886|0.0398190149|0.0142066345,-0.0278288047|0|-0.0324778492|-0.107471581|-0.121209515|-0.164629027,1.13289756|1.22072637|1.17480866|1.08811571|1.11849311|0.923846327,0.466620326|-0.252844453|0.272669107,0.0946203694|0.317379653|0.0224396233,0.002794363535940647
14,0.75,-0.3653846713925004,0.22582656145095825,0.4209127128124237,0.3933848738670349,0.215623140335083,0.35,5,0,0,0,1.0204912424087524,4.164392471313477,57.099815368652344,1.0204912424087524,1.0,0.2620127870112809,0,0,0,0,0.33174981301787704,0.0,passthrough,4.192343945982467e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2620127870112809,0.289037046|0.304037023|0.302337496|0.297540119|0.296768128|0.262012787,0.409037046|0.424037023|0.422337496|0.417540119|0.416768128|0.382012787,0.409037046|0.424037023|0.422337496|0.417540119|0.416768128|0.382012787,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0247992758|-0.109244703|-0.0596776365|-0.0806113986,-0.0179423138|0|-0.022973398|-0.0943006692|-0.104406158|-0.148146387,1.13820587|1.21614809|1.16157731|0.986615104|1.02298872|0.819293362,0.471351385|-0.236975431|0.273790985,0.0946203694|0.317379653|0.0224396233,0.0026716850697994232
15,0.8,-0.323341418511136,0.23863746225833893,0.4071335792541504,0.3803649842739105,0.228728786110878,0.35,5,0,0,0,0.9909735918045044,3.4826104640960693,80.07886505126953,0.9909735918045044,1.0,0.2515908994028044,0,0,0,0,0.33174981301787704,0.0,passthrough,3.5915393837157136e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2515908994028044,0.288388138|0.303388094|0.300160368|0.288078434|0.289279875|0.251590899,0.408388138|0.423388094|0.420160368|0.408078434|0.409279875|0.371590899,0.408388138|0.423388094|0.420160368|0.408078434|0.409279875|0.371590899,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0358212173|-0.125263969|-0.0777371385|-0.095276336,-0.00800771223|0|-0.013568588|-0.0812085297|-0.0882420934|-0.131421044,1.14554484|1.21355238|1.15125167|0.945841237|0.991140266|0.779666218,0.476082444|-0.22110641|0.274912864,0.0946203694|0.317379653|0.0224396233,0.002521272748708725
16,0.8500000000000001,-0.2921391120917826,0.23892907798290253,0.3928946256637573,0.3679971694946289,0.22968009114265442,0.35,5,0,0,0,0.9269405007362366,2.790743589401245,88.14979553222656,0.9269405007362366,1.0,0.24116458295186488,0,0,0,0,0.33174981301787704,0.0,passthrough,7.467545083355051e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.24116458295186488,0.288227081|0.303227081|0.297830349|0.278336029|0.281448841|0.241164583,0.408227081|0.423227081|0.417830349|0.398336029|0.401448841|0.361164583,0.408227081|0.423227081|0.417830349|0.398336029|0.401448841|0.361164583,0.140216935|0.140216935|0.15|0.15|0.15|0.15,0|0|-0.0321562042|-0.117104801|-0.0866995093|-0.0975540514,6.66602625e-18|0|-0.00416370858|-0.0667901971|-0.0719439856|-0.113071486,1.15290832|1.21290832|1.15500148|0.929449117|0.967151869|0.754032794,0.480813503|-0.205237389|0.276034743,0.0946203694|0.317379653|0.0224396233,0.0039348481222987175
17,0.9,-0.2524028770024234,0.2400420904159546,0.3777175843715668,0.3561682403087616,0.231863871216774,0.35,5,0,0,0,0.9212396144866943,1.4366027116775513,36.78468322753906,0.9212396144866943,1.0,0.231633218123881,0,0,0,0,0.33174981301787704,0.0,passthrough,1.7494312467003472e-11,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.231633218123881,0.288227071|0.303227043|0.296115889|0.269793751|0.274050983|0.231633218,0.408227071|0.423227043|0.416115889|0.389793751|0.394050983|0.351633218,0.408227071|0.423227043|0.416115889|0.389793751|0.394050983|0.351633218,0.0902168097|0.0902168759|0.123375526|0.15|0.15|0.15,0|0|-0.0339303611|-0.122677471|-0.103590999|-0.103823824,-1.09642151e-17|0|-1.8006011e-17|-0.05138487|-0.0554157792|-0.0931249763,1.15290828|1.21290817|1.1505332|0.905112664|0.937197152|0.729584072,0.485544562|-0.189368367|0.277156621,0.0946203694|0.317379653|0.0224396233,0.0037782685831189156
18,0.9500000000000001,-0.1966494672187585,0.19321966171264648,0.36323660612106323,0.3473796546459198,0.18671543896198273,0.35,5,0,0,0,0.9313880801200867,1.4343986511230469,54.26283645629883,0.9313880801200867,1.0,0.22288418873597393,0,0,0,0,0.33174981301787704,0.0,passthrough,1.2159613038711889e-11,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.22288418873597393,0.288227061|0.303227052|0.294372173|0.26181886|0.266672234|0.222884189,0.408227061|0.423227052|0.414372173|0.38181886|0.386672234|0.342884189,0.408227061|0.423227052|0.414372173|0.38181886|0.386672234|0.342884189,0.0402166848|0.0402166903|0.0759327508|0.15|0.15|0.15,0|0|-0.0371320259|-0.0979361194|-0.0831818893|-0.0614318775,-1.45578556e-17|0|-1.75771003e-17|-0.0348812948|-0.03865196|-0.0716118873,1.15290824|1.21290821|1.14035667|0.914458027|0.944855086|0.75849299,0.490275621|-0.173499346|0.2782785,0.0946203694|0.317379653|0.0224396233,0.0038766497746109962
19,1.0,-0.15285120163011953,0.23327907919883728,0.3454572558403015,0.33679530024528503,0.22878499329090118,0.35,5,0,0,0,0.9632878303527832,3.0314950942993164,67.7924575805664,0.9632878303527832,1.0,0.21742155615251618,0,0,0,0,0.33174981301787704,0.0,passthrough,1.0608791876279132e-11,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.21742155615251618,0.288236582|0.303236574|0.292469001|0.255982086|0.261129949|0.217421556,0.408236582|0.423236574|0.412469001|0.375982086|0.381129949|0.337421556,0.408236582|0.423236574|0.412469001|0.375982086|0.381129949|0.337421556,0|0|0.0281860369|0.15|0.15|0.15,0|0|-0.0496009614|-0.155045225|-0.15333272|-0.119812015,0.00194853745|0|-2.99891131e-18|-0.0171699977|-0.021432998|-0.0486560383,1.15489487|1.2129463|1.12027504|0.851713122|0.869754077|0.701218172,0.49500668|-0.157630324|0.279400378,0.0946203694|0.317379653|0.0224396233,0.0024992870166897774
