speed_mps,episodes,success_rate,collision_rate,capsule_overlap_rate,pybullet_contact_rate,avoidable_collision_rate,infeasible_rate,mean_solve_ms,max_solve_ms
0.05,80,0.05,0.15,0.15,0.0,0.15,0.1777143697415822,4.88025937363428,325.3306737169623
0.1,80,0.0625,0.3375,0.3375,0.0,0.0875,0.24128689594197872,4.973894082193618,338.2061040028929
0.2,80,0.0375,0.375,0.375,0.0,0.0375,0.2343299084566694,5.232516403400779,329.2615227401256
0.3,80,0.075,0.5375,0.5375,0.0375,0.0375,0.3836673657228653,4.944118057218907,337.3925415799021
0.38,80,0.0625,0.65,0.65,0.025,0.0875,0.48722223173088286,4.906271966174216,294.3752659484744
