step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.2157929923634652,0.2999170422554016,0.2884999215602875,0.2904537320137024,0.19874359667301178,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4898979663848877,9.797959327697754,195.9591827392578,1.4131556749343872,1.4131556749343872,0.2973854604824292,0.2884999215602875,0.008885538922141722,0.36063702325940433,0.2588923070467475,0.3464851079413025,0.1878979291910104,0.1585871787502921,0.3464851152867881,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8617862960090861,0.8617862960090861,40,1,1,1,24,1.6822910830600932,0.14472931623458862,0.000812171776988065;0.0011794954495837609;0.0009259980646515488;0.00018143545194606166;0.0029169751841171977;0.004195704316316064;0.008650652396829451;0.006608957974480165;0.001455467667895171;0.0035187902348163685;0.003213544108558832;0.006930145380329694;0.006497350320220328;0.003252104550682607;0.001629023875769218;0.014408141469427621;0.003492268684538375;0.004734789360483309;0.007147785352282363;0.002023518577517784;0.0021149325339439706;0.0021399243500630294;0.007144747729771467;0.011647558705690935;0.009993085538450562;0.004092609876165324;0.00890267452673385;0.004955782312896945;0.00835983070397475;0.0033877324961721165;0.009313417162883121;0.004748499308896792;0.0017741685670971583;0.0018693440969533228;0.00712981228412372;0.005252128100925907;0.003841608155726484;0.002342224795506193;0.009157912033419547;0.005017539613166754,0.1358819305896759;0.13559217751026154;0.13704225420951843;0.13643847405910492;0.1342204213142395;0.13250628113746643;0.1272931843996048;0.13220013678073883;0.1353163868188858;0.12106648832559586;0.12164615839719772;0.12972886860370636;0.12345046550035477;0.12309323996305466;0.13678394258022308;0.13848228752613068;0.1340026706457138;0.13426317274570465;0.1330944150686264;0.13760581612586975;0.13499824702739716;0.13585107028484344;0.13177333772182465;0.1276533305644989;0.14472931623458862;0.13427984714508057;0.13052672147750854;0.13748911023139954;0.14261630177497864;0.12873362004756927;0.13157223165035248;0.13964921236038208;0.13511908054351807;0.1354890763759613;0.13326917588710785;0.1412794291973114;0.1391618251800537;0.13705259561538696;0.1421259492635727;0.13349264860153198,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 25, 'obstacle_contact': 0, 'self_collision': 0}",0.00018143545194606166,65,65,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,0.47777091057870247,1.4131556749343872,0.0,1.0,0.1164433456925924,0,0,0,0,0.1164433456925924,0.0,filtered,linprog goal-velocity priority optimal,1.4456492923029804,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_5_acceleration_lower|joint_0_acceleration_upper|joint_4_acceleration_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.1164433456925924,0.979021937582727,0|0|0|0|0|0,0.304863968|0.217477461|0.127451262|0.143937675|0.116443346|0.119443346,0.483815065|0.396428558|0.306402359|0.322888772|0.295394443|0.298394443,0.424863968|0.337477461|0.247451262|0.263937675|0.236443346|0.239443346,0|0|0|0|0|0,0|0.00144464346|-0.0569267843|-0.0722602021|-0.106647813|-0.106647813,0|0|0|0|0|0,1.21945587|0.871354489|0.452878265|0.5034905|0.35912557|0.37112557,optimal,0.1878979263911131,0.18789792919101037,-2.799897258487505e-09,0.411498696|0.443161875|0.261451662,0|-0|-0,0.012739298050291836,0.002792188082821667,0.0013131850864738226,0.0036015529185533524
1,0.1,-1.563570574848145,0.43019235134124756,0.2710690498352051,0.28079134225845337,0.30445003509521484,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9797959327697754,9.797959327697754,0.0,1.2355716228485107,1.2355716228485107,0.2884999165896702,0.2710690498352051,0.017430866754465146,0.278218469306154,0.5217653683480655,0.26717278447885195,0.3671615892204745,-0.09998880474162253,0.26717277987568383,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8617862960090861,0.8617862960090861,40,1,1,1,24,1.6822910830600932,0.14472931623458862,0.000812171776988065;0.0011794954495837609;0.0009259980646515488;0.00018143545194606166;0.0029169751841171977;0.004195704316316064;0.008650652396829451;0.006608957974480165;0.001455467667895171;0.0035187902348163685;0.003213544108558832;0.006930145380329694;0.006497350320220328;0.003252104550682607;0.001629023875769218;0.014408141469427621;0.003492268684538375;0.004734789360483309;0.007147785352282363;0.002023518577517784;0.0021149325339439706;0.0021399243500630294;0.007144747729771467;0.011647558705690935;0.009993085538450562;0.004092609876165324;0.00890267452673385;0.004955782312896945;0.00835983070397475;0.0033877324961721165;0.009313417162883121;0.004748499308896792;0.0017741685670971583;0.0018693440969533228;0.00712981228412372;0.005252128100925907;0.003841608155726484;0.002342224795506193;0.009157912033419547;0.005017539613166754,0.1358819305896759;0.13559217751026154;0.13704225420951843;0.13643847405910492;0.1342204213142395;0.13250628113746643;0.1272931843996048;0.13220013678073883;0.1353163868188858;0.12106648832559586;0.12164615839719772;0.12972886860370636;0.12345046550035477;0.12309323996305466;0.13678394258022308;0.13848228752613068;0.1340026706457138;0.13426317274570465;0.1330944150686264;0.13760581612586975;0.13499824702739716;0.13585107028484344;0.13177333772182465;0.1276533305644989;0.14472931623458862;0.13427984714508057;0.13052672147750854;0.13748911023139954;0.14261630177497864;0.12873362004756927;0.13157223165035248;0.13964921236038208;0.13511908054351807;0.1354890763759613;0.13326917588710785;0.1412794291973114;0.1391618251800537;0.13705259561538696;0.1421259492635727;0.13349264860153198,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 25, 'obstacle_contact': 0, 'self_collision': 0}",0.00018143545194606166,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.3590279813103387,1.2355716228485107,0.0,1.0,0.0974444770096542,0,0,0,0,0.1164433456925924,0.0,filtered,linprog goal-velocity priority optimal,1.5178250473113322,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_5_acceleration_lower|joint_0_acceleration_upper|joint_4_acceleration_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.0974444770096542,0.9833981908268553,1.73451373e-19|0.0768743034|0.208127984|0.243154448|0.260927187|0.260927187,0.304645156|0.217200085|0.11747998|0.131610421|0.097444477|0.100444477,0.483815065|0.396369994|0.29664989|0.31078033|0.276614387|0.279614387,0.424645156|0.337200085|0.23747998|0.251610421|0.217444477|0.220444477,0|0|0.15|0.15|0.15|0.15,2.54649176e-19|0.00607733497|-0.0806546993|-0.0968454954|-0.161702413|-0.161702413,0|0|0|0|0|0,1.21858062|0.874877674|0.389265222|0.429596187|0.228075495|0.240075495,optimal,0.36716158648490754,0.3671615892204744,-2.7355668841266834e-09,0.411498696|0.443161875|0.261451662,0|-0|-0,0.011419456917792559,0.0026813349686563015,0.0013445839285850525,0.0031118630431592464
2,0.15000000000000002,-1.6939281725968767,0.4968927502632141,0.24742035567760468,0.267805814743042,0.36480164527893066,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3564660549163818,9.797959327697754,160.0,1.0128263235092163,1.0128263235092163,0.27106903817893707,0.24742035567760468,0.023648682501332396,0.19154274648725544,0.7944467827892523,0.18466498643217744,0.5153521242587152,-0.3306871378265378,0.18466497849137942,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8617862960090861,0.8617862960090861,40,1,1,1,24,1.6822910830600932,0.14472931623458862,0.000812171776988065;0.0011794954495837609;0.0009259980646515488;0.00018143545194606166;0.0029169751841171977;0.004195704316316064;0.008650652396829451;0.006608957974480165;0.001455467667895171;0.0035187902348163685;0.003213544108558832;0.006930145380329694;0.006497350320220328;0.003252104550682607;0.001629023875769218;0.014408141469427621;0.003492268684538375;0.004734789360483309;0.007147785352282363;0.002023518577517784;0.0021149325339439706;0.0021399243500630294;0.007144747729771467;0.011647558705690935;0.009993085538450562;0.004092609876165324;0.00890267452673385;0.004955782312896945;0.00835983070397475;0.0033877324961721165;0.009313417162883121;0.004748499308896792;0.0017741685670971583;0.0018693440969533228;0.00712981228412372;0.005252128100925907;0.003841608155726484;0.002342224795506193;0.009157912033419547;0.005017539613166754,0.1358819305896759;0.13559217751026154;0.13704225420951843;0.13643847405910492;0.1342204213142395;0.13250628113746643;0.1272931843996048;0.13220013678073883;0.1353163868188858;0.12106648832559586;0.12164615839719772;0.12972886860370636;0.12345046550035477;0.12309323996305466;0.13678394258022308;0.13848228752613068;0.1340026706457138;0.13426317274570465;0.1330944150686264;0.13760581612586975;0.13499824702739716;0.13585107028484344;0.13177333772182465;0.1276533305644989;0.14472931623458862;0.13427984714508057;0.13052672147750854;0.13748911023139954;0.14261630177497864;0.12873362004756927;0.13157223165035248;0.13964921236038208;0.13511908054351807;0.1354890763759613;0.13326917588710785;0.1412794291973114;0.1391618251800537;0.13705259561538696;0.1421259492635727;0.13349264860153198,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 25, 'obstacle_contact': 0, 'self_collision': 0}",0.00018143545194606166,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.2500991742022858,1.0128263235092163,0.0,1.0,0.08001586787236573,0,0,0,0,0.1164433456925924,0.0,filtered,linprog goal-velocity priority optimal,1.55360395612299,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_0_acceleration_upper|joint_4_acceleration_upper|joint_5_acceleration_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.08001586787236573,0.9918279477703257,0|0.152579444|0.423570254|0.488541957|0.529714162|0.529714162,0.304223668|0.217059415|0.109770973|0.122445616|0.0800158679|0.0830158623,0.483815065|0.396650812|0.28936237|0.302037013|0.259607265|0.26260726,0.424223668|0.337059415|0.229770973|0.242445616|0.200015868|0.203015862,0|0|0.15|0.15|0.15|0.15,0|0.0190670548|-0.0478566348|-0.0499239535|-0.133249217|-0.133249217,0|0|0|0|0|0,1.21689467|0.887304715|0.391227256|0.43985851|0.186814254|0.198814232,optimal,0.5153521089000256,0.5153521242587152,-1.5358689653410806e-08,0.411498696|0.443161875|0.261451662,0|-0|-0,0.012041511945426464,0.0030512009980157018,0.0013211710611358285,0.0029883169336244464
3,0.2,-1.6498869003562522,0.4831429421901703,0.22584815323352814,0.2556725740432739,0.358188271522522,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5652475357055664,5.999998569488525,89.4427719116211,1.0010058879852295,1.0010058879852295,0.24742036501717915,0.22584815323352814,0.021572211783651013,0.17494321203959443,0.9470176481780952,0.1694651560194064,0.5091397413157972,-0.33967458529639083,0.16946516241634346,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8617862960090861,0.8617862960090861,40,1,1,1,24,1.6822910830600932,0.14472931623458862,0.000812171776988065;0.0011794954495837609;0.0009259980646515488;0.00018143545194606166;0.0029169751841171977;0.004195704316316064;0.008650652396829451;0.006608957974480165;0.001455467667895171;0.0035187902348163685;0.003213544108558832;0.006930145380329694;0.006497350320220328;0.003252104550682607;0.001629023875769218;0.014408141469427621;0.003492268684538375;0.004734789360483309;0.007147785352282363;0.002023518577517784;0.0021149325339439706;0.0021399243500630294;0.007144747729771467;0.011647558705690935;0.009993085538450562;0.004092609876165324;0.00890267452673385;0.004955782312896945;0.00835983070397475;0.0033877324961721165;0.009313417162883121;0.004748499308896792;0.0017741685670971583;0.0018693440969533228;0.00712981228412372;0.005252128100925907;0.003841608155726484;0.002342224795506193;0.009157912033419547;0.005017539613166754,0.1358819305896759;0.13559217751026154;0.13704225420951843;0.13643847405910492;0.1342204213142395;0.13250628113746643;0.1272931843996048;0.13220013678073883;0.1353163868188858;0.12106648832559586;0.12164615839719772;0.12972886860370636;0.12345046550035477;0.12309323996305466;0.13678394258022308;0.13848228752613068;0.1340026706457138;0.13426317274570465;0.1330944150686264;0.13760581612586975;0.13499824702739716;0.13585107028484344;0.13177333772182465;0.1276533305644989;0.14472931623458862;0.13427984714508057;0.13052672147750854;0.13748911023139954;0.14261630177497864;0.12873362004756927;0.13157223165035248;0.13964921236038208;0.13511908054351807;0.1354890763759613;0.13326917588710785;0.1412794291973114;0.1391618251800537;0.13705259561538696;0.1421259492635727;0.13349264860153198,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 25, 'obstacle_contact': 0, 'self_collision': 0}",0.00018143545194606166,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.19027540232320447,1.0010058879852295,0.0,1.0,0.07044406437171272,0,0,0,0,0.1164433456925924,0.0,filtered,linprog goal-velocity priority optimal,1.6562257241622012,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_0_velocity_upper|joint_4_velocity_upper|joint_5_acceleration_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.07044406437171272,1.0036971533270804,0|0.225538139|0.650464248|0.73735989|0.81182959|0.81182959,0.303630208|0.217566714|0.107879263|0.119686328|0.0704440644|0.0734440644,0.483815065|0.397751572|0.288064121|0.299871186|0.250628922|0.253628922,0.423630208|0.337566714|0.227879263|0.239686328|0.190444064|0.193444064,0|0|0.101686322|0.0960159665|0.139290214|0.139290214,0|0.0395139588|0.00490276399|-4.5417317e-05|-0.000112285743|-0.000112285743,0|0|0|0|0|0,1.21452083|0.909780815|0.436419817|0.478699895|0.281663972|0.293663972,optimal,0.5091397499863956,0.5091397413157973,8.67059823939087e-09,0.411498696|0.443161875|0.261451662,0|-0|-0,0.011919253971427679,0.0025657799560576677,0.0012549329549074173,0.0034521371126174927
4,0.25,-1.8795148868059643,0.5156236886978149,0.21049290895462036,0.24483853578567505,0.3729970157146454,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4177446365356445,6.928203105926514,183.302978515625,0.9900062084197998,0.9900062084197998,0.2258481587642841,0.21049290895462036,0.01535524980966374,0.1590844542702876,0.7885358161561389,0.15469156274492427,0.3797734597878231,-0.22508189704289885,0.15469156653313892,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8617862960090861,0.8617862960090861,40,1,1,1,24,1.6822910830600932,0.14472931623458862,0.000812171776988065;0.0011794954495837609;0.0009259980646515488;0.00018143545194606166;0.0029169751841171977;0.004195704316316064;0.008650652396829451;0.006608957974480165;0.001455467667895171;0.0035187902348163685;0.003213544108558832;0.006930145380329694;0.006497350320220328;0.003252104550682607;0.001629023875769218;0.014408141469427621;0.003492268684538375;0.004734789360483309;0.007147785352282363;0.002023518577517784;0.0021149325339439706;0.0021399243500630294;0.007144747729771467;0.011647558705690935;0.009993085538450562;0.004092609876165324;0.00890267452673385;0.004955782312896945;0.00835983070397475;0.0033877324961721165;0.009313417162883121;0.004748499308896792;0.0017741685670971583;0.0018693440969533228;0.00712981228412372;0.005252128100925907;0.003841608155726484;0.002342224795506193;0.009157912033419547;0.005017539613166754,0.1358819305896759;0.13559217751026154;0.13704225420951843;0.13643847405910492;0.1342204213142395;0.13250628113746643;0.1272931843996048;0.13220013678073883;0.1353163868188858;0.12106648832559586;0.12164615839719772;0.12972886860370636;0.12345046550035477;0.12309323996305466;0.13678394258022308;0.13848228752613068;0.1340026706457138;0.13426317274570465;0.1330944150686264;0.13760581612586975;0.13499824702739716;0.13585107028484344;0.13177333772182465;0.1276533305644989;0.14472931623458862;0.13427984714508057;0.13052672147750854;0.13748911023139954;0.14261630177497864;0.12873362004756927;0.13157223165035248;0.13964921236038208;0.13511908054351807;0.1354890763759613;0.13326917588710785;0.1412794291973114;0.1391618251800537;0.13705259561538696;0.1421259492635727;0.13349264860153198,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 25, 'obstacle_contact': 0, 'self_collision': 0}",0.00018143545194606166,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.16798299138771539,0.9900062084197998,0.0,1.0,0.06687727862203446,0,0,0,0,0.1164433456925924,0.0,filtered,linprog goal-velocity priority optimal,1.4845702595932544,0,0,12,joint_3_velocity_lower|joint_0_velocity_upper|joint_1_acceleration_upper|joint_2_acceleration_upper|joint_4_velocity_upper|joint_5_acceleration_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.06687727862203446,1.016319574570482,0|0.257243606|0.776743526|0.865643615|0.969813048|0.969813048,0.302999086|0.21935701|0.107466279|0.118430973|0.0668772786|0.0698772456,0.483815065|0.400172989|0.288282258|0.299246952|0.247693257|0.250693224,0.422999086|0.33935701|0.227466279|0.238430973|0.186877279|0.189877246,0|0|0.0320937695|0.0372432288|0.078662408|0.0786623969,0|0.0191209116|-0.0840808631|-0.0907038933|-0.0893561015|-0.0893561248,0|0|0|0|0|0,1.21199635|0.896548952|0.345784252|0.38302|0.178153013|0.190152858,optimal,0.37977347010598217,0.37977345978782306,1.0318159104905078e-08,0.411498696|0.443161875|0.261451662,0|-0|-0,0.0128034430090338,0.0030580629827454686,0.0016471169656142592,0.0034592950250953436
5,0.30000000000000004,-2.3726689196053776,0.6301867961883545,0.19757352769374847,0.2326579988002777,0.4362140893936157,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.187434196472168,7.999999523162842,178.88543701171875,0.982496440410614,0.982496440410614,0.2104929038473949,0.19757352769374847,0.012919376153646439,0.14778913368533456,0.6359746903646607,0.14401077467135287,0.315352531510203,-0.1713417568388501,0.14401077117719482,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8617862960090861,0.8617862960090861,40,1,1,1,24,1.6822910830600932,0.14472931623458862,0.000812171776988065;0.0011794954495837609;0.0009259980646515488;0.00018143545194606166;0.0029169751841171977;0.004195704316316064;0.008650652396829451;0.006608957974480165;0.001455467667895171;0.0035187902348163685;0.003213544108558832;0.006930145380329694;0.006497350320220328;0.003252104550682607;0.001629023875769218;0.014408141469427621;0.003492268684538375;0.004734789360483309;0.007147785352282363;0.002023518577517784;0.0021149325339439706;0.0021399243500630294;0.007144747729771467;0.011647558705690935;0.009993085538450562;0.004092609876165324;0.00890267452673385;0.004955782312896945;0.00835983070397475;0.0033877324961721165;0.009313417162883121;0.004748499308896792;0.0017741685670971583;0.0018693440969533228;0.00712981228412372;0.005252128100925907;0.003841608155726484;0.002342224795506193;0.009157912033419547;0.005017539613166754,0.1358819305896759;0.13559217751026154;0.13704225420951843;0.13643847405910492;0.1342204213142395;0.13250628113746643;0.1272931843996048;0.13220013678073883;0.1353163868188858;0.12106648832559586;0.12164615839719772;0.12972886860370636;0.12345046550035477;0.12309323996305466;0.13678394258022308;0.13848228752613068;0.1340026706457138;0.13426317274570465;0.1330944150686264;0.13760581612586975;0.13499824702739716;0.13585107028484344;0.13177333772182465;0.1276533305644989;0.14472931623458862;0.13427984714508057;0.13052672147750854;0.13748911023139954;0.14261630177497864;0.12873362004756927;0.13157223165035248;0.13964921236038208;0.13511908054351807;0.1354890763759613;0.13326917588710785;0.1412794291973114;0.1391618251800537;0.13705259561538696;0.1421259492635727;0.13349264860153198,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 25, 'obstacle_contact': 0, 'self_collision': 0}",0.00018143545194606166,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.08636415325870964,0.982496440410614,0.0,1.0,0.053818264521393544,0,0,0,0,0.1164433456925924,0.0,filtered,linprog goal-velocity priority optimal,1.3754744517355768,0,0,12,joint_5_acceleration_lower|joint_0_velocity_upper|joint_1_acceleration_upper|joint_2_acceleration_upper|joint_3_acceleration_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.053818264521393544,1.025705109924866,1.21425844e-18|0.192552131|0.626707198|0.688272828|0.802600506|0.802600506,0.30252981|0.220456574|0.100554643|0.110323069|0.0538182645|0.0568182645,0.483815065|0.401741829|0.281839899|0.291608324|0.23510352|0.23810352,0.42252981|0.340456574|0.220554643|0.230323069|0.173818265|0.176818265,0|0|0.0765429755|0.0759257928|0.10328884|0.10328884,7.95103775e-19|-0.00932971484|-0.106408116|-0.112665238|-0.126862426|-0.126862426,0|0|0|0|0|0,1.21011924|0.87249658|0.295810457|0.328627038|0.0884106324|0.100410632,optimal,0.3153525435704716,0.31535253151020304,1.2060268561597809e-08,0.411498696|0.443161875|0.261451662,0|-0|-0,0.011764868977479637,0.0027814529603347182,0.001219003926962614,0.0033299950882792473
6,0.35000000000000003,-2.6610004363143482,0.7054887413978577,0.18456237018108368,0.22045105695724487,0.4730853736400604,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2507389783859253,7.1552557945251465,166.00242614746094,0.3499999940395355,0.0,0.19757353677074538,0.18456237018108368,0.013011166589661699,0.24573961789615087,0.547278587196126,-0.21346957580731724,0.3028099909008989,-0.5162795667082161,0.0,1,0,disabled,0.0,1,AVOID_HOLD,direct_path,0,0.8617862960090861,0.8617862960090861,40,1,1,1,24,1.6822910830600932,0.14472931623458862,0.000812171776988065;0.0011794954495837609;0.0009259980646515488;0.00018143545194606166;0.0029169751841171977;0.004195704316316064;0.008650652396829451;0.006608957974480165;0.001455467667895171;0.0035187902348163685;0.003213544108558832;0.006930145380329694;0.006497350320220328;0.003252104550682607;0.001629023875769218;0.014408141469427621;0.003492268684538375;0.004734789360483309;0.007147785352282363;0.002023518577517784;0.0021149325339439706;0.0021399243500630294;0.007144747729771467;0.011647558705690935;0.009993085538450562;0.004092609876165324;0.00890267452673385;0.004955782312896945;0.00835983070397475;0.0033877324961721165;0.009313417162883121;0.004748499308896792;0.0017741685670971583;0.0018693440969533228;0.00712981228412372;0.005252128100925907;0.003841608155726484;0.002342224795506193;0.009157912033419547;0.005017539613166754,0.1358819305896759;0.13559217751026154;0.13704225420951843;0.13643847405910492;0.1342204213142395;0.13250628113746643;0.1272931843996048;0.13220013678073883;0.1353163868188858;0.12106648832559586;0.12164615839719772;0.12972886860370636;0.12345046550035477;0.12309323996305466;0.13678394258022308;0.13848228752613068;0.1340026706457138;0.13426317274570465;0.1330944150686264;0.13760581612586975;0.13499824702739716;0.13585107028484344;0.13177333772182465;0.1276533305644989;0.14472931623458862;0.13427984714508057;0.13052672147750854;0.13748911023139954;0.14261630177497864;0.12873362004756927;0.13157223165035248;0.13964921236038208;0.13511908054351807;0.1354890763759613;0.13326917588710785;0.1412794291973114;0.1391618251800537;0.13705259561538696;0.1421259492635727;0.13349264860153198,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 25, 'obstacle_contact': 0, 'self_collision': 0}",0.00018143545194606166,65,65,nan,nan,1.0,filtered,0,0,1,0,1,1,1,2,1.0,0.0,0.0,0.0,1.0,0.02996379500949159,1,1,0,0,0.1164433456925924,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.350370435554333,0,1,12,predictive_link_4|joint_3_velocity_lower|joint_5_acceleration_lower|joint_0_velocity_upper|joint_1_acceleration_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.02996379500949159,1.0313903909189759,5.83347983e-17|0.135570262|0.487730154|0.528558186|0.641331002|0.641331002,0.302245546|0.220230974|0.0832281909|0.0914358054|0.029963795|0.032963795,0.483815065|0.401800494|0.26479771|0.273005325|0.211533315|0.214533315,0.422245546|0.340230974|0.203228191|0.211435805|0.149963795|0.152963795,0|0.0108119195|0.15|0.15|0.15|0.15,-4.38972506e-17|-0.0449577758|-0.140403031|-0.140828544|-0.119855175|-0.119855175,0|0|0|0|0|0,1.20898218|0.835966122|0.192509733|0.224914678|4.92600559e-09|0.0120000049,optimal,0.3028099973592291,0.30280999090089894,6.458330148451097e-09,0.411498696|0.443161875|0.261451662,0|-0|-0,0.017503137001767755,0.0027245250530540943,0.001580475945957005,0.004534418927505612
