step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.7519828013004735,0.08091004192829132,0.5224075317382812,0.4565519392490387,0.06777261197566986,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4898979663848877,9.797959327697754,195.9591827392578,1.6755025386810303,1.6755025386810303,0.5294673431018008,0.5224075317382812,0.007059811363519519,0.40109009895919057,0.1472666722888734,0.3870834472582579,0.1415805391519885,0.24550290810626937,0.3870834463939325,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,3,0.5,1.0,1.6755025386810303,0.0,1.0,0.2784192015832014,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.4029281585336615,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_lower|joint_2_acceleration_upper|joint_3_acceleration_upper,workspace_x_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.2784192015832014,0.9792539133705056,0|0|0|0|0|0,0.383002586|0.283486532|0.278419202|0.348374586|0.364086714|0.387952066,0.561965282|0.462449228|0.457381897|0.527337282|0.543049409|0.566914761,0.503002586|0.403486532|0.398419202|0.468374586|0.484086714|0.507952066,0|0|0|0|0|0,0|0.0243258093|-0.0160908621|-0.0983273687|-0.127729481|-0.140962162,0|0|0|0|0|0,1.53201035|1.15827194|1.09758594|1.29517098|1.32861737|1.4108461,optimal,0.1415805370422741,0.1415805391519885,-2.1097144031756443e-09,0.296221048|-0.568402946|0.387439221,0|0|0,0.5122202190104872,0.003618628950789571,0.002026502974331379,0.5003432459197938
1,0.1,-0.9772815995194812,0.17582935094833374,0.5083779692649841,0.45472481846809387,0.15739372372627258,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.8944272398948669,9.797959327697754,160.0,1.668469786643982,1.668469786643982,0.5224075490008644,0.5083779692649841,0.01402957973588026,0.39542296698482454,0.2934742056299417,0.384494980970746,0.2819643758228931,0.10253060514785295,0.38449499367610757,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.8373178351839791,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.668469786643982,0.0,1.0,0.2752664330319077,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.4147770020306907,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_4_acceleration_lower|joint_2_acceleration_upper|joint_3_acceleration_upper|joint_5_acceleration_upper,workspace_x_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.2752664330319077,0.9746483088854813,1.11897883e-17|0.0788659758|0.0906810993|0.11690822|0.13362482|0.146727151,0.383232866|0.284977108|0.275266433|0.329248262|0.338979609|0.360258845,0.561965282|0.463709524|0.453998848|0.507980677|0.517712025|0.538991261,0.503232866|0.404977108|0.395266433|0.449248262|0.458979609|0.480258845,0|0|0.15|0.15|0.15|0.15,1.45300327e-17|0.052069517|-0.0384880624|-0.191950077|-0.252618668|-0.278354375,0|0|0|0|0|0,1.53293147|1.19197795|1.06257767|1.12504297|1.10329977|1.16268101,optimal,0.28196437372209476,0.2819643758228931,-2.100798313087182e-09,0.296221048|-0.568402946|0.387439221,0|0|0,0.01793204399291426,0.004170886008068919,0.002273283083923161,0.004732057917863131
2,0.15000000000000002,-1.1884472199472669,0.2692943215370178,0.48760831356048584,0.4515703618526459,0.24146442115306854,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3564660549163818,9.797959327697754,2.132480585714802e-05,1.6550407409667969,1.6550407409667969,0.5083779811509099,0.48760831356048584,0.02076966759042409,0.3854278858778097,0.4369951142464478,0.37942322784343957,0.4189250336382871,-0.03950180579484752,0.3794232367143911,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.8479488291342825,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.6550407409667969,0.0,1.0,0.27073608079616523,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.5918155549507305,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_4_acceleration_lower|joint_2_acceleration_upper|joint_3_acceleration_upper|joint_5_acceleration_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.27073608079616523,0.9653358043958639,0|0.155310146|0.181735106|0.23090669|0.26490059|0.291298286,0.383698492|0.28821184|0.270736081|0.306648159|0.308613477|0.326943015,0.561965282|0.46647863|0.449002871|0.484914949|0.486880267|0.505209805,0.503698492|0.40821184|0.390736081|0.426648159|0.428613477|0.446943015,0|0|0.15|0.15|0.15|0.15,0|0.0878696933|-0.0705464175|-0.281050013|-0.370812121|-0.406769049,0|0|0|0|0|0,1.53479397|1.24071705|1.01239791|0.945542623|0.863641788|0.90100301,optimal,0.41892502115334873,0.4189250336382872,-1.2484938471946094e-08,0.296221048|-0.568402946|0.387439221,0|0|0,0.01901419390924275,0.004583889036439359,0.002212031977251172,0.00471627595834434
3,0.2,-1.2662766026283891,0.3161008358001709,0.46356841921806335,0.44445011019706726,0.2785325348377228,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4560219049453735,6.928202152252197,240.00001525878906,1.636527180671692,1.636527180671692,0.48760831059267074,0.46356841921806335,0.02403989137460738,0.373741537620726,0.48540048212700104,0.37210121921072403,0.48331253659600704,-0.111211317385283,0.3721012169459398,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.9617984110897879,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.636527180671692,0.0,1.0,0.26398869287597565,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.5671761763095413,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_5_acceleration_lower|joint_1_acceleration_upper|joint_2_velocity_upper|joint_3_velocity_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.26398869287597565,0.9511184295627452,1.86202517e-17|0.227021634|0.273664093|0.348640715|0.392077941|0.432035492,0.384409361|0.293656924|0.263988693|0.278171056|0.274034833|0.289457297,0.561965282|0.471212846|0.441544614|0.455726978|0.451590754|0.467013218,0.504409361|0.413656924|0.383988693|0.398171056|0.394034833|0.409457297,0|0|0.15|0.15|0.15|0.15,5.06918694e-18|0.0508981225|-0.163832515|-0.386736457|-0.433030543|-0.456859644,0|0|0|0|0|0,1.53763744|1.22552582|0.892122257|0.725947768|0.663108788|0.700969543,optimal,0.48331254500943194,0.4833125365960071,8.413424845699069e-09,0.296221048|-0.568402946|0.387439221,0|0|0,0.019378690980374813,0.00489478197414428,0.0021375099895522,0.004599287989549339
4,0.25,-1.299325693754204,0.3354598879814148,0.43956059217453003,0.434313029050827,0.2864777147769928,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4282857179641724,5.656854152679443,79.99996948242188,1.6014035940170288,1.6014035940170288,0.4635684103584509,0.43956059217453003,0.024007818183920893,0.36365408651518955,0.5054199280673816,0.3629014079845326,0.4822303811008838,-0.11932897311635121,0.36290140104884466,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.9576230659770122,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.6014035940170288,0.0,1.0,0.24383561484728256,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.5062620705895684,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_5_acceleration_lower|joint_1_acceleration_upper|joint_2_velocity_upper|joint_3_velocity_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.24383561484728256,0.9350007579493852,3.88603066e-17|0.152859691|0.231907446|0.388419428|0.437109648|0.47926497,0.385215244|0.297471178|0.244457757|0.246378318|0.243835615|0.260068027,0.561965282|0.474221216|0.421207795|0.423128356|0.420585653|0.436818065,0.505215244|0.417471178|0.364457757|0.366378318|0.363835615|0.380068027,0|0|0.15|0.15|0.15|0.15,2.42444438e-17|0.0142069426|-0.215422108|-0.400122597|-0.429137684|-0.437304275,0|0|0|0|0|0,1.54086098|1.20409166|0.762408921|0.585390676|0.546204776|0.602967834,optimal,0.48223038932096185,0.48223038110088384,8.220078007159515e-09,0.296221048|-0.568402946|0.387439221,0|0|0,0.01708975899964571,0.004848595941439271,0.0012826289748772979,0.0035279879812151194
5,0.30000000000000004,-1.3438474349383398,0.3567003309726715,0.4155842363834381,0.4212120473384857,0.2993468642234802,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.399999976158142,5.656854152679443,160.0,1.5689510107040405,1.5689510107040405,0.4395605864796078,0.4155842363834381,0.023976350096169663,0.3553862719447108,0.5477164457982636,0.3540832431246319,0.4824225669499422,-0.12833932382531027,0.3540832385371494,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.9405886662282283,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.5689510107040405,0.0,1.0,0.22309067256074722,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.6242673765445208,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_1_acceleration_upper|joint_2_velocity_upper|joint_3_velocity_upper|joint_5_acceleration_upper,predictive_link_4,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.22309067256074722,0.9190257077287267,1.95810812e-17|0.0831635893|0.237304528|0.445648177|0.475273007|0.497750708,0.386013997|0.299212022|0.226279684|0.223090673|0.223352706|0.241285027,0.561965282|0.475163307|0.40223097|0.399041958|0.399303992|0.417236313,0.506013997|0.419212022|0.346279684|0.343090673|0.343352706|0.361285027,0|0|0.15|0.15|0.15|0.15,1.10184972e-17|-0.0294227893|-0.264487519|-0.402604776|-0.417794611|-0.413172236,0|0|0|0|0|0,1.54405599|1.1674253|0.640631218|0.489757914|0.475616214|0.551967873,optimal,0.48242257516554965,0.4824225669499422,8.215607472106257e-09,0.296221048|-0.568402946|0.387439221,0|0|0,0.01235913997516036,0.00307184096891433,0.0014213969698175788,0.003098265966400504
6,0.35000000000000003,-1.4051907018466352,0.3806747794151306,0.39182010293006897,0.40528586506843567,0.3118518888950348,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4282857179641724,5.656854152679443,0.0,1.5445348024368286,1.5445348024368286,0.41558425265412013,0.39182010293006897,0.023764149724051165,0.3484648982713,0.603466419349171,0.3459546485550061,0.48038192117993084,-0.13442727262492477,0.3459546620995961,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.5445348024368286,0.0,1.0,0.20094437494494422,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.7849008652675094,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_1_acceleration_upper|joint_2_velocity_upper|joint_3_velocity_upper|joint_5_acceleration_upper,predictive_link_3,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.20094437494494422,0.9030701209840689,5.90941067e-17|0.0397722769|0.29732117|0.529207298|0.54173942|0.537156563,0.386811776|0.294396615|0.205445802|0.200944375|0.203608289|0.223790948,0.561965282|0.469550121|0.380599308|0.376097881|0.378761795|0.398944454,0.506811776|0.414396615|0.325445802|0.320944375|0.323608289|0.343790948,0|0.15|0.15|0.15|0.15|0.15,3.30088355e-17|-0.0799440258|-0.307489296|-0.390182202|-0.392625501|-0.379238918,0|0|0|0|0|0,1.5472471|1.09764243|0.51429391|0.413595298|0.421807656|0.515924872,optimal,0.48038192918825107,0.4803819211799309,8.008320173669148e-09,0.296221048|-0.568402946|0.387439221,0|0|0,0.012623048038221896,0.0033004030119627714,0.001576117007061839,0.003212144016288221
7,0.4,-1.4499542255685895,0.39788687229156494,0.36867377161979675,0.3868888318538666,0.3195815086364746,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5099668502807617,5.656854152679443,0.0,1.5285117626190186,1.5285117626190186,0.3918200939322993,0.36867377161979675,0.02314632231250252,0.3429842958915441,0.6658165552081866,0.33858616796266905,0.4719071325364402,-0.13332096457377113,0.3385861601873652,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0,filtered,0,0,1,0,0,0,1,3,0.5,0.8801052964029469,1.5285117626190186,0.0,1.0,0.18081684742447152,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.983841375303845,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_1_acceleration_upper|joint_2_velocity_upper|joint_3_velocity_upper|joint_5_acceleration_upper,workspace_z_lower,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.18081684742447152,0.8870090740215307,0|0.0862533913|0.387083257|0.619264228|0.623446033|0.58926918,0.387614829|0.282932151|0.182765637|0.180816847|0.185667923|0.20834999,0.561965282|0.457282605|0.35711609|0.355167301|0.360018376|0.382700443,0.507614829|0.402932151|0.302765637|0.300816847|0.305667923|0.32834999,0|0.15|0.15|0.15|0.15|0.15,0|-0.137185809|-0.339902725|-0.366344655|-0.347119649|-0.33146979,0|0|0|0|0|0,1.55045931|0.994542796|0.391159821|0.356922735|0.395552042|0.501930168,optimal,0.4719071404855525,0.4719071325364402,7.949112312832796e-09,0.296221048|-0.568402946|0.387439221,0|0|0,0.014809022890403867,0.004026739974506199,0.0013577679637819529,0.0030900599667802453
8,0.45,-1.4965421075165324,0.41403526067733765,0.3463042080402374,0.3697826862335205,0.32627639174461365,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4282857179641724,5.656854152679443,226.274169921875,1.5207375288009644,1.5207375288009644,0.3686737726981948,0.3463042080402374,0.022369564657957364,0.33983075570890886,0.5756449509932727,0.33257140637570076,0.4551374653353679,-0.12256605895966716,0.3325714073484967,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0,filtered,0,0,1,0,0,0,1,3,0.5,0.7462914346452595,1.5207375288009644,0.0,1.0,0.15940662954324153,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.8258336829015376,0,0,12,joint_0_velocity_lower|joint_1_acceleration_lower|joint_4_velocity_lower|joint_5_acceleration_lower|joint_2_velocity_upper|joint_3_velocity_upper,predictive_link_3,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.15940662954324153,0.870675045122363,0|0.161780257|0.487787599|0.704437088|0.711670954|0.647665386,0.38843153|0.267276484|0.15940663|0.163127256|0.171024246|0.195980844,0.561965282|0.440810236|0.332940382|0.336661008|0.344557999|0.369514597,0.50843153|0.387276484|0.27940663|0.283127256|0.291024246|0.315980844,0|0.15|0.15|0.15|0.15|0.15,0|-0.0899731803|-0.298433771|-0.338598495|-0.315084715|-0.304065278,0|0|0|0|0|0,1.55372612|0.979132755|0.339192748|0.313910528|0.36901227|0.4798581,optimal,0.45513747308979446,0.4551374653353679,7.754426545325543e-09,0.296221048|-0.568402946|0.387439221,0|0|0,0.01132056093774736,0.0027320319786667824,0.0012837150134146214,0.0029553520726040006
9,0.5,-1.5523811373463356,0.4328421950340271,0.32448381185531616,0.35395529866218567,0.33522310853004456,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.399999976158142,5.656854152679443,0.0,1.4905542135238647,1.4905542135238647,0.34630419492528036,0.32448381185531616,0.0218203830699642,0.3298715152917289,0.5076484338414065,0.32200278098483154,0.4435942578909198,-0.12159147690608824,0.3220027687901988,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.1007985409814864,1.1007985409814864,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0,filtered,0,0,1,0,0,0,1,3,0.5,0.6678027933686261,1.4905542135238647,0.0,1.0,0.1468484469389802,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.6837656046594534,0,0,12,joint_0_velocity_lower|joint_1_acceleration_lower|joint_4_velocity_lower|joint_5_acceleration_lower|joint_2_velocity_upper|joint_3_velocity_upper,predictive_link_3,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.1468484469389802,0.8533064661646423,0|0.0947427749|0.420863659|0.598723275|0.607128417|0.560936483,0.389299959|0.271296971|0.146848447|0.146931567|0.152547455|0.179852021,0.561965282|0.443962294|0.31951377|0.31959689|0.325212778|0.352517344,0.509299959|0.391296971|0.266848447|0.266931567|0.272547455|0.299852021,0|0.15|0.15|0.15|0.15|0.15,0|-0.0345572484|-0.289422753|-0.3385526|-0.328593831|-0.306604595,0|0|0|0|0|0,1.55719983|1.05063063|0.297971035|0.249173667|0.281595989|0.412803489,optimal,0.4435942654452851,0.4435942578909198,7.554365299977661e-09,0.296221048|-0.568402946|0.387439221,0|0|0,0.012219596072100103,0.00294129503890872,0.0014501080149784684,0.003207709058187902
