episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-53.986660235016195,24.612949922680855,36,0,1,1,0.7604349255561829,1.8,0.1395673304796219,0.377412317527665,0.779412567615509,0,0.0,0.8055555555555556,0.1559395210905498,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.8888888888888888,0.027777777777777776,-0.00682160632218487,0.024627578160208132,0.1739841476858904,1.89327073097229,43.39996337890625,1,0,17,0.8500000000000001,0,0.17982698809210984
1,8.20233237123919,11.855445444583893,79,1,0,0,0.05405959114432335,3.95,0.24073287844657898,0.14413781690446636,0.3604673743247986,0,0.0,0.6708860759493671,0.0033125801363788647,0.0,0.0,0.0,0.0,1.0,0.0,0.12073289739375676,0.0027484064096514184,0.15826769026963017,1.4514464139938354,36.549495697021484,0,0,0,0.0,0,0.3349211296494325
2,-88.26002580744739,60.52979649975896,240,0,0,0,0.14656893908977509,12.0,0.15289424359798431,0.2367294664417083,0.5744577050209045,0,0.0,0.725,0.03873658722094909,0.0,0.0,0.0,0.0,0.9958333333333333,0.0,0.015464137170600217,0.0029190114427668354,0.1436799434304703,1.3969703912734985,23.264814376831055,1,1,34,1.7000000000000002,0,0.3742032056197631
3,-84.41217909070012,45.42945822700858,207,1,0,0,0.054845597594976425,10.350000000000001,0.1735168844461441,0.20885121804360607,0.4261760115623474,0,0.0,0.6666666666666666,0.06893601708301862,0.0,0.0,0.0,0.0,0.9806763285024155,0.0,0.04992511845421638,0.0027602120361106407,0.10674972483856775,1.1102792024612427,27.82830238342285,1,1,25,1.25,0,0.32575478139998054
4,-8.038437794557701,23.03665054216981,124,1,0,0,0.0434361957013607,6.2,0.20769797265529633,0.1777376790320681,0.3657366931438446,0,0.0,0.5967741935483871,0.03815880398143185,0.0,0.0,0.0,0.0,1.0,0.0,0.08769796448533801,0.0030859529881948427,0.12442296551870963,1.245059609413147,29.28987693786621,0,0,0,0.0,0,0.22516844678474057
5,3.6528948683047346,17.375291913747787,78,1,0,0,0.05001828819513321,3.9000000000000004,0.18239323794841766,0.2193531436033738,0.49000582098960876,0,0.0,0.7307692307692307,0.02675252742429478,0.0,0.0,0.0,0.0,0.9102564102564102,0.0,0.06414159498139005,0.003484119470111835,0.1648088336850588,1.5477657318115234,43.256649017333984,0,0,0,0.0,0,0.3232163606644369
6,-56.01294503763726,41.00136025622487,240,0,0,0,0.23844310641288757,12.0,0.178947314620018,0.16270253985809782,0.537740170955658,0,0.0,0.6375,0.010010600610405922,0.0,0.0,0.0,0.0,1.0,0.0,0.058947321998808394,0.0033567297194773953,0.1843817112967372,1.633721113204956,42.83821487426758,1,1,3,0.15000000000000002,0,0.3048025798878746
7,-25.897887194328064,21.596915202215314,240,0,0,0,0.0914040058851242,12.0,0.2649856507778168,0.08682382005111625,0.23115459084510803,0,0.0,0.36666666666666664,0.0013431791100108636,0.0,0.0,0.0,0.0,1.0,0.0,0.12261504769370729,0.0027926964685320854,0.059574138807753724,0.6611564755439758,12.080914497375488,0,0,0,0.0,0,0.13142441404502275
8,-63.04259477408108,33.957309156656265,46,0,1,1,0.7364332675933838,2.3000000000000003,0.11393960565328598,0.4224554070312044,0.860912024974823,1,0.021739130434782608,0.9782608695652174,0.2058633575444451,0.08695652173913043,0.0,0.08695652173913043,0.0,0.6521739130434783,0.06521739130434782,-0.03357527227644708,0.018125780696130318,0.14609776022742785,1.661322832107544,33.293704986572266,1,0,22,1.1,0,0.28059331109311925
9,18.499054439524635,3.949770849198103,58,1,0,0,0.0513780377805233,2.9000000000000004,0.3900003433227539,0.06546221570721988,0.12926369905471802,0,0.0,0.7758620689655172,0.0005231637236157052,0.0,0.0,0.0,0.0,1.0,0.0,0.2574601620543315,0.0030181129816277273,0.0626169787559273,0.750855565071106,20.775774002075195,0,0,0,0.0,0,0.39002211866547987
10,-79.88470036640439,45.93368382565677,210,1,0,0,0.04963800311088562,10.5,0.15961112082004547,0.2057262987962791,0.4894605278968811,0,0.0,0.7047619047619048,0.098108866338184,0.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.026071545939139407,0.0025671384075567835,0.08306741915986918,0.9440608024597168,16.663637161254883,1,1,70,3.5,0,0.29909350872675866
11,-15.256190943593726,25.40674564614892,81,1,0,0,0.05334118381142616,4.05,0.14714281260967255,0.2632413747272006,0.48942017555236816,0,0.0,0.6666666666666666,0.023014766008000963,0.0,0.0,0.0,0.0,0.9506172839506173,0.0,0.0016767537113673847,0.002771936299532284,0.11733363802332063,1.3184186220169067,22.079448699951172,1,1,37,1.85,0,0.11309950979490108
12,-123.82205719230502,83.81158326938748,240,0,0,0,0.24444831907749176,12.0,0.10096678882837296,0.19859620778200526,0.836063027381897,11,0.04583333333333333,0.7416666666666667,0.057449234404821865,0.0625,0.0,0.0625,0.0,0.9291666666666667,0.058333333333333334,-0.019110575370282212,0.011960576265119016,0.14166792045580223,1.3757598400115967,26.5665225982666,1,1,29,1.4500000000000002,0,0.33174981301787704
