step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.41089956083126716,0.07657088339328766,0.45937690138816833,0.44914764165878296,0.07222703844308853,0.35,5,0,0,0,0.3627084791660309,7.25416898727417,145.0833740234375,0.40283188223838806,filtered,0.04936884706611206,0,0,12,joint_3_acceleration_lower|joint_5_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3108313353767355,0.0032509882003068924
1,0.1,-0.28471597537337867,0.06995846331119537,0.44862881302833557,0.45436638593673706,0.06721403449773788,0.35,5,0,0,0,0.6729292273521423,7.541537761688232,123.06425476074219,0.672927975654602,filtered,1.6133676270464668e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3097006470738818,0.0030540013685822487
2,0.15000000000000002,-0.18684762380649494,0.07080765068531036,0.433991402387619,0.46238428354263306,0.06792920082807541,0.35,5,0,0,0,0.893608808517456,5.306872844696045,62.90022659301758,0.8936077952384949,filtered,1.3154350199013451e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3149294200992517,0.003067830577492714
3,0.2,-0.11526025862693594,0.07170066982507706,0.41697636246681213,0.47128826379776,0.06868281960487366,0.35,5,0,0,0,0.9697242379188538,4.57354736328125,105.70236206054688,0.9697235822677612,filtered,9.758205645006825e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32287707147271844,0.002465185709297657
4,0.25,-0.05979326350616247,0.07263918966054916,0.39858388900756836,0.4759318232536316,0.06947650015354156,0.35,3,0,0,0,1.0244600772857666,2.191718339920044,56.16726303100586,1.0244593620300293,filtered,9.231115240230997e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32994273566081717,0.0030904989689588547
5,0.30000000000000004,-0.01959597991544143,0.07362494617700577,0.37954849004745483,0.47983402013778687,0.07031185925006866,0.35,3,0,0,0,1.0567302703857422,2.222841501235962,72.93283081054688,1.0567294359207153,filtered,1.3745958800113805e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3335459589532979,0.003158917650580406
6,0.35000000000000003,0.01195033187755598,0.07465969026088715,0.3602883815765381,0.47655460238456726,0.07119055837392807,0.35,2,0,0,0,1.0752394199371338,2.136573314666748,16.953655242919922,1.0752394199371338,passthrough,4.84351053515543e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3374005815633769,0.0031044604256749153
7,0.4,0.03758041183594486,0.07574516534805298,0.3410492539405823,0.47291794419288635,0.07211428880691528,0.35,2,0,0,0,1.0641354322433472,1.8695802688598633,23.83528709411621,1.0641354322433472,passthrough,4.376105884118111e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.33503687170827073,0.002220149151980877
8,0.45,0.057954391836389896,0.07688314467668533,0.32200008630752563,0.46908804774284363,0.073084756731987,0.35,2,0,0,0,1.0336153507232666,2.6064722537994385,20.799867630004883,1.0336153507232666,passthrough,4.454043296933492e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.33151477352373054,0.002904624678194523
9,0.5,0.0754416943518845,0.07840032130479813,0.3031744956970215,0.465102881193161,0.07442861050367355,0.35,2,0,0,0,1.0136628150939941,3.4482829570770264,18.25860595703125,1.0136628150939941,passthrough,4.512674400537989e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3277958752114927,0.0031265616416931152
10,0.55,0.09424013052008881,0.08016408979892731,0.28441479802131653,0.46102389693260193,0.0760132372379303,0.35,2,0,0,0,1.0291942358016968,3.8558826446533203,12.196325302124023,1.0291942358016968,passthrough,4.62585789748447e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32391586837944114,0.0029017245396971703
11,0.6000000000000001,0.1171836496647034,0.08199650794267654,0.26542899012565613,0.45693162083625793,0.0776606872677803,0.35,2,0,0,0,1.0857422351837158,4.073434352874756,14.872105598449707,1.0857408046722412,filtered,1.9398570673482e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3199355322642195,0.0031338026747107506
12,0.65,0.14268322798123534,0.08389891684055328,0.24605458974838257,0.45292040705680847,0.07937232404947281,0.35,2,0,0,0,1.1521282196044922,3.273132562637329,22.432605743408203,1.152126669883728,filtered,2.0007939567743135e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.31593341204178543,0.002707773819565773
13,0.7000000000000001,0.1610918212161578,0.08587264269590378,0.2266044318675995,0.4490273892879486,0.08114951848983765,0.35,2,0,0,0,1.1994315385818481,2.0958073139190674,25.209964752197266,1.1994298696517944,filtered,2.1243734055989924e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3120067367969251,0.003194143995642662
14,0.75,0.17001696799680066,0.08791886270046234,0.2074812948703766,0.44517895579338074,0.0829935297369957,0.35,2,0,0,0,1.1980968713760376,1.3552114963531494,40.88581466674805,1.198095440864563,filtered,1.9298487459119888e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3082007590882698,0.003247741609811783
15,0.8,0.15930548204366415,0.09003857523202896,0.18962480127811432,0.4412292540073395,0.0849054604768753,0.35,2,0,0,0,1.1502151489257812,1.2557741403579712,30.95906639099121,1.1502141952514648,filtered,1.6214518720494864e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3044492526770606,0.0030473321676254272
16,0.8500000000000001,0.1314314646163491,0.09223276376724243,0.17381905019283295,0.43712154030799866,0.0868864431977272,0.35,2,0,0,0,1.0935237407684326,2.0326502323150635,35.06621170043945,1.0935237407684326,passthrough,4.282929471455914e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3006072672214778,0.0024921251460909843
17,0.9,0.09251612860021224,0.09450209885835648,0.1605348140001297,0.4328515827655792,0.08893732726573944,0.35,2,0,0,0,1.0580053329467773,2.3562066555023193,18.00469398498535,1.0580053329467773,passthrough,4.917397113546497e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.29661289378460476,0.003181600011885166
18,0.9500000000000001,0.04026525379188456,0.09684716910123825,0.15037715435028076,0.42829975485801697,0.09105892479419708,0.35,2,0,0,0,1.0155836343765259,2.233548164367676,17.93873405456543,1.0155836343765259,passthrough,5.242536773314857e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2924571494967442,0.0027237506583333015
19,1.0,-0.0055225702786505515,0.09926830977201462,0.14286889135837555,0.42333850264549255,0.0932517945766449,0.35,2,0,0,0,0.9698681831359863,2.4082236289978027,36.70014953613281,0.9698681831359863,passthrough,6.07803231997366e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2880153043613872,0.0029025888070464134
20,1.05,-0.03361622826737333,0.10176561772823334,0.1369776874780655,0.4177427589893341,0.09551634639501572,0.35,0,0,0,0,0.9437220692634583,1.9144363403320312,13.536531448364258,0.9437220692634583,passthrough,6.695693760478829e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2831582110448473,0.0030322112143039703
21,1.1,-0.06083725124543564,0.10433890670537949,0.1325920969247818,0.41212329268455505,0.09785278886556625,0.35,0,0,0,0,0.9411510229110718,1.6662718057632446,21.9047794342041,0.9411510229110718,passthrough,6.7771048310190426e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2779937336997478,0.0032081585377454758
22,1.1500000000000001,-0.08654864627902903,0.11240088939666748,0.12926915287971497,0.4065522253513336,0.10413102060556412,0.35,0,0,0,0,0.9531051516532898,2.3231916427612305,18.0827579498291,0.9531051516532898,passthrough,6.278323065073176e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.27257097894813065,0.002008989453315735
23,1.2000000000000002,-0.11152104036479166,0.12159707397222519,0.1268812119960785,0.4006536304950714,0.11293012648820877,0.35,2,0,0,0,0.9769954681396484,2.6631155014038086,15.04250431060791,0.9769954681396484,passthrough,6.975966273689122e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2668499390594773,0.0031501101329922676
24,1.25,-0.12339459680034856,0.13088975846767426,0.12469342350959778,0.39428505301475525,0.12178388237953186,0.35,2,0,0,0,1.0209020376205444,2.8073675632476807,11.577116012573242,1.0209020376205444,passthrough,7.64132508932524e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2608195892460553,0.0031433291733264923
25,1.3,-0.1669441729186758,0.14352655410766602,0.12423622608184814,0.38751307129859924,0.13391901552677155,0.35,2,0,0,0,1.057490348815918,2.7890729904174805,27.71162986755371,1.057490348815918,passthrough,7.083925351599542e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.25451799197195224,0.0031287269666790962
26,1.35,-0.22155999514230346,0.1541903018951416,0.12616489827632904,0.3804936707019806,0.14402228593826294,0.35,2,0,0,0,1.0855209827423096,2.8608226776123047,39.826568603515625,1.0855209827423096,passthrough,7.691014405046232e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24779705832113252,0.0028547821566462517
27,1.4000000000000001,-0.20342754893908932,0.15931102633476257,0.12680292129516602,0.3735371530056,0.14856308698654175,0.35,2,0,0,0,1.0874525308609009,2.177490472793579,67.23878479003906,1.0874525308609009,passthrough,7.293047058100789e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2408102881652035,0.003007221035659313
28,1.4500000000000002,-0.19697881335596806,0.16668148338794708,0.12667496502399445,0.3665425777435303,0.15532401204109192,0.35,2,0,0,0,1.0737839937210083,2.2526636123657227,23.579998016357422,1.0737826824188232,filtered,1.7748939160641089e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.23389913984481342,0.0029693907126784325
29,1.5,-0.21618672336474057,0.17632901668548584,0.12707307934761047,0.3594212234020233,0.16431769728660583,0.35,2,0,0,0,1.0594193935394287,1.9912655353546143,19.355260848999023,1.059418797492981,filtered,7.3861075109192e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.22696114678581852,0.0030763186514377594
30,1.55,-0.24885922720677528,0.18675056099891663,0.12867175042629242,0.3521667420864105,0.17403532564640045,0.35,2,0,0,0,1.0514066219329834,1.4823901653289795,15.89836597442627,1.0514066219329834,passthrough,6.471783866382324e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2199006019469506,0.0028683990240097046
31,1.6,-0.25224622160722276,0.1933419108390808,0.13005204498767853,0.34499233961105347,0.1799011081457138,0.35,2,0,0,0,1.0360256433486938,1.5229572057724,21.97327995300293,1.0360251665115356,filtered,7.307483243775432e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.21270913003138758,0.003203156404197216
