step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.0543606196457813,0.2985173761844635,0.6429154872894287,0.24913309514522552,0.2705436646938324,0.35,3,0,0,0,0.3912721276283264,7.825442790985107,156.50885009765625,0.45784792304039,1.0,0.08561910235296297,0,0,0,0,0.08561910235296297,0.0,filtered,0.07377406186264895,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.08561910235296297,0.624429482|0.639429482|0.346197892|0.0856191024|0.0876191024|0.126731096,0.774429482|0.789429482|0.496197892|0.235619102|0.237619102|0.276731096,0.744429482|0.759429482|0.466197892|0.205619102|0.207619102|0.246731096,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.065314587|0.0255129624|0.0255129624|-0.0103384943,-0.10702513|0|-0.120111441|-0.120145506|-0.120145506|-0.105173193,2.3906928|2.55771793|1.32999471|0.247843866|0.255843866|0.391412696,0.598231435|0.488934726|0.616742909,-0.0356687307|-0.125761181|-0.0347223654,0.004702974110841751,0.0012785522267222404,0.0013852957636117935,0.0019560223445296288
1,0.1,-0.9716725539915049,0.28479287028312683,0.6359325051307678,0.24519051611423492,0.2554984986782074,0.35,3,0,0,0,0.6593815684318542,6.126222610473633,97.20638275146484,0.6593811511993408,1.0,0.08089851989139854,0,0,0,0,0.08561910235296297,0.0,filtered,6.283692478941264e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.08089851989139854,0.619087828|0.634087828|0.343415989|0.0808985199|0.0828985199|0.120990564,0.769087828|0.784087828|0.493415989|0.23089852|0.23289852|0.270990564,0.739087828|0.754087828|0.463415989|0.20089852|0.20289852|0.240990564,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0928887377|0.0347863592|0.0347863592|-0.0259753191,-0.106649899|0|-0.119724226|-0.1208016|-0.1208016|-0.105770301,2.36970141|2.53635131|1.34682847|0.237578839|0.245578839|0.352216635,0.596448302|0.482646555|0.615006983,-0.0356687307|-0.125761181|-0.0347223654,0.004528684541583061,0.0012858351692557335,0.0011889943853020668,0.001963092014193535
2,0.15000000000000002,-0.8748207908314615,0.22752781212329865,0.6279011368751526,0.24413444101810455,0.19765175879001617,0.35,3,0,0,0,0.7005658745765686,5.777483940124512,152.17356872558594,0.6962668895721436,0.959126009095949,0.07673008072767593,0,0,0,0,0.08561910235296297,0.0,filtered,0.03417374494891903,0,0,12,joint_5_acceleration_lower,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.07673008072767593,0.613765101|0.628765088|0.342068243|0.0767300807|0.0787300807|0.114562211,0.763765101|0.778765088|0.492068243|0.226730081|0.228730081|0.264562211,0.733765101|0.748765088|0.462068243|0.196730081|0.198730081|0.234562211,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0672657805|0.0924297697|0.0924297697|0.0488746526,-0.106268043|0|-0.119388474|-0.122378636|-0.122378636|-0.107481011,2.34879236|2.51506035|1.31615028|0.276971457|0.284971457|0.399642486,0.59466517|0.476358384|0.613271058,-0.0356687307|-0.125761181|-0.0347223654,0.004847962409257889,0.0014699501916766167,0.0013593854382634163,0.001936890184879303
3,0.2,-0.8057270139596042,0.22016388177871704,0.6179248690605164,0.2456744760274887,0.1903802901506424,0.35,3,0,0,0,0.745581865310669,3.838834762573242,111.42805480957031,0.7455816864967346,0.9435911918610987,0.0754872953488879,0,0,0,0,0.08561910235296297,0.0,filtered,3.243517534448271e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.0754872953488879,0.608461638|0.623461638|0.339488231|0.0754872953|0.0774872953|0.111958067,0.758461638|0.773461638|0.489488231|0.225487295|0.227487295|0.261958067,0.728461638|0.743461638|0.459488231|0.195487295|0.197487295|0.231958067,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0832792081|0.146492164|0.146492164|0.108836729,-0.10587943|0|-0.119270588|-0.123688844|-0.123688844|-0.1089425,2.32796712|2.49384655|1.32196154|0.324752502|0.332752502|0.447726495,0.592882037|0.470070213|0.611535132,-0.0356687307|-0.125761181|-0.0347223654,0.003673616796731949,0.0010693268850445747,0.0010323934257030487,0.0015009241178631783
4,0.25,-0.7435804323884486,0.21243654191493988,0.6065080165863037,0.25038814544677734,0.1836223155260086,0.35,3,0,0,0,0.8028727173805237,3.0712974071502686,57.412864685058594,0.8028722405433655,0.9607314980969509,0.07685851984775607,0,0,0,0,0.08561910235296297,0.0,filtered,7.120313713007218e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.07685851984775607,0.603177778|0.618177778|0.337708743|0.0768585198|0.0788585198|0.112262936,0.753177778|0.768177778|0.487708743|0.22685852|0.22885852|0.262262936,0.723177778|0.738177778|0.457708743|0.19685852|0.19885852|0.232262936,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0803916279|0.213403443|0.213403443|0.194778936,-0.105483926|0|-0.119116543|-0.124878415|-0.124878415|-0.110455783,2.30722718|2.47271111|1.31211006|0.395959108|0.403959108|0.533374895,0.591098905|0.463782042|0.609799206,-0.0356687307|-0.125761181|-0.0347223654,0.0035833558067679405,0.0010212622582912445,0.0009975703433156013,0.001502159982919693
5,0.30000000000000004,-0.6850988434126384,0.20161277055740356,0.594099760055542,0.25723329186439514,0.17426925897598267,0.35,3,0,0,0,0.8811105489730835,3.042433977127075,63.20956039428711,0.8811096549034119,1.0,0.08146408414617409,0,0,0,0,0.08561910235296297,0.0,filtered,1.4419338550247192e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.08146408414617409,0.597913869|0.612913869|0.335799902|0.0814640841|0.0834640841|0.116718625,0.747913869|0.762913869|0.485799902|0.231464084|0.233464084|0.266718625,0.717913869|0.732913869|0.455799902|0.201464084|0.203464084|0.236718625,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0800430792|0.257334751|0.257334751|0.248595129,-0.105081393|0|-0.119010413|-0.125645828|-0.125645828|-0.111617782,2.28657408|2.45165548|1.30423227|0.45754526|0.46554526|0.603851847,0.589315772|0.457493871|0.608063281,-0.0356687307|-0.125761181|-0.0347223654,0.003547443076968193,0.0010256189852952957,0.0009893672540783882,0.0014715157449245453
6,0.35000000000000003,-0.6300628148049625,0.19096435606479645,0.5809770226478577,0.2643800377845764,0.16505703330039978,0.35,3,0,0,0,0.9302470088005066,1.5463840961456299,50.165096282958984,0.9302463531494141,1.0,0.08822760871683358,0,0,0,0,0.08561910235296297,0.0,filtered,1.0874624709199872e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.08822760871683358,0.592670267|0.607670267|0.333889562|0.0882276087|0.0902276087|0.123797426,0.742670267|0.757670267|0.483889562|0.238227609|0.240227609|0.273797426,0.712670267|0.727670267|0.453889562|0.208227609|0.210227609|0.243797426,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0912127879|0.263367525|0.263367525|0.250189925,-0.104671691|0|-0.118953497|-0.126229129|-0.126229129|-0.112652532,2.26600938|2.43068107|1.30781754|0.490048831|0.498048831|0.632727097,0.58753264|0.451205701|0.606327355,-0.0356687307|-0.125761181|-0.0347223654,0.016583495773375034,0.0014191046357154846,0.013679267838597298,0.0013987170532345772
7,0.4,-0.579105956512559,0.1807284653186798,0.5673338174819946,0.27167800068855286,0.15619930624961853,0.35,3,0,0,0,0.950543999671936,1.4827786684036255,39.60425567626953,0.9505433440208435,1.0,0.09527563568119671,0,0,0,0,0.08561910235296297,0.0,filtered,9.976830170473387e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.09527563568119671,0.587447334|0.602447334|0.332533888|0.0952756357|0.0972756357|0.130938623,0.737447334|0.752447334|0.482533888|0.245275636|0.247275636|0.280938623,0.707447334|0.722447334|0.452533888|0.215275636|0.217275636|0.250938623,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.100844146|0.26682229|0.26682229|0.250905652,-0.104254678|0|-0.118856749|-0.126931312|-0.126931312|-0.113875801,2.24553466|2.40978934|1.31212295|0.520993521|0.528993521|0.660784342,0.585749507|0.44491753|0.604591429,-0.0356687307|-0.125761181|-0.0347223654,0.003999284468591213,0.0008408175781369209,0.0011459896340966225,0.0019581476226449013
8,0.45,-0.5370897652618851,0.16947776079177856,0.5536844730377197,0.2801852524280548,0.1465313732624054,0.35,3,0,0,0,0.9648007750511169,1.2931091785430908,42.183753967285156,0.964800238609314,1.0,0.10246463898543004,0,0,0,0,0.08561910235296297,0.0,filtered,8.361594145077698e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.10246463898543004,0.582245438|0.597245438|0.331655221|0.102464639|0.104464639|0.138074626,0.732245438|0.747245438|0.481655221|0.252464639|0.254464639|0.288074626,0.702245438|0.717245438|0.451655221|0.222464639|0.224464639|0.258074626,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0903580583|0.292766653|0.292766653|0.288739446,-0.103830209|0|-0.118706284|-0.127703996|-0.127703996|-0.115218992,2.22515154|2.38898175|1.29827266|0.574921213|0.582921213|0.725818959,0.583966374|0.438629359|0.602855504,-0.0356687307|-0.125761181|-0.0347223654,0.003599099814891815,0.001045195385813713,0.0010031424462795258,0.0014869896695017815
9,0.5,-0.4944948093147357,0.15769194066524506,0.5399876236915588,0.28975075483322144,0.13644877076148987,0.35,3,0,0,0,0.980981171131134,1.3148741722106934,17.228599548339844,0.980981171131134,1.0,0.11089732446443903,0,0,0,0,0.08561910235296297,0.0,passthrough,5.391543030592925e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.11089732446443903,0.577064957|0.59206494|0.330276163|0.110897324|0.112897324|0.146999164,0.727064957|0.74206494|0.480276163|0.260897324|0.262897324|0.296999164,0.697064957|0.71206494|0.450276163|0.230897324|0.232897324|0.266999164,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0810337379|0.315262187|0.315262187|0.321503353,-0.103398137|0|-0.118625755|-0.128235347|-0.128235347|-0.116282081,2.20486169|2.36825976|1.28351263|0.630616138|0.638616138|0.793217927,0.582183242|0.432341188|0.601119578,-0.0356687307|-0.125761181|-0.0347223654,0.0035694316029548645,0.0010088030248880386,0.0009910659864544868,0.0015088217332959175
10,0.55,-0.4448620848464827,0.14649216830730438,0.5258318185806274,0.2996000349521637,0.1268736571073532,0.35,3,0,0,0,0.9838069677352905,1.3274248838424683,44.55253982543945,0.9838069677352905,1.0,0.12041671275766105,0,0,0,0,0.08561910235296297,0.0,passthrough,6.627725364423139e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.12041671275766105,0.571906274|0.586906274|0.328454031|0.120416713|0.122416713|0.157473579,0.721906274|0.736906274|0.478454031|0.270416713|0.272416713|0.307473579,0.691906274|0.706906274|0.448454031|0.240416713|0.242416713|0.277473579,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0851901255|0.32174979|0.32174979|0.329222305,-0.102958312|0|-0.118616396|-0.128566834|-0.128566834|-0.117107116,2.18466678|2.3476251|1.28038985|0.674849807|0.682849807|0.842009503,0.580400109|0.426053017|0.599383652,-0.0356687307|-0.125761181|-0.0347223654,0.0036024022847414017,0.0010497793555259705,0.000995825044810772,0.0014938609674572945
11,0.6000000000000001,-0.39906686013034487,0.13610568642616272,0.5113778710365295,0.30951622128486633,0.11799558997154236,0.35,3,0,0,0,0.9858109354972839,1.084322452545166,9.649702072143555,0.9858109354972839,1.0,0.13022100078097043,0,0,0,0,0.08561910235296297,0.0,passthrough,7.129178311491061e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.13022100078097043,0.56676978|0.581769771|0.326835436|0.130221001|0.132221001|0.168222087,0.71676978|0.731769771|0.476835436|0.280221001|0.282221001|0.318222087,0.68676978|0.701769771|0.446835436|0.250221001|0.252221001|0.288222087,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.089610574|0.323736496|0.323736496|0.328598159,-0.102510581|0|-0.118581592|-0.12888964|-0.12888964|-0.117660444,2.16456854|2.32707909|1.27837073|0.715730859|0.723730859|0.883826064,0.578616977|0.419764847|0.597647727,-0.0356687307|-0.125761181|-0.0347223654,0.0036718081682920456,0.00106826052069664,0.0010008765384554863,0.0015348494052886963
