train_seed,episode,seed,seed_manifest,success,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,final_position_error_m,completion_time_s,min_distance_m,mean_risk,max_risk
4301,0,9001,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.037700410932302475,1.0,0.20547588169574738,0.08864762652665377,0.26019373536109924
4301,1,9002,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04249512031674385,0.65,0.6441001296043396,0.027477635357242364,0.036689337342977524
4301,2,9003,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05245211347937584,0.4,0.6222602725028992,0.025332826422527432,0.027191538363695145
4301,3,9004,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05374903976917267,2.0500000000000003,0.3041262626647949,0.03314205299972034,0.12273018062114716
4301,4,9005,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04287799820303917,0.5,0.28429844975471497,0.08095294758677482,0.14209716022014618
4301,5,9006,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04889293760061264,0.45,0.14892321825027466,0.5319974952273898,0.7747624516487122
4301,6,9007,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.049207307398319244,1.0,0.26019755005836487,0.23680499494075774,0.34306612610816956
4301,7,9008,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05240275710821152,0.5,0.4075133502483368,0.03553866036236286,0.06047941744327545
4301,8,9009,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.048750948160886765,1.0,0.23757125437259674,0.2689840879291296,0.3766154944896698
4301,9,9010,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04654457047581673,0.6000000000000001,0.5092824101448059,0.03434054165457686,0.05137045308947563
4301,10,9011,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04265658184885979,0.7000000000000001,0.46788114309310913,0.04316422423081739,0.05023493617773056
4301,11,9012,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04124676436185837,0.7000000000000001,0.37564510107040405,0.03927204678101199,0.07433243840932846
4301,12,9013,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.03560948744416237,0.6000000000000001,0.3250206410884857,0.05361124066015085,0.10550428181886673
4301,13,9014,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05389489233493805,0.5,0.6373131275177002,0.05142766386270523,0.0640416145324707
4301,14,9015,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05209653824567795,0.30000000000000004,0.26878654956817627,0.22230622917413712,0.34187349677085876
4301,15,9016,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.054591018706560135,8.35,0.232930988073349,0.05775690228193106,0.21003694832324982
4301,16,9017,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.054931797087192535,0.9500000000000001,0.5855914354324341,0.05499283106703507,0.12014015763998032
4301,17,9018,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04422025755047798,1.1,0.2983498275279999,0.04228204446421428,0.1280459761619568
4301,18,9019,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05376244708895683,0.75,0.25119465589523315,0.07343409657478332,0.18249239027500153
4301,19,9020,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.051340553909540176,0.25,0.389259397983551,0.0673970028758049,0.06801286339759827
4301,20,9021,configs/experiments/reaching_recovery/manifests/v1_final.json,0,0,0,0,0,,0.2643291652202606,12.0,0.21765823662281036,0.042516128881834446,0.2590082585811615
4301,21,9022,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05080381780862808,1.1,0.22802811861038208,0.2913536114448851,0.48115798830986023
4301,22,9023,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04763277247548103,1.3,0.2705315947532654,0.25941552508335847,0.3889217674732208
4301,23,9024,configs/experiments/reaching_recovery/manifests/v1_final.json,0,0,0,0,0,,0.1866268813610077,12.0,0.2552646994590759,0.13755747849742572,0.3647436797618866
4301,24,9025,configs/experiments/reaching_recovery/manifests/v1_final.json,0,0,0,0,0,,0.09260102361440659,12.0,0.3540869653224945,0.08302941313013434,0.16101966798305511
4301,25,9026,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05173077806830406,0.7000000000000001,0.46149247884750366,0.07540236919053964,0.11186432093381882
4301,26,9027,configs/experiments/reaching_recovery/manifests/v1_final.json,0,0,0,0,0,,0.13846689462661743,12.0,0.1395489126443863,0.37607444195697703,0.7060393691062927
4301,27,9028,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.050792161375284195,0.45,0.19014260172843933,0.16043025337987477,0.29362231492996216
4301,28,9029,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.047277871519327164,0.45,0.2993708848953247,0.09889991581439972,0.17233093082904816
4301,29,9030,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.0529252327978611,1.25,0.2541976869106293,0.08564528807997704,0.1783512830734253
4301,30,9031,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.05277334526181221,0.65,0.2746027708053589,0.23859731910320428,0.34723925590515137
4301,31,9032,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.054558634757995605,0.6000000000000001,0.5555130839347839,0.024306870065629482,0.028203820809721947
4301,32,9033,configs/experiments/reaching_recovery/manifests/v1_final.json,0,0,0,0,0,,0.3546137809753418,12.0,0.16433335840702057,0.27883958822737137,0.5286000370979309
4301,33,9034,configs/experiments/reaching_recovery/manifests/v1_final.json,1,0,0,0,0,,0.04863171651959419,1.05,0.36241793632507324,0.041995247382493245,0.08125393837690353
