episode,step,reset_seed,reset_source,reset_jitter_seed,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,residual_control_enabled,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha
26,421192,432436765,random,,28.608662896049772,0.49909307807683945,14,1,0,0,0,0,0,,0.0,0.4683164954185486,0.0356495055769171,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
27,421203,1349777755,random,,28.25951508451824,1.2209280505776405,11,1,0,0,0,0,0,,0.0,0.368334025144577,0.11099345914342186,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
28,421443,459867352,random,,-106.65268669216708,72.88330617547035,240,0,0,0,0,0,0,,0.0,0.1447499394416809,0.3036804423977931,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
29,421683,997131787,random,,-41.24341039136572,42.11342550069094,240,0,0,0,0,0,0,,0.0,0.2392871081829071,0.17547260625287892,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
30,421698,24479986,random,,21.86075580232465,5.259542897343636,15,1,0,0,0,0,0,,0.0,0.23324579000473022,0.3506361931562424,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
31,421715,9025,focused,533714692,26.91241322457743,1.4032548852264881,17,1,0,0,0,0,0,,0.0,0.4053022861480713,0.08254440501332283,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
32,421955,9024,focused,1679838535,-45.316906136610505,37.04569413512945,240,0,0,0,0,0,0,,0.0,0.23930521309375763,0.15435705889637272,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
33,421966,157313625,random,,25.81039464701297,0.580500639975071,11,1,0,0,0,0,0,,0.0,0.6573525667190552,0.052772785452279175,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
34,422206,216233639,random,,-32.88868957843253,32.284993059933186,240,0,0,0,0,0,0,,0.0,0.25477203726768494,0.13452080441638828,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
35,422446,9174,focused,1207140838,-57.28840346932347,15.825850745663047,240,0,0,0,0,0,0,,0.0,0.3133513033390045,0.06594104477359602,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
