step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.8269535247258162,0.44426044821739197,0.4374317526817322,0.2803402245044708,0.3872945010662079,0.35,5,0,0,0,0,0,0.0,0.0,0.0,0.4555140435695648,1.0,nan,0,0,0,0,0.10143905129639821,0.0,safe_stop_compute_budget,0.4555140435695648,1,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.10143905129639821,0.557607299|0.572607299|0.393789839|0.123606253|0.121408335|0.101439051,0.707607299|0.722607299|0.543789839|0.273606253|0.271408335|0.251439051,0.677607299|0.692607299|0.513789839|0.243606253|0.241408335|0.221439051,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.189398264|0|-0.25672559|-0.310230197|-0.305134289|-0.287193976,2.04103093|2.2904292|1.31843377|0.184194816|0.180499052|0.118562229,0.584914744|0.528062999|0.484865069,-0.0505018085|-0.304625332|0.036433883,0.13055457919836044,0.0008342303335666656,0.0010196398943662643,0.1286668088287115
1,0.1,-0.6616309804906206,0.4313681721687317,0.42937400937080383,0.26875609159469604,0.36835262179374695,0.35,5,0,0,0,0,0,0.40552765130996704,8.110552787780762,162.2110595703125,0.46979328989982605,1.0,nan,0,0,0,0,0.10143905129639821,0.0,filtered,0.0734188320289219,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.0871303987441028,0.548227659|0.563227659|0.381012545|0.108096122|0.10615251|0.0871303987,0.698227659|0.713227659|0.531012545|0.258096122|0.25615251|0.237130399,0.668227659|0.683227659|0.501012545|0.228096122|0.22615251|0.207130399,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0733790049|0.118004555|0.107059273|0.0492327617,-0.185772604|0|-0.254346637|-0.310171141|-0.305094185|-0.285107193,2.00713803|2.25291064|1.34308255|0.240217902|0.226575127|0.112647164,0.582389891|0.512831628|0.486686826,-0.0505018085|-0.304625332|0.036433883,0.004614341072738171,0.0013285009190440178,0.001234889030456543,0.0020121829584240913
2,0.15000000000000002,-0.4628452988117494,0.4168294072151184,0.4126741588115692,0.259380966424942,0.3475314974784851,0.35,5,0,0,0,0,0,0.7428568005561829,7.754533290863037,111.5226058959961,0.7429076433181763,1.0,nan,0,0,0,0,0.10143905129639821,0.0,filtered,0.00012701300992929874,0,0,12,joint_4_acceleration_upper,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07538660020958729,0.539032337|0.554032332|0.37183048|0.0983975837|0.0962153923|0.0753866002,0.689032337|0.704032332|0.52183048|0.248397584|0.246215392|0.2253866,0.659032337|0.674032332|0.49183048|0.218397584|0.216215392|0.1953866,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.13703226|0.225411308|0.202916584|0.0787069063,-0.18202514|0|-0.251341264|-0.310490048|-0.305768675|-0.286205538,1.97410421|2.21612933|1.37301292|0.308511595|0.282009478|0.0940477693,0.579865038|0.497600257|0.488508582,-0.0505018085|-0.304625332|0.036433883,0.004411305300891399,0.0013069547712802887,0.0012401388958096504,0.0018331566825509071
3,0.2,-0.27836516485804624,0.38580355048179626,0.38961148262023926,0.25228288769721985,0.3106045722961426,0.35,5,0,0,0,0,0,0.9226462841033936,6.399664878845215,116.86602020263672,0.9256367683410645,1.0,nan,0,0,0,0,0.10143905129639821,0.0,filtered,0.016277584438093295,0,0,12,joint_5_acceleration_upper,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06539248927889921,0.530027497|0.545027497|0.365976553|0.0942966604|0.0913094559|0.0653924893,0.680027497|0.695027497|0.515976553|0.24429666|0.241309456|0.215392489,0.650027497|0.665027497|0.485976553|0.21429666|0.211309456|0.185392489,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.1756966|0.30194334|0.272647584|0.119519349,-0.178152981|0|-0.247651598|-0.310849838|-0.306988867|-0.290796154,1.94195701|2.18010999|1.39195121|0.368280144|0.330896541|0.0902931521,0.577340186|0.482368886|0.490330338,-0.0505018085|-0.304625332|0.036433883,0.0040465472266077995,0.0010362239554524422,0.001042005605995655,0.0019369497895240784
4,0.25,-0.11645457705171594,0.3361474573612213,0.36266225576400757,0.24741600453853607,0.25613853335380554,0.35,5,0,0,0,0,0,0.9647188782691956,4.842912197113037,115.7173080444336,0.9647188186645508,1.0,nan,0,0,0,0,0.10143905129639821,0.0,filtered,1.382667156343726e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.057456597909503776,0.521219442|0.536219442|0.362358592|0.0942439504|0.0900293261|0.0574565979,0.671219442|0.686219442|0.512358592|0.24424395|0.240029326|0.207456598,0.641219442|0.656219442|0.482358592|0.21424395|0.210029326|0.177456598,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.195185278|0.345397094|0.310357319|0.167608432,-0.174153366|0|-0.24330028|-0.310435025|-0.308090221|-0.297101133,1.9107244|2.14487777|1.40131937|0.411937871|0.362384402|0.100333691,0.574815333|0.467137516|0.492152095,-0.0505018085|-0.304625332|0.036433883,0.003984816372394562,0.0008614873513579369,0.0013069147244095802,0.0017921151593327522
5,0.30000000000000004,-0.059191450755649355,0.32062259316444397,0.3354502022266388,0.24347840249538422,0.236684188246727,0.35,5,0,0,0,0,0,0.8925777673721313,5.772473335266113,110.10327911376953,0.8925777077674866,1.0,nan,0,0,0,0,0.10143905129639821,0.0,filtered,1.8814126865367323e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.051781667845380436,0.512614613|0.52761461|0.360000478|0.0965487023|0.0907106746|0.0517816678,0.662614613|0.67761461|0.510000478|0.246548702|0.240710675|0.201781668,0.632614613|0.64761461|0.480000478|0.216548702|0.210710675|0.171781668,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.198808395|0.347799591|0.308522583|0.198702252,-0.170023693|0|-0.238316157|-0.308598267|-0.308435381|-0.303238127,1.88043476|2.11045844|1.40049415|0.425396132|0.3629299|0.102590797,0.57229048|0.451906145|0.493973851,-0.0505018085|-0.304625332|0.036433883,0.0028783027082681656,0.0008024172857403755,0.0007922453805804253,0.0012629888951778412
6,0.35000000000000003,-0.039035892285665175,0.3343328833580017,0.30832940340042114,0.23950393497943878,0.2468036562204361,0.35,5,0,0,0,0,0,0.8943681716918945,5.237695693969727,56.55917739868164,0.8976097106933594,1.0,nan,0,0,0,0,0.10143905129639821,0.0,filtered,0.016798730206213672,0,0,12,joint_4_acceleration_lower,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.04726669156875593,0.504219572|0.519219572|0.358101814|0.0990440634|0.0912040072|0.0472666916,0.654219572|0.669219572|0.508101814|0.249044063|0.241204007|0.197266692,0.624219572|0.639219572|0.478101814|0.219044063|0.211204007|0.167266692,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.197815361|0.333909864|0.284017051|0.207662593,-0.165761549|0|-0.23277544|-0.305290514|-0.307811391|-0.307647882,1.85111674|2.07687829|1.39744718|0.424795604|0.341021689|0.0890814766,0.569765627|0.436674774|0.495795608,-0.0505018085|-0.304625332|0.036433883,0.002887386828660965,0.0008103856816887856,0.0007944004610180855,0.0012633027508854866
7,0.4,0.03686699261998799,0.2999862730503082,0.28075969219207764,0.23730383813381195,0.21064652502536774,0.35,5,0,0,0,0,0,0.9847672581672668,4.182734489440918,42.67607879638672,0.9847666025161743,1.0,nan,0,0,0,0,0.10143905129639821,0.0,filtered,1.1147613453888002e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.042954884114293074,0.496040999|0.511040999|0.356476884|0.101061301|0.0904600962|0.0429548841,0.646040999|0.661040999|0.506476884|0.251061301|0.240460096|0.192954884,0.616040999|0.631040999|0.476476884|0.221061301|0.210460096|0.162954884,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.198519307|0.354167832|0.299303908|0.250994082,-0.161364745|0|-0.226698447|-0.300427372|-0.306261572|-0.310234936,1.82279925|2.044164|1.3977284|0.457985665|0.354882721|0.112578682,0.567240775|0.421443403|0.497617364,-0.0505018085|-0.304625332|0.036433883,0.0031989943236112595,0.0010157767683267593,0.0008911918848752975,0.0012699561193585396
8,0.45,0.09596245077841531,0.29242029786109924,0.2520502209663391,0.23709408938884735,0.20338448882102966,0.35,5,0,0,0,0,0,1.0966811180114746,3.6456899642944336,50.88921356201172,1.096679925918579,1.0,nan,0,0,0,0,0.10143905129639821,0.0,filtered,1.9510527265908704e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.040672178004262066,0.488085676|0.503085676|0.35520099|0.104328409|0.0907144519|0.040672178,0.638085676|0.653085676|0.50520099|0.254328409|0.240714452|0.190672178,0.608085676|0.623085676|0.47520099|0.224328409|0.210714452|0.160672178,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.198998785|0.384339789|0.331973396|0.296091443,-0.156831351|0|-0.220201541|-0.294046193|-0.304005034|-0.310870371,1.79551135|2.01234271|1.3996012|0.507607232|0.39082617|0.147909784,0.564715922|0.406212032|0.49943912,-0.0505018085|-0.304625332|0.036433883,0.003983422182500362,0.0014123544096946716,0.0008016489446163177,0.0017382800579071045
9,0.5,0.15017007536445703,0.28731533885002136,0.22221434116363525,0.2388077825307846,0.2007124125957489,0.35,5,0,0,0,0,0,1.1915538311004639,2.8319523334503174,21.257673263549805,1.1915525197982788,1.0,nan,0,0,0,0,0.10143905129639821,0.0,filtered,1.910548033978187e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.04066129507888447,0.480360476|0.495360476|0.354277813|0.109445297|0.0927410993|0.0406612951,0.630360476|0.645360476|0.504277813|0.259445297|0.242741099|0.190661295,0.600360476|0.615360476|0.474277813|0.229445297|0.212741099|0.160661295,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.201219997|0.414077614|0.364273301|0.338495033,-0.152159729|0|-0.2132942|-0.285992098|-0.299931166|-0.309339415,1.76928217|1.9814419|1.40503705|0.565866703|0.435306532|0.191800798,0.562191069|0.390980661|0.501260877,-0.0505018085|-0.304625332|0.036433883,0.0038598934188485146,0.0014522979035973549,0.001048344187438488,0.0013291705399751663
