step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.6784997009124666,0.37662988901138306,0.4188153147697449,0.25453585386276245,0.31989556550979614,0.35,3,0,0,0,0,0,0.3858645260334015,7.71729040145874,154.34580993652344,0.41856932640075684,1.0,nan,0,0,0,0,0.07552872226822568,0.0,filtered,0.06574812758777904,0,0,12,joint_0_acceleration_lower|joint_3_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,1.8750366774511473e-07,valid,0.07552872226822568,0.451724358|0.466724358|0.276006399|0.0755287223|0.0775287223|0.0969190651,0.601724358|0.616724358|0.426006399|0.225528722|0.227528722|0.246919065,0.571724358|0.586724358|0.396006399|0.195528722|0.197528722|0.216919065,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0219637159|0.101762079|0.101762079|0.0706307621,-0.143861141|0|-0.239846052|-0.236286841|-0.236286841|-0.169073412,1.66303629|1.86689743|0.886143259|0.167590127|0.175590127|0.289233611,0.538600147|0.473505706|0.367225051,-0.0243393518|-0.270267934|0.0780353025,0.0032383548095822334,0.0010180911049246788,0.0008772965520620346,0.001321381889283657
1,0.1,-0.4897212550747034,0.29857563972473145,0.4104180932044983,0.25079965591430664,0.24277253448963165,0.35,3,0,0,0,0,0,0.7122043371200562,7.354985237121582,98.81444549560547,0.7125394344329834,1.0,nan,0,0,0,0,0.07552872226822568,0.0,filtered,0.0009524404829465706,0,0,12,joint_4_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.06868708994504999,0.444631322|0.459631322|0.265098967|0.0686870899|0.0706870899|0.0919829324,0.594631322|0.609631322|0.415098967|0.21868709|0.22068709|0.241982932,0.564631322|0.579631322|0.385098967|0.18868709|0.19068709|0.211982932,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0791533034|0.155734708|0.155734708|0.0635813814,-0.139851182|0|-0.238212721|-0.233910096|-0.233910096|-0.164337692,1.63867411|1.83852529|0.901336449|0.196572971|0.204572971|0.267175419,0.537383497|0.459992379|0.371126771,-0.0243393518|-0.270267934|0.0780353025,0.003077876754105091,0.0007905689999461174,0.0008294563740491867,0.0014384035021066666
2,0.15000000000000002,-0.40246504599369276,0.32338225841522217,0.39708513021469116,0.2479890137910843,0.28370729088783264,0.35,3,0,0,0,0,0,0.8825346827507019,6.101573944091797,125.85196685791016,0.8825343251228333,1.0,nan,0,0,0,0,0.07552872226822568,0.0,filtered,8.156780354003489e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.0648563016245868,0.437741664|0.452741664|0.257115569|0.0648563016|0.0668563016|0.087186586,0.587741664|0.602741664|0.407115569|0.214856302|0.216856302|0.237186586,0.557741664|0.572741664|0.377115569|0.184856302|0.186856302|0.207186586,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.127867761|0.163945779|0.163945779|0.0230533445,-0.135725886|0|-0.236348414|-0.234550352|-0.234550352|-0.16384589,1.61524077|1.81096666|0.919981622|0.188820634|0.196820634|0.207953798,0.536166847|0.446479052|0.375028491,-0.0243393518|-0.270267934|0.0780353025,0.00284365750849247,0.0007807798683643341,0.0007723970338702202,0.0012707775458693504
3,0.2,-0.332125440228738,0.31717824935913086,0.3815773129463196,0.24709422886371613,0.2739346921443939,0.35,3,0,0,0,0,0,1.0470380783081055,5.371601581573486,39.29983139038086,1.0476934909820557,1.0,nan,0,0,0,0,0.07552872226822568,0.0,filtered,0.007954414188861836,0,0,12,joint_5_acceleration_upper,predictive_link_5,1,0,0,inaccurate_solution,,0.0,valid,0.06154572807499467,0.431061173|0.446061173|0.251639114|0.0615457281|0.0635457281|0.0805592012,0.581061173|0.596061173|0.401639114|0.211545728|0.213545728|0.230559201,0.551061173|0.566061173|0.371639114|0.181545728|0.183545728|0.200559201,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.163705965|0.199467765|0.199467765|0.0281046161,-0.131484387|0|-0.233959719|-0.23820111|-0.23820111|-0.167302503,1.5927603|1.78424469|0.936302704|0.207449568|0.215449568|0.183038918,0.534950197|0.432965726|0.378930211,-0.0243393518|-0.270267934|0.0780353025,0.003200426697731018,0.0008008554577827454,0.0008256742730736732,0.0015552686527371407
4,0.25,-0.2802434532098369,0.28885963559150696,0.3661714494228363,0.24743779003620148,0.2415848672389984,0.35,5,0,0,0,0,0,1.1329766511917114,2.294123649597168,80.58251953125,1.1329765319824219,1.0,nan,0,0,0,0,0.07552872226822568,0.0,filtered,1.579606986209045e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.059886809814380854,0.424595674|0.439595674|0.248126738|0.0598868098|0.0618882743|0.0740721294,0.574595674|0.589595674|0.398126738|0.20988681|0.211888274|0.224072129,0.544595674|0.559595674|0.368126738|0.17988681|0.181888274|0.194072129,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.191678435|0.235310898|0.235137984|0.0493509562,-0.127126119|0|-0.231151327|-0.244140703|-0.243837185|-0.174146112,1.57125658|1.7583827|0.953034062|0.230717434|0.238853896|0.171493362,0.533733547|0.419452399|0.382831931,-0.0243393518|-0.270267934|0.0780353025,0.0036689601838588715,0.0009190011769533157,0.0011226655915379524,0.0015975041314959526
5,0.30000000000000004,-0.2600937399925221,0.2522928714752197,0.3527200520038605,0.2448277324438095,0.20104359090328217,0.35,5,0,0,0,0,0,1.1883987188339233,3.3213729858398438,72.92234802246094,1.1883987188339233,1.0,nan,0,0,0,0,0.07552872226822568,0.0,filtered,5.364387633335093e-08,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.059792502445840195,0.418351015|0.433351015|0.246148539|0.0597925024|0.0618106748|0.0684305664,0.568351015|0.583351015|0.396148539|0.209792502|0.211810675|0.218430566,0.538351015|0.553351015|0.366148539|0.179792502|0.181810675|0.188430566,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.207007446|0.272769873|0.272265513|0.0864927476,-0.122650841|0|-0.22787004|-0.25156943|-0.250602607|-0.183715094,1.55075322|1.73340406|0.963731561|0.260370453|0.268905606|0.176499919,0.532516897|0.405939072|0.386733651,-0.0243393518|-0.270267934|0.0780353025,0.0028970828279852867,0.0007969019934535027,0.0008254777640104294,0.0012544626370072365
6,0.35000000000000003,-0.3041727611084202,0.24708063900470734,0.34281203150749207,0.24423815310001373,0.19249284267425537,0.35,5,0,0,0,0,0,1.2249685525894165,1.9907615184783936,28.63888931274414,1.2249685525894165,1.0,nan,0,0,0,0,0.07552872226822568,0.0,passthrough,1.2424417836526614e-09,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06122663892879279,0.412333042|0.427333042|0.245090561|0.0612266389|0.0632810141|0.0642653049,0.562333042|0.577333042|0.395090561|0.211226639|0.213281014|0.214265305,0.532333042|0.547333042|0.365090561|0.181226639|0.183281014|0.184265305,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.210060168|0.308933672|0.308525544|0.136433454,-0.118058671|0|-0.224152431|-0.259006902|-0.257534378|-0.194911112,1.5312735|1.70933217|0.966269981|0.294833326|0.304115222|0.198583561,0.531300247|0.392425746|0.390635371,-0.0243393518|-0.270267934|0.0780353025,0.0030134599655866623,0.0007935483008623123,0.0008328398689627647,0.001369253732264042
7,0.4,-0.372367362420232,0.24803441762924194,0.33708786964416504,0.24533791840076447,0.19087302684783936,0.35,5,0,0,0,0,0,1.2482991218566895,1.0554364919662476,53.58576202392578,1.2482990026474,1.0,nan,0,0,0,0,0.07552872226822568,0.0,filtered,1.041469396352422e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06206974785793726,0.406547591|0.421547591|0.244365892|0.0640603988|0.0661894667|0.0620697479,0.556547591|0.571547591|0.394365892|0.214060399|0.216189467|0.212069748,0.526547591|0.541547591|0.364365892|0.184060399|0.186189467|0.182069748,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.211866707|0.337121852|0.33709752|0.182263403,-0.113350108|0|-0.220087424|-0.265821225|-0.263875288|-0.206600246,1.51284026|1.68619036|0.969242852|0.327542222|0.337980098|0.223942148,0.530083597|0.378912419|0.394537091,-0.0243393518|-0.270267934|0.0780353025,0.002880651503801346,0.0008013928309082985,0.0008103782311081886,0.0012437459081411362
8,0.45,-0.4499841748354041,0.24648065865039825,0.33585768938064575,0.2476901262998581,0.18745793402194977,0.35,5,0,0,0,0,0,1.2696610689163208,0.6781290173530579,20.46857452392578,1.2696609497070312,1.0,nan,0,0,0,0,0.07552872226822568,0.0,filtered,3.3726203294567597e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.061577736087156526,0.40100046|0.41600046|0.243933417|0.0679142418|0.0701680324|0.0615777361,0.55100046|0.56600046|0.393933417|0.217914242|0.220168032|0.211577736,0.52100046|0.53600046|0.363933417|0.187914242|0.190168032|0.181577736,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.215219177|0.358306619|0.358850169|0.219996983,-0.108526067|0|-0.215610562|-0.271702484|-0.269437406|-0.21828772,1.49547577|1.66400184|0.975342282|0.358261102|0.370084893|0.248020207,0.528866947|0.365399092|0.398438811,-0.0243393518|-0.270267934|0.0780353025,0.002896117977797985,0.0007856758311390877,0.0008077342063188553,0.0012830346822738647
9,0.5,-0.538094091731365,0.242765411734581,0.339434951543808,0.2510855793952942,0.18264475464820862,0.35,5,0,0,0,0,0,1.2953134775161743,2.248974084854126,42.227439880371094,1.2953132390975952,1.0,nan,0,0,0,0,0.07552872226822568,0.0,filtered,5.853236861576039e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06238028759761102,0.39569739|0.41069739|0.243893249|0.0725034923|0.0749302247|0.0623802876,0.54569739|0.56069739|0.393893249|0.222503492|0.224930225|0.212380288,0.51569739|0.53069739|0.363893249|0.192503492|0.194930225|0.182380288,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.21797267|0.375770274|0.377146448|0.254564068,-0.103587895|0|-0.210613222|-0.276485718|-0.274161519|-0.229742584,1.47920166|1.64278956|0.982932444|0.389298525|0.402705828|0.274342634,0.527650297|0.351885766|0.402340531,-0.0243393518|-0.270267934|0.0780353025,0.0032845865935087204,0.0008752783760428429,0.0008782567456364632,0.0015110103413462639
