step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.5059907684471,0.31166911125183105,0.37841367721557617,0.3054313659667969,0.2732851207256317,0.35,3,0,0,0,0,0,0.3878905773162842,7.757811069488525,155.15621948242188,0.4409724771976471,1.0,nan,0,0,0,0,0.13155314366239979,0.0,filtered,0.06155583608173876,0,0,12,joint_3_acceleration_lower,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.13155314366239979,0.303950344|0.318950325|0.169751912|0.131553144|0.186391252|0.2017666,0.453950344|0.468950325|0.319751912|0.281553144|0.336391252|0.3517666,0.423950344|0.438950325|0.289751912|0.251553144|0.306391252|0.3217666,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0272468046|0.0537851481|0.0683275336|0.0701645456,-0.14047392|0|-0.21191643|-0.246194847|-0.225741688|-0.202875402,1.07532746|1.2758013|0.494338025|0.333802876|0.588150856|0.674355545,0.227276057|0.445181072|0.457280487,0.0579768009|-0.239980161|0.00102699152,0.004716362804174423,0.001224813051521778,0.0012756744399666786,0.002184757962822914
1,0.1,-0.3354863504711768,0.2856016159057617,0.3660132586956024,0.29798442125320435,0.24484288692474365,0.35,3,0,0,0,0,0,0.7287262678146362,7.183910369873047,66.83597564697266,0.7287259101867676,1.0,nan,0,0,0,0,0.13155314366239979,0.0,filtered,8.179094772418515e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.11853495289260993,0.306332101|0.321332101|0.167978406|0.118534953|0.165475151|0.181157218,0.456332101|0.471332101|0.317978406|0.268534953|0.315475151|0.331157218,0.426332101|0.441332101|0.287978406|0.238534953|0.285475151|0.301157218,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0623137104|0.0973996752|0.105604501|0.0934234983,-0.132704999|0|-0.203437267|-0.245972046|-0.22940122|-0.205789943,1.09262341|1.28532841|0.530790065|0.32556744|0.538103886|0.612262427,0.252415776|0.433181942|0.457331985,0.0579768009|-0.239980161|0.00102699152,0.003602570854127407,0.0014010034501552582,0.0008719591423869133,0.0013076495379209518
2,0.15000000000000002,-0.19416167592914013,0.27112165093421936,0.34812602400779724,0.29163306951522827,0.2283259481191635,0.35,3,0,0,0,0,0,0.934102475643158,5.1252241134643555,77.07240295410156,0.934102475643158,1.0,nan,0,0,0,0,0.13155314366239979,0.0,passthrough,4.9111945433583e-09,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.11115242861294619,0.299788|0.314788|0.160946902|0.111152429|0.159366989|0.175666002,0.449788|0.464788|0.310946902|0.261152429|0.309366989|0.325666002,0.419788|0.434788|0.280946902|0.231152429|0.279366989|0.295666002,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0873580917|0.119922358|0.118847205|0.0954493135,-0.129041103|0|-0.199636106|-0.245546484|-0.230361595|-0.207261877,1.0701109|1.259152|0.531509595|0.318985589|0.525953564|0.590851445,0.255314708|0.421182811|0.457383484,0.0579768009|-0.239980161|0.00102699152,0.0035037733614444733,0.0013526491820812225,0.000780920498073101,0.0013381317257881165
3,0.2,-0.09836906224893141,0.2630659341812134,0.32704126834869385,0.28595298528671265,0.21852311491966248,0.35,3,0,0,0,0,0,1.0475447177886963,3.0277838706970215,80.13218688964844,1.0475447177886963,1.0,nan,0,0,0,0,0.13155314366239979,0.0,passthrough,7.244220530143379e-10,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.10493277731325237,0.293430118|0.308430065|0.155361338|0.104932777|0.153879178|0.170203168,0.443430118|0.458430065|0.305361338|0.254932777|0.303879178|0.320203168,0.413430118|0.428430065|0.275361338|0.224932777|0.273879178|0.290203168,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.101217967|0.134214348|0.128108337|0.0966824213,-0.125256033|0|-0.194480017|-0.244657556|-0.231939617|-0.210231204,1.04846444|1.23372026|0.528183303|0.309287901|0.511685432|0.567263889,0.258213639|0.409183681|0.457434982,0.0579768009|-0.239980161|0.00102699152,0.0034659113734960556,0.0007862076163291931,0.0012779505923390388,0.001382746733725071
4,0.25,-0.04648606080843848,0.2646850645542145,0.30458563566207886,0.28051674365997314,0.21860118210315704,0.35,3,0,0,0,0,0,1.1066008806228638,2.1390786170959473,36.50997543334961,1.1066008806228638,1.0,nan,0,0,0,0,0.13155314366239979,0.0,passthrough,6.745414625306131e-10,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.09948353873203139,0.287264557|0.302264557|0.150751125|0.0994835387|0.148761564|0.164617337,0.437264557|0.452264557|0.300751125|0.249483539|0.298761564|0.314617337,0.407264557|0.422264557|0.270751125|0.219483539|0.268761564|0.284617337,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.106038279|0.139122873|0.129893067|0.0979550279,-0.121348182|0|-0.188155897|-0.243071337|-0.233519341|-0.214017264,1.02771005|1.20905823|0.520886883|0.293985691|0.491419982|0.542407112,0.261112571|0.397184551|0.45748648,0.0579768009|-0.239980161|0.00102699152,0.00474325567483902,0.001429833471775055,0.0014108549803495407,0.0018710503354668617
5,0.30000000000000004,-0.03736403158238327,0.29699188470840454,0.28132858872413635,0.27419134974479675,0.2491462230682373,0.35,3,0,0,0,0,0,1.0724780559539795,2.659778356552124,54.119625091552734,1.07247793674469,1.0,nan,0,0,0,0,0.13155314366239979,0.0,filtered,1.129215191563728e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.09440088120653187,0.28129749|0.29629749|0.146718551|0.0944008812|0.143701755|0.158936577,0.43129749|0.44629749|0.296718551|0.244400881|0.293701755|0.308936577,0.40129749|0.41629749|0.266718551|0.214400881|0.263701755|0.278936577,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.101207141|0.119352011|0.0998817981|0.0636051975,-0.117316264|0|-0.180863175|-0.240607647|-0.234534879|-0.217909115,1.00787369|1.18518996|0.507218172|0.256347889|0.44015394|0.481442391,0.264011502|0.385185421|0.457537979,0.0579768009|-0.239980161|0.00102699152,0.0043113017454743385,0.0012087821960449219,0.0011714231222867966,0.0019018389284610748
6,0.35000000000000003,-0.02799717772557253,0.31675204634666443,0.2578847110271454,0.2675310969352722,0.2671952247619629,0.35,3,0,0,0,0,0,1.073656678199768,1.5029356479644775,31.973331451416016,1.0736565589904785,1.0,nan,0,0,0,0,0.13155314366239979,0.0,filtered,2.524904133520606e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.08854670514694726,0.275535143|0.290535143|0.14288133|0.0885467051|0.13719319|0.151392438,0.425535143|0.440535143|0.29288133|0.238546705|0.28719319|0.301392438,0.395535143|0.410535143|0.26288133|0.208546705|0.25719319|0.271392438,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0998109025|0.110408672|0.0849492488|0.0456416853,-0.11315936|0|-0.172720549|-0.237273876|-0.234414233|-0.221117488,0.988981212|1.16214057|0.498615676|0.227321616|0.399307776|0.430093949,0.266910434|0.37318629|0.457589477,0.0579768009|-0.239980161|0.00102699152,0.004633646458387375,0.001510906033217907,0.0013080304488539696,0.0017847931012511253
7,0.4,-0.030001744334254288,0.3493161201477051,0.23403137922286987,0.2600802481174469,0.29794833064079285,0.35,3,0,0,0,0,0,1.0526479482650757,2.245492458343506,36.61015319824219,1.0526478290557861,1.0,nan,0,0,0,0,0.13155314366239979,0.0,filtered,1.1216151719789414e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.08250968005891299,0.269983782|0.284983778|0.139440873|0.0825096801|0.130056932|0.142868386,0.419983782|0.434983778|0.289440873|0.23250968|0.280056932|0.292868386,0.389983782|0.404983778|0.259440873|0.20250968|0.250056932|0.262868386,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0972458974|0.090401257|0.0537881659|0.00768674433,-0.108876957|0|-0.163762923|-0.232810846|-0.232913018|-0.223385344,0.971058169|1.13993511|0.491246465|0.187629132|0.341102878|0.355774943,0.269809365|0.36118716|0.457640976,0.0579768009|-0.239980161|0.00102699152,0.004651709459722042,0.0014656130224466324,0.0014815330505371094,0.0016738977283239365
8,0.45,-0.04059766489979083,0.3774441182613373,0.21033979952335358,0.2520853579044342,0.3243635892868042,0.35,3,0,0,0,0,0,1.016060709953308,3.3411357402801514,55.70718002319336,1.016060709953308,1.0,nan,0,0,0,0,0.13155314366239979,0.0,passthrough,5.9627130736149946e-09,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.07584682888324959,0.264649684|0.279649682|0.136411927|0.0758468289|0.121619876|0.132463104,0.414649684|0.429649682|0.286411927|0.225846829|0.271619876|0.282463104,0.384649684|0.399649682|0.256411927|0.195846829|0.241619876|0.252463104,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.097913565|0.0741212281|0.0269265697|-0.0315172808,-0.104468991|0|-0.154043165|-0.227094388|-0.229578134|-0.224122926,0.954129744|1.11859873|0.489518109|0.150414156|0.283827939|0.274212211,0.272708297|0.34918803|0.457692474,0.0579768009|-0.239980161|0.00102699152,0.004689591005444527,0.0014169001951813698,0.0013496829196810722,0.0018913652747869492
9,0.5,-0.06996949913704004,0.36363109946250916,0.1899341195821762,0.24525214731693268,0.3099174201488495,0.35,3,0,0,0,0,0,1.0031006336212158,3.860956907272339,109.65570831298828,1.0031006336212158,1.0,nan,0,0,0,0,0.13155314366239979,0.0,filtered,1.6201013518085232e-08,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.06884663838445101,0.25953912|0.274539118|0.133994416|0.0688466384|0.112243833|0.120244433,0.40953912|0.424539118|0.283994416|0.218846638|0.262243833|0.270244433,0.37953912|0.394539118|0.253994416|0.188846638|0.232243833|0.240244433,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.104824887|0.0931801676|0.0504197893|-0.024395539,-0.0999358912|0|-0.143646725|-0.219801896|-0.224009288|-0.222973066,0.938220588|1.09815647|0.497155826|0.148764825|0.275385835|0.233609127,0.275607228|0.3371889|0.457743973,0.0579768009|-0.239980161|0.00102699152,0.004219658672809601,0.0012093260884284973,0.0011540884152054787,0.0018271040171384811
