step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
91,4.6000000000000005,-0.005998005365154709,0.031940437853336334,0.08052229136228561,0.5257368683815002,0.03194044530391693,0.35,2,0,0,0,0,0,0.5540985465049744,1.6654270887374878,23.283296585083008,0.5540981888771057,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,4.081229101805047e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.3654154916414575,0.431161501|0.446161501|0.365415492|0.377065326|0.534139571|0.569671726,0.581161501|0.596161501|0.515415492|0.527065326|0.684139571|0.719671726,0.551161501|0.566161501|0.485415492|0.497065326|0.654139571|0.689671726,0|0|0|0|0|0,0|0|0.00686505311|0.00832648989|0.0282887393|0.0229858693,0.167265978|0|0.199112984|0.199555019|0.237137482|0.23638637,1.89191198|1.78464601|1.66764|1.71614281|2.40198451|2.53805914,0.34567374|0.494119018|0.49371627,-0.0384818986|0.230782241|0.0512421913,0.003933287225663662,0.001195516437292099,0.0010941922664642334,0.0016169622540473938
92,4.65,-0.005995714690617368,0.030612148344516754,0.07844594866037369,0.5354970693588257,0.030612148344516754,0.35,2,0,0,0,0,0,0.5295923948287964,2.1217947006225586,20.81983757019043,0.5295921564102173,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,2.3365336168837708e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.37573683951729986,0.439574858|0.454574858|0.37573684|0.387480602|0.547408506|0.582657586,0.589574858|0.604574858|0.52573684|0.537480602|0.697408506|0.732657586,0.559574858|0.574574858|0.49573684|0.507480602|0.667408506|0.702657586,0|0|0|0|0|0,0|0|-0.00535368235|-0.00651950373|-0.00595180515|-0.0143949853,0.169255016|0|0.200285713|0.200706265|0.237275965|0.236713395,1.92755445|1.81829943|1.69787939|1.74410917|2.42095819|2.55294876,0.343749702|0.505658209|0.496278316,-0.0384818986|0.230782241|0.0512421913,0.003953201696276665,0.0011648638173937798,0.001102927140891552,0.0016579655930399895
93,4.7,-0.005085998726660889,0.029419902712106705,0.07643136382102966,0.5449894666671753,0.029419900849461555,0.35,2,0,0,0,0,0,0.5131768584251404,1.5656193494796753,19.222393035888672,0.5131767988204956,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,1.0849799293429913e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.3854970578754985,0.448085989|0.463085989|0.385497058|0.397198817|0.558971678|0.593790921,0.598085989|0.613085989|0.535497058|0.547198817|0.708971678|0.743790921,0.568085989|0.583085989|0.505497058|0.517198817|0.678971678|0.713790921,0|0|0|0|0|0,0|0|-0.0116382086|-0.0141846038|-0.0230795787|-0.0327336657,0.171176491|0|0.201256277|0.201588644|0.237327123|0.23694028,1.96352045|1.85234396|1.7316063|1.77619931|2.45013426|2.5793703,0.341825664|0.51719743|0.498840362,-0.0384818986|0.230782241|0.0512421913,0.003925355151295662,0.0011724699288606644,0.001098809763789177,0.0016258666291832924
94,4.75,-0.0018323195038234333,0.02831689640879631,0.07434245198965073,0.5544946789741516,0.02831690013408661,0.35,2,0,0,0,0,0,0.5016700625419617,0.7888962030410767,20.71904754638672,0.5016700029373169,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,8.870708481007586e-08,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.3949894300437956,0.45669157|0.47169157|0.39498943|0.40657563|0.56968059|0.604018253,0.60669157|0.62169157|0.54498943|0.55657563|0.71968059|0.754018253,0.57669157|0.59169157|0.51498943|0.52657563|0.68968059|0.724018253,0|0|0|0|0|0,0|0|-0.0122513876|-0.0149179326|-0.0235255256|-0.0324853559,0.173032706|0|0.202135911|0.202355959|0.237321562|0.237096264,1.99979898|1.88676628|1.76984224|1.81374055|2.4925184|2.62068392,0.339901626|0.528736651|0.501402438,-0.0384818986|0.230782241|0.0512421913,0.003937576897442341,0.0011492567136883736,0.0011290162801742554,0.0016325879842042923
95,4.800000000000001,0.0012527810058882566,0.027291452512145042,0.07217723876237869,0.5640624165534973,0.02729145810008049,0.35,2,0,0,0,0,0,0.5001539587974548,0.32399046421051025,10.713111877441406,0.5001537799835205,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,1.947875623787251e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.40449467866167377,0.465388361|0.480388361|0.404494679|0.415954063|0.580365968|0.614264545,0.615388361|0.630388361|0.554494679|0.565954063|0.730365968|0.764264545,0.585388361|0.600388361|0.524494679|0.535954063|0.700365968|0.734264545,0|0|0|0|0|0,0|0|-0.0118427903|-0.0144017147|-0.0210758742|-0.0290556337,0.174825926|0|0.202985443|0.20309851|0.237292317|0.237221633,2.03637937|1.92155344|1.80912137|1.85251305|2.53768031|2.66522418,0.337977588|0.540275872|0.503964484,-0.0384818986|0.230782241|0.0512421913,0.0039336346089839935,0.001160571351647377,0.001079794019460678,0.0016666483134031296
96,4.8500000000000005,0.002932282483191599,0.026338214054703712,0.0700063407421112,0.5736973285675049,0.02633821591734886,0.35,2,0,0,0,0,0,0.503912627696991,0.19729012250900269,6.872060298919678,0.5039123892784119,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,2.6053445417044307e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.41406239490809493,0.474173285|0.489173285|0.414062395|0.425395283|0.59117177|0.624688317,0.624173285|0.639173285|0.564062395|0.575395283|0.74117177|0.774688317,0.594173285|0.609173285|0.534062395|0.545395283|0.71117177|0.744688317,0|0|0|0|0|0,0|0|-0.0113171774|-0.0137434958|-0.0185738447|-0.0257055063,0.176558357|0|0.203811932|0.20382703|0.237256044|0.237335348,2.0732515|1.95669314|1.84874433|1.89166466|2.58336928|2.71038311,0.33605355|0.551815093|0.50652653,-0.0384818986|0.230782241|0.0512421913,0.003929899074137211,0.0011618109419941902,0.0011004749685525894,0.0016397684812545776
97,4.9,0.0023546372125347707,0.02545616775751114,0.06794803589582443,0.5833590626716614,0.02545616775751114,0.35,2,0,0,0,0,0,0.504261314868927,0.2193421721458435,3.250537633895874,0.5042611360549927,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,2.0388377960549996e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.4236973175212443,0.483043357|0.498043357|0.423697318|0.43490571|0.602100879|0.635285483,0.633043357|0.648043357|0.573697318|0.58490571|0.752100879|0.785285483,0.603043357|0.618043357|0.543697318|0.55490571|0.722100879|0.755285483,0|0|0|0|0|0,0|0|-0.011583816|-0.0140471907|-0.0188726826|-0.0255335263,0.178232156|0|0.204617722|0.204543975|0.237224198|0.237448347,2.11040558|1.99217343|1.88782318|1.93011962|2.62675503|2.75305675,0.334129512|0.563354313|0.509088576,-0.0384818986|0.230782241|0.0512421913,0.004152690060436726,0.0011735325679183006,0.0012956149876117706,0.00165596604347229
98,4.95,0.0007136104647427234,0.024644318968057632,0.06605414301156998,0.5929965376853943,0.024644317105412483,0.35,2,0,0,0,0,0,0.5003031492233276,0.24172019958496094,3.8218531608581543,0.5003030300140381,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,1.1422718749443395e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.43335905580216416,0.491995696|0.506995696|0.433359056|0.44443703|0.613013803|0.645896795,0.641995696|0.656995696|0.583359056|0.59443703|0.763013803|0.795896795,0.611995696|0.626995696|0.553359056|0.56443703|0.733013803|0.765896795,0|0|0|0|0|0,0|0|-0.0128490221|-0.0155552415|-0.0222256818|-0.0287856725,0.179849417|0|0.205401273|0.205245401|0.237197942|0.237558449,2.1478322|2.02798279|1.92598847|1.96743828|2.66702747|2.79235996,0.332205474|0.574893534|0.511650622,-0.0384818986|0.230782241|0.0512421913,0.003918197005987167,0.001162530854344368,0.0011026645079255104,0.0016258833929896355
99,5.0,-0.0030062886098546973,0.02389715611934662,0.06443092972040176,0.6026066541671753,0.023897159844636917,0.35,2,0,0,0,0,0,0.49585607647895813,0.4927709400653839,6.229621410369873,0.49585601687431335,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,5.579107171896914e-08,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.4429964671925183,0.501027529|0.516027529|0.442996467|0.453928251|0.623758229|0.656350342,0.651027529|0.666027529|0.592996467|0.603928251|0.773758229|0.806350342,0.621027529|0.636027529|0.562996467|0.573928251|0.743758229|0.776350342,0|0|0|0|0|0,0|0|-0.0141524701|-0.0170953493|-0.0262919439|-0.0332900483,0.181412181|0|0.206155416|0.205920796|0.237171708|0.237659426,2.1855223|2.06411012|1.96398881|2.00453845|2.70591268|2.82977075,0.330281436|0.586432755|0.514212668,-0.0384818986|0.230782241|0.0512421913,0.003939341753721237,0.0011589843779802322,0.001108718104660511,0.0016445396468043327
100,5.050000000000001,-0.004947185454357954,0.023210559040308,0.06297370046377182,0.6121724247932434,0.023210560902953148,0.35,2,0,0,0,0,0,0.49791640043258667,0.5948035717010498,3.808081865310669,0.4979163110256195,1.0,nan,0,0,0,0,0.43034178423570546,0.0,filtered,7.978538483490001e-08,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.4526066596176247,0.510136179|0.525136179|0.45260666|0.463377128|0.634298385|0.666582145,0.660136179|0.675136179|0.60260666|0.613377128|0.784298385|0.816582145,0.630136179|0.645136179|0.57260666|0.583377128|0.754298385|0.786582145,0|0|0|0|0|0,0|0|-0.0157598196|-0.0189845096|-0.0305128702|-0.0381580985,0.182922426|0|0.20688648|0.20657809|0.237145473|0.237750961,2.22346714|2.10054472|2.0015533|2.04110209|2.74382614|2.86592144,0.328357399|0.597971976|0.516774714,-0.0384818986|0.230782241|0.0512421913,0.003944722935557365,0.0011603962630033493,0.001102016307413578,0.0016538361087441444
