step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.24930352981054404,0.1403239667415619,0.33861270546913147,0.4999687373638153,0.13763712346553802,0.35,4,0,0,0,0,,,nan,0,0.36259540915489197,7.251908302307129,145.0381622314453,0.3797711133956909,1.0,nan,0,0,0,0,0.3392777499562639,0.0,filtered,0.029675099256763288,0,0,12,joint_2_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3392777499562639,0.531769148|0.384142428|0.397271354|0.36034594|0.33927775|0.391037267,0.681769148|0.534142428|0.547271354|0.51034594|0.48927775|0.541037267,0.651769148|0.504142428|0.517271354|0.48034594|0.45927775|0.511037267,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0490263361|-0.0600090853|-0.0718706367|-0.103871591,-0.0850364474|-0.0414584982|-0.065800231|-0.139854958|-0.143837649|-0.140840238,2.04204014|1.49511121|1.57231152|1.24151972|1.14140271|1.31943724,0.578734338|-0.584179282|0.367354572,0.016389301|0.144056112|0.0113506084,0.004938052035868168,0.0016660476103425026,0.0014400109648704529,0.001798194833099842
1,0.1,-0.17974065952890783,0.1709500253200531,0.32699739933013916,0.488935261964798,0.16790719330310822,0.35,4,0,0,0,0,,,nan,0,0.6570553779602051,6.333676815032959,71.33739471435547,0.6570551991462708,1.0,nan,0,0,0,0,0.3392777499562639,0.0,filtered,4.893062154495915e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.32842891475805625,0.527449735|0.384619665|0.398054234|0.350156485|0.328428915|0.37857865,0.677449735|0.534619665|0.548054234|0.500156485|0.478428915|0.52857865,0.647449735|0.504619665|0.518054234|0.470156485|0.448428915|0.49857865,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.109985684|-0.0616085914|-0.0785419347|-0.144335106,-0.0842095627|-0.0399108439|-0.0641336947|-0.139524506|-0.143533396|-0.141054296,2.02558938|1.49856782|1.63806892|1.19949284|1.09164033|1.2289252,0.579554021|-0.576976657|0.367922127,0.016389301|0.144056112|0.0113506084,0.005267951637506485,0.0014977045357227325,0.0015122154727578163,0.0022253161296248436
2,0.15000000000000002,-0.13940289870978886,0.18789547681808472,0.31323105096817017,0.47873756289482117,0.18441934883594513,0.35,4,0,0,0,0,,,nan,0,0.8786913156509399,5.5446457862854,66.34986114501953,0.878690779209137,1.0,nan,0,0,0,0,0.3392777499562639,0.0,filtered,1.0746212485694575e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.3175064838980548,0.523131383|0.386470068|0.402655267|0.340015515|0.317506484|0.363990185,0.673131383|0.536470068|0.552655267|0.490015515|0.467506484|0.513990185,0.643131383|0.506470068|0.522655267|0.460015515|0.437506484|0.483990185,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.160544489|-0.0499962569|-0.0682356893|-0.16159407,-0.0833741231|-0.0382905342|-0.062118855|-0.138849787|-0.142764856|-0.1415059,2.00915141|1.50758974|1.7090467|1.17121602|1.05902539|1.15286077,0.580373704|-0.569774032|0.368489683,0.016389301|0.144056112|0.0113506084,0.0047313617542386055,0.0015219543129205704,0.001371263526380062,0.0018050149083137512
3,0.2,-0.13495572358346294,0.1833292841911316,0.30041825771331787,0.4726008474826813,0.179388165473938,0.35,4,0,0,0,0,,,nan,0,0.9726397395133972,4.188626289367676,124.50580596923828,0.972639262676239,1.0,nan,0,0,0,0,0.3392777499562639,0.0,filtered,1.0221581287725627e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.3075194150481553,0.518819108|0.389526331|0.410566089|0.330796313|0.307519415|0.348357143,0.668819108|0.539526331|0.560566089|0.480796313|0.457519415|0.498357143,0.638819108|0.509526331|0.530566089|0.450796313|0.427519415|0.468357143,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.197656921|-0.0055347554|-0.0167086|-0.155816309,-0.0825290829|-0.0366295382|-0.059888431|-0.137685295|-0.141308005|-0.141961885,1.99274735|1.52147578|1.78003285|1.1799652|1.07206106|1.09565038,0.581193388|-0.562571406|0.369057238,0.016389301|0.144056112|0.0113506084,0.0049562351778149605,0.0015018358826637268,0.0016420716419816017,0.0017786938697099686
4,0.25,-0.1691587866621967,0.17608129978179932,0.29053330421447754,0.47003206610679626,0.17166240513324738,0.35,4,0,0,0,0,,,nan,0,1.049269199371338,4.677016258239746,67.87738800048828,1.0492687225341797,1.0,nan,0,0,0,0,0.3392777499562639,0.0,filtered,8.755361514249847e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.30171120782372074,0.514541082|0.393009593|0.420528664|0.324231452|0.301711208|0.33342999,0.664541082|0.543009593|0.570528664|0.474231452|0.451711208|0.48342999,0.634541082|0.513009593|0.540528664|0.444231452|0.421711208|0.45342999,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.222852571|0.029905305|0.0268199036|-0.150819334,-0.0816710895|-0.0349855245|-0.0576237211|-0.135953202|-0.139036416|-0.142145176,1.97649324|1.53705285|1.84734351|1.19087791|1.09462832|1.04075545,0.582013071|-0.555368781|0.369624794,0.016389301|0.144056112|0.0113506084,0.005199378356337547,0.0015746541321277618,0.0014785369858145714,0.0021101487800478935
5,0.30000000000000004,-0.2069343815076911,0.15296483039855957,0.28450143337249756,0.4701618254184723,0.1481107771396637,0.35,4,0,0,0,0,,,nan,0,1.1171307563781738,2.571176767349243,105.53543090820312,1.1171302795410156,1.0,nan,0,0,0,0,0.3392777499562639,0.0,filtered,1.0227120140840173e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2995874466555525,0.510286152|0.397154865|0.432106097|0.319805317|0.299587447|0.319479627,0.660286152|0.547154865|0.582106097|0.469805317|0.449587447|0.469479627,0.630286152|0.517154865|0.552106097|0.439805317|0.419587447|0.439479627,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.241545775|0.0662940195|0.0740663693|-0.12365948,-0.0808010453|-0.0333557436|-0.0554013392|-0.133641309|-0.135962393|-0.141847432,1.96034356|1.55526372|1.91456882|1.21187398|1.13645376|1.01241159,0.582832754|-0.548166156|0.370192349,0.016389301|0.144056112|0.0113506084,0.004683227278292179,0.001277354545891285,0.001502716913819313,0.0018734680488705635
6,0.35000000000000003,-0.25789393327600263,0.11352299153804779,0.28354400396347046,0.46943333745002747,0.10834454745054245,0.35,5,0,0,0,0,,,nan,0,1.1657661199569702,2.8465182781219482,35.99165725708008,1.1657655239105225,1.0,nan,0,0,0,0,0.3392777499562639,0.0,filtered,1.3243910160967534e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.30015663100431234,0.506046175|0.402137249|0.445096313|0.317639592|0.300156631|0.307526213,0.656046175|0.552137249|0.595096313|0.467639592|0.450156631|0.457526213,0.626046175|0.522137249|0.565096313|0.437639592|0.420156631|0.427526213,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.254826049|0.109908723|0.115251898|-0.0763799307,-0.0799193455|-0.0317468454|-0.0532759461|-0.130699381|-0.13305023|-0.140932101,1.94426536|1.57680215|1.98193536|1.24976771|1.18282819|1.01279282,0.583652437|-0.540963531|0.370759904,0.016389301|0.144056112|0.0113506084,0.005020761862397194,0.0015377821400761604,0.0015024840831756592,0.0019473396241664886
7,0.4,-0.3310330251885216,0.07228481769561768,0.28862833976745605,0.46414628624916077,0.06697054952383041,0.35,5,0,0,0,0,,,nan,0,1.1367098093032837,2.4850070476531982,59.628814697265625,1.1367098093032837,1.0,nan,0,0,0,0,0.3392777499562639,0.0,passthrough,4.4552493692871725e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.29850963081533044,0.501826365|0.407797114|0.459114278|0.318110894|0.301175863|0.298509631,0.651826365|0.557797114|0.609114278|0.468110894|0.451175863|0.448509631,0.621826365|0.527797114|0.579114278|0.438110894|0.421175863|0.418509631,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.262145486|0.166997211|0.151159089|-0.00206497459,-0.0790250546|-0.0301785695|-0.0513010732|-0.127172206|-0.131348294|-0.139267424,1.92828041|1.60100989|2.04730152|1.31226858|1.22451425|1.05270613,0.58447212|-0.533760905|0.37132746,0.016389301|0.144056112|0.0113506084,0.003961745649576187,0.0008290708065032959,0.0012387558817863464,0.001870560459792614
8,0.45,-0.4193295421794631,0.04879666864871979,0.2991997301578522,0.4632304608821869,0.0447310134768486,0.35,5,0,0,0,0,,,nan,0,1.0764590501785278,3.4740312099456787,31.96786117553711,1.0764590501785278,1.0,nan,0,0,0,0,0.3392777499562639,0.0,passthrough,4.539516114579529e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.29356876550363975,0.497659686|0.413306987|0.473287366|0.321781702|0.302592518|0.293568766,0.647659686|0.563306987|0.623287366|0.471781702|0.452592518|0.443568766,0.617659686|0.533306987|0.593287366|0.441781702|0.422592518|0.413568766,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.264232631|0.225126084|0.1932828|0.0834526499,-0.0781151421|-0.028674311|-0.0495055711|-0.123307795|-0.130030155|-0.13687257,1.9125236|1.62455364|2.10787652|1.3889451|1.27362272|1.12085514,0.585291803|-0.52655828|0.371895015,0.016389301|0.144056112|0.0113506084,0.004863124340772629,0.001542230136692524,0.0013207122683525085,0.001968216150999069
9,0.5,-0.5170293786227933,0.047620709985494614,0.3142732083797455,0.4669758975505829,0.04444677755236626,0.35,5,0,0,0,0,,,nan,0,1.0446031093597412,2.3468310832977295,32.20542526245117,1.0446031093597412,1.0,nan,0,0,0,0,0.3392777499562639,0.0,passthrough,4.510403206620181e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.29308289583160774,0.493570409|0.418088658|0.486966751|0.32861818|0.305924939|0.293082896,0.643570409|0.568088658|0.636966751|0.47861818|0.455924939|0.443082896,0.613570409|0.538088658|0.606966751|0.44861818|0.425924939|0.413082896,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.262498347|0.2824862|0.271869219|0.170782812,-0.0771878999|-0.0272307375|-0.0478686902|-0.119355231|-0.126653588|-0.133901945,1.89709373|1.64512389|2.16249666|1.47760369|1.36891539|1.20921245,0.586111486|-0.519355655|0.372462571,0.016389301|0.144056112|0.0113506084,0.005020955577492714,0.0015096981078386307,0.0016237422823905945,0.0018565906211733818
