episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
12,9013,configs/experiments/reaching_recovery/manifests/v1_final.json,23.55097208047533,0.9367964770644903,22,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05302168428897858,1.1,0.32750341296195984,0.04258165804838592,0.10364969819784164,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3334000019187277,3.0661916732788086,76.03600311279297,0,0,0,0.0,0,nan
13,9014,configs/experiments/reaching_recovery/manifests/v1_final.json,21.306069894494104,0.35297172516584396,8,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05035277456045151,0.4,0.6377723217010498,0.044121465645730495,0.08255571126937866,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4614276960492134,4.320773601531982,98.73880767822266,0,0,0,0.0,0,nan
14,9015,configs/experiments/reaching_recovery/manifests/v1_final.json,20.792795119144373,0.6866377592086792,4,1,0,0,0,0,0,,any,0,0,,,nan,0,0.040355127304792404,0.2,0.2879403531551361,0.1716594398021698,0.28626546263694763,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5492862239480019,4.613142967224121,123.87319946289062,0,0,0,0.0,0,nan
15,9016,configs/experiments/reaching_recovery/manifests/v1_final.json,23.771959385883164,1.3957979306578636,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04076837748289108,0.5,0.22647804021835327,0.13957979306578636,0.22485418617725372,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3964718282222748,3.458519220352173,59.04236602783203,0,0,0,0.0,0,nan
16,9017,configs/experiments/reaching_recovery/manifests/v1_final.json,-36.46957344865755,7.174606058746576,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.38286253809928894,12.0,0.5861523151397705,0.029894191911444067,0.09966342896223068,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2946159263451894,2.877821922302246,67.11981964111328,0,0,0,0.0,0,nan
17,9018,configs/experiments/reaching_recovery/manifests/v1_final.json,23.752581798430906,0.8943685349076986,22,1,0,0,0,0,0,,any,0,0,,,nan,0,0.049686115235090256,1.1,0.2982204258441925,0.04065311522307721,0.1281680166721344,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23229837942529807,2.3975472450256348,49.26679229736328,0,0,0,0.0,0,nan
18,9019,configs/experiments/reaching_recovery/manifests/v1_final.json,22.788385171968358,0.8064418062567711,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04376697540283203,0.45,0.25328269600868225,0.08960464513964123,0.17960207164287567,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3107306642664803,3.379812717437744,75.00924682617188,0,0,0,0.0,0,nan
19,9020,configs/experiments/reaching_recovery/manifests/v1_final.json,21.026434085218554,0.4205740764737129,6,1,0,0,0,0,0,,any,0,0,,,nan,0,0.052638307213783264,0.30000000000000004,0.38665246963500977,0.07009567941228549,0.07265203446149826,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.46524985631306964,4.053255558013916,84.59239196777344,0,0,0,0.0,0,nan
20,9021,configs/experiments/reaching_recovery/manifests/v1_final.json,-39.57651439956548,10.70936181768775,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.272824764251709,12.0,0.20570217072963715,0.04462234090703229,0.3993198275566101,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20009232972127697,1.966683030128479,47.74737548828125,0,0,0,0.0,0,nan
21,9022,configs/experiments/reaching_recovery/manifests/v1_final.json,18.136714751196116,7.022889167070389,23,1,0,0,0,0,0,,any,0,0,,,nan,0,0.047828443348407745,1.1500000000000001,0.2251361608505249,0.30534300726392993,0.4603143632411957,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2764355643935826,2.7408411502838135,48.25953674316406,0,0,0,0.0,0,nan
22,9023,configs/experiments/reaching_recovery/manifests/v1_final.json,15.145962568481615,8.741262912750244,35,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04550134390592575,1.75,0.2588875889778137,0.24975036893572125,0.5577138662338257,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2642268125499998,2.5636720657348633,50.638877868652344,0,0,0,0.0,0,nan
