episode,seed,seed_manifest,manifest_shard_index,manifest_shard_count,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_recovery_relaxed_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,mean_hierarchical_nominal_qdot_norm,mean_residual_qdot_norm,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m,nominal_only,hierarchical_final_state,hierarchical_plan_reason,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_initial_ik_found,hierarchical_initial_plan_found,hierarchical_initial_direct_path,hierarchical_initial_plan_reason,hierarchical_initial_planning_time_s,hierarchical_initial_plan_iterations,hierarchical_initial_ik_candidate_count,hierarchical_final_path_progress,hierarchical_failure_mode,hierarchical_track_rate,hierarchical_avoid_hold_rate,hierarchical_replan_rate,hierarchical_servo_rate,hierarchical_plan_failed_rate
10,9011,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,17.36534655048402,1.5216126330196857,23,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054893288761377335,1.1500000000000001,0.460588276386261,0.047398363766462906,0.06508231163024902,0,0.0,0.6521739130434783,0.0802801421008904,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.281483885524541,0.013252883519390192,0.019824813993182033,0.0036178626545259485,0.001718743863697771,0.002102793429714992,0.12201845597313798,0.9657343626022339,0.0,1.4170804023742676,20.64915657043457,0,0,0,0.0,0,0.281483885524541,1,SERVO,direct_path,0.04576560796704143,0.04576560796704143,16,1,1,1,1,0,0,1,1,1,direct_path,0.04576560796704143,0,16,1.0,SUCCESS,0.8260869565217391,0.0,0.0,0.17391304347826086,0.0
11,9012,configs/experiments/reaching_recovery/manifests/v1_final.json,3,4,18.983277126548373,1.210308626294136,24,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04819076880812645,1.2000000000000002,0.36985719203948975,0.037499937151248254,0.07726749032735825,0,0.0,0.20833333333333334,0.03749989169967582,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18925549115857127,0.012058683826277653,0.019394572998862714,0.003156066083950767,0.0015167789970291778,0.0020210267102811486,0.06771712723032881,0.5588887905081114,0.0,0.834968090057373,17.736249923706055,0,0,0,0.0,0,0.18925549115857127,1,SERVO,direct_path,0.0453647700487636,0.0453647700487636,16,1,1,1,1,0,0,1,1,1,direct_path,0.0453647700487636,0,16,1.0,SUCCESS,0.7916666666666666,0.0,0.0,0.20833333333333334,0.0
12,9013,configs/experiments/reaching_recovery/manifests/v1_final.json,0,4,17.81376293785323,1.545432724058628,22,1,0,0,0,0,0,,any,0,0,,,nan,0,0.0500817745923996,1.1,0.3191712498664856,0.0484299057755958,0.11002838611602783,0,0.0,0.18181818181818182,0.0491851612597953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1334503816329189,0.01045382708914324,0.013858155987691134,0.002924074506154284,0.001330657589609142,0.0018136188234414228,0.08822564789178697,0.5780344415794719,0.0,1.0658079385757446,19.169803619384766,0,0,0,0.0,0,0.1334503816329189,1,SERVO,direct_path,0.03928420401643962,0.03928420401643962,16,1,1,1,1,0,0,1,1,1,direct_path,0.03928420401643962,0,16,1.0,SUCCESS,0.7727272727272727,0.0,0.0,0.22727272727272727,0.0
13,9014,configs/experiments/reaching_recovery/manifests/v1_final.json,1,4,19.719787186168386,0.4769103489816189,11,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05110881105065346,0.55,0.636655330657959,0.04044735363938592,0.04758689925074577,0,0.0,0.36363636363636365,0.07725530166041007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4589026485625418,0.010780934630681506,0.013208894990384579,0.002928210808683864,0.0013059975357133556,0.0019659999101846056,0.1474739665334875,0.7141682722351768,0.0,1.4955509901046753,32.747344970703125,0,0,0,0.0,0,0.4589026485625418,1,SERVO,direct_path,0.043791331991087645,0.043791331991087645,16,1,1,1,1,0,0,1,1,1,direct_path,0.043791331991087645,0,16,1.0,SUCCESS,0.5454545454545454,0.0,0.0,0.45454545454545453,0.0
14,9015,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,14.306386596776141,1.7209005653858185,8,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054732464253902435,0.4,0.28755590319633484,0.1413335409015417,0.14517059922218323,0,0.0,0.125,0.024217533742621943,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11130399419001777,0.011586915999941994,0.014199556957464665,0.0031232042456394993,0.0014437560021178797,0.0018522120008128695,0.08667687512934208,0.35649316012859344,0.0,0.9509596228599548,23.250411987304688,0,0,0,0.0,0,0.12379887618764718,1,SERVO,direct_path,0.037324231991078705,0.037324231991078705,16,1,1,1,1,0,0,1,1,1,direct_path,0.037324231991078705,0,16,1.0,SUCCESS,0.5,0.0,0.0,0.5,0.0
15,9016,configs/experiments/reaching_recovery/manifests/v1_final.json,3,4,8.189047098490775,3.9709824696183205,22,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05093471705913544,1.1,0.23285022377967834,0.12008182568983598,0.21016830205917358,0,0.0,0.2727272727272727,0.04228914874036724,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.05648026079347698,0.014746698722857136,0.02250861399807036,0.0039574331339364026,0.0020403699997008184,0.0024410954528403554,0.07848604590716687,0.5185370736501433,0.0,0.9287236332893372,18.409271240234375,0,0,0,0.0,0,0.05648026079347698,1,SERVO,direct_path,0.03827538003679365,0.03827538003679365,16,1,1,1,1,0,0,1,1,1,direct_path,0.03827538003679365,0,16,1.0,SUCCESS,0.7727272727272727,0.0,0.0,0.22727272727272727,0.0
16,9017,configs/experiments/reaching_recovery/manifests/v1_final.json,0,4,20.617642826997308,0.6702530421316624,24,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054673437029123306,1.2000000000000002,0.5845213532447815,0.02340494841337204,0.025354763492941856,0,0.0,0.25,0.046704232901836486,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4032135241366177,0.01302656712020204,0.01737653702730313,0.0035578217866714112,0.001850856453529559,0.002102537252843225,0.09290137320446472,0.7342943996191025,0.0,1.1471362113952637,22.498931884765625,0,0,0,0.0,0,0.4032135241366177,1,SERVO,direct_path,0.04775411600712687,0.04775411600712687,16,1,1,1,1,0,0,1,1,1,direct_path,0.04775411600712687,0,16,1.0,SUCCESS,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0
17,9018,configs/experiments/reaching_recovery/manifests/v1_final.json,1,4,10.97336880395413,2.183207204565406,36,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05383850634098053,1.8,0.28799787163734436,0.043019556802594,0.13823679089546204,0,0.0,0.16666666666666666,0.04671487384555162,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11300898172686777,0.010592168720904738,0.01616322697373107,0.0028208237442110353,0.0013801163877360523,0.0018614343296374297,0.08151638906242119,0.929100456337134,0.0,1.04340398311615,15.25164794921875,0,0,0,0.0,0,0.11300898172686777,1,SERVO,direct_path,0.04679001303156838,0.04679001303156838,13,1,1,1,1,0,0,1,1,1,direct_path,0.04679001303156838,0,13,1.0,SUCCESS,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0
18,9019,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,14.349066862966605,2.200435046106577,17,1,0,0,0,0,0,,any,0,0,,,nan,0,0.050399139523506165,0.8500000000000001,0.2440599501132965,0.08836624683702693,0.19275671243667603,0,0.0,0.4117647058823529,0.07964396860856918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06149266664303271,0.014202484823352493,0.018310258979909122,0.003912600818747545,0.0018441090634202257,0.002170577587094158,0.13456081138814197,0.8204133282689487,0.0,1.4669121503829956,26.682167053222656,0,0,0,0.0,0,0.06149266664303271,1,SERVO,direct_path,0.06454514700453728,0.06454514700453728,16,1,1,1,1,0,0,1,1,1,direct_path,0.06454514700453728,0,16,1.0,SUCCESS,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0
19,9020,configs/experiments/reaching_recovery/manifests/v1_final.json,3,4,17.597920809219794,0.971601277589798,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.048375193029642105,0.5,0.3881940245628357,0.06802352368831635,0.06843484938144684,0,0.0,0.2,0.03630821015209483,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21364008864624945,0.016003300598822535,0.020459768013097346,0.004297503596171736,0.0018881077936384826,0.002533565100748092,0.09722755998373031,0.4282857656478882,0.0,1.0271133184432983,25.03900909423828,0,0,0,0.0,0,0.21364008864624945,1,SERVO,direct_path,0.06297932099550962,0.06297932099550962,16,1,1,1,1,0,0,1,1,1,direct_path,0.06297932099550962,0,16,1.0,SUCCESS,0.5,0.0,0.0,0.5,0.0
