step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,lambda,alpha,replay_size
15500,200000,86,33,0.023775888017569694,0.0,-0.8453659867197155,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007356441114097834,15500
16000,200000,91,55,-0.0017169530148390955,0.0,-1.9113768730526903,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007110320031642914,16000
16500,200000,95,10,-0.14748767550241865,0.0,-2.49569306095113,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.0071105267852544785,16500
17000,200000,100,68,0.0452461414422403,0.0,-0.9453699414884188,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007097772788256407,17000
17500,200000,104,111,0.07614126508882424,0.0,-10.571238669422893,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006977510638535023,17500
18000,200000,106,208,-0.28518121630055704,0.0,-24.59298845758661,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006994536612182856,18000
18500,200000,109,207,-0.03179532611922809,0.0,-23.82767413561397,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.00716400658711791,18500
19000,200000,112,9,-0.02029237118813519,0.0,-0.40747127485400547,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007482150103896856,19000
19500,200000,114,225,-0.19124562679524973,0.0,-11.586227685768863,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007940642535686493,19500
20000,200000,120,34,-0.019095201205928322,0.0,-1.473132014258203,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008215367794036865,20000
20500,200000,122,54,0.03573334481439332,0.0,1.5553179671901054,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.00846189633011818,20500
21000,200000,128,75,-0.06546327011169019,0.0,-2.0070253212933045,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.00828099437057972,21000
