step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.3568430957126978,0.812906801700592,0.5215056538581848,0.12472912669181824,0.7935853004455566,0.35,2,0,0,0,0,,,nan,0,0.0,0.0,0.0,0.3705924451351166,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.3705924477161152,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.03469899668742091,0.2899182|0.0960445406|-0.0346989967|0.174205077|0.193491365|0.151808688,0.4399182|0.246044541|0.115301003|0.324205077|0.343491365|0.301808688,0.4099182|0.216044541|0.0853010033|0.294205077|0.313491365|0.271808688,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.101034576|-0.064069177|-0.0927472758|-0.120473009|-0.111514877|-0.112813642,1.05863822|0.320108986|-0.231543263|0.5763473|0.662450583|0.494421109,0.36337626|0.48661676|0.3168073,-0.00163969165|-0.130494848|-0.00227705971,0.005132999271154404,0.001573646441102028,0.0016693975776433945,0.0018544774502515793
1,0.1,-4.370878022604025,3.826941728591919,0.5215056538581848,0.11997711658477783,0.8269416689872742,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.3695744276046753,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.36957443631277026,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.03929606928414489,0.284880865|0.0928799725|-0.0392960693|0.168188324|0.187927875|0.146180842,0.434880865|0.242879973|0.110703931|0.318188324|0.337927875|0.296180842,0.404880865|0.212879973|0.0807039307|0.288188324|0.307927875|0.266180842,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.100454216|-0.0625093139|-0.091115141|-0.120186884|-0.111015265|-0.112290279,1.03906924|0.309010576|-0.248299418|0.552566412|0.640696237|0.472433089,0.363294363|0.48009184|0.316693574,-0.00163969165|-0.130494848|-0.00227705971,0.005104060284793377,0.001591019332408905,0.0016384432092308998,0.0018376996740698814
2,0.15000000000000002,-4.370435517721212,3.8264992237091064,0.5215056538581848,0.11530053615570068,0.8264992237091064,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.3684045076370239,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.36840450117966356,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.043809356306832886,0.279872922|0.0897942885|-0.0438093563|0.162186171|0.182389821|0.140579703,0.429872922|0.239794288|0.106190644|0.312186171|0.332389821|0.290579703,0.399872922|0.209794288|0.0761906437|0.282186171|0.302389821|0.260579703,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.0998588653|-0.0609139088|-0.0893951658|-0.119888898|-0.110497366|-0.111745213,1.01963282|0.298263245|-0.264632591|0.528855785|0.619061917|0.4505736,0.363212466|0.47356692|0.316579849,-0.00163969165|-0.130494848|-0.00227705971,0.005006765015423298,0.0015455270186066628,0.0016247471794486046,0.0018017739057540894
3,0.2,-4.3699691709804895,3.826032876968384,0.5215056538581848,0.1107034683227539,0.8260328769683838,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.36798837780952454,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.3679883767426764,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.04823435166928011,0.274895132|0.0867892693|-0.0482343517|0.156199226|0.176878135|0.135006384,0.424895132|0.236789269|0.101765648|0.306199226|0.326878135|0.285006384,0.394895132|0.206789269|0.0717656483|0.276199226|0.296878135|0.255006384,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.0992480964|-0.0592828226|-0.0875827755|-0.119578418|-0.109960368|-0.111177342,1.00033243|0.287874255|-0.280520182|0.505218487|0.597552174|0.428848195,0.363130569|0.467041999|0.316466123,-0.00163969165|-0.130494848|-0.00227705971,0.005049598403275013,0.0015556588768959045,0.0016042888164520264,0.0018551535904407501
4,0.25,-4.369477730684316,3.8255414366722107,0.5215056538581848,0.10619017481803894,0.8255414366722107,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.3658958077430725,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.3658958085526341,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.05256631832251876,0.269948277|0.0838667013|-0.0525663183|0.150228132|0.171393796|0.129462053,0.419948277|0.233866701|0.0974336817|0.300228132|0.321393796|0.279462053,0.389948277|0.203866701|0.0674336817|0.270228132|0.291393796|0.249462053,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.0986214719|-0.0576159819|-0.0856733118|-0.119254771|-0.109403422|-0.1105855,0.981171637|0.277850823|-0.295938585|0.481657755|0.576171761|0.407262714,0.363048673|0.460517079|0.316352397,-0.00163969165|-0.130494848|-0.00227705971,0.005127819254994392,0.001602153293788433,0.001641671173274517,0.0018474636599421501
5,0.30000000000000004,-4.368959945135153,3.825023651123047,0.5215056538581848,0.1017652153968811,0.8250235915184021,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.363789439201355,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.3637894475580372,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.05680028492432612,0.265033161|0.0810283726|-0.0568002849|0.144273563|0.165937821|0.12394794,0.415033161|0.231028373|0.0931997151|0.294273563|0.315937821|0.27394794,0.385033161|0.201028373|0.0631997151|0.264273563|0.285937821|0.24394794,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.0979785436|-0.055913384|-0.0836620682|-0.118917241|-0.108825635|-0.109968458,0.962154099|0.268200107|-0.310863208|0.458177012|0.55492565|0.385823302,0.362966776|0.453992158|0.316238672,-0.00163969165|-0.130494848|-0.00227705971,0.0050568850710988045,0.001548292115330696,0.0016176598146557808,0.0018568001687526703
6,0.35000000000000003,-4.3684143838215235,3.8244780898094177,0.5215056538581848,0.09743323922157288,0.824478030204773,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.35967016220092773,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.3596701591682694,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.06093104449823486,0.260150609|0.0782760697|-0.0609310445|0.138336234|0.160511277|0.118465336,0.410150609|0.22827607|0.0890689555|0.288336234|0.310511277|0.268465336,0.380150609|0.19827607|0.0590689555|0.258336234|0.280511277|0.238465336,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.0973188527|-0.0541751009|-0.0815443343|-0.118565064|-0.108226072|-0.109324919,0.943283583|0.258929178|-0.325268512|0.434779871|0.533819036|0.364536427,0.362884879|0.447467238|0.316124946,-0.00163969165|-0.130494848|-0.00227705971,0.0050926050171256065,0.0015791337937116623,0.0016210675239562988,0.0018580034375190735
7,0.4,-4.367839735441244,3.823903441429138,0.5215056538581848,0.09319926798343658,0.8239033818244934,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.35428735613822937,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.35428735117455584,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.06495315552355027,0.255301472|0.0756115732|-0.0649531555|0.132416896|0.155115277|0.113015601,0.405301472|0.225611573|0.0850468445|0.282416896|0.305115277|0.263015601,0.375301472|0.195611573|0.0550468445|0.252416896|0.275115277|0.233015601,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.0966419305|-0.0524012849|-0.0793154486|-0.118197429|-0.107603756|-0.108653511,0.924563959|0.250045008|-0.339128071|0.411470155|0.51285735|0.343408894,0.362802982|0.440942317|0.31601122,-0.00163969165|-0.130494848|-0.00227705971,0.005109666846692562,0.0015563350170850754,0.0016124211251735687,0.0019057588651776314
8,0.45,-4.367234629087484,3.8232983350753784,0.5215056538581848,0.08906851708889008,0.8232983350753784,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.34796398878097534,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.3479639832191606,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.06886094594269951,0.250486624|0.0730366544|-0.0688609459|0.126516344|0.149750982|0.107600164,0.400486624|0.223036654|0.0811390541|0.276516344|0.299750982|0.257600164,0.370486624|0.193036654|0.0511390541|0.246516344|0.269750982|0.227600164,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.0959472977|-0.050592172|-0.0769708629|-0.11781347|-0.106957661|-0.107952789,0.905999199|0.241554445|-0.352414647|0.388251907|0.492046269|0.322447867,0.362721086|0.434417397|0.315897495,-0.00163969165|-0.130494848|-0.00227705971,0.005058364011347294,0.0015730177983641624,0.001607067883014679,0.0018438184633851051
9,0.5,-4.366597813062704,3.822661519050598,0.5215056538581848,0.0850464254617691,0.8226615190505981,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.3389483690261841,1.0,nan,0,0,0,1,-0.03469899668742091,0.0,safe_stop_infeasible,0.33894837595409466,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.07264852061145846,0.245706962|0.0705530703|-0.0726485206|0.120635417|0.144419611|0.102220528,0.395706962|0.22055307|0.0773514794|0.270635417|0.294419611|0.252220528,0.365706962|0.19055307|0.0473514794|0.240635417|0.264419611|0.222220528,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.0952344651|-0.0487480871|-0.0745062158|-0.117412263|-0.106286713|-0.107221227,0.887593385|0.233464194|-0.365100298|0.365129406|0.47139173|0.301660886,0.362639189|0.427892476|0.315783769,-0.00163969165|-0.130494848|-0.00227705971,0.005099331960082054,0.0015622284263372421,0.001605137251317501,0.0018978584557771683
