step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-3.89383521754278,3.818378746509552,0.1942375749349594,0.08281895518302917,0.818378746509552,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.42767268419265747,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.42767268156955995,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.07291385815860965,0.284565728|0.169339153|-0.0729138582|0.0403419249|0.0900466057|0.0550019982,0.434565728|0.319339153|0.0770861418|0.190341925|0.240046606|0.205001998,0.404565728|0.289339153|0.0470861418|0.160341925|0.210046606|0.175001998,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.112482025|-0.0395573153|-0.0501533201|-0.180499035|-0.161901455|-0.162863904,1.02578089|0.637799298|-0.341808753|-0.0191313353|0.198284968|0.0571440889,0.312953621|0.450780928|0.465042979,0.0430869497|-0.183607563|-0.0173730366,0.0051547084003686905,0.0015574200078845024,0.00166276004165411,0.0018982235342264175
1,0.1,-3.8918484755231266,3.8163920044898987,0.1942375749349594,0.07977542281150818,0.8163920044898987,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.42371538281440735,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.42371537204142495,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.07523590693780638,0.278991279|0.167448688|-0.0752359069|0.0313304349|0.0819853642|0.0468958994,0.428991279|0.317448688|0.0747640931|0.181330435|0.231985364|0.196895899,0.398991279|0.287448688|0.0447640931|0.151330435|0.201985364|0.166895899,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.110487998|-0.0360547635|-0.0426918584|-0.179955347|-0.160534702|-0.161362668,1.00547712|0.633739988|-0.343635486|-0.0546336068|0.167406754|0.0262209291,0.315107971|0.441600621|0.4641743,0.0430869497|-0.183607563|-0.0173730366,0.005070016719400883,0.0015705395489931107,0.001533064991235733,0.0019307015463709831
2,0.15000000000000002,-3.8897860356046086,3.8143295645713806,0.1942375749349594,0.07708625495433807,0.8143295645713806,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.418226957321167,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.4182269668688587,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.07717937534746275,0.273517959|0.165734332|-0.0771793753|0.022347355|0.0739948096|0.0388678102,0.423517959|0.315734332|0.0728206247|0.172347355|0.22399481|0.18886781,0.393517959|0.285734332|0.0428206247|0.142347355|0.19399481|0.15886781,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.108436675|-0.0325134056|-0.0350150199|-0.179361678|-0.159072662|-0.159741629,0.985635159|0.630423924|-0.343732521|-0.0899722579|0.136906577|-0.00427038813,0.317262322|0.432420313|0.463305622,0.0430869497|-0.183607563|-0.0173730366,0.00506453774869442,0.0015724590048193932,0.0015429863706231117,0.00191531702876091
3,0.2,-3.887654215879572,3.812197744846344,0.1942375749349594,0.0747642070055008,0.8121976852416992,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.41121456027030945,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.41121456283799035,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.07873428725263662,0.268148659|0.164197945|-0.0787342873|0.0133953336|0.0660799051|0.0309240081,0.418148659|0.314197945|0.0712657127|0.163395334|0.216079905|0.180924008,0.388148659|0.284197945|0.0412657127|0.133395334|0.186079905|0.150924008,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.106326967|-0.0289365603|-0.0271553121|-0.178711908|-0.157507261|-0.157989099,0.966267668|0.62785522|-0.342092461|-0.125130574|0.106812359|-0.0342930667,0.319416672|0.423240006|0.462436944,0.0430869497|-0.183607563|-0.0173730366,0.005126921460032463,0.001551222987473011,0.0015483396127820015,0.0019974522292613983
4,0.25,-3.8854608245564823,3.8100043535232544,0.1942375749349594,0.07282072305679321,0.8100043535232544,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.41052523255348206,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.4105252340487749,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.07989240764213493,0.262886325|0.162841213|-0.0798924076|0.00447734796|0.0582460356|0.0230713852,0.412886325|0.312841213|0.0701075924|0.154477348|0.208246036|0.173071385,0.382886325|0.282841213|0.0401075924|0.124477348|0.178246036|0.143071385,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.104157838|-0.0253277317|-0.0191497694|-0.177998984|-0.155829692|-0.156092156,0.947387461|0.626037121|-0.3387194|-0.160089592|0.0771544508|-0.063806615,0.321571022|0.414059699|0.461568266,0.0430869497|-0.183607563|-0.0173730366,0.0049971528351306915,0.0015930263325572014,0.0015770727768540382,0.0017920872196555138
5,0.30000000000000004,-3.8832151599599247,3.8077586889266968,0.1942375749349594,0.0712658166885376,0.8077586889266968,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.4075357913970947,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.40753578352381203,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.08064745143643812,0.257733952|0.161665645|-0.0806474514|-0.00440324545|0.0504990463|0.0153175132,0.407733952|0.311665645|0.0693525486|0.145596755|0.200499046|0.165317513,0.377733952|0.281665645|0.0393525486|0.115596755|0.170499046|0.135317513,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.101928317|-0.0216905951|-0.0110392118|-0.177214752|-0.154030352|-0.154036525,0.929007493|0.624971984|-0.333629018|-0.194827734|0.0479658328|-0.0927664724,0.323725373|0.404879391|0.460699588,0.0430869497|-0.183607563|-0.0173730366,0.00510135293006897,0.0015537627041339874,0.001684620976448059,0.0018299920484423637
6,0.35000000000000003,-3.880927891321314,3.805471420288086,0.1942375749349594,0.07010768353939056,0.8054714202880859,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.4045214056968689,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.4045214148894325,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.08099524954341583,0.252694584|0.16067256|-0.0809952495|-0.0132426508|0.0428452831|0.00767071342,0.402694584|0.31067256|0.0690047505|0.136757349|0.192845283|0.157670713,0.372694584|0.28067256|0.0390047505|0.106757349|0.162845283|0.127670713,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.0996375072|-0.0180289798|-0.00286728283|-0.176349759|-0.152098788|-0.151806464,0.911140829|0.624661261|-0.326848281|-0.229320362|0.0192823446|-0.12112361,0.325879723|0.395699084|0.45983091,0.0430869497|-0.183607563|-0.0173730366,0.005108410492539406,0.0015709558501839638,0.0016612764447927475,0.0018422743305563927
7,0.4,-3.8857412048055058,3.810284733772278,0.1942375749349594,0.06935262680053711,0.8031541109085083,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.40393906831741333,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.40393908515055094,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.0810203240677854,0.247771305|0.159863085|-0.0810203241|-0.0220365621|0.0352916376|0.000140133731,0.397771305|0.309863085|0.0689796759|0.127963438|0.185291638|0.150140134,0.367771305|0.279863085|0.0389796759|0.0979634379|0.155291638|0.120140134,0.15|0.15|0.117506157|0.15|0.15|0.15,0|0|0|0|0|0,-0.0972845959|-0.0143468507|1.01409065e-18|-0.175393006|-0.150023635|-0.149384647,0.893800622|0.625105488|-0.324081296|-0.263539254|-0.00885708462|-0.148824112,0.328034073|0.386518776|0.458962232,0.0430869497|-0.183607563|-0.0173730366,0.00512266531586647,0.0015684114769101143,0.0016883034259080887,0.0018325243145227432
8,0.45,-3.8986472793294316,3.8231908082962036,0.1942375749349594,0.06900481879711151,0.8008192777633667,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.4051804542541504,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.4051804389584917,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.08102030009837766,0.242967238|0.159238142|-0.0810203001|-0.0307800786|0.027845593|-0.00726417023,0.392967238|0.309238142|0.0689796999|0.119219921|0.177845593|0.14273583,0.362967238|0.279238142|0.0389796999|0.0892199214|0.147845593|0.11273583,0.15|0.15|0.0675065034|0.15|0.15|0.15,0|0|0|0|0|0,-0.094868865|-0.0106482877|1.12932355e-17|-0.174331652|-0.147792568|-0.146752067,0.877000085|0.626304282|-0.3240812|-0.297451967|-0.0364101964|-0.175808748,0.330188423|0.377338469|0.458093554,0.0430869497|-0.183607563|-0.0173730366,0.00503280945122242,0.0015871468931436539,0.0016402453184127808,0.001771382987499237
9,0.5,-3.9122520394994145,3.8367955684661865,0.1942375749349594,0.06906621158123016,0.8046907782554626,0.35,2,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.40607699751853943,1.0,nan,0,0,0,1,-0.07291385815860965,0.0,safe_stop_infeasible,0.40607699017319604,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.08102027612896609,0.23828554|0.158798451|-0.0810202761|-0.0394676046|0.020515274|-0.0145311484,0.38828554|0.308798451|0.0689797239|0.110532395|0.170515274|0.135468852,0.35828554|0.278798451|0.0389797239|0.0805323954|0.140515274|0.105468852,0.15|0.15|0.0175068496|0.15|0.15|0.15,0|0|0|0|0|0,-0.0923897027|-0.00693746417|1.37274176e-17|-0.17315066|-0.145392257|-0.143887944,0.860752456|0.62825634|-0.324081105|-0.331021079|-0.0633311609|-0.202012537,0.332342774|0.368158162|0.457224876,0.0430869497|-0.183607563|-0.0173730366,0.005070666782557964,0.0015781419351696968,0.0016239546239376068,0.0018348395824432373
