episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-58.80729070640086,26.028672471642494,38,0,1,1,0.8036549687385559,1.9000000000000001,0.1381346732378006,0.3890261775568912,0.7261315584182739,0,0.0,0.8157894736842105,0.13325994837369262,0.0,0.0,0.0,0.15789473684210525,0.9473684210526315,0.07894736842105263,-0.013462690537417332,0.028985843969214903,0.15674304498947764,1.6283339262008667,33.96049118041992,1,0,19,0.9500000000000001,0,0.17982698809210984
1,8.20233237123919,11.855445444583893,79,1,0,0,0.05405959114432335,3.95,0.24073287844657898,0.14413781690446636,0.3604673743247986,0,0.0,0.6708860759493671,0.0033125801363788647,0.0,0.0,0.0,0.0,1.0,0.0,0.12073289739375676,0.003222956616855875,0.15826769026963017,1.4514464139938354,36.549495697021484,0,0,0,0.0,0,0.3349211296494325
2,-88.26002580744739,60.52979649975896,240,0,0,0,0.14656893908977509,12.0,0.15289424359798431,0.2367294664417083,0.5744577050209045,0,0.0,0.725,0.03873658722094909,0.0,0.0,0.0,0.0,0.9958333333333333,0.0,0.015464137170600217,0.0035714352387003602,0.1436799434304703,1.3969703912734985,23.264814376831055,1,1,34,1.7000000000000002,0,0.3742032056197631
3,-84.41217909070012,45.42945822700858,207,1,0,0,0.054845597594976425,10.350000000000001,0.1735168844461441,0.20885121804360607,0.4261760115623474,0,0.0,0.6666666666666666,0.06893601708301862,0.0,0.0,0.0,0.0,0.9806763285024155,0.0,0.04992511845421638,0.003007457960522981,0.10674972483856775,1.1102792024612427,27.82830238342285,1,1,25,1.25,0,0.32575478139998054
4,-8.038437794557701,23.03665054216981,124,1,0,0,0.0434361957013607,6.2,0.20769797265529633,0.1777376790320681,0.3657366931438446,0,0.0,0.5967741935483871,0.03815880398143185,0.0,0.0,0.0,0.0,1.0,0.0,0.08769796448533801,0.0030641265724214817,0.12442296551870963,1.245059609413147,29.28987693786621,0,0,0,0.0,0,0.22516844678474057
5,3.6528948683047346,17.375291913747787,78,1,0,0,0.05001828819513321,3.9000000000000004,0.18239323794841766,0.2193531436033738,0.49000582098960876,0,0.0,0.7307692307692307,0.02675252742429478,0.0,0.0,0.0,0.0,0.9102564102564102,0.0,0.06414159498139005,0.0032373093522320953,0.1648088336850588,1.5477657318115234,43.256649017333984,0,0,0,0.0,0,0.3232163606644369
6,-56.01294503763726,41.00136025622487,240,0,0,0,0.23844310641288757,12.0,0.178947314620018,0.16270253985809782,0.537740170955658,0,0.0,0.6375,0.010010600610405922,0.0,0.0,0.0,0.0,1.0,0.0,0.058947321998808394,0.0028197811217978595,0.1843817112967372,1.633721113204956,42.83821487426758,1,1,3,0.15000000000000002,0,0.3048025798878746
7,-25.897887194328064,21.596915202215314,240,0,0,0,0.0914040058851242,12.0,0.2649856507778168,0.08682382005111625,0.23115459084510803,0,0.0,0.36666666666666664,0.0013431791100108636,0.0,0.0,0.0,0.0,1.0,0.0,0.12261504769370729,0.0033422795551208157,0.059574138807753724,0.6611564755439758,12.080914497375488,0,0,0,0.0,0,0.13142441404502275
8,-63.04110907139975,31.497405380010605,47,0,1,1,0.7874260544776917,2.35,0.12790150940418243,0.4204154093848898,0.7916722297668457,0,0.0,0.9787234042553191,0.18949794081524204,0.0,0.0,0.0,0.10638297872340426,0.7446808510638298,0.0851063829787234,-0.023231881322792636,0.018983193058916863,0.13677518679562242,1.4713481664657593,24.83690643310547,1,0,23,1.1500000000000001,0,0.28059331109311925
9,18.499054439524635,3.949770849198103,58,1,0,0,0.0513780377805233,2.9000000000000004,0.3900003433227539,0.06546221570721988,0.12926369905471802,0,0.0,0.7758620689655172,0.0005231637236157052,0.0,0.0,0.0,0.0,1.0,0.0,0.2574601620543315,0.002730637933288155,0.0626169787559273,0.750855565071106,20.775774002075195,0,0,0,0.0,0,0.39002211866547987
