step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm
0,0.05,-0.1903365215662609,0.21901598572731018,0.37502729892730713,0.4041658043861389,0.21901598572731018,0.2199925986925761,5,0,0,0,0.2398236244916916,4.796472549438477,95.929443359375
1,0.1,-0.07174890853280268,0.1799536645412445,0.36416175961494446,0.3942444324493408,0.1799536645412445,0.283367786248525,5,0,0,0,0.46484237909317017,4.583712100982666,25.312145233154297
2,0.15000000000000002,0.03156270365130581,0.14628098905086517,0.34880006313323975,0.38718920946121216,0.14628098905086517,0.32392767515182497,5,0,0,0,0.648935854434967,4.030961513519287,35.04578399658203
3,0.2,0.04968247824286408,0.1485908031463623,0.33358997106552124,0.3812847435474396,0.1485908031463623,0.34982136269251507,5,0,0,0,0.7283989787101746,3.917449474334717,80.4371566772461
4,0.25,0.08008682502220943,0.15524254739284515,0.31782737374305725,0.3755083382129669,0.15524254739284515,0.3664529483706157,5,0,0,0,0.7720814347267151,4.014284610748291,64.69830322265625
5,0.30000000000000004,0.15674941815757593,0.15455496311187744,0.2990803122520447,0.3699856996536255,0.15455496311187744,0.3773457202031454,5,0,0,0,0.8502621650695801,4.2421956062316895,48.6369514465332
6,0.35000000000000003,0.210931367239682,0.1565987765789032,0.2786979675292969,0.3641939163208008,0.1565987765789032,0.38445711442118324,5,0,0,0,0.888074517250061,2.4611451625823975,53.19370651245117
7,0.4,0.2224289107992601,0.16141992807388306,0.2588687539100647,0.35897594690322876,0.16141992807388306,0.3891094154613342,5,0,0,0,0.8627971410751343,2.1699557304382324,51.50215148925781
8,0.45,0.25077200688902335,0.16292859613895416,0.23857350647449493,0.35421106219291687,0.16292859613895416,0.3918576327858643,5,0,0,0,0.8156276345252991,2.6604714393615723,35.93141555786133
9,0.5,0.294281635224457,0.16116143763065338,0.21694327890872955,0.3504447042942047,0.16116143763065338,0.39299229335178587,5,0,0,0,0.7627118229866028,3.055631399154663,45.18747329711914
10,0.55,0.31064044996970436,0.16324257850646973,0.1953977346420288,0.34769877791404724,0.16324257850646973,0.3924289191845436,5,0,0,0,0.7384106516838074,2.8614635467529297,30.68025779724121
11,0.6000000000000001,0.3124935734875815,0.16523712873458862,0.1745811551809311,0.34574633836746216,0.16523712873458862,0.39010137985647,5,0,0,0,0.7167821526527405,3.532275915145874,26.054506301879883
12,0.65,0.3408099187785034,0.1671057641506195,0.15296617150306702,0.34612199664115906,0.1671057641506195,0.38605287760794327,5,0,0,0,0.7489712834358215,3.824249029159546,41.03574752807617
13,0.7000000000000001,0.35532911513473375,0.16880163550376892,0.1311962902545929,0.3493987023830414,0.16880163550376892,0.37961472954531605,5,0,0,0,0.7427321076393127,4.586735248565674,83.90302276611328
14,0.75,0.33461934877222965,0.17026957869529724,0.11109849810600281,0.3541802763938904,0.17026957869529724,0.37035089361377616,5,0,0,0,0.7357558608055115,4.954954147338867,57.33530044555664
15,0.8,0.29554076521840816,0.17144513130187988,0.09359992295503616,0.3599158227443695,0.17144513130187988,0.3587038226984425,5,0,0,0,0.7688812613487244,4.372294902801514,39.987937927246094
16,0.8500000000000001,0.20889608180294061,0.17225411534309387,0.08121377229690552,0.36607909202575684,0.17225411534309387,0.34505225738262035,5,0,0,0,0.8036664128303528,2.9381566047668457,38.589351654052734
17,0.9,0.08633766124861565,0.1726117581129074,0.0757460817694664,0.3724302053451538,0.1726117581129074,0.3299753795487179,5,0,0,0,0.833101749420166,2.461362361907959,25.459531784057617
18,0.9500000000000001,-0.02428016278246954,0.1724228709936142,0.07641851156949997,0.36885008215904236,0.1724228709936142,0.3182485334727661,2,0,0,0,0.8492692112922668,2.2290098667144775,25.05877113342285
19,1.0,-0.09822437109665501,0.17158250510692596,0.0810982957482338,0.3610912263393402,0.17158250510692596,0.3105892614913084,2,0,0,0,0.8677533268928528,2.8885786533355713,21.72591781616211
20,1.05,-0.12097945228788122,0.18171966075897217,0.08693496882915497,0.3531295359134674,0.18171966075897217,0.30543350365114796,2,0,0,0,0.8763689398765564,2.8354175090789795,16.508604049682617
