step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.8289888790320401,0.06442883610725403,0.5802583694458008,0.5665444731712341,0.055254071950912476,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.367550790309906,7.351015567779541,147.0203094482422,1.4265371561050415,1.4265371561050415,0.5862322516349463,0.5802583694458008,0.0059738821891455185,0.378471100323269,0.12409270625599365,0.26989022249928696,0.11992316110516306,0.1499670613941239,0.269890225568432,0,0,disabled,0.0,1,TRACK,direct_path,0,1.5861948468955234,1.5861948468955234,58,1,1,1,7,1.9253927042288344,0.19804823398590088,0.0006816041487128944;0.0005880831117724718;0.0018549828056615624;0.0009046371504398828;0.0033707225267148515;0.004191092630662041;0.004017308460361775;0.0028066401099275614;0.005350682883727209;0.0020241921205111945;0.004568204899048748;0.0024842403331376923;0.003144490986388956;0.00550044752521016;0.0021972129555305644;0.0036221434196478317;0.003017986586490685;0.006176174307221746;0.0023400158224450938;0.005707557665229727;0.0035741878188988194;0.00406734775915243;0.004544915272837347;0.005282724199525827;0.0014833453554198438;0.0030946508417958366;0.008131666659973303;0.006342615712425072;0.0050469210326148485;0.003549922133421622;0.002891932565762476;0.002811568605155346;0.007491092903505147;0.007247319646515257;0.005257919858675556;0.0029341093484266073;0.006298391046448562;0.0019611968761600036;0.004627952720827558;0.0035609577813948247;0.005471260689616213;0.007153606136367819;0.0049729391498285185;0.006287896809272573;0.009061664923324662;0.002011019416131281;0.003863773835260372;0.0023595554765556315;0.003037457530977953;0.0033962981378904923;0.0028436042815021753;0.004844773462577837;0.001469751296648235;0.0043494897107272555;0.008015873613327722;0.002632242843628171;0.00335963392917953;0.00515418540702991,0.1482456773519516;0.1503884643316269;0.15732984244823456;0.15177877247333527;0.15689019858837128;0.1889791637659073;0.1930692195892334;0.19804823398590088;0.19323986768722534;0.15821032226085663;0.19552263617515564;0.1420419067144394;0.172225221991539;0.16887979209423065;0.1266692578792572;0.1925029158592224;0.1893438845872879;0.19229260087013245;0.16005952656269073;0.16196070611476898;0.19455209374427795;0.12998516857624054;0.12974846363067627;0.12121867388486862;0.19726601243019104;0.19567066431045532;0.151517853140831;0.16571854054927826;0.1397079974412918;0.19613754749298096;0.13164010643959045;0.19508257508277893;0.12256491929292679;0.18141601979732513;0.15488509833812714;0.1347377896308899;0.19199401140213013;0.12988735735416412;0.16099311411380768;0.17356418073177338;0.19417008757591248;0.19106802344322205;0.13746507465839386;0.19426500797271729;0.18975183367729187;0.19744129478931427;0.153025284409523;0.19754558801651;0.18069739639759064;0.14795802533626556;0.1930907815694809;0.130108043551445;0.1977388858795166;0.19625723361968994;0.12089059501886368;0.1962416172027588;0.17216868698596954;0.1496414989233017,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 7, 'obstacle_contact': 0, 'self_collision': 0}",0.0005880831117724718,65,65,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,1.0,1.4265371561050415,0.0,1.0,0.39824931475968994,0,0,0,0,0.39824931475968994,0.0,filtered,linprog goal-velocity priority optimal,1.4523594165518232,0,0,12,joint_0_acceleration_lower|joint_4_acceleration_lower|joint_2_acceleration_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.12492315930442723,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.39824931475968994,0.8648182497850583,0|0|0|0|0|0,0.63995117|0.508542929|0.403754487|0.398249315|0.400249315|0.446709603,0.813192083|0.681783842|0.576995399|0.571490227|0.573490227|0.619950516,0.75995117|0.628542929|0.523754487|0.518249315|0.520249315|0.566709603,0|0|0|0|0|0,1.54016853e-17|0.0234878552|-0.085373351|-0.099640778|-0.099640778|-0.0965739561,0|0|0|0|0|0,2.55980468|2.05765957|1.5296446|1.49335648|1.50135648|1.69026446,optimal,0.12492315930442723,0.11992316110516305,0.00499999819926418,0.713322818|-0.522606969|0.458190948,-0|0|-0,0.012368354015052319,0.0020238698925822973,0.0013067370746284723,0.005380128975957632
1,0.1,-0.8870269832738313,0.11190091818571091,0.568474531173706,0.5568728446960449,0.09927398711442947,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.7280027866363525,7.215132713317871,8.852720260620117,1.42460036277771,1.42460036277771,0.5802583421412979,0.568474531173706,0.011783810967591846,0.37844623749968204,0.24772641931740483,0.2692752023989883,0.23751931929837117,0.03175588310061711,0.26927518972803705,0,0,disabled,0.0,1,TRACK,direct_path,0,1.5861948468955234,1.5861948468955234,58,1,1,1,7,1.9253927042288344,0.19804823398590088,0.0006816041487128944;0.0005880831117724718;0.0018549828056615624;0.0009046371504398828;0.0033707225267148515;0.004191092630662041;0.004017308460361775;0.0028066401099275614;0.005350682883727209;0.0020241921205111945;0.004568204899048748;0.0024842403331376923;0.003144490986388956;0.00550044752521016;0.0021972129555305644;0.0036221434196478317;0.003017986586490685;0.006176174307221746;0.0023400158224450938;0.005707557665229727;0.0035741878188988194;0.00406734775915243;0.004544915272837347;0.005282724199525827;0.0014833453554198438;0.0030946508417958366;0.008131666659973303;0.006342615712425072;0.0050469210326148485;0.003549922133421622;0.002891932565762476;0.002811568605155346;0.007491092903505147;0.007247319646515257;0.005257919858675556;0.0029341093484266073;0.006298391046448562;0.0019611968761600036;0.004627952720827558;0.0035609577813948247;0.005471260689616213;0.007153606136367819;0.0049729391498285185;0.006287896809272573;0.009061664923324662;0.002011019416131281;0.003863773835260372;0.0023595554765556315;0.003037457530977953;0.0033962981378904923;0.0028436042815021753;0.004844773462577837;0.001469751296648235;0.0043494897107272555;0.008015873613327722;0.002632242843628171;0.00335963392917953;0.00515418540702991,0.1482456773519516;0.1503884643316269;0.15732984244823456;0.15177877247333527;0.15689019858837128;0.1889791637659073;0.1930692195892334;0.19804823398590088;0.19323986768722534;0.15821032226085663;0.19552263617515564;0.1420419067144394;0.172225221991539;0.16887979209423065;0.1266692578792572;0.1925029158592224;0.1893438845872879;0.19229260087013245;0.16005952656269073;0.16196070611476898;0.19455209374427795;0.12998516857624054;0.12974846363067627;0.12121867388486862;0.19726601243019104;0.19567066431045532;0.151517853140831;0.16571854054927826;0.1397079974412918;0.19613754749298096;0.13164010643959045;0.19508257508277893;0.12256491929292679;0.18141601979732513;0.15488509833812714;0.1347377896308899;0.19199401140213013;0.12988735735416412;0.16099311411380768;0.17356418073177338;0.19417008757591248;0.19106802344322205;0.13746507465839386;0.19426500797271729;0.18975183367729187;0.19744129478931427;0.153025284409523;0.19754558801651;0.18069739639759064;0.14795802533626556;0.1930907815694809;0.130108043551445;0.1977388858795166;0.19625723361968994;0.12089059501886368;0.1962416172027588;0.17216868698596954;0.1496414989233017,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 7, 'obstacle_contact': 0, 'self_collision': 0}",0.0005880831117724718,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.42460036277771,0.0,1.0,0.3788368195488905,0,0,0,0,0.39824931475968994,0.0,filtered,linprog goal-velocity priority optimal,1.5663202292858136,0,0,12,joint_0_acceleration_lower|joint_4_acceleration_lower|joint_2_acceleration_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.24251931743473001,1,continuity_tiebreak,0.9995894432067871,0,goal_velocity_linprog,0.0,valid,0.3788368195488905,0.861248431154388,0|0.0556744214|0.104075457|0.11884069|0.11884069|0.123622526,0.640129661|0.509922847|0.387165421|0.37883682|0.38083682|0.427973052,0.813192083|0.682985269|0.560227843|0.551899241|0.553899241|0.601035474,0.760129661|0.629922847|0.507165421|0.49883682|0.50083682|0.547973052,0|0|0.15|0.15|0.15|0.15,0|0.042255849|-0.168788949|-0.194380776|-0.194380776|-0.186604857,0|0|0|0|0|0,2.56051865|2.08194724|1.37987274|1.3209665|1.3289665|1.52528735,optimal,0.24251931743473001,0.23751931929837114,0.004999998136358874,0.713322818|-0.522606969|0.458190948,-0|0|-0,0.01316622900776565,0.002337387064471841,0.00129058794118464,0.005293564987368882
2,0.15000000000000002,-1.007949815830366,0.17651596665382385,0.551215410232544,0.5428916811943054,0.15949945151805878,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.072826862335205,6.9808807373046875,23.170270919799805,1.4216111898422241,1.4216111898422241,0.568474534716293,0.551215410232544,0.017259124483749,0.3780700058214684,0.3731583907859227,0.2683888033613535,0.3494831045062693,-0.08109430114491578,0.26838880503388346,0,0,disabled,0.0,1,TRACK,direct_path,0,1.5861948468955234,1.5861948468955234,58,1,1,1,7,1.9253927042288344,0.19804823398590088,0.0006816041487128944;0.0005880831117724718;0.0018549828056615624;0.0009046371504398828;0.0033707225267148515;0.004191092630662041;0.004017308460361775;0.0028066401099275614;0.005350682883727209;0.0020241921205111945;0.004568204899048748;0.0024842403331376923;0.003144490986388956;0.00550044752521016;0.0021972129555305644;0.0036221434196478317;0.003017986586490685;0.006176174307221746;0.0023400158224450938;0.005707557665229727;0.0035741878188988194;0.00406734775915243;0.004544915272837347;0.005282724199525827;0.0014833453554198438;0.0030946508417958366;0.008131666659973303;0.006342615712425072;0.0050469210326148485;0.003549922133421622;0.002891932565762476;0.002811568605155346;0.007491092903505147;0.007247319646515257;0.005257919858675556;0.0029341093484266073;0.006298391046448562;0.0019611968761600036;0.004627952720827558;0.0035609577813948247;0.005471260689616213;0.007153606136367819;0.0049729391498285185;0.006287896809272573;0.009061664923324662;0.002011019416131281;0.003863773835260372;0.0023595554765556315;0.003037457530977953;0.0033962981378904923;0.0028436042815021753;0.004844773462577837;0.001469751296648235;0.0043494897107272555;0.008015873613327722;0.002632242843628171;0.00335963392917953;0.00515418540702991,0.1482456773519516;0.1503884643316269;0.15732984244823456;0.15177877247333527;0.15689019858837128;0.1889791637659073;0.1930692195892334;0.19804823398590088;0.19323986768722534;0.15821032226085663;0.19552263617515564;0.1420419067144394;0.172225221991539;0.16887979209423065;0.1266692578792572;0.1925029158592224;0.1893438845872879;0.19229260087013245;0.16005952656269073;0.16196070611476898;0.19455209374427795;0.12998516857624054;0.12974846363067627;0.12121867388486862;0.19726601243019104;0.19567066431045532;0.151517853140831;0.16571854054927826;0.1397079974412918;0.19613754749298096;0.13164010643959045;0.19508257508277893;0.12256491929292679;0.18141601979732513;0.15488509833812714;0.1347377896308899;0.19199401140213013;0.12988735735416412;0.16099311411380768;0.17356418073177338;0.19417008757591248;0.19106802344322205;0.13746507465839386;0.19426500797271729;0.18975183367729187;0.19744129478931427;0.153025284409523;0.19754558801651;0.18069739639759064;0.14795802533626556;0.1930907815694809;0.130108043551445;0.1977388858795166;0.19625723361968994;0.12089059501886368;0.1962416172027588;0.17216868698596954;0.1496414989233017,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 7, 'obstacle_contact': 0, 'self_collision': 0}",0.0005880831117724718,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4216111898422241,0.0,1.0,0.3559635025154131,0,0,0,0,0.39824931475968994,0.0,filtered,linprog goal-velocity priority optimal,1.7469835648662013,0,0,12,joint_0_acceleration_lower|joint_4_acceleration_lower|joint_2_acceleration_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.35448309428408536,1,continuity_tiebreak,0.9981254935264587,0,goal_velocity_linprog,0.0,valid,0.3559635025154131,0.8540966023499694,0|0.101871511|0.206495969|0.236776997|0.236776997|0.2458962,0.640487253|0.512487375|0.367191545|0.355963503|0.357963503|0.406283829,0.813192083|0.685192205|0.539896375|0.528668333|0.530668333|0.578988659,0.760487253|0.632487375|0.487191545|0.475963503|0.477963503|0.526283829,0|0|0.15|0.15|0.15|0.15,0|0.0472313825|-0.25061677|-0.279272721|-0.279272721|-0.263389933,0|0|0|0|0|0,2.56194901|2.09718088|1.21814941|1.14458129|1.15258129|1.36174538,optimal,0.35448309428408536,0.34948310450626935,0.004999989777816016,0.713322818|-0.522606969|0.458190948,-0|0|-0,0.01345995394513011,0.003109656972810626,0.0010504969395697117,0.00530600908678025
3,0.2,-1.0586853452231415,0.21115641295909882,0.531656801700592,0.5269457101821899,0.19022631645202637,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1875965595245361,2.8226537704467773,99.52979278564453,1.4189060926437378,1.4189060926437378,0.5512154025312888,0.531656801700592,0.019558600830696715,0.3764183630589264,0.41860971810880476,0.26786084432875196,0.39618266993942014,-0.12832182561066818,0.26786084058635884,0,0,disabled,0.0,1,TRACK,direct_path,0,1.5861948468955234,1.5861948468955234,58,1,1,1,7,1.9253927042288344,0.19804823398590088,0.0006816041487128944;0.0005880831117724718;0.0018549828056615624;0.0009046371504398828;0.0033707225267148515;0.004191092630662041;0.004017308460361775;0.0028066401099275614;0.005350682883727209;0.0020241921205111945;0.004568204899048748;0.0024842403331376923;0.003144490986388956;0.00550044752521016;0.0021972129555305644;0.0036221434196478317;0.003017986586490685;0.006176174307221746;0.0023400158224450938;0.005707557665229727;0.0035741878188988194;0.00406734775915243;0.004544915272837347;0.005282724199525827;0.0014833453554198438;0.0030946508417958366;0.008131666659973303;0.006342615712425072;0.0050469210326148485;0.003549922133421622;0.002891932565762476;0.002811568605155346;0.007491092903505147;0.007247319646515257;0.005257919858675556;0.0029341093484266073;0.006298391046448562;0.0019611968761600036;0.004627952720827558;0.0035609577813948247;0.005471260689616213;0.007153606136367819;0.0049729391498285185;0.006287896809272573;0.009061664923324662;0.002011019416131281;0.003863773835260372;0.0023595554765556315;0.003037457530977953;0.0033962981378904923;0.0028436042815021753;0.004844773462577837;0.001469751296648235;0.0043494897107272555;0.008015873613327722;0.002632242843628171;0.00335963392917953;0.00515418540702991,0.1482456773519516;0.1503884643316269;0.15732984244823456;0.15177877247333527;0.15689019858837128;0.1889791637659073;0.1930692195892334;0.19804823398590088;0.19323986768722534;0.15821032226085663;0.19552263617515564;0.1420419067144394;0.172225221991539;0.16887979209423065;0.1266692578792572;0.1925029158592224;0.1893438845872879;0.19229260087013245;0.16005952656269073;0.16196070611476898;0.19455209374427795;0.12998516857624054;0.12974846363067627;0.12121867388486862;0.19726601243019104;0.19567066431045532;0.151517853140831;0.16571854054927826;0.1397079974412918;0.19613754749298096;0.13164010643959045;0.19508257508277893;0.12256491929292679;0.18141601979732513;0.15488509833812714;0.1347377896308899;0.19199401140213013;0.12988735735416412;0.16099311411380768;0.17356418073177338;0.19417008757591248;0.19106802344322205;0.13746507465839386;0.19426500797271729;0.18975183367729187;0.19744129478931427;0.153025284409523;0.19754558801651;0.18069739639759064;0.14795802533626556;0.1930907815694809;0.130108043551445;0.1977388858795166;0.19625723361968994;0.12089059501886368;0.1962416172027588;0.17216868698596954;0.1496414989233017,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 7, 'obstacle_contact': 0, 'self_collision': 0}",0.0005880831117724718,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4189060926437378,0.0,1.0,0.33078420929276875,0,0,0,0,0.39824931475968994,0.0,filtered,linprog goal-velocity priority optimal,1.8410112653268533,0,0,12,joint_0_velocity_lower,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.4011826771205789,1,continuity_tiebreak,0.9973524808883667,0,goal_velocity_linprog,0.0,valid,0.33078420929276875,0.843361243525318,1.62649477e-20|0.124464109|0.310694553|0.358058188|0.358058188|0.369243139,0.641024021|0.515551749|0.343744851|0.330784209|0.332784209|0.383194327,0.813192083|0.687719812|0.515912913|0.502952271|0.504952271|0.555362389,0.761024021|0.635551749|0.463744851|0.450784209|0.452784209|0.503194327,0|0|0.15|0.15|0.15|0.15,-1.03104978e-20|0.0482455975|-0.283179286|-0.313264681|-0.313264681|-0.294522373,0|0|0|0|0|0,2.56409608|2.1104526|1.09180012|1.00987216|1.01787216|1.23825494,optimal,0.4011826771205789,0.3961826699394202,0.005000007181158728,0.713322818|-0.522606969|0.458190948,-0|0|-0,0.012006762088276446,0.00224810594227165,0.0011021550744771957,0.005156464991159737
4,0.25,-1.0138170106795386,0.20760637521743774,0.5126447081565857,0.5118831992149353,0.1851016730070114,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1875965595245361,0.0,56.45307159423828,1.4192355871200562,1.4192355871200562,0.5316567864552256,0.5126447081565857,0.019012078298639934,0.37543777778282406,0.4135530198870618,0.2691016060399187,0.3859441405306073,-0.11684253449068865,0.26910159832337566,0,0,disabled,0.0,1,TRACK,direct_path,0,1.5861948468955234,1.5861948468955234,58,1,1,1,7,1.9253927042288344,0.19804823398590088,0.0006816041487128944;0.0005880831117724718;0.0018549828056615624;0.0009046371504398828;0.0033707225267148515;0.004191092630662041;0.004017308460361775;0.0028066401099275614;0.005350682883727209;0.0020241921205111945;0.004568204899048748;0.0024842403331376923;0.003144490986388956;0.00550044752521016;0.0021972129555305644;0.0036221434196478317;0.003017986586490685;0.006176174307221746;0.0023400158224450938;0.005707557665229727;0.0035741878188988194;0.00406734775915243;0.004544915272837347;0.005282724199525827;0.0014833453554198438;0.0030946508417958366;0.008131666659973303;0.006342615712425072;0.0050469210326148485;0.003549922133421622;0.002891932565762476;0.002811568605155346;0.007491092903505147;0.007247319646515257;0.005257919858675556;0.0029341093484266073;0.006298391046448562;0.0019611968761600036;0.004627952720827558;0.0035609577813948247;0.005471260689616213;0.007153606136367819;0.0049729391498285185;0.006287896809272573;0.009061664923324662;0.002011019416131281;0.003863773835260372;0.0023595554765556315;0.003037457530977953;0.0033962981378904923;0.0028436042815021753;0.004844773462577837;0.001469751296648235;0.0043494897107272555;0.008015873613327722;0.002632242843628171;0.00335963392917953;0.00515418540702991,0.1482456773519516;0.1503884643316269;0.15732984244823456;0.15177877247333527;0.15689019858837128;0.1889791637659073;0.1930692195892334;0.19804823398590088;0.19323986768722534;0.15821032226085663;0.19552263617515564;0.1420419067144394;0.172225221991539;0.16887979209423065;0.1266692578792572;0.1925029158592224;0.1893438845872879;0.19229260087013245;0.16005952656269073;0.16196070611476898;0.19455209374427795;0.12998516857624054;0.12974846363067627;0.12121867388486862;0.19726601243019104;0.19567066431045532;0.151517853140831;0.16571854054927826;0.1397079974412918;0.19613754749298096;0.13164010643959045;0.19508257508277893;0.12256491929292679;0.18141601979732513;0.15488509833812714;0.1347377896308899;0.19199401140213013;0.12988735735416412;0.16099311411380768;0.17356418073177338;0.19417008757591248;0.19106802344322205;0.13746507465839386;0.19426500797271729;0.18975183367729187;0.19744129478931427;0.153025284409523;0.19754558801651;0.18069739639759064;0.14795802533626556;0.1930907815694809;0.130108043551445;0.1977388858795166;0.19625723361968994;0.12089059501886368;0.1962416172027588;0.17216868698596954;0.1496414989233017,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 7, 'obstacle_contact': 0, 'self_collision': 0}",0.0005880831117724718,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4192355871200562,0.0,1.0,0.30999025861297863,0,0,0,0,0.39824931475968994,0.0,filtered,linprog goal-velocity priority optimal,1.8645250751271263,0,0,12,joint_0_velocity_lower,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.38815421786392323,1,continuity_tiebreak,1.0,0,goal_velocity_linprog,0.0,valid,0.30999025861297863,0.8324975677353332,3.88656423e-17|0.126478292|0.349548465|0.401081416|0.401081416|0.413518924,0.641567205|0.518694801|0.325087805|0.309990259|0.311990259|0.363632178,0.813192083|0.690319679|0.496712684|0.481615137|0.483615137|0.535257057,0.761567205|0.638694801|0.445087805|0.429990259|0.431990259|0.483632178,0|0|0.15|0.15|0.15|0.15,3.00192767e-17|0.0556310442|-0.266871457|-0.293406041|-0.293406041|-0.271247025,0|0|0|0|0|0,2.56626882|2.13041025|1.03347976|0.946554993|0.954554993|1.18328169,optimal,0.38815421786392323,0.3859441405306073,0.0022100773333159074,0.713322818|-0.522606969|0.458190948,-0|0|-0,0.01430050004273653,0.002608007052913308,0.0011835950426757336,0.006484626908786595
