episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
14,9015,configs/experiments/reaching_recovery/manifests/v1_final.json,21.272083422352885,0.0,4,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05315057933330536,0.2,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3307945355772972,2.878460168838501,60.95540237426758,0,0,0,0.0,0,nan
15,9016,configs/experiments/reaching_recovery/manifests/v1_final.json,25.129094963797613,0.0,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.03682596981525421,0.5,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2777094587683678,2.4944465160369873,42.09418487548828,0,0,0,0.0,0,nan
16,9017,configs/experiments/reaching_recovery/manifests/v1_final.json,24.28502700121833,0.0,14,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04511343687772751,0.7000000000000001,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2530769892036915,2.5082013607025146,46.11740493774414,0,0,0,0.0,0,nan
17,9018,configs/experiments/reaching_recovery/manifests/v1_final.json,24.43146196014856,0.0,21,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04079601168632507,1.05,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19460587522813252,2.068892478942871,34.03493118286133,0,0,0,0.0,0,nan
18,9019,configs/experiments/reaching_recovery/manifests/v1_final.json,23.720218337228204,0.0,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.03366618975996971,0.5,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22589000202715398,2.3308990001678467,37.326377868652344,0,0,0,0.0,0,nan
19,9020,configs/experiments/reaching_recovery/manifests/v1_final.json,21.52550006401143,0.0,4,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05029212310910225,0.2,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.42232389003038406,3.7859647274017334,80.52449798583984,0,0,0,0.0,0,nan
20,9021,configs/experiments/reaching_recovery/manifests/v1_final.json,-26.738134444629914,0.0,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.3873704671859741,12.0,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0987476230346753,1.3535149097442627,29.399995803833008,0,0,0,0.0,0,nan
21,9022,configs/experiments/reaching_recovery/manifests/v1_final.json,25.24310749956621,0.0,21,1,0,0,0,0,0,,any,0,0,,,nan,0,0.03158475458621979,1.05,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21249412851674215,2.111995220184326,31.26279067993164,0,0,0,0.0,0,nan
22,9023,configs/experiments/reaching_recovery/manifests/v1_final.json,23.787503072761524,0.0,24,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04990299046039581,1.2000000000000002,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2151516320494314,2.214482307434082,36.746177673339844,0,0,0,0.0,0,nan
23,9024,configs/experiments/reaching_recovery/manifests/v1_final.json,24.069935378057597,0.0,23,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04245063662528992,1.1500000000000001,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22510908576457397,2.1470816135406494,36.36174392700195,0,0,0,0.0,0,nan
