step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
17,0.9,-0.6708517368390141,0.1884433478116989,0.5059400796890259,0.3100442588329315,0.15805307030677795,0.35,5,0,0,0,1.0814635753631592,3.2218968868255615,32.73196792602539,1.168922781944275,filtered,0.1930331699303315,0,1,12,workspace_x_lower,workspace_x_lower,0,0,1,solved,osqp,3.7705430833145925e-08,valid,0.1614861808621545,0.0026462962850928307
18,0.9500000000000001,-0.6875758892207435,0.21926136314868927,0.5037309527397156,0.3040318489074707,0.190157949924469,0.35,5,0,0,0,1.0314220190048218,2.427067518234253,47.96269226074219,1.131361484527588,filtered,0.2198946426389732,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,1.743378180152355e-07,valid,0.15891354749924824,0.0026881927624344826
19,1.0,-0.6893466318639003,0.2343747615814209,0.5010571479797363,0.29774588346481323,0.20670956373214722,0.35,5,0,0,0,0.9874405860900879,3.1365981101989746,40.99309539794922,1.0833123922348022,filtered,0.2331024113909352,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,1.5319683543957296e-07,valid,0.15537078802700366,0.003076965920627117
20,1.05,-0.6734939173528256,0.22335472702980042,0.49837207794189453,0.29219964146614075,0.19760429859161377,0.35,5,0,0,0,0.9520968794822693,4.148487567901611,58.337562561035156,1.0329948663711548,filtered,0.22428800739134905,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,1.1478161016098554e-07,valid,0.15160789504522915,0.0026958491653203964
21,1.1,-0.6510255110454489,0.2032364010810852,0.49586787819862366,0.2876468896865845,0.17988254129886627,0.35,5,0,0,0,0.9591991305351257,3.3087761402130127,43.50370407104492,1.015822410583496,filtered,0.1936131022399487,0,1,12,workspace_x_lower,workspace_x_lower,0,0,1,solved,osqp,7.018597825148021e-08,valid,0.14870356471331592,0.004718680866062641
22,1.1500000000000001,-0.6316776583608584,0.18719404935836792,0.49344590306282043,0.28386855125427246,0.1665826141834259,0.35,5,0,0,0,0.9736977219581604,3.3187994956970215,71.74427795410156,0.9996400475502014,filtered,0.12654672720857202,0,1,12,workspace_x_lower|joint_0_velocity_lower,workspace_x_lower,0,0,1,solved,osqp,1.861449760998113e-08,valid,0.1468882607623581,0.0027576275169849396
23,1.2000000000000002,-0.6165425960134396,0.1777205765247345,0.49099451303482056,0.28072232007980347,0.1601039469242096,0.35,5,0,0,0,1.0098637342453003,2.821021556854248,23.94194984436035,1.0167629718780518,filtered,0.05246047166813794,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,9.936634360468988e-07,valid,0.14590210518652336,0.0026540495455265045
24,1.25,-0.6270415244271403,0.2437131553888321,0.48600533604621887,0.2750583291053772,0.22900579869747162,0.35,5,0,0,0,1.024213194847107,2.7040369510650635,42.10538101196289,1.024213194847107,passthrough,1.0252851991569679e-11,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.1455824336608006,0.0027518868446350098
25,1.3,-0.6122474545944763,0.30370616912841797,0.47767001390457153,0.2671869099140167,0.2923671305179596,0.35,5,0,0,0,1.046953797340393,4.732652187347412,89.70281982421875,1.046953797340393,passthrough,9.457085006463452e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.14285041702380236,0.003257831558585167
26,1.35,-0.5802138483566912,0.3945165276527405,0.46391063928604126,0.25509101152420044,0.3874437212944031,0.35,5,0,0,0,1.0850178003311157,5.422085762023926,56.55152130126953,1.0850178003311157,passthrough,2.121589924649717e-11,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.13824970553273397,0.002754409797489643
