episode,seed,classification_after_refinement,refinement_mode,grid_levels,grid_rest_pose_count,grid_unique_solution_count,grid_raw_goal_reachable_count,grid_obstacle_free_goal_reachable_count,refinement_start_count,refinement_attempt_count,refinement_success_count,min_goal_error_before_m,min_goal_error_after_m,max_clearance_before_m,max_clearance_after_m,strict_candidate_count_after,best_q,best_error_m,best_clearance_m,rejection_counts,goal_m,obstacle_center_m
0,9006,unknown,clearance_under_goal_ball,3,731,731,731,731,16,16,10,0.0007201094604670535,0.0007201094604670535,0.11182840913534164,0.11182840913534164,0,"[0.5288038542723829,-0.8197537890084485,0.6921831003421876,-0.3240816035745968,3.465812938679448,-4.046528619269153]",0.0007201094604670535,0.11182840913534164,"{""obstacle_clearance"":16}","[0.5862905979156494,0.3789258897304535,0.3534838855266571]","[0.4327596426010132,0.5309967398643494,0.32073941826820374]"
1,9021,unknown,goal_error_minimization,3,731,731,0,0,16,16,16,0.14132320451374053,0.1413231618235095,-inf,0.5591049194335938,0,"[-0.6275464201378786,-0.6780812451633553,0.01270938585780082,-2.2533676884564127,-1.3581477766620034,0.1475866287946701]",0.1413231618235095,0.5591049194335938,{},"[0.772355318069458,-0.38114866614341736,0.7591578364372253]","[0.4974748492240906,0.43383774161338806,0.5553798675537109]"
2,9065,unknown,goal_error_minimization,3,731,731,0,0,16,16,16,0.11267853823204486,0.11267850972602629,-inf,0.3681046962738037,0,"[0.15251663587782105,-0.712551518594439,0.014585406312377288,-2.2398902859644285,-1.3385975682210918,-0.04267985254517112]",0.11267850972602629,0.3681046962738037,{},"[0.7740870118141174,0.26401883363723755,0.7673569917678833]","[0.4544951915740967,0.6175637245178223,0.38499245047569275]"
3,9095,unknown,goal_error_minimization,3,731,731,0,0,16,16,16,0.10830613028109001,0.10830613028109001,-inf,0.1512693613767624,0,"[0.2549006026712797,-0.7212694551877132,0.014033313445408773,-2.23869352967673,-1.34097832594053,0.18086667358875275]",0.10830613028109001,0.1512693613767624,{},"[0.7341984510421753,0.33874979615211487,0.771652102470398]","[0.4062981903553009,0.4781280755996704,0.5748746991157532]"
4,9098,unknown,goal_error_minimization,3,731,731,0,0,16,16,16,0.07060397228474395,0.07060397228474395,-inf,0.479705810546875,0,"[0.06143826593153328,-0.7491074302063349,0.017840995404794925,-2.2142976123116256,-1.3220360236053443,0.14400215446949005]",0.07060397228474395,0.479705810546875,{},"[0.7420070171356201,0.1850685030221939,0.7644631266593933]","[0.5418463349342346,-0.5158021450042725,0.1992618292570114]"
5,9102,unknown,clearance_under_goal_ball,3,731,731,722,722,16,16,7,0.019933366146722628,0.019933366146722628,0.10061874240636826,0.10061874240636826,0,"[-0.758175841119011,-0.6873612583309423,0.1019713154555126,-2.120764079375011,-1.1717347480882037,0.09716058522462845]",0.019933366146722628,0.10061874240636826,"{""obstacle_clearance"":16}","[0.6654176712036133,-0.43220677971839905,0.6406642198562622]","[0.5224128365516663,-0.4639163017272949,0.4093473553657532]"
6,9110,unknown,clearance_under_goal_ball,3,731,731,731,731,16,16,9,0.0006001909779535864,0.0006001909779535864,0.08457931131124496,0.08457931131124496,0,"[-0.6967997929708717,-0.7070717264088793,0.009123674918446921,0.4122053842092843,3.551095037274453,-4.015085232712463]",0.0006001909779535864,0.08457931131124496,"{""obstacle_clearance"":16}","[0.49590328335762024,-0.3717426359653473,0.5169262290000916]","[0.4280649423599243,-0.5448671579360962,0.5005154609680176]"
7,9120,unknown,goal_error_minimization,3,731,731,0,0,16,16,15,0.07517650015513842,0.07517630891526574,-inf,0.5968877673149109,0,"[0.39412421125509334,-0.6457489548656725,0.02459013002176689,-2.2295116896552742,-1.333034082401751,0.2039889097213745]",0.07517630891526574,0.5968877673149109,{},"[0.7062503099441528,0.44413116574287415,0.6843791007995605]","[0.45297232270240784,-0.5891637802124023,0.3762398660182953]"
8,9142,unknown,goal_error_minimization,3,731,731,0,0,16,16,16,0.1294221824749874,0.1294221824749874,-inf,0.44313785433769226,0,"[-0.6777402252495318,-0.674430785101006,0.010800750809849867,-2.2445798569293465,-1.3551796588086478,-0.08675983548164368]",0.1294221824749874,0.44313785433769226,{},"[0.7461806535720825,-0.41603678464889526,0.7486693859100342]","[0.2621445953845978,0.518310010433197,0.18157722055912018]"
