episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
1,57,-17.795920945546378,28.113768324255943,57,1,0,0.0,0.1522989422082901,0.4082199000475699,0.8421052631578947,0.11948661581440449,0.0,0.0,0.0,0.0,0.0007002579652846119,0.003476786410860848,0.0,0.20000000298023224
2,297,-176.2202194923866,101.33500633016229,240,0,0,0.0,0.1244184747338295,0.38553157869415977,0.85,0.08249492325126748,0.0,0.0,0.0,0.0125,-0.006784077470793293,0.002671719943949332,0.0,0.20000000298023224
3,346,-67.08656580298097,45.468901336193085,49,0,1,0.08163265306122448,0.07825908809900284,0.4459492317876037,0.8775510204081632,0.17656919725430215,0.14285714285714285,0.0,0.14285714285714285,0.12244897959183673,-0.06384458798550982,0.026723337093634263,0.0,0.20000000298023224
4,586,-108.56317478872037,71.68291502445936,240,0,0,0.0,0.14277634024620056,0.28157400094593565,0.8291666666666667,0.07365947609946787,0.0,0.0,0.0,0.0,0.005593930023636062,0.0038326578447595238,0.0,0.20000000298023224
5,826,-98.058711040651,67.71502993255854,240,0,0,0.0,0.13096444308757782,0.2723279187455773,0.7625,0.057759386642027837,0.0,0.0,0.0,0.0,0.004876743765500735,0.003476843979054441,0.0,0.20000000298023224
6,877,-65.26253001550992,36.74113789200783,51,0,1,0.0,0.12706872820854187,0.4734601133009967,0.9019607843137255,0.18497979080458798,0.058823529411764705,0.0,0.058823529411764705,0.1568627450980392,-0.018127100653699796,0.015326809065014707,0.0,0.20000000298023224
7,1117,-136.40263529469829,81.49090435728431,240,0,0,0.0,0.1261628121137619,0.3093721283910175,0.7958333333333333,0.08661924912341028,0.0,0.0,0.0,0.0,0.0005823469460201347,0.008415178473417958,0.0,0.1930503398180008
8,1357,-389.29363011498145,74.96349056437612,240,0,0,0.0,0.13020296394824982,0.2860756488904978,0.8583333333333333,0.07926626640533171,0.0,0.0,0.0,0.0,0.005621364151389918,0.004150052430729071,0.0,0.17982739210128784
9,1597,-142.729979363264,115.05804547667503,240,0,0,0.0,0.1220802292227745,0.4347013185421626,0.875,0.10692745140699113,0.0,0.0,0.0,0.0,0.001048430703430997,0.006470913051938017,0.0,0.16767439246177673
10,1837,-141.3649669783255,40.447389263659716,240,0,0,0.0,0.1416667103767395,0.15658414242013047,0.8291666666666667,0.07314080073995953,0.0,0.0,0.0,0.0,0.002011303362590755,0.004090628066721062,0.0,0.15645508468151093
11,2077,-416.54410135559624,49.03067542426288,240,0,0,0.0,0.143715500831604,0.18617988508194686,0.85,0.07775667965480622,0.0,0.0,0.0,0.0,0.004198674689678633,0.004052678972948342,0.0,0.1461072713136673
