target_capsule,target_capsule_index,sample_index,capsule_closest_index,bullet_closest_link_index,capsule_distance_m,bullet_distance_m,capsule_minus_bullet_m,capsule_violation,bullet_violation,capsule_collision,bullet_collision
shoulder,0,0,1,3,0.08744103219649108,0.09311795264425851,-0.005676920447767436,1,1,0,0
shoulder,0,1,1,3,0.19163705621272487,0.18414842121352326,0.007488634999201604,0,0,0,0
shoulder,0,2,1,3,0.048603960930959506,0.054525246735582455,-0.00592128580462295,1,1,0,0
shoulder,0,3,0,2,-0.022269282772722443,-0.026183655138520612,0.003914372365798169,1,1,1,1
shoulder,0,4,0,1,0.2374557569736192,0.303419230254632,-0.06596347328101282,0,0,0,0
shoulder,0,5,1,3,0.10160391675898978,0.09193585239625257,0.009668064362737205,1,1,0,0
shoulder,0,6,2,4,0.08114114394257577,0.08626453519349778,-0.00512339125092201,1,1,0,0
shoulder,0,7,0,1,0.10270377374192247,0.10841432266820636,-0.005710548926283893,1,1,0,0
shoulder,0,8,0,1,-0.0549055161802607,0.006600982541751399,-0.061506498722012096,1,1,1,0
shoulder,0,9,2,4,0.036212876597292915,0.0491842526163286,-0.012971376019035682,1,1,0,0
shoulder,0,10,0,1,0.05971996108557237,0.0609161666766081,-0.001196205591035726,1,1,0,0
shoulder,0,11,0,2,0.015729484616803055,0.019883431403998217,-0.004153946787195162,1,1,0,0
shoulder,0,12,0,2,0.007075050158256449,-0.0011022317044679791,0.008177281862724428,1,1,0,1
shoulder,0,13,0,2,0.032288289342031776,0.03020831293733016,0.0020799764047016167,1,1,0,0
shoulder,0,14,2,4,-0.07614901878837511,-0.0649859083510619,-0.011163110437313217,1,1,1,1
shoulder,0,15,0,2,-0.029885591682578178,-0.016194377682316408,-0.01369121400026177,1,1,1,1
shoulder,0,16,0,3,0.039176712216173706,0.03997161446506947,-0.0007949022488957652,1,1,0,0
shoulder,0,17,0,1,0.21290066386416917,0.22505328295046767,-0.0121526190862985,0,0,0,0
shoulder,0,18,1,3,-0.03479647714999033,-0.049513413966324,0.014716936816333667,1,1,1,1
shoulder,0,19,0,1,0.19726230177148374,0.19871091823869108,-0.001448616467207342,0,0,0,0
shoulder,0,20,0,1,0.0467382167007941,0.059800768600432264,-0.013062551899638161,1,1,0,0
shoulder,0,21,0,1,0.20566382525365712,0.20623834927900553,-0.0005745240253484107,0,0,0,0
shoulder,0,22,0,1,-0.04496407999899034,0.00411412974824843,-0.04907820974723877,1,1,1,0
shoulder,0,23,0,2,0.2365318866245263,0.23779994606129984,-0.0012680594367735498,0,0,0,0
shoulder,0,24,0,2,0.050986681918654006,0.06574247311688472,-0.014755791198230714,1,1,0,0
shoulder,0,25,0,2,0.09275125312678423,0.09782727601252278,-0.005076022885738551,1,1,0,0
shoulder,0,26,1,3,-0.03669042127217807,-0.030249704559026765,-0.006440716713151308,1,1,1,1
shoulder,0,27,0,1,0.16542828417915706,0.18839815942045596,-0.022969875241298898,0,0,0,0
shoulder,0,28,0,2,0.08103683855183763,0.08051571414468195,0.000521124407155682,1,1,0,0
shoulder,0,29,0,1,0.24407583656442927,0.286143454559727,-0.042067617995297735,0,0,0,0
shoulder,0,30,0,2,0.20760163718098468,0.21017108971207632,-0.0025694525310916427,0,0,0,0
shoulder,0,31,0,2,0.03738755148231711,0.04555956726633972,-0.008172015784022615,1,1,0,0
shoulder,0,32,1,3,0.09697208592011564,0.10674682332293578,-0.009774737402820144,1,1,0,0
shoulder,0,33,1,3,-0.06597491145408448,-0.06490141823742873,-0.0010734932166557437,1,1,1,1
shoulder,0,34,0,2,-0.00024889185306915806,0.011936103420412236,-0.012184995273481394,1,1,1,0
shoulder,0,35,1,3,0.027135603367281214,0.01075945404383255,0.016376149323448663,1,1,0,0
shoulder,0,36,0,1,0.12689706970467746,0.18454514938968403,-0.05764807968500657,0,0,0,0
shoulder,0,37,0,1,0.13047385378108384,0.13597705658964232,-0.005503202808558483,0,0,0,0
shoulder,0,38,0,1,0.11252569232863402,0.13646280612477107,-0.023937113796137055,1,0,0,0
shoulder,0,39,0,1,-0.0033312160593525902,0.06366340729186104,-0.06699462335121363,1,1,1,0
shoulder,0,40,0,1,0.2398936848284266,0.24198430143076216,-0.00209061660233556,0,0,0,0
shoulder,0,41,0,2,0.05112230911011602,0.06136718117825213,-0.01024487206813611,1,1,0,0
shoulder,0,42,1,3,-0.04894196192193229,-0.06037361707811847,0.011431655156186181,1,1,1,1
shoulder,0,43,0,2,-0.036422610178244066,-0.021405722941838512,-0.015016887236405554,1,1,1,1
shoulder,0,44,0,2,0.1536409646674789,0.1656163034223251,-0.011975338754846215,0,0,0,0
shoulder,0,45,0,2,0.17007248184398183,0.16769950016019203,0.002372981683789799,0,0,0,0
shoulder,0,46,0,1,-0.02309666070861459,-0.018847092083650457,-0.004249568624964131,1,1,1,1
