step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.627417878899005,0.06990469992160797,0.5154706835746765,0.4417356252670288,0.04917897284030914,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4898979663848877,9.797959327697754,195.9591827392578,0.0,0.0,0.5262052079280547,0.5154706835746765,0.010734524353378183,0.0,0.2415656341462162,0.0,0.22717355005126488,-0.22717355005126488,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,0.0,not_enabled,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2566351642715701,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,0.48989794855663565,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_0_acceleration_upper|joint_4_acceleration_upper|joint_5_acceleration_upper,workspace_z_lower,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.2566351642715701,0.9310563869230528,0|0|0|0|0|0,0.434603208|0.3429872|0.264397039|0.256635164|0.258635164|0.288328041,0.611156027|0.519540019|0.440949859|0.433187984|0.435187984|0.46488086,0.554603208|0.4629872|0.384397039|0.376635164|0.378635164|0.408328041,0|0|0|0|0|0,0|0.0824292223|0.166660768|0.176198746|0.176198746|0.157881629,0|0|0|0|0|0,1.73841283|1.45437802|1.22424893|1.2027394|1.2107394|1.31119379,optimal,0.22717354666611525,0.22717355005126486,-3.385149605072968e-09,0.541846335|-0.515802145|0.199261829,0|0|0,0.011072510969825089,0.0027746979612857103,0.0012359219836071134,0.0030091279186308384
1,0.1,-0.347721948040761,0.062494613230228424,0.493326336145401,0.4595796465873718,0.04444754868745804,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.8944272398948669,9.797959327697754,160.0,0.0,0.0,0.5154706596815218,0.493326336145401,0.022144323536120836,0.0,0.4873220679274099,0.0,0.4553592665324433,-0.4553592665324433,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2649415824471855,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,0.8944271976639178,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_5_acceleration_lower|joint_0_acceleration_upper|joint_4_acceleration_upper,workspace_x_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.2649415824471855,0.9358808647224472,3.46914508e-19|0.0839457348|0.203477626|0.267433396|0.267433396|0.24368819,0.434361984|0.34644619|0.272047501|0.264941582|0.266941582|0.295794285,0.611156027|0.523240234|0.448841545|0.441735626|0.443735626|0.472588328,0.554361984|0.46644619|0.392047501|0.384941582|0.386941582|0.415794285,0|0|0|0|0|0,3.94770359e-19|0.161072767|0.332479547|0.358324243|0.358324243|0.322656877,0|0|0|0|0|0,1.73744793|1.54685753|1.42066955|1.41809057|1.42609057|1.50583402,optimal,0.45535926313975245,0.4553592665324433,-3.3926908504788855e-09,0.541846335|-0.515802145|0.199261829,0|0|0,0.012153906980529428,0.0031265850411728024,0.001531117013655603,0.0031488799722865224
2,0.15000000000000002,-0.04295992935809528,0.05285671353340149,0.45992979407310486,0.487421452999115,0.03833674266934395,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3564660549163818,9.797959327697754,2.132480585714802e-05,0.0,0.0,0.4933263320704685,0.45992979407310486,0.03339653799736364,0.0,0.7434530647659559,0.0,0.6836485242565491,-0.6836485242565491,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2823177390587777,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,1.3564660093679803,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_5_acceleration_lower|joint_0_acceleration_upper|joint_4_acceleration_upper,workspace_x_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.2823177390587777,0.9452387654754176,0|0.161087664|0.399372006|0.540233767|0.540233767|0.495713575,0.433894089|0.353467217|0.287696985|0.282317739|0.284317739|0.311507996,0.611156027|0.530729155|0.464958923|0.459579677|0.461579677|0.488769934,0.553894089|0.473467217|0.407696985|0.402317739|0.404317739|0.431507996,0|0|0|0|0|0,0|0.229796616|0.494410674|0.553951597|0.553951597|0.503877679,0|0|0|0|0|0,1.73557635|1.64366548|1.64519861|1.68322255|1.69122255|1.74990966,optimal,0.6836485038822361,0.683648524256549,-2.0374312903470582e-08,0.541846335|-0.515802145|0.199261829,0|0|0,0.011740845046006143,0.002557660103775561,0.0012125569628551602,0.0034067219821736217
3,0.2,0.16226252566331795,0.04486943036317825,0.4210464358329773,0.5165243148803711,0.033297307789325714,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5652475357055664,5.999998569488525,183.3030548095703,0.0,0.0,0.45992980005862655,0.4210464358329773,0.03888336422564925,0.0,0.8887979289270852,0.0,0.7906071503248682,-0.7906071503248682,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.30949362303867817,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,1.5652475842498528,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_0_velocity_upper|joint_4_velocity_upper|joint_5_acceleration_upper,workspace_x_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.30949362303867817,0.9585564861634064,3.33047465e-17|0.226409742|0.578907442|0.821725395|0.821725395|0.761916887,0.433228203|0.363478042|0.311024099|0.309493623|0.311493623|0.336402525,0.611156027|0.541405866|0.488951923|0.487421447|0.489421447|0.514330349,0.553228203|0.483478042|0.431024099|0.429493623|0.431493623|0.456402525,0|0|0|0|0|0,-3.03207324e-17|0.247467314|0.563726189|0.670044737|0.670044737|0.618957216,0|0|0|0|0|0,1.73291281|1.70137948|1.80782258|1.90801923|1.91601923|1.96456731,optimal,0.7906071637888279,0.7906071503248682,1.3463959724901997e-08,0.541846335|-0.515802145|0.199261829,0|0|0,0.012309529003687203,0.0036795319756492972,0.0012628070544451475,0.0029853020096197724
4,0.25,0.21682509753603169,0.039116404950618744,0.3838481307029724,0.542796790599823,0.029686985537409782,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5779733657836914,4.0,183.30300903320312,0.0,0.0,0.4210464232161901,0.3838481307029724,0.03719829251321771,0.0,0.913138683989498,0.0,0.7658542602199878,-0.7658542602199878,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.33787632370378196,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,1.5779733841836792,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_5_acceleration_lower|joint_0_velocity_upper|joint_4_velocity_upper,workspace_x_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.33787632370378196,0.9729597085433455,0|0.243507972|0.642672394|0.973056887|0.973056887|0.913224363,0.432508041|0.374468132|0.337876324|0.342779485|0.344779485|0.367392561,0.611156027|0.553116117|0.516524309|0.521427471|0.523427471|0.546040547,0.552508041|0.494468132|0.457876324|0.462779485|0.464779485|0.487392561,0|0|0|0|0|0,0|0.223371875|0.540420408|0.690645459|0.690645459|0.649611378,0|0|0|0|0|0,1.73003217|1.7212444|1.8919257|2.0617634|2.0697634|2.11918162,optimal,0.7658542732624081,0.7658542602199878,1.3042420254905096e-08,0.541846335|-0.515802145|0.199261829,0|0|0,0.01175765204243362,0.00270322198048234,0.0012477809796109796,0.0031682539265602827
5,0.30000000000000004,0.2265201602337194,0.03474496304988861,0.3498539328575134,0.5673279762268066,0.026959765702486038,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5652475357055664,4.0,160.0,0.0,0.0,0.3838481380550164,0.3498539328575134,0.03399420519750296,0.0,0.9366680709619674,0.0,0.7171915718244498,-0.7171915718244498,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.3634884305540666,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,1.5652475842498528,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_0_velocity_upper|joint_4_velocity_upper|joint_5_acceleration_upper,workspace_z_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.3634884305540666,0.9861672048151944,5.82841022e-17|0.22361865|0.604772365|0.986271857|0.986271857|0.936762874,0.431847667|0.384390123|0.363488431|0.377010807|0.379010807|0.39984524,0.611156027|0.563698483|0.542796791|0.556319167|0.558319167|0.5791536,0.551847667|0.504390123|0.483488431|0.497010807|0.499010807|0.51984524,0|0|0|0|0|0,-4.28902653e-17|0.200038622|0.509187766|0.703753362|0.703753362|0.673725417,0|0|0|0|0|0,1.72739067|1.73759911|1.96314149|2.21179659|2.21979659|2.27310638,optimal,0.7171915840381496,0.7171915718244498,1.2213699829288771e-08,0.541846335|-0.515802145|0.199261829,0|0|0,0.011391606996767223,0.002455206005834043,0.0016443829517811537,0.0031849079532548785
6,0.35000000000000003,0.1968257309393595,0.032700326293706894,0.3200904428958893,0.5809466242790222,0.025669798254966736,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5,5.656854152679443,178.88543701171875,0.0,0.0,0.3498539181579844,0.3200904428958893,0.029763475262095107,0.0,0.9006167775101849,0.0,0.6420337713433708,-0.6420337713433708,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.38741757508448904,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,1.4999999964237214,0,0,12,joint_0_acceleration_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_5_acceleration_lower|joint_4_velocity_upper,workspace_z_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.38741757508448904,0.9982079098135553,5.82842998e-17|0.204635948|0.562269572|0.998316799|0.998316799|0.959412797,0.431245631|0.393228773|0.387417575|0.411781494|0.413781494|0.433399631,0.611156027|0.573139168|0.567327971|0.59169189|0.59369189|0.613310027,0.551245631|0.513228773|0.507417575|0.531781494|0.533781494|0.553399631,0|0|0|0|0|0,-2.95793059e-17|0.16446539|0.412789849|0.603247471|0.603247471|0.583532023,0|0|0|0|0|0,1.72498253|1.73738048|1.96246015|2.25037345|2.25837345|2.31713055,optimal,0.6420337828852032,0.6420337713433707,1.1541832489747605e-08,0.541846335|-0.515802145|0.199261829,0|0|0,0.012006064062006772,0.002626403933390975,0.0014645979972556233,0.003378392895683646
7,0.4,0.1438503885475415,0.03183169290423393,0.29516687989234924,0.5874540209770203,0.02510323002934456,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4866068363189697,5.656854152679443,0.0,0.0,0.0,0.3200904498226422,0.29516687989234924,0.024923569930292933,0.0,0.8776181946430013,0.0,0.5576221864316373,-0.5576221864316373,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.4004907189997391,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,1.486606875533739,0,0,12,joint_0_acceleration_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_5_acceleration_lower|joint_4_velocity_upper,workspace_z_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.4004907189997391,1.009117224241962,2.16825817e-19|0.184124771|0.498676888|0.956472408|0.956472408|0.923077917,0.430700166|0.400490719|0.406918785|0.441791519|0.443791519|0.462653169,0.611156027|0.58094658|0.587374646|0.622247381|0.624247381|0.64310903,0.550700166|0.520490719|0.526918785|0.561791519|0.563791519|0.582653169,0|0|0|0|0|0,-9.16455847e-20|0.136173627|0.335648558|0.511223601|0.511223601|0.49827391,0|0|0|0|0|0,1.72280066|1.7381365|1.9633237|2.27838968|2.28638968|2.34888659,optimal,0.5576221972745937,0.5576221864316373,1.0842956421619476e-08,0.541846335|-0.515802145|0.199261829,0|0|0,0.011394052999094129,0.0029914890183135867,0.0013236888917163014,0.003036877023987472
8,0.45,0.06349987207398469,0.031131185591220856,0.27607470750808716,0.5929757356643677,0.02464599721133709,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4177446365356445,5.656854152679443,160.0,0.0,0.0,0.29516689084545755,0.27607470750808716,0.019092183337370394,0.0,0.86792014672771,0.0,0.4565776508468758,-0.4565776508468758,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.40650678095458914,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,1.4177446895574575,0,0,12,joint_0_acceleration_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_upper|joint_5_acceleration_upper,workspace_z_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.40650678095458914,1.0189440561136098,0|0.168198097|0.454210687|0.929616178|0.929616178|0.899468166,0.430208824|0.406506781|0.422871082|0.467366843|0.469366843|0.48775693,0.611156027|0.587453984|0.603818285|0.648314046|0.650314046|0.668704133,0.550208824|0.526506781|0.542871082|0.587366843|0.589366843|0.60775693,0|0|0|0|0|0,0|0.114521314|0.276817945|0.429872852|0.429872852|0.420318814,0|0|0|0|0|0,1.7208353|1.74054844|1.96830227|2.29934022|2.30734022|2.37134653,optimal,0.4565776584675158,0.45657765084687574,7.62064006343266e-09,0.541846335|-0.515802145|0.199261829,0|0|0,0.011641111923381686,0.0028132660081610084,0.0012296559289097786,0.003050292027182877
9,0.5,-0.05032886781741304,0.03057541325688362,0.2641458809375763,0.5977808833122253,0.0242648683488369,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.403566837310791,5.656854152679443,0.0,0.0,0.0,0.2760747216887735,0.2641458809375763,0.011928840751197212,0.0,0.8702775300150271,0.0,0.3305623826931772,-0.3305623826931772,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17544324591290206,0.17544324591290206,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07066755032990399,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.4115881900986432,0,0,0,0,0.2566351642715701,0.0,filtered,linprog goal-velocity priority optimal,1.4035668841248217,0,0,12,joint_0_acceleration_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_upper|joint_5_acceleration_upper,workspace_z_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.4115881900986432,1.0277516075296054,8.67065064e-20|0.155177651|0.424701495|0.892751391|0.916947087|0.888414637,0.429768447|0.41158819|0.436167817|0.48894818|0.491076278|0.509115361,0.611156027|0.59297577|0.617555397|0.670335761|0.672463859|0.690502941,0.549768447|0.53158819|0.556167817|0.60894818|0.611076278|0.629115361,0|0|0|0|0|0,-6.2311828e-20|0.0986345481|0.23459566|0.354903591|0.361092877|0.351770366,0|0|0|0|0|0,1.71907379|1.74498731|1.97926693|2.31069631|2.32539799|2.38823181,optimal,0.33056238761046985,0.33056238269317734,4.917292517614413e-09,0.541846335|-0.515802145|0.199261829,0|0|0,0.011212659999728203,0.0025418329751119018,0.0012179709738120437,0.003403972019441426
