method,checkpoint_step,episodes,success_rate,collision_rate,non_end_link_collision_rate,mean_final_position_error,mean_min_distance,safety_violation_rate,mean_rms_jerk
ee_fixed,100000,300,0.16666666666666669,0.14,0.13,0.3608141386943559,0.1662461688700326,0.018251157674787827,27.2403365389506
ldrc_adaptive,40000,300,0.47,0.07,0.07,0.16607977444306016,0.15625102403806523,0.02461906837139461,58.24546980539957
ldrc_fixed,50000,300,0.43666666666666665,0.08,0.08,0.19639380792776745,0.15972942154699316,0.02844676138439105,33.10009731292725
link_fixed,100000,300,0.15,0.02,0.02,0.5031454971991479,0.22345704347205658,0.006170771756978654,19.723949165344237
