episodes,mean_reward,success_rate,collision_rate,safety_violation_rate,mean_final_position_error,mean_min_distance,step,checkpoint,validation_csv,selected,selection_metric,validation_seed
20.0,-110.86826372793603,0.05,0.35,0.06928835697399527,0.423136174865067,0.11208991705207154,5000,outputs/p3_geometry_fix/b4_seed4102_20k/geometry_fix_seed4102_20k/actor_step_5000.pt,outputs/p3_geometry_fix/b4_seed4102_20k/geometry_fix_seed4102_20k/checkpoint_selection/step_5000_seed_6201_episodes_20.csv,0,mean_reward,6201
20.0,-96.57435577438676,0.25,0.2,0.07033128506545552,0.3016281858086586,0.12173284184391378,10000,outputs/p3_geometry_fix/b4_seed4102_20k/geometry_fix_seed4102_20k/actor_step_10000.pt,outputs/p3_geometry_fix/b4_seed4102_20k/geometry_fix_seed4102_20k/checkpoint_selection/step_10000_seed_6201_episodes_20.csv,0,mean_reward,6201
20.0,-100.05446512067803,0.1,0.15,0.05886241007194244,0.3513009322807193,0.13542038889136165,15000,outputs/p3_geometry_fix/b4_seed4102_20k/geometry_fix_seed4102_20k/actor_step_15000.pt,outputs/p3_geometry_fix/b4_seed4102_20k/geometry_fix_seed4102_20k/checkpoint_selection/step_15000_seed_6201_episodes_20.csv,0,mean_reward,6201
20.0,-94.04439431317242,0.2,0.15,0.06205144915911339,0.27568457685410974,0.11824069297872483,20000,outputs/p3_geometry_fix/b4_seed4102_20k/geometry_fix_seed4102_20k/actor_step_20000.pt,outputs/p3_geometry_fix/b4_seed4102_20k/geometry_fix_seed4102_20k/checkpoint_selection/step_20000_seed_6201_episodes_20.csv,1,mean_reward,6201
