episode,step,reset_seed,reset_source,reset_jitter_seed,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,residual_control_enabled,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha
27,240835,,default,,22.835229087816277,1.5525322146713734,19,1,0,0,0,0,0,,0.0,0.2396450638771057,0.08171222182480913,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
28,240848,,default,,25.344434170988528,0.4880613945424557,13,1,0,0,0,0,0,,0.0,0.4426237642765045,0.037543184195573516,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
29,240859,,default,,21.11128117605669,2.294072598218918,11,1,0,0,0,0,0,,0.0,0.1695752739906311,0.208552054383538,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
30,240868,,default,,24.19681865513063,0.3008633553981781,9,1,0,0,0,0,0,,0.0,0.5234326124191284,0.03342926171090868,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
31,240879,,default,,22.81920385118385,2.4826294481754303,11,1,0,0,0,0,0,,0.0,0.33536773920059204,0.2256935861977664,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
32,241119,,default,,-862.6935597005986,856.4683091938496,240,0,0,0,0,0,0,,0.925,0.06163226440548897,0.7936179549743732,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
33,241136,,default,,21.86458864047027,1.8312986567616463,17,1,0,0,0,0,0,,0.0,0.4634024202823639,0.10772345039774389,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
34,241154,,default,,24.340386421565896,0.821913106366992,18,1,0,0,0,0,0,,0.0,0.30058515071868896,0.04566183924261066,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
35,241185,,default,,22.24483342349975,2.5224219746887684,31,1,0,0,0,0,0,,0.0,0.5060516595840454,0.08136845079641189,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
36,241213,,default,,23.61023245547442,1.583635039627552,28,1,0,0,0,0,0,,0.0,0.253873348236084,0.05655839427241257,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
37,241228,,default,,22.081011009648652,1.1437747925519943,15,1,0,0,0,0,0,,0.0,0.4432464838027954,0.07625165283679962,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
38,241468,,default,,-10.741768645218796,9.162574164569378,240,0,0,0,0,0,0,,0.0,0.24122805893421173,0.038177392352372407,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
39,241708,,default,,-18.734386749232115,13.694490341469646,240,0,0,0,0,0,0,,0.0,0.25125640630722046,0.05706037642279019,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
40,241724,,default,,24.801470873072308,1.1852404326200485,16,1,0,0,0,0,0,,0.0,0.3774822950363159,0.07407752703875303,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
41,241964,,default,,-115.3209480106909,100.7721433788538,240,0,0,0,0,0,0,,0.0,0.12550806999206543,0.4198839307452242,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
