episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-43.0189020422232,22.87770201265812,31,0,1,1,0.6026604175567627,1.55,0.12239230424165726,0.4093614826279302,0.8324995040893555,0,0.0,0.4838709677419355,0.04122620311201868,0.0,0.0,0.0,0.0,1.0,0.16129032258064516,-0.03370685734925449,0.007249237789261726,0.16824014591533812,1.7438591718673706,36.44424819946289,1,0,12,0.6000000000000001,0,0.17982698809210984
1,8.20233237123919,11.855445444583893,79,1,0,0,0.05405959114432335,3.95,0.24073287844657898,0.14413781690446636,0.3604673743247986,0,0.0,0.6708860759493671,0.0033125801363788647,0.0,0.0,0.0,0.0,1.0,0.0,0.12073289739375676,0.0026614745206470732,0.15826769026963017,1.4514464139938354,36.549495697021484,0,0,0,0.0,0,0.3349211296494325
2,-61.82531498714668,57.426677560433745,199,1,0,0,0.050968751311302185,9.950000000000001,0.15016283094882965,0.2700456425304239,0.603985607624054,0,0.0,0.6683417085427136,0.04262713972893279,0.0,0.0,0.0,0.0,1.0,0.0,0.010849917909379975,0.002527614119439269,0.14305791596006884,1.39644455909729,24.059423446655273,1,1,35,1.75,0,0.3742032056197631
3,-84.41217909070012,45.42945822700858,207,1,0,0,0.054845597594976425,10.350000000000001,0.1735168844461441,0.20885121804360607,0.4261760115623474,0,0.0,0.6666666666666666,0.06893601708301862,0.0,0.0,0.0,0.0,0.9806763285024155,0.0,0.04992511845421638,0.002437944744448155,0.10674972483856775,1.1102792024612427,27.82830238342285,1,1,25,1.25,0,0.32575478139998054
4,-8.038437794557701,23.03665054216981,124,1,0,0,0.0434361957013607,6.2,0.20769797265529633,0.1777376790320681,0.3657366931438446,0,0.0,0.5967741935483871,0.03815880398143185,0.0,0.0,0.0,0.0,1.0,0.0,0.08769796448533801,0.002485532253499954,0.12442296551870963,1.245059609413147,29.28987693786621,0,0,0,0.0,0,0.22516844678474057
5,3.6528948683047346,17.375291913747787,78,1,0,0,0.05001828819513321,3.9000000000000004,0.18239323794841766,0.2193531436033738,0.49000582098960876,0,0.0,0.7307692307692307,0.02675252742429478,0.0,0.0,0.0,0.0,0.9102564102564102,0.0,0.06414159498139005,0.002450804811162062,0.1648088336850588,1.5477657318115234,43.256649017333984,0,0,0,0.0,0,0.3232163606644369
6,-56.01294503763726,41.00136025622487,240,0,0,0,0.23844310641288757,12.0,0.178947314620018,0.16270253985809782,0.537740170955658,0,0.0,0.6375,0.010010600610405922,0.0,0.0,0.0,0.0,1.0,0.0,0.058947321998808394,0.0024740735922629633,0.1843817112967372,1.633721113204956,42.83821487426758,1,1,3,0.15000000000000002,0,0.3048025798878746
7,-25.897887194328064,21.596915202215314,240,0,0,0,0.0914040058851242,12.0,0.2649856507778168,0.08682382005111625,0.23115459084510803,0,0.0,0.36666666666666664,0.0013431791100108636,0.0,0.0,0.0,0.0,1.0,0.0,0.12261504769370729,0.0024827791455512243,0.059574138807753724,0.6611564755439758,12.080914497375488,0,0,0,0.0,0,0.13142441404502275
8,-68.55447320288046,46.33302906155586,43,0,1,1,0.6423367261886597,2.15,0.10414401441812515,0.4816676679738732,0.8312190175056458,5,0.11627906976744186,0.9767441860465116,0.1665756027035743,0.0,0.0,0.0,0.0,0.9534883720930233,0.23255813953488372,-0.051669737980353014,0.0021647225069098695,0.13983889600142924,1.5056636333465576,25.143835067749023,1,0,19,0.9500000000000001,0,0.28059331109311925
9,18.499054439524635,3.949770849198103,58,1,0,0,0.0513780377805233,2.9000000000000004,0.3900003433227539,0.06546221570721988,0.12926369905471802,0,0.0,0.7758620689655172,0.0005231637236157052,0.0,0.0,0.0,0.0,1.0,0.0,0.2574601620543315,0.002431507431099127,0.0626169787559273,0.750855565071106,20.775774002075195,0,0,0,0.0,0,0.39002211866547987
