episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s
0,-9.369682731595287,22.961596984416246,104,1,0,0,0.04549242928624153,5.2,0.17962299287319183,0.2082863917860847,0.527340292930603,0,0.0,0.7019230769230769,0.01857720114694367,0.0,0.0,0.0,0.0,0.9519230769230769,0.0,0.059623005810921365,0.003970946731547324,0.16273646302019748,1.546427845954895,43.291717529296875,0,0,0,0.0
1,-132.85510668538438,106.13472821377218,240,0,0,0,0.10615609586238861,12.0,0.10768414288759232,0.23054712284356355,0.8236483931541443,16,0.06666666666666667,0.8708333333333333,0.11208993280552373,0.0,0.0,0.0,0.0,0.9541666666666667,0.08333333333333333,-0.028705779394702036,0.002577177784405649,0.11474329677099983,1.1286393404006958,26.10208511352539,1,1,23,1.1500000000000001
2,-129.54062422218152,78.41462361067533,183,1,0,0,0.051234494894742966,9.15,0.1215733140707016,0.40650504756250666,0.7717970609664917,0,0.0,0.4644808743169399,0.03383093541813468,0.0,0.0,0.0,0.0,0.994535519125683,0.06557377049180328,-0.004752223539942757,0.0027238758423370744,0.06040161545006711,0.7429075837135315,17.02014923095703,1,1,28,1.4000000000000001
3,-26.355298444111664,23.59660806506872,65,0,1,1,0.1872963160276413,3.25,0.15441147983074188,0.2205227974515695,0.625352144241333,0,0.0,0.6307692307692307,0.011791079448652932,0.0,0.0,0.0,0.0,1.0,0.0,0.021464206267721775,0.0027989157260610506,0.1314611407999809,1.24184250831604,19.704641342163086,0,0,0,0.0
4,-321.0310394231288,266.5811700671911,240,0,0,0,0.19165359437465668,12.0,0.08603978902101517,0.3930437626239533,0.8403152823448181,56,0.23333333333333334,0.5916666666666667,0.05805283206735249,0.0,0.0,0.0,0.0,0.9916666666666667,0.30416666666666664,-0.08083050129519113,0.002620458335150033,0.10714564299438886,1.1169034242630005,20.0498104095459,1,1,79,3.95
5,-80.84030211428748,56.27624793164432,240,0,0,0,0.17683638632297516,12.0,0.12564034759998322,0.22115778122873356,0.7717168927192688,0,0.0,0.6083333333333333,0.029371096598487665,0.0,0.0,0.0,0.0,0.9958333333333333,0.004166666666666667,-0.0012497499983238347,0.0026228540654604634,0.12022270376328378,1.2259589433670044,26.110157012939453,1,1,5,0.25
6,-39.47956177480951,31.296602902933955,240,0,0,0,0.1382041573524475,12.0,0.20777873694896698,0.12656334990945955,0.4180130958557129,0,0.0,0.5416666666666666,0.002731692956667638,0.0,0.0,0.0,0.0,1.0,0.0,0.08777872905434114,0.002666044165380299,0.11083583997872969,1.1217924356460571,20.07524299621582,0,0,0,0.0
7,15.699890804729751,5.1805959939956665,38,1,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.17551845085158835,0.002635472944300426,0.15483619223691916,1.5082629919052124,22.353239059448242,0,0,0,0.0
8,-9.329922400598036,18.55834025144577,121,1,0,0,0.053349193185567856,6.050000000000001,0.1921791285276413,0.14574352965867224,0.5374684929847717,0,0.0,0.7024793388429752,0.05160756066123268,0.0,0.0,0.0,0.0,0.9752066115702479,0.0,0.07217912840259089,0.0025031782055566134,0.15279531541996258,1.4235174655914307,25.1689510345459,0,0,0,0.0
9,-202.19715621621023,152.01350888237357,240,0,0,0,0.329131543636322,12.0,0.10988833755254745,0.2847865746201326,0.813654363155365,27,0.1125,0.85,0.12069360019883547,0.0,0.0,0.0,0.0,0.95,0.15416666666666667,-0.02439962183444694,0.002543752120497326,0.06677707633837902,0.7637724876403809,12.698089599609375,1,1,43,2.15
