episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,20.66047645411248,4.043411090970039,15,1,0,0,0.04891600459814072,0.75,0.2518841028213501,0.20340643723805746,0.3398333489894867,0,0.0,0.7333333333333333,0.02040315331631161,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.08545504286754657,0.0149693313986063,0.20500514109929402,1.8688852787017822,31.77582550048828,0,0,0,0.0,0,0.1314390512963982
1,-35.97644206216991,20.406710505485535,34,0,1,1,0.4664454162120819,1.7000000000000002,0.1566053181886673,0.32014357101391344,0.5455557107925415,0,0.0,0.9705882352941176,0.09263203737646653,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010706244478774607,0.0032090858337195482,0.16554751467671902,1.6109696626663208,30.107439041137695,1,0,9,0.45,0,0.17071146228507839
2,21.224956038191042,3.288261294364929,14,1,0,0,0.044513095170259476,0.7000000000000001,0.2580484449863434,0.20706664770841599,0.2633821666240692,0,0.0,0.7142857142857143,0.006653954092286014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12342560738055852,0.002587124239653349,0.24532400178057806,2.126004695892334,40.451454162597656,0,0,0,0.0,0,0.19612204921191967
3,-7.227513069713449,18.01008778437972,90,1,0,0,0.05374806746840477,4.5,0.17844443023204803,0.19696082315511174,0.4966048002243042,0,0.0,0.7222222222222222,0.045275842147303035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05844441946656559,0.0031787873038815126,0.1244432567515307,1.2607309818267822,21.293256759643555,1,1,3,0.15000000000000002,0,0.4603417842357055
4,21.488846562695688,1.3545858785510063,18,1,0,0,0.045286234468221664,0.9,0.4509490132331848,0.07144858336283101,0.07806194573640823,0,0.0,0.7222222222222222,0.0012533427848304324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.31257573444260517,0.0033901631832122803,0.09095409067554606,1.0232899188995361,21.520477294921875,0,0,0,0.0,0,0.3961075776118016
5,7.677827825678849,12.7212473154068,91,1,0,0,0.05413644760847092,4.55,0.2738366425037384,0.12488879648211239,0.2360876202583313,0,0.0,0.7802197802197802,0.06172947670822501,0.0,0.0,0.0,0.0,0.989010989010989,0.0,0.0,0.13609428185338174,0.0030132804045474135,0.09484503191005397,1.0072546005249023,21.87559700012207,0,0,0,0.0,0,0.2225286958962025
6,-23.110078228398926,31.99496827274561,144,1,0,0,0.05118586868047714,7.2,0.1424308568239212,0.2091924516328921,0.5963343381881714,0,0.0,0.9513888888888888,0.17365185457677362,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.020338667376388092,0.0032814903275316786,0.09413926801830207,1.0249195098876953,17.588031768798828,1,1,26,1.3,0,0.44295069603078663
7,-133.4206257641396,64.77435375750065,240,0,0,0,0.15422163903713226,12.0,0.13343967497348785,0.24016463276930153,0.6965113282203674,0,0.0,0.7416666666666667,0.08761799200122229,0.0,0.0,0.0,0.029166666666666667,0.9791666666666666,0.0,0.05416666666666667,-0.009202036003158554,0.008068218726354342,0.09920992512779776,1.114832878112793,21.952030181884766,1,1,89,4.45,0,0.034560998684529665
8,-19.51186301734887,33.576380863785744,134,1,0,0,0.04565747082233429,6.7,0.17874448001384735,0.23985457096471272,0.557226300239563,0,0.0,0.7014925373134329,0.037437013553749815,0.0,0.0,0.0,0.0,0.9925373134328358,0.0,0.0,0.036946187957615534,0.0030203523225526313,0.16657028933848017,1.686818242073059,32.677730560302734,1,1,20,1.0,0,0.04315730032371931
9,-17.816445464041745,33.38509480655193,142,1,0,0,0.05138285458087921,7.1000000000000005,0.13204379379749298,0.21125180955031808,0.6918404698371887,0,0.0,0.8309859154929577,0.11102461832157491,0.0,0.0,0.0,0.0,0.9647887323943662,0.0,0.0,0.010312717980996144,0.002606434183536281,0.11893195307544682,1.2315341234207153,19.630455017089844,1,1,25,1.25,0,0.1571244098332938
10,-60.61611491455845,45.29183671064675,240,0,0,0,0.11001312732696533,12.0,0.1881515383720398,0.18227098446028928,0.3799566328525543,0,0.0,0.7,0.039399126380139426,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06815154103721649,0.0023800314869731666,0.09717243297103172,1.0590277910232544,24.088211059570312,0,0,0,0.0,0,0.3721691945654955
