episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-10.076821854307163,23.559651661664248,104,1,0,0,0,0,0.04932224005460739,5.2,0.17476427555084229,0.21372330421581864,0.5203272700309753,0,0.0,0.7980769230769231,0.02724193477079822,0.009615384615384616,0.0,0.0,0.0,0.9711538461538461,0.0,0.009615384615384616,0.0,0.024764289672557477,0.006528611151644817,0.16410170681774616,0.001533326397363383,0.0013829053451235478,0.0035789206785221514,0.17301000654697418,1.6316739320755005,44.887542724609375,0,0,0,0.0,0,0.2916331528559626
1,-154.951756433035,129.30172524414957,240,0,0,0,0,0,0.0840877890586853,12.0,0.03104051947593689,0.2491165928542614,0.8820194005966187,22,0.09166666666666666,0.8833333333333333,0.1742016112064921,0.1125,0.10833333333333334,0.0,0.004166666666666667,0.8375,0.0,0.004166666666666667,0.12083333333333333,-0.11916592221209102,0.005968223628588021,0.2058661375194788,0.0015174114339364072,0.0014787865880255898,0.0029368589050136505,0.13363000627141447,1.4801002740859985,34.72018051147461,0,0,0,0.0,0,0.3047030231450615
2,-83.99740837652082,44.96557309664786,240,0,0,0,0,0,0.14868080615997314,12.0,0.15163923799991608,0.17824971194689473,0.4942646622657776,0,0.0,0.7458333333333333,0.08266356906975521,0.0,0.0,0.0,0.0,0.9541666666666667,0.0,0.0,0.0,0.0016392135806956587,0.004792070544014374,0.006832794286310673,0.00140640070506682,0.0013578322948887944,0.0019945914895894627,0.07157708440208807,0.7465694546699524,13.410422325134277,0,0,0,0.0,0,0.24538409873694078
3,-29.965094781364787,26.543194971978664,72,0,1,0,1,1,0.19137144088745117,3.6,0.14813773334026337,0.2352024175019728,0.6620624661445618,0,0.0,0.6666666666666666,0.08524438575046822,0.05555555555555555,0.05555555555555555,0.0,0.0,0.9444444444444444,0.0,0.0,0.041666666666666664,-0.013279476205464685,0.004775660021954941,0.006044759415090084,0.0014178163837641478,0.001356387627311051,0.001968325930647552,0.1303047792106453,1.5700052976608276,35.44913864135742,0,0,0,0.0,0,0.28083133537673555
4,-54.270141067152466,47.83758723735809,15,0,1,1,1,0,0.3845520317554474,0.75,-0.005663663614541292,0.8119801918665568,0.8910155892372131,9,0.6,1.0,0.521125548945337,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,-0.17573576491468365,0.00527152419090271,0.0062174489721655846,0.0015781878183285395,0.0015470041582981745,0.0021106646085778872,0.0,0.0,0.0,0,0,0,0.0,0,0.023472516192373727
5,-50.409243104974536,50.932746687904,215,1,0,0,0,0,0.04797917604446411,10.75,0.15746955573558807,0.22153767904396668,0.5036180019378662,0,0.0,0.6790697674418604,0.03964203151154819,0.0,0.0,0.0,0.0,0.9627906976744186,0.0,0.0,0.0,0.006050430839007331,0.004355502592096495,0.008739916607737541,0.001246670841477638,0.0012302837616135908,0.0018493655332645705,0.15175645131357882,1.4664990901947021,33.87607192993164,0,0,0,0.0,0,0.1379185754434844
6,-39.47956177480951,31.296602902933955,240,0,0,0,0,0,0.1382041573524475,12.0,0.20777873694896698,0.12656334990945955,0.4180130958557129,0,0.0,0.5416666666666666,0.002731692956667638,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.057778729054341144,0.0049780816305428745,0.010664494708180428,0.0014881805439169208,0.0014205247862264514,0.0020340389339253305,0.11083583997872969,1.1217924356460571,20.07524299621582,0,0,0,0.0,0,0.33998702341413856
7,15.699890804729751,5.1805959939956665,38,1,0,0,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14551845085158832,0.005078142557881381,0.007977998815476894,0.0015502748765835637,0.0014356166663530626,0.00205615003544249,0.15483619223691916,1.5082629919052124,22.353239059448242,0,0,0,0.0,0,0.2195994027006951
8,-9.008580188808782,18.31668341718614,121,1,0,0,0,0,0.05261353403329849,6.050000000000001,0.1980666071176529,0.14374821717766198,0.515833854675293,0,0.0,0.7272727272727273,0.050811960603133435,0.0,0.0,0.0,0.0,0.9752066115702479,0.0,0.0,0.0,0.048066622902383754,0.0049103848359062655,0.006082187406718731,0.0014541946536253307,0.0013960941102017057,0.002026116975760164,0.15543917475714664,1.4455922842025757,25.420873641967773,0,0,0,0.0,0,0.2876768869986992
9,-141.05036059902815,119.4471431709826,129,0,1,1,1,1,0.1964719295501709,6.45,-0.0013324340106919408,0.33387997651169465,0.8347651958465576,22,0.17054263565891473,0.9069767441860465,0.24615240117046383,0.24031007751937986,0.24031007751937986,0.0,0.0,0.7054263565891473,0.0,0.0,0.23255813953488372,-0.16126924535904016,0.00415125798953827,0.006863608956336975,0.0012135978990284971,0.0011696922267938768,0.0017386681378580803,0.06335580387232147,1.0475834608078003,25.097370147705078,0,0,0,0.0,0,0.08561910235296297
