episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s
0,-9.369682731595287,22.961596984416246,104,1,0,0,0.04549242928624153,5.2,0.17962299287319183,0.2082863917860847,0.527340292930603,0,0.0,0.7019230769230769,0.01857720114694367,0.0,0.0,0.0,0.0,0.9519230769230769,0.0,0.059623005810921365,0.004675552087764327,0.16273646302019748,1.546427845954895,43.291717529296875,0,0,0,0.0
1,-132.254597665988,105.4564529787749,240,0,0,0,0.11668360978364944,12.0,0.10770217329263687,0.22780415324183803,0.8238169550895691,16,0.06666666666666667,0.8666666666666667,0.11808440894217291,0.0,0.0,0.0,0.0,0.9541666666666667,0.08333333333333333,-0.028381686770085124,0.002497440006118268,0.11492881261510775,1.124031901359558,25.99049186706543,1,1,22,1.1
2,-124.37039504249098,75.19313763827085,182,1,0,0,0.04450774937868118,9.1,0.1264026015996933,0.3918998367920682,0.7600875496864319,0,0.0,0.4725274725274725,0.03550445356821939,0.0,0.0,0.0,0.0,1.0,0.03296703296703297,-0.004451217819406578,0.0024450686811418325,0.0628641640209685,0.7707539796829224,16.799468994140625,1,1,18,0.9
3,-26.355298444111664,23.59660806506872,65,0,1,1,0.1872963160276413,3.25,0.15441147983074188,0.2205227974515695,0.625352144241333,0,0.0,0.6307692307692307,0.011791079448652932,0.0,0.0,0.0,0.0,1.0,0.0,0.021464206267721775,0.002645260983934769,0.1314611407999809,1.24184250831604,19.704641342163086,0,0,0,0.0
4,-252.95820258254162,201.9742188230157,240,0,0,0,0.18336208164691925,12.0,0.08698945492506027,0.3699959485636403,0.8381754755973816,36,0.15,0.6208333333333333,0.043664502365536935,0.0,0.0,0.0,0.0,0.9916666666666667,0.26666666666666666,-0.07826579524920076,0.0025960312923416495,0.11238813109957846,1.1655844449996948,21.50642204284668,1,1,70,3.5
5,-80.0153185531824,55.89686508662999,240,0,0,0,0.17535991966724396,12.0,0.12564034759998322,0.21958783980614197,0.7717168927192688,0,0.0,0.625,0.028356321375320057,0.0,0.0,0.0,0.0,0.9875,0.004166666666666667,-0.0012497499983238347,0.0026853374283139905,0.13076561878357704,1.3160172700881958,31.675304412841797,1,1,5,0.25
6,-39.47956177480951,31.296602902933955,240,0,0,0,0.1382041573524475,12.0,0.20777873694896698,0.12656334990945955,0.4180130958557129,0,0.0,0.5416666666666666,0.002731692956667638,0.0,0.0,0.0,0.0,1.0,0.0,0.08777872905434114,0.002621239187040677,0.11083583997872969,1.1217924356460571,20.07524299621582,0,0,0,0.0
7,15.699890804729751,5.1805959939956665,38,1,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.17551845085158835,0.00264517997244471,0.15483619223691916,1.5082629919052124,22.353239059448242,0,0,0,0.0
8,-9.329922400598036,18.55834025144577,121,1,0,0,0.053349193185567856,6.050000000000001,0.1921791285276413,0.14574352965867224,0.5374684929847717,0,0.0,0.7024793388429752,0.05160756066123268,0.0,0.0,0.0,0.0,0.9752066115702479,0.0,0.07217912840259089,0.0025889215806175854,0.15279531541996258,1.4235174655914307,25.1689510345459,0,0,0,0.0
9,-162.80492314743105,112.23775945231318,240,0,0,0,0.3300613462924957,12.0,0.11031568795442581,0.2676728023060908,0.8143253326416016,15,0.0625,0.85,0.12826530877401898,0.0,0.0,0.0,0.0,0.9625,0.11666666666666667,-0.024286407488952944,0.002653523969153563,0.06755760252611556,0.7723966836929321,12.848511695861816,1,1,38,1.9000000000000001
10,-123.14596892312767,122.96649868227541,192,1,0,0,0.05403480306267738,9.600000000000001,0.10165595263242722,0.2967911096736013,0.8400778770446777,21,0.109375,0.75,0.08207990724410354,0.0,0.0,0.0,0.0,0.984375,0.13541666666666666,-0.050189251299948834,0.002685282709232221,0.1273947769368533,1.3185161352157593,23.936241149902344,1,1,30,1.5
11,8.48536767877459,9.59589870274067,57,1,0,0,0.053704164922237396,2.85,0.26984450221061707,0.15454161402426267,0.2507801353931427,0,0.0,0.5263157894736842,0.006779172360663458,0.0,0.0,0.0,0.0,1.0,0.0,0.1451091593705427,0.0025898186457261703,0.18681762387093745,1.7093874216079712,47.340248107910156,0,0,0,0.0
12,-19.30436034427946,26.495080621913075,121,1,0,0,0.050805944949388504,6.050000000000001,0.17074452340602875,0.20769722034677493,0.47864338755607605,0,0.0,0.47107438016528924,0.018210758656429495,0.0,0.0,0.0,0.0,0.9752066115702479,0.0,0.05074449309544993,0.0026940920213160435,0.12850482782256628,1.2953516244888306,31.96805763244629,0,0,0,0.0
13,-5.615999480236226,25.74832423776388,106,1,0,0,0.044549550861120224,5.300000000000001,0.1748921424150467,0.23840416981926504,0.3705419600009918,0,0.0,0.33962264150943394,0.005568309307726186,0.0,0.0,0.0,0.0,1.0,0.0,0.054892155316679625,0.0026230223933761975,0.08588942658718464,0.8655270934104919,14.973380088806152,0,0,0,0.0
14,-74.6066567746447,45.45095998980105,240,0,0,0,0.2215682566165924,12.0,0.12950946390628815,0.18134863089459638,0.7007087469100952,0,0.0,0.7166666666666667,0.06841751619075315,0.0,0.0,0.0,0.0,0.95,0.0,0.007177703865896196,0.002612733324834456,0.09196333604631945,0.9122833609580994,16.209829330444336,0,0,0,0.0
15,-55.674125725442195,38.55062337592244,240,0,0,0,0.21291948854923248,12.0,0.18678788840770721,0.15318324288042884,0.4205440878868103,0,0.0,0.5958333333333333,0.010019465568175132,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.054053860494395395,0.0025350140407681466,0.17677991508195798,1.6484686136245728,49.89393615722656,0,0,0,0.0
16,2.085803153360896,11.621023843064904,113,1,0,0,0.04783140867948532,5.65,0.269578218460083,0.10049154655595796,0.2801842987537384,0,0.0,0.8407079646017699,0.08113250665990733,0.0,0.0,0.0,0.0,1.0,0.0,0.1495782332402975,0.00261437014338717,0.1221157314041547,1.2940245866775513,21.296451568603516,0,0,0,0.0
17,-43.32455103742895,48.332993272691965,238,1,0,0,0.05472126975655556,11.9,0.13933372497558594,0.19561476849739542,0.6081780791282654,0,0.0,0.5252100840336135,0.03938217660338788,0.0,0.0,0.0,0.0,0.9915966386554622,0.0,0.019333708675586758,0.0028171336098315835,0.09954752460779513,1.0041141510009766,24.992786407470703,0,0,0,0.0
18,18.20083685334602,4.504540823400021,28,1,0,0,0.04899313300848007,1.4000000000000001,0.29284167289733887,0.149904410221747,0.20893460512161255,0,0.0,0.7142857142857143,0.014111247954155777,0.0,0.0,0.0,0.0,1.0,0.0,0.16592716548099623,0.0028295432150896105,0.19778480247727462,1.8001359701156616,28.215396881103516,0,0,0,0.0
19,-92.46546841229852,52.08199477568269,240,0,0,0,0.43390002846717834,12.0,0.13763608038425446,0.20984183587133884,0.5755987167358398,0,0.0,0.5208333333333334,0.03154072044497888,0.0,0.0,0.0,0.0,0.9875,0.0,0.01763608702474856,0.0022517852291154363,0.10257184520208587,1.1318089962005615,33.34960174560547,0,0,0,0.0
