step,total_steps,episode,reset_seed,reset_source,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,lambda,alpha,loss_actor,loss_actor_anchor,loss_reward_q,loss_cost_q,replay_size
520500,720000,10,1656004671,random,122,-0.5634026104673183,0.04715324565768242,-72.78505071167798,29.133112117648125,0.04715324565768242,0.4718364477157593,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,500
521000,720000,21,9100,focused,2,-0.15145076723627546,0.14852599799633026,-0.3333219319487638,0.21691808849573135,0.14852599799633026,0.5533061623573303,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,1000
521500,720000,27,1402353658,random,33,0.259474237153033,0.02186427265405655,1.3314097466691566,1.3639839198440313,0.02186427265405655,0.6334818601608276,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,1500
522000,720000,41,9161,focused,81,-0.3056548474172026,0.03985269367694855,-3.451341357986716,2.602918678894639,0.03985269367694855,0.5950819849967957,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,2000
522500,720000,49,624860541,random,4,0.25962021746849784,0.03224044293165207,0.172602924970769,0.15573635324835777,0.03224044293165207,0.5236382484436035,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,2500
523000,720000,68,694905621,random,138,-0.38083705972095067,0.17183716595172882,-51.08316923128413,26.69753985852003,0.17183716595172882,0.25907912850379944,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,3000
523500,720000,75,9091,focused,49,-0.4302774300743031,0.07289094477891922,-6.127772235181077,4.204358544200659,0.07289094477891922,0.3997890055179596,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,3500
524000,720000,80,558110416,random,30,-0.8263056056984956,0.33976566791534424,-22.48630717023549,10.172291204333305,0.33976566791534424,0.17175689339637756,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,4000
524500,720000,82,9091,focused,50,-0.04830203468235622,0.0889495238661766,-6.262632146719611,4.459771849215031,0.0889495238661766,0.399207204580307,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,4500
525000,720000,91,9024,focused,185,-0.11848547675817488,0.044136710464954376,-34.50207741418387,9.921786785125732,0.044136710464954376,0.5854752063751221,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,5000
525500,720000,109,1861691285,random,202,-0.3483781562049879,0.0829620510339737,-49.58747036236853,17.29111349955201,0.0829620510339737,0.3593662977218628,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,5500
526000,720000,120,1053570255,random,63,-0.4853661165961492,0.07526827603578568,-43.37714520066029,13.345977123826742,0.07526827603578568,0.4011753499507904,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,6000
526500,720000,125,563520870,random,34,0.08013637178198635,0.06744176894426346,1.0423391606031844,1.3806942366063595,0.06744176894426346,0.617140531539917,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,6500
527000,720000,139,9140,focused,1,-0.34654176236313816,0.08181048184633255,-0.34654176236313816,0.08181048184633255,0.08181048184633255,0.39139968156814575,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,7000
527500,720000,146,26382858,random,147,-0.3949283592398144,0.06531253457069397,-69.81092755370791,16.756456077098846,0.06531253457069397,0.4185623228549957,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,7500
528000,720000,154,9091,focused,55,-0.13398328347178862,0.06331817060709,-7.939069360412649,4.8224027417600155,0.06331817060709,0.40025749802589417,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,8000
528500,720000,163,1315848298,random,8,0.4960626941305707,0.12805965542793274,1.1336662647819664,1.122876025736332,0.12805965542793274,0.35998108983039856,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,8500
529000,720000,180,9024,focused,131,-0.18594544245198627,0.02491042949259281,-24.48397958816982,7.759822124615312,0.02491042949259281,0.5897514820098877,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,9000
529500,720000,190,9058,focused,3,0.047570313777955286,0.053849127143621445,-0.6943230113157728,0.175340685993433,0.053849127143621445,0.4263935387134552,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,9500
530000,720000,196,9091,focused,191,-0.21244986454455764,0.09554806351661682,-33.899478266698935,16.028577581048012,0.09554806351661682,0.35476961731910706,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,10000
530500,720000,203,104773954,random,78,-0.11620328792970366,0.13383617997169495,-16.583514249584,10.427070580422878,0.13383617997169495,0.31058767437934875,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,10500
531000,720000,209,2067654416,random,74,-0.8787001110786266,0.46360862255096436,-72.12066731611064,38.6640352755785,0.46360862255096436,0.14533279836177826,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,11000
531500,720000,215,372739197,random,11,0.2688403733094684,0.1821531355381012,-1.5413522936157438,1.7713028118014336,0.1821531355381012,0.3392411172389984,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,11500
532000,720000,228,874063872,random,7,-0.03337109396007809,0.1492319405078888,-1.2702911119978988,0.9747491106390953,0.1492319405078888,0.4641008973121643,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,12000
532500,720000,241,9084,focused,2,-0.12292317996079674,0.12661585211753845,-0.3276164502994908,0.19149889796972275,0.12661585211753845,0.5290954113006592,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,12500
533000,720000,243,9161,focused,182,0.1553241798414728,0.024454770609736443,-11.779971541110909,5.548378169536591,0.024454770609736443,0.5953626036643982,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,13000
533500,720000,253,548601548,random,16,0.17532788940129124,0.04561689868569374,-1.8588914615138548,1.1533465906977654,0.04561689868569374,0.45917728543281555,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,13500
534000,720000,259,9100,focused,204,-0.056325205663185496,0.12949435412883759,-82.6910806701141,40.45307191461325,0.12949435412883759,0.2968229651451111,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,14000
534500,720000,272,487008939,random,230,-0.4022787041096712,0.05827023833990097,-123.56475867876135,26.945859352126718,0.05827023833990097,0.4880143105983734,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,14500
535000,720000,281,1345249030,random,24,-0.8687698827349027,0.5083896517753601,-11.636665679692284,6.74296048283577,0.5083896517753601,0.23553870618343353,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,15000
535500,720000,288,475495703,random,153,-0.3817220134810444,0.045431651175022125,-16.232263881512925,7.379403781145811,0.045431651175022125,0.45564335584640503,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,15500
536000,720000,298,967468978,random,24,0.28536362880369665,0.09710320830345154,2.516507699047331,1.4541000500321388,0.09710320830345154,0.43046125769615173,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,16000
536500,720000,317,1956394466,random,22,0.2321127111137838,0.05660758540034294,1.923530383950374,0.9626423083245754,0.05660758540034294,0.5540903210639954,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,16500
537000,720000,322,1258457862,random,222,-0.41892969276898623,0.20216403901576996,-124.24865756732552,61.86129692196846,0.20216403901576996,0.23787376284599304,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,17000
537500,720000,327,1625824635,random,191,-0.6809048889483142,0.13600431382656097,-127.39624308827995,50.56684818118811,0.13600431382656097,0.2901904881000519,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,17500
538000,720000,337,1257988279,random,108,-0.482678784874906,0.13063274323940277,-39.635313465844156,20.722727954387665,0.13063274323940277,0.295636385679245,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,18000
538500,720000,345,9176,focused,14,0.42572198303810427,0.14174297451972961,0.16042988540062275,2.803326442837715,0.14174297451972961,0.28463315963745117,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,18500
539000,720000,364,347489609,random,223,-0.25838772506410057,0.05532492324709892,-30.625888358392967,15.108849365264177,0.05532492324709892,0.4219266474246979,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,19000
539500,720000,371,1815559562,random,75,-0.32706123219374533,0.14728787541389465,-32.28851306445102,15.65424870699644,0.14728787541389465,0.2869996726512909,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,19500
540000,720000,376,9059,focused,8,0.33653550779523245,0.030090494081377983,-1.0994267816142704,0.42284845374524593,0.030090494081377983,0.5395582914352417,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,20000
540500,720000,384,1167914514,random,184,-0.11571495981405791,0.051038309931755066,-21.876507436532275,7.692448202520609,0.051038309931755066,0.5103548765182495,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,nan,nan,nan,nan,20500
