step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_rejection_counts,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.694106729341297,0.15353405475616455,0.2979118824005127,0.3672955334186554,0.10899718105792999,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.40429916977882385,8.085983276367188,161.71966552734375,1.4012342691421509,1.4012342691421509,0.3036935902809086,0.2979118824005127,0.005781707880395892,0.44316235490878075,0.12456962844320843,0.43444293027823294,0.11729348191848238,0.31714944835975056,0.43444292703455983,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,0.9796235654684025,1.4012342691421509,0.0,1.0,0.1967397704749444,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,0.9999994957992697,0,0,12,joint_3_acceleration_upper|joint_4_acceleration_upper|joint_5_acceleration_upper,workspace_z_lower,,,0,0,1,solved,osqp,0.0,valid,0.1967397704749444,0.8888786198500727,0|0|0|0|0|0,,,,,,,,,,0.011527866940014064,0.0028439719462767243,0.001401604968123138,0.001954935025423765
1,0.1,-1.1096918541157677,0.2896071672439575,0.2857745289802551,0.3589145839214325,0.22301366925239563,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.8017492294311523,8.000864028930664,25.870454788208008,1.400999903678894,1.400999903678894,0.2979118776084282,0.2857745289802551,0.012137348628173061,0.4433551013016543,0.2514895841588545,0.4353570883761163,0.24508418757922731,0.190272900796889,0.4353570813731463,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,0.7136561799987086,filtered,0,0,1,0,0,0,1,2,1.0,0.8813325768224545,1.400999903678894,0.0,1.0,0.18101321229159273,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,0.599999429237604,0,0,12,joint_0_acceleration_upper|joint_3_acceleration_upper|joint_4_acceleration_upper|joint_5_acceleration_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.18101321229159273,0.8874729519779411,0|0.0339879778|0.0888128219|0.104869908|0.124438418|0.124438418,,,,,,,,,,0.013126851059496403,0.0037247060099616647,0.0019679060205817223,0.002027585986070335
2,0.15000000000000002,-1.4985637290466491,0.4205491840839386,0.2672794759273529,0.34576767683029175,0.32075291872024536,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2009320259094238,8.000819206237793,0.087729811668396,1.400797724723816,1.400797724723816,0.2857745278633462,0.2672794759273529,0.018495051935993267,0.4425693075798019,0.3787063946320705,0.43585601684886704,0.3725041006243026,0.06335191622456443,0.435856015145386,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,0.42826514667278837,filtered,0,0,1,0,0,0,1,2,1.0,0.7441632860581028,1.400797724723816,0.0,1.0,0.15906612576929646,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,0.19999850283626133,0,0,12,,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.15906612576929646,0.8842368816949456,0|0.0530686376|0.177982422|0.207530628|0.250684969|0.250684969,,,,,,,,,,0.011093184002675116,0.002952088019810617,0.0015164630021899939,0.00176514801569283
3,0.2,-1.6766908609961384,0.47767508029937744,0.24740900099277496,0.331439346075058,0.35587793588638306,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3648641109466553,3.5166192054748535,98.291748046875,1.3648641109466553,1.3648641109466553,0.2672794792539146,0.24740900099277496,0.019870478261139635,0.40189521855390253,0.40189518389856965,0.398248264801476,0.39824822952778705,3.527368896971694e-08,0.39824826975807587,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,0.14277471993730817,filtered,0,0,1,0,0,0,1,2,1.0,0.5540902573294303,1.3648641109466553,0.0,1.0,0.12865444117270886,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,4.365029655714545e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.12865444117270886,0.8791144666292339,6.50489211e-20|0.0757537501|0.275176049|0.312484252|0.376705556|0.376705556,,,,,,,,,,0.01123979000840336,0.0030335929477587342,0.001438793959096074,0.0017962830606848001
4,0.25,-1.5576022050919052,0.4289553761482239,0.23250712454319,0.3211479187011719,0.31745293736457825,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.233388900756836,4.353562355041504,132.4409637451172,1.2333890199661255,1.2333890199661255,0.2474090136459955,0.23250712454319,0.014901889102805488,0.2991754061786303,0.2991753869438953,0.29835223509591824,0.29835221536558093,1.9730337308399015e-08,0.29835225035452484,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,3.198142306406611e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.41858898554772445,1.2333890199661255,0.0,1.0,0.10697423768763592,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,4.5472752755531307e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.10697423768763592,0.8728960889254843,0|0.0778942184|0.295993193|0.327137446|0.399096512|0.399096512,,,,,,,,,,0.011298257973976433,0.00299311603885144,0.0014866209821775556,0.0017878719372674823
5,0.30000000000000004,-1.6202668195843586,0.44470202922821045,0.21839597821235657,0.3081759512424469,0.3250199556350708,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2096469402313232,0.81074059009552,72.44728088378906,1.2096469402313232,1.2096469402313232,0.23250713305562826,0.21839597821235657,0.01411115484327169,0.2838004267964074,0.2838004074021568,0.28342886509812015,0.2834288454310214,1.966709872736061e-08,0.28342887547488055,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,3.686813488641256e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.41893628116557136,1.2096469402313232,0.0,1.0,0.10702980498649142,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,4.631770250938715e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.10702980498649142,0.8665156322407069,0|0.0546878025|0.211004251|0.229063226|0.296565411|0.296565411,,,,,,,,,,0.012262642965652049,0.0034385520266368985,0.0014913220657035708,0.0020025429548695683
6,0.35000000000000003,-1.5857655893510378,0.42780566215515137,0.20663651823997498,0.29722562432289124,0.30995771288871765,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1336121559143066,2.8564293384552,40.91381072998047,1.1336121559143066,1.1336121559143066,0.2183959864797727,0.20663651823997498,0.011759468239797732,0.23653860719860145,0.23653858715301537,0.2364825620535348,0.23648254225046664,1.9803068157520087e-08,0.2364825710056216,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,3.829026550551165e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.35255967231023255,1.1336121559143066,0.0,1.0,0.09640954756963721,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,4.8363586259976013e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.09640954756963721,0.8600323133966725,0|0.0518358872|0.202744466|0.216576271|0.281187142|0.281187142,,,,,,,,,,0.013090219930745661,0.003121653920970857,0.0015239259228110313,0.001731137977913022
7,0.4,-1.6052403418478163,0.42975419759750366,0.1960359513759613,0.2873343825340271,0.3089512288570404,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.103017807006836,1.3174465894699097,30.77965545654297,1.103017807006836,1.103017807006836,0.2066365136134111,0.1960359513759613,0.01060056223744979,0.21352668015686319,0.21352665982423946,0.21334547647605265,0.2133454567975221,1.9678530555067297e-08,0.21334547169927612,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,4.266325657117598e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.32583035556151224,1.103017807006836,0.0,1.0,0.09213285688984196,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,4.99857637473047e-08,0,0,12,joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.09213285688984196,0.8534339077597065,9.28386498e-18|0.0412934936|0.163184041|0.172184506|0.233978624|0.233978624,,,,,,,,,,0.010337239014916122,0.0027155200950801373,0.0012752469629049301,0.0016870780382305384
8,0.45,-1.587530697630188,0.4200837314128876,0.1869683414697647,0.2788132131099701,0.2997080981731415,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.0205994844436646,2.2325520515441895,32.14649963378906,1.0205994844436646,1.0205994844436646,0.1960359512194395,0.1869683414697647,0.009067609749674799,0.18293960744048796,0.18293958843185457,0.1825785582803534,0.1825785398908508,1.8389502615123732e-08,0.18257855813457644,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,4.5317277227778165e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.2856639371857244,1.0205994844436646,0.0,1.0,0.08570622994971591,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,4.172983502033255e-08,0,0,12,joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.08570622994971591,0.8467399956271263,2.41101021e-17|0.0364532453|0.1453131|0.15172917|0.210976588|0.210976588,,,,,,,,,,0.010431937989778817,0.002934727002866566,0.0012091010576114058,0.0016384799964725971
9,0.5,-1.5917116852228226,0.4180872440338135,0.17891523241996765,0.2711964249610901,0.2963540256023407,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.959679365158081,1.724387526512146,12.793176651000977,0.959679365158081,0.959679365158081,0.18696835149403432,0.17891523241996765,0.008053119074066667,0.16281644757324015,0.16281642946585706,0.16219759246798063,0.16219757484024971,1.7627730913849504e-08,0.16219760116417156,0,0,disabled,0.0,1,TRACK,direct_path,0,0.5966693320078775,0.5966693320078775,18,1,1,1,3,1.8884957623251553,0.12211885303258896,0.003993136759140394;0.005635222406800044;0.00428019997300495;0.004015434489767419;0.0045193877412004575;0.002632629679241186;0.004857850121869669;0.006544112578697783;0.004846685882828348;0.0019215745141770572;0.002456831398336206;0.00479025176613711;0.004545574857095171;0.004177726382398197;0.005557389242397398;0.004870595766901866;0.00420903458357644;0.007045534987232743,0.12115543335676193;0.12162087112665176;0.12383519858121872;0.12211885303258896;0.12175335735082626;0.12113799899816513;0.12613558769226074;0.12278608232736588;0.12305205315351486;0.1222022995352745;0.12117979675531387;0.12155360728502274;0.12224460393190384;0.12089353054761887;0.12187913805246353;0.12315302342176437;0.12253036350011826;0.12011966854333878,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 47}",0.002118853032588963,inf,4.088757211461826e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.2594800983530342,0.959679365158081,0.0,1.0,0.08151681573648548,0,0,0,0,0.1967397704749444,0.0,filtered,osqp optimal,3.274417712536809e-08,0,0,12,joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.08151681573648548,0.8407382731842756,1.05311324e-19|0.0306283883|0.122965533|0.127303398|0.180586285|0.180586285,,,,,,,,,,0.01074086397420615,0.002892842050641775,0.0012960280291736126,0.0017616540426388383
