step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_rejection_counts,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.031661728296142,0.2526314854621887,0.3011578619480133,0.31232765316963196,0.16925497353076935,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4577717185020447,9.155434608459473,183.1086883544922,1.3595893383026123,1.3595893383026123,0.31052667734102024,0.3011578619480133,0.009368815393006935,0.5099268627080294,0.19679044614657176,0.48854212945073305,0.19310664668048583,0.2954354827702472,0.4885421425334113,0,0,disabled,0.0,1,TRACK,direct_path,0,1.0291072790278122,1.0291072790278122,38,1,1,1,4,1.0752960538505303,0.13511495292186737,0.0015628941856945782;0.0006600184379088401;0.003626114486304157;0.006714291814370138;0.005391823909149753;0.004612569318898363;0.0026642155913747137;0.0051366475201027485;0.0033563434258594375;0.007417462271843728;0.002743397188856088;0.001108121091366678;0.0030059280692999652;0.007048841233638285;0.005303169504178955;0.0036763356793221213;0.0034619962171496465;0.006216812050814661;0.005468474208295939;0.0049364948456189816;0.0024632558161822343;0.0040477305663339045;0.009103784430611108;0.007953385974744955;0.007912558909806374;0.004004480784004584;0.0030729774131634307;0.0035238907764919996;0.004033679099047767;0.008462604916205464;0.004660329392479801;0.0053141058262434595;0.00207060061757205;0.002647820117066821;0.004110806801691456;0.0016514378512971712;0.003942299613193663;0.005166869764965469,0.13376803696155548;0.12772300839424133;0.1319877654314041;0.13337789475917816;0.13511495292186737;0.1374836266040802;0.13567191362380981;0.13168400526046753;0.13266894221305847;0.13256485760211945;0.13057932257652283;0.13260747492313385;0.1298510581254959;0.1294429451227188;0.12557904422283173;0.13094665110111237;0.13389179110527039;0.13265976309776306;0.1359890252351761;0.12974633276462555;0.1317114382982254;0.13137748837471008;0.13858672976493835;0.13285820186138153;0.13296693563461304;0.13604755699634552;0.13575379550457;0.1343153417110443;0.1369466334581375;0.13249213993549347;0.13368473947048187;0.13097023963928223;0.13493339717388153;0.1331830471754074;0.13301682472229004;0.1337645947933197;0.1324274092912674;0.1363794207572937,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 27}",0.015114952921867375,inf,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,0.6233652630949037,1.3595893383026123,0.0,1.0,0.1397384420951846,0,0,0,0,0.1397384420951846,0.0,filtered,osqp optimal,0.9129025352674076,0,0,12,joint_2_acceleration_lower|joint_5_acceleration_lower|joint_3_acceleration_upper|joint_4_acceleration_upper,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.1397384420951846,0.9475877746786376,0|0|0|0|0|0,,,,,,,,,,0.011511135962791741,0.003013738081790507,0.0018061070004478097,0.001547419000416994
1,0.1,-1.3998736550384747,0.38165780901908875,0.2846660315990448,0.3033595085144043,0.2696978449821472,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.8973462581634521,8.958720207214355,49.271339416503906,1.1459530591964722,1.1459530591964722,0.3011578728807915,0.2846660315990448,0.01649184128174669,0.39670590056737787,0.34186681057414225,0.3809329421140165,0.33110696302782394,0.04982597908619257,0.38093295594282817,0,0,disabled,0.0,1,TRACK,direct_path,0,1.0291072790278122,1.0291072790278122,38,1,1,1,4,1.0752960538505303,0.13511495292186737,0.0015628941856945782;0.0006600184379088401;0.003626114486304157;0.006714291814370138;0.005391823909149753;0.004612569318898363;0.0026642155913747137;0.0051366475201027485;0.0033563434258594375;0.007417462271843728;0.002743397188856088;0.001108121091366678;0.0030059280692999652;0.007048841233638285;0.005303169504178955;0.0036763356793221213;0.0034619962171496465;0.006216812050814661;0.005468474208295939;0.0049364948456189816;0.0024632558161822343;0.0040477305663339045;0.009103784430611108;0.007953385974744955;0.007912558909806374;0.004004480784004584;0.0030729774131634307;0.0035238907764919996;0.004033679099047767;0.008462604916205464;0.004660329392479801;0.0053141058262434595;0.00207060061757205;0.002647820117066821;0.004110806801691456;0.0016514378512971712;0.003942299613193663;0.005166869764965469,0.13376803696155548;0.12772300839424133;0.1319877654314041;0.13337789475917816;0.13511495292186737;0.1374836266040802;0.13567191362380981;0.13168400526046753;0.13266894221305847;0.13256485760211945;0.13057932257652283;0.13260747492313385;0.1298510581254959;0.1294429451227188;0.12557904422283173;0.13094665110111237;0.13389179110527039;0.13265976309776306;0.1359890252351761;0.12974633276462555;0.1317114382982254;0.13137748837471008;0.13858672976493835;0.13285820186138153;0.13296693563461304;0.13604755699634552;0.13575379550457;0.1343153417110443;0.1369466334581375;0.13249213993549347;0.13368473947048187;0.13097023963928223;0.13493339717388153;0.1331830471754074;0.13301682472229004;0.1337645947933197;0.1324274092912674;0.1363794207572937,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 27}",0.015114952921867375,inf,0.6714546146758744,filtered,0,0,1,0,0,0,1,2,1.0,0.49955243739262,1.1459530591964722,0.0,1.0,0.11992838998281921,0,0,0,0,0.1397384420951846,0.0,filtered,osqp optimal,0.32689126645407995,0,0,12,joint_2_acceleration_lower|joint_5_acceleration_lower|joint_0_acceleration_upper|joint_3_acceleration_upper|joint_4_acceleration_upper,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.11992838998281921,0.9493503384014341,1.11007683e-17|0.0534806346|0.117275806|0.177123876|0.1973162|0.1973162,,,,,,,,,,0.010680416016839445,0.0030150270322337747,0.0012213500449433923,0.0018112959805876017
2,0.15000000000000002,-1.334613797946596,0.3556339740753174,0.27142417430877686,0.2961098551750183,0.24704983830451965,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.864818274974823,5.558028697967529,234.02688598632812,0.9369688630104065,0.9369688630104065,0.2846660265731584,0.27142417430877686,0.01324185226438157,0.2737703916368032,0.27377039938263104,0.26392187600581224,0.26392188222758467,-6.221772430592409e-09,0.26392187134617173,0,0,disabled,0.0,1,TRACK,direct_path,0,1.0291072790278122,1.0291072790278122,38,1,1,1,4,1.0752960538505303,0.13511495292186737,0.0015628941856945782;0.0006600184379088401;0.003626114486304157;0.006714291814370138;0.005391823909149753;0.004612569318898363;0.0026642155913747137;0.0051366475201027485;0.0033563434258594375;0.007417462271843728;0.002743397188856088;0.001108121091366678;0.0030059280692999652;0.007048841233638285;0.005303169504178955;0.0036763356793221213;0.0034619962171496465;0.006216812050814661;0.005468474208295939;0.0049364948456189816;0.0024632558161822343;0.0040477305663339045;0.009103784430611108;0.007953385974744955;0.007912558909806374;0.004004480784004584;0.0030729774131634307;0.0035238907764919996;0.004033679099047767;0.008462604916205464;0.004660329392479801;0.0053141058262434595;0.00207060061757205;0.002647820117066821;0.004110806801691456;0.0016514378512971712;0.003942299613193663;0.005166869764965469,0.13376803696155548;0.12772300839424133;0.1319877654314041;0.13337789475917816;0.13511495292186737;0.1374836266040802;0.13567191362380981;0.13168400526046753;0.13266894221305847;0.13256485760211945;0.13057932257652283;0.13260747492313385;0.1298510581254959;0.1294429451227188;0.12557904422283173;0.13094665110111237;0.13389179110527039;0.13265976309776306;0.1359890252351761;0.12974633276462555;0.1317114382982254;0.13137748837471008;0.13858672976493835;0.13285820186138153;0.13296693563461304;0.13604755699634552;0.13575379550457;0.1343153417110443;0.1369466334581375;0.13249213993549347;0.13368473947048187;0.13097023963928223;0.13493339717388153;0.1331830471754074;0.13301682472229004;0.1337645947933197;0.1324274092912674;0.1363794207572937,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 27}",0.015114952921867375,inf,0.2852571174977202,filtered,0,0,1,0,0,0,1,2,1.0,0.36421997974544956,0.9369688630104065,0.0,1.0,0.09827519675927193,0,0,0,0,0.1397384420951846,0.0,filtered,osqp optimal,0.09999998218106954,0,0,12,joint_5_acceleration_lower,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.09827519675927193,0.9528872422730151,2.22023581e-17|0.0734832806|0.199357142|0.299549936|0.343236837|0.343236837,,,,,,,,,,0.011030910070985556,0.002577190985903144,0.0012660380452871323,0.001902765012346208
3,0.2,-1.3590047716151679,0.361308753490448,0.2591443359851837,0.28929466009140015,0.24869127571582794,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9052620530128479,2.2254745960235596,71.96295928955078,0.9052621126174927,0.9052621126174927,0.2714241932706537,0.2591443359851837,0.012279857285469986,0.2531953567015776,0.25319535670157545,0.24484735292720897,0.24484735292720655,2.4147350785597155e-15,0.24484737003241105,0,0,disabled,0.0,1,TRACK,direct_path,0,1.0291072790278122,1.0291072790278122,38,1,1,1,4,1.0752960538505303,0.13511495292186737,0.0015628941856945782;0.0006600184379088401;0.003626114486304157;0.006714291814370138;0.005391823909149753;0.004612569318898363;0.0026642155913747137;0.0051366475201027485;0.0033563434258594375;0.007417462271843728;0.002743397188856088;0.001108121091366678;0.0030059280692999652;0.007048841233638285;0.005303169504178955;0.0036763356793221213;0.0034619962171496465;0.006216812050814661;0.005468474208295939;0.0049364948456189816;0.0024632558161822343;0.0040477305663339045;0.009103784430611108;0.007953385974744955;0.007912558909806374;0.004004480784004584;0.0030729774131634307;0.0035238907764919996;0.004033679099047767;0.008462604916205464;0.004660329392479801;0.0053141058262434595;0.00207060061757205;0.002647820117066821;0.004110806801691456;0.0016514378512971712;0.003942299613193663;0.005166869764965469,0.13376803696155548;0.12772300839424133;0.1319877654314041;0.13337789475917816;0.13511495292186737;0.1374836266040802;0.13567191362380981;0.13168400526046753;0.13266894221305847;0.13256485760211945;0.13057932257652283;0.13260747492313385;0.1298510581254959;0.1294429451227188;0.12557904422283173;0.13094665110111237;0.13389179110527039;0.13265976309776306;0.1359890252351761;0.12974633276462555;0.1317114382982254;0.13137748837471008;0.13858672976493835;0.13285820186138153;0.13296693563461304;0.13604755699634552;0.13575379550457;0.1343153417110443;0.1369466334581375;0.13249213993549347;0.13368473947048187;0.13097023963928223;0.13493339717388153;0.1331830471754074;0.13301682472229004;0.1337645947933197;0.1324274092912674;0.1363794207572937,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 27}",0.015114952921867375,inf,0.10672711349209357,filtered,0,0,1,0,0,0,1,2,1.0,0.35280703943650576,0.9052621126174927,0.0,1.0,0.09644912630984093,0,0,0,0,0.1397384420951846,0.0,filtered,osqp optimal,3.3892656582447986e-08,0,0,12,joint_5_velocity_lower,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.09644912630984093,0.9564853309356114,1.71915946e-17|0.0554675285|0.162793247|0.241864666|0.274778248|0.274778248,,,,,,,,,,0.011786664021201432,0.003084452007897198,0.0014267220394685864,0.0016838239971548319
4,0.25,-1.3421654335290727,0.352153480052948,0.2485555112361908,0.28335097432136536,0.23891590535640717,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.7839166522026062,2.4303793907165527,77.13307189941406,0.7839166522026062,0.7839166522026062,0.2591443436966999,0.2485555112361908,0.010588832460509123,0.2178550696967876,0.2178550696967876,0.21124451336985614,0.21124451336985614,0.0,0.2112445196559881,0,0,disabled,0.0,1,TRACK,direct_path,0,1.0291072790278122,1.0291072790278122,38,1,1,1,4,1.0752960538505303,0.13511495292186737,0.0015628941856945782;0.0006600184379088401;0.003626114486304157;0.006714291814370138;0.005391823909149753;0.004612569318898363;0.0026642155913747137;0.0051366475201027485;0.0033563434258594375;0.007417462271843728;0.002743397188856088;0.001108121091366678;0.0030059280692999652;0.007048841233638285;0.005303169504178955;0.0036763356793221213;0.0034619962171496465;0.006216812050814661;0.005468474208295939;0.0049364948456189816;0.0024632558161822343;0.0040477305663339045;0.009103784430611108;0.007953385974744955;0.007912558909806374;0.004004480784004584;0.0030729774131634307;0.0035238907764919996;0.004033679099047767;0.008462604916205464;0.004660329392479801;0.0053141058262434595;0.00207060061757205;0.002647820117066821;0.004110806801691456;0.0016514378512971712;0.003942299613193663;0.005166869764965469,0.13376803696155548;0.12772300839424133;0.1319877654314041;0.13337789475917816;0.13511495292186737;0.1374836266040802;0.13567191362380981;0.13168400526046753;0.13266894221305847;0.13256485760211945;0.13057932257652283;0.13260747492313385;0.1298510581254959;0.1294429451227188;0.12557904422283173;0.13094665110111237;0.13389179110527039;0.13265976309776306;0.1359890252351761;0.12974633276462555;0.1317114382982254;0.13137748837471008;0.13858672976493835;0.13285820186138153;0.13296693563461304;0.13604755699634552;0.13575379550457;0.1343153417110443;0.1369466334581375;0.13249213993549347;0.13368473947048187;0.13097023963928223;0.13493339717388153;0.1331830471754074;0.13301682472229004;0.1337645947933197;0.1324274092912674;0.1363794207572937,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 27}",0.015114952921867375,inf,3.743960573413383e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.3175674539601527,0.7839166522026062,0.0,1.0,0.09081079263362443,0,0,0,0,0.1397384420951846,0.0,passthrough,osqp optimal,4.985789562231437e-12,0,0,12,,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.09081079263362443,0.9597132549824753,0|0.0508852234|0.153620871|0.223475995|0.254027049|0.254027049,,,,,,,,,,0.010449317982420325,0.002772512030787766,0.0012146399822086096,0.0017189070349559188
5,0.30000000000000004,-1.3424728322464399,0.34970757365226746,0.2390589714050293,0.2779707908630371,0.2345990687608719,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.699971616268158,1.6789014339447021,15.207637786865234,0.6999706625938416,0.6999706625938416,0.2485555073761151,0.2390589714050293,0.009496535971085796,0.1950187774194417,0.19501877741944884,0.189519675179076,0.18951967517909069,-1.4682699500667695e-14,0.18951967223582886,0,0,disabled,0.0,1,TRACK,direct_path,0,1.0291072790278122,1.0291072790278122,38,1,1,1,4,1.0752960538505303,0.13511495292186737,0.0015628941856945782;0.0006600184379088401;0.003626114486304157;0.006714291814370138;0.005391823909149753;0.004612569318898363;0.0026642155913747137;0.0051366475201027485;0.0033563434258594375;0.007417462271843728;0.002743397188856088;0.001108121091366678;0.0030059280692999652;0.007048841233638285;0.005303169504178955;0.0036763356793221213;0.0034619962171496465;0.006216812050814661;0.005468474208295939;0.0049364948456189816;0.0024632558161822343;0.0040477305663339045;0.009103784430611108;0.007953385974744955;0.007912558909806374;0.004004480784004584;0.0030729774131634307;0.0035238907764919996;0.004033679099047767;0.008462604916205464;0.004660329392479801;0.0053141058262434595;0.00207060061757205;0.002647820117066821;0.004110806801691456;0.0016514378512971712;0.003942299613193663;0.005166869764965469,0.13376803696155548;0.12772300839424133;0.1319877654314041;0.13337789475917816;0.13511495292186737;0.1374836266040802;0.13567191362380981;0.13168400526046753;0.13266894221305847;0.13256485760211945;0.13057932257652283;0.13260747492313385;0.1298510581254959;0.1294429451227188;0.12557904422283173;0.13094665110111237;0.13389179110527039;0.13265976309776306;0.1359890252351761;0.12974633276462555;0.1317114382982254;0.13137748837471008;0.13858672976493835;0.13285820186138153;0.13296693563461304;0.13604755699634552;0.13575379550457;0.1343153417110443;0.1369466334581375;0.13249213993549347;0.13368473947048187;0.13097023963928223;0.13493339717388153;0.1331830471754074;0.13301682472229004;0.1337645947933197;0.1324274092912674;0.1363794207572937,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 27}",0.015114952921867375,inf,6.3601016105763766e-12,passthrough,0,0,1,0,0,0,1,2,1.0,0.29609402381174743,0.6999706625938416,0.0,1.0,0.0873750438098796,0,0,0,0,0.1397384420951846,0.0,filtered,osqp optimal,1.1653162329409175e-06,0,0,12,,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.0873750438098796,0.9624136036848774,0|0.0434735362|0.134380062|0.192084954|0.218444427|0.218444427,,,,,,,,,,0.011259041028097272,0.0027095620753243566,0.0015612660208716989,0.0017620120197534561
6,0.35000000000000003,-1.3347071974461304,0.344919353723526,0.23063558340072632,0.27316176891326904,0.22858582437038422,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.6185433864593506,1.628563642501831,1.0067585706710815,0.6185433864593506,0.6185433864593506,0.239058974752935,0.23063558340072632,0.008423391352208681,0.17270854562633403,0.17270854562633403,0.16815505419597104,0.16815505419597104,0.0,0.16815505655090154,0,0,disabled,0.0,1,TRACK,direct_path,0,1.0291072790278122,1.0291072790278122,38,1,1,1,4,1.0752960538505303,0.13511495292186737,0.0015628941856945782;0.0006600184379088401;0.003626114486304157;0.006714291814370138;0.005391823909149753;0.004612569318898363;0.0026642155913747137;0.0051366475201027485;0.0033563434258594375;0.007417462271843728;0.002743397188856088;0.001108121091366678;0.0030059280692999652;0.007048841233638285;0.005303169504178955;0.0036763356793221213;0.0034619962171496465;0.006216812050814661;0.005468474208295939;0.0049364948456189816;0.0024632558161822343;0.0040477305663339045;0.009103784430611108;0.007953385974744955;0.007912558909806374;0.004004480784004584;0.0030729774131634307;0.0035238907764919996;0.004033679099047767;0.008462604916205464;0.004660329392479801;0.0053141058262434595;0.00207060061757205;0.002647820117066821;0.004110806801691456;0.0016514378512971712;0.003942299613193663;0.005166869764965469,0.13376803696155548;0.12772300839424133;0.1319877654314041;0.13337789475917816;0.13511495292186737;0.1374836266040802;0.13567191362380981;0.13168400526046753;0.13266894221305847;0.13256485760211945;0.13057932257652283;0.13260747492313385;0.1298510581254959;0.1294429451227188;0.12557904422283173;0.13094665110111237;0.13389179110527039;0.13265976309776306;0.1359890252351761;0.12974633276462555;0.1317114382982254;0.13137748837471008;0.13858672976493835;0.13285820186138153;0.13296693563461304;0.13604755699634552;0.13575379550457;0.1343153417110443;0.1369466334581375;0.13249213993549347;0.13368473947048187;0.13097023963928223;0.13493339717388153;0.1331830471754074;0.13301682472229004;0.1337645947933197;0.1324274092912674;0.1363794207572937,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 27}",0.015114952921867375,inf,1.664807248667639e-06,filtered,0,0,1,0,0,0,1,2,1.0,0.2724004714649327,0.6185433864593506,0.0,1.0,0.08358407543438923,0,0,0,0,0.1397384420951846,0.0,passthrough,osqp optimal,2.3393153045743393e-09,0,0,12,,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.08358407543438923,0.9647715465069675,3.79188356e-19|0.0386788046|0.122046024|0.171813169|0.195473011|0.195473011,,,,,,,,,,0.01730897498782724,0.005038902978412807,0.0021642589708790183,0.0025652629556134343
7,0.4,-1.3494153990390503,0.3478342592716217,0.22278736531734467,0.26865193247795105,0.22883610427379608,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.5744222402572632,0.8824236989021301,14.922799110412598,0.5744222402572632,0.5744222402572632,0.23063559045598445,0.22278736531734467,0.00784822513863978,0.16068786805886537,0.16068786805886537,0.15670101793744048,0.15670101793744048,0.0,0.1567010227310032,0,0,disabled,0.0,1,TRACK,direct_path,0,1.0291072790278122,1.0291072790278122,38,1,1,1,4,1.0752960538505303,0.13511495292186737,0.0015628941856945782;0.0006600184379088401;0.003626114486304157;0.006714291814370138;0.005391823909149753;0.004612569318898363;0.0026642155913747137;0.0051366475201027485;0.0033563434258594375;0.007417462271843728;0.002743397188856088;0.001108121091366678;0.0030059280692999652;0.007048841233638285;0.005303169504178955;0.0036763356793221213;0.0034619962171496465;0.006216812050814661;0.005468474208295939;0.0049364948456189816;0.0024632558161822343;0.0040477305663339045;0.009103784430611108;0.007953385974744955;0.007912558909806374;0.004004480784004584;0.0030729774131634307;0.0035238907764919996;0.004033679099047767;0.008462604916205464;0.004660329392479801;0.0053141058262434595;0.00207060061757205;0.002647820117066821;0.004110806801691456;0.0016514378512971712;0.003942299613193663;0.005166869764965469,0.13376803696155548;0.12772300839424133;0.1319877654314041;0.13337789475917816;0.13511495292186737;0.1374836266040802;0.13567191362380981;0.13168400526046753;0.13266894221305847;0.13256485760211945;0.13057932257652283;0.13260747492313385;0.1298510581254959;0.1294429451227188;0.12557904422283173;0.13094665110111237;0.13389179110527039;0.13265976309776306;0.1359890252351761;0.12974633276462555;0.1317114382982254;0.13137748837471008;0.13858672976493835;0.13285820186138153;0.13296693563461304;0.13604755699634552;0.13575379550457;0.1343153417110443;0.1369466334581375;0.13249213993549347;0.13368473947048187;0.13097023963928223;0.13493339717388153;0.1331830471754074;0.13301682472229004;0.1337645947933197;0.1324274092912674;0.1363794207572937,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 27}",0.015114952921867375,inf,3.781974483576625e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.2524809101919063,0.5744222402572632,0.0,1.0,0.08039694563070501,0,0,0,0,0.1397384420951846,0.0,passthrough,osqp optimal,1.3709996209700218e-09,0,0,12,,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.08039694563070501,0.9668142133343132,0|0.034070767|0.109437447|0.152049734|0.173056778|0.173056778,,,,,,,,,,0.017105926061049104,0.0046240739757195115,0.0021403259597718716,0.002540612011216581
8,0.45,-1.3822985051664325,0.35660019516944885,0.2151910960674286,0.26426178216934204,0.2337997704744339,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.5543253421783447,0.40193697810173035,9.609736442565918,0.5543253421783447,0.5543253421783447,0.22278735921638038,0.2151910960674286,0.007596263148951787,0.15532619743458725,0.15532619743458725,0.15168799308944408,0.15168799308944408,0.0,0.1516879889355145,0,0,disabled,0.0,1,TRACK,direct_path,0,1.0291072790278122,1.0291072790278122,38,1,1,1,4,1.0752960538505303,0.13511495292186737,0.0015628941856945782;0.0006600184379088401;0.003626114486304157;0.006714291814370138;0.005391823909149753;0.004612569318898363;0.0026642155913747137;0.0051366475201027485;0.0033563434258594375;0.007417462271843728;0.002743397188856088;0.001108121091366678;0.0030059280692999652;0.007048841233638285;0.005303169504178955;0.0036763356793221213;0.0034619962171496465;0.006216812050814661;0.005468474208295939;0.0049364948456189816;0.0024632558161822343;0.0040477305663339045;0.009103784430611108;0.007953385974744955;0.007912558909806374;0.004004480784004584;0.0030729774131634307;0.0035238907764919996;0.004033679099047767;0.008462604916205464;0.004660329392479801;0.0053141058262434595;0.00207060061757205;0.002647820117066821;0.004110806801691456;0.0016514378512971712;0.003942299613193663;0.005166869764965469,0.13376803696155548;0.12772300839424133;0.1319877654314041;0.13337789475917816;0.13511495292186737;0.1374836266040802;0.13567191362380981;0.13168400526046753;0.13266894221305847;0.13256485760211945;0.13057932257652283;0.13260747492313385;0.1298510581254959;0.1294429451227188;0.12557904422283173;0.13094665110111237;0.13389179110527039;0.13265976309776306;0.1359890252351761;0.12974633276462555;0.1317114382982254;0.13137748837471008;0.13858672976493835;0.13285820186138153;0.13296693563461304;0.13604755699634552;0.13575379550457;0.1343153417110443;0.1369466334581375;0.13249213993549347;0.13368473947048187;0.13097023963928223;0.13493339717388153;0.1331830471754074;0.13301682472229004;0.1337645947933197;0.1324274092912674;0.1363794207572937,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 27}",0.015114952921867375,inf,2.3867453675818683e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.22936678938210636,0.5543253421783447,0.0,1.0,0.07669868630113702,0,0,0,0,0.1397384420951846,0.0,passthrough,osqp optimal,1.322461996786471e-09,0,0,12,,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.07669868630113702,0.9686758340162523,0|0.0315465144|0.102986184|0.141387828|0.160979106|0.160979106,,,,,,,,,,0.01600422093179077,0.00399399793241173,0.002249675919301808,0.002406353014521301
