step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.5217456784425374,0.19866696000099182,0.6635742783546448,0.29412519931793213,0.1320989578962326,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.3693656623363495,7.387312889099121,147.7462615966797,1.2783820629119873,1.2783820629119873,0.6724098958889315,0.6635742783546448,0.008835617534286744,0.5214117867044221,0.2055308347795117,0.3191549120454469,0.18078429656340742,0.13837061548203947,0.31915491385228,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7767728349426761,1.7767728349426761,57,1,1,1,56,1.6550491608770412,0.2868671119213104,0.003866745106780701;0.003434372086140614;0.001650148415103967;0.0025509442034941767;0.0036149268608877435;0.005224025066487404;0.01565080132533543;0.014139352757098975;0.006184046204430776;0.010348811063716738;0.004887198708730143;0.009598015796718935;0.002994762349186191;0.00825620550829551;0.021939788450255036;0.006520642732427776;0.0068634770755602705;0.007578072774670977;0.005153031215726797;0.016050748429685232;0.014738127203528675;0.01076278930789113;0.02729607608281595;0.005125039553191099;0.0067625056249969355;0.0025130962471513435;0.01940204293827348;0.007715810629650209;0.00277395324015836;0.006363627661093968;0.0037788680340388766;0.004976853777527529;0.005995282233315146;0.013609993548394957;0.01802529330678197;0.019403276252339126;0.0034101336071878717;0.018480460918533257;0.008714311240657933;0.023510775758386334;0.0033880954150127423;0.0123434770697918;0.013333957287720723;0.025026114335091724;0.009102522520367848;0.006981277038425118;0.02547046798210827;0.006700666303362726;0.005168874610516293;0.008626869202003387;0.0014275285237615935;0.005348209547526455;0.010212583936146196;0.0066684238729007635;0.013648257066682191;0.00948524809469182;0.007977552321620715,0.7013909220695496;0.7013047337532043;0.7020435929298401;0.7020435929298401;0.6911114454269409;0.7020435929298401;0.6990386843681335;0.700200080871582;0.7020435929298401;0.7020435929298401;0.6911256313323975;0.7007730007171631;0.6993191242218018;0.7020435929298401;0.7020435929298401;0.6984449028968811;0.7020435929298401;0.6972354650497437;0.7020435929298401;0.7001948952674866;0.7020435929298401;0.6995221376419067;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6945613026618958;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6997100114822388;0.6991934776306152;0.6988022923469543;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6967777609825134;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7003415822982788;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7013521790504456,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 8, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0014275285237615935,65,57,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,0.4563061357929235,1.2783820629119873,0.0,1.0,0.11300898172686777,0,0,0,0,0.11300898172686777,0.0,filtered,linprog goal-velocity priority optimal,1.1746265926201327,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.1857842942288896,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.11300898172686777,0.8771632187375582,0|0|0|0|0|0,0.528185416|0.486559688|0.196421404|0.154008536|0.113008982|0.116008982,0.702043577|0.660417849|0.370279565|0.327866697|0.286867143|0.289867143,0.648185416|0.606559688|0.316421404|0.274008536|0.233008982|0.236008982,0|0|0|0|0|0,4.50420383e-18|0.0512514726|0.17363812|0.178073794|0.146971885|0.146971885,0|0|0|0|0|0,2.11274166|1.99749022|0.959323737|0.794107939|0.599007812|0.611007812,optimal,0.1857842942288896,0.1807842965634074,0.004999997665482203,0.587368727|0.56257844|0.325773239,0|-0|0,0.022151460987515748,0.004060260020196438,0.002165231038816273,0.009299066034145653
1,0.1,-1.2304176699495817,0.1771579533815384,0.6458997130393982,0.309317946434021,0.1181660145521164,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.741980254650116,7.453289985656738,3.6867523193359375,1.2960478067398071,1.2960478067398071,0.6635742636892179,0.6458997130393982,0.01767455064981971,0.5264050318609481,0.4110042102103749,0.30937621434030704,0.35968861298852767,-0.050312398648220624,0.30937620750288974,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7767728349426761,1.7767728349426761,57,1,1,1,56,1.6550491608770412,0.2868671119213104,0.003866745106780701;0.003434372086140614;0.001650148415103967;0.0025509442034941767;0.0036149268608877435;0.005224025066487404;0.01565080132533543;0.014139352757098975;0.006184046204430776;0.010348811063716738;0.004887198708730143;0.009598015796718935;0.002994762349186191;0.00825620550829551;0.021939788450255036;0.006520642732427776;0.0068634770755602705;0.007578072774670977;0.005153031215726797;0.016050748429685232;0.014738127203528675;0.01076278930789113;0.02729607608281595;0.005125039553191099;0.0067625056249969355;0.0025130962471513435;0.01940204293827348;0.007715810629650209;0.00277395324015836;0.006363627661093968;0.0037788680340388766;0.004976853777527529;0.005995282233315146;0.013609993548394957;0.01802529330678197;0.019403276252339126;0.0034101336071878717;0.018480460918533257;0.008714311240657933;0.023510775758386334;0.0033880954150127423;0.0123434770697918;0.013333957287720723;0.025026114335091724;0.009102522520367848;0.006981277038425118;0.02547046798210827;0.006700666303362726;0.005168874610516293;0.008626869202003387;0.0014275285237615935;0.005348209547526455;0.010212583936146196;0.0066684238729007635;0.013648257066682191;0.00948524809469182;0.007977552321620715,0.7013909220695496;0.7013047337532043;0.7020435929298401;0.7020435929298401;0.6911114454269409;0.7020435929298401;0.6990386843681335;0.700200080871582;0.7020435929298401;0.7020435929298401;0.6911256313323975;0.7007730007171631;0.6993191242218018;0.7020435929298401;0.7020435929298401;0.6984449028968811;0.7020435929298401;0.6972354650497437;0.7020435929298401;0.7001948952674866;0.7020435929298401;0.6995221376419067;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6945613026618958;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6997100114822388;0.6991934776306152;0.6988022923469543;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6967777609825134;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7003415822982788;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7013521790504456,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 8, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0014275285237615935,65,57,nan,nan,0.9188384495512139,filtered,0,0,1,0,0,0,1,2,1.0,0.5008520834079078,1.2960478067398071,0.0,1.0,0.12013633334526524,0,0,0,0,0.11300898172686777,0.0,filtered,linprog goal-velocity priority optimal,1.2233163969288579,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.36468861083110715,1,continuity_tiebreak,0.9999321699142456,0,goal_velocity_linprog,0.0,valid,0.12013633334526524,0.8797774514708219,0|0.0599608073|0.201686671|0.228058427|0.20549894|0.20549894,0.528054705|0.488797431|0.204743834|0.162635888|0.120136333|0.123136324,0.702043577|0.662786303|0.378732707|0.33662476|0.294125206|0.297125196,0.648054705|0.608797431|0.324743834|0.282635888|0.240136333|0.243136324,0|0|0|0|0|0,0|0.0991706685|0.348875511|0.360336191|0.301373124|0.301373124,0|0|0|0|0|0,2.11221882|2.05436039|1.16785085|1.01087974|0.781918458|0.793918419,optimal,0.36468861083110715,0.35968861298852767,0.004999997842579484,0.587368727|0.56257844|0.325773239,0|-0|0,0.02100775297731161,0.003962678019888699,0.0019730139756575227,0.008449952001683414
2,0.15000000000000002,-0.8987899492385178,0.14823327958583832,0.6198769807815552,0.33324190974235535,0.09950718283653259,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.121415376663208,7.596755504608154,7.363829612731934,1.3423030376434326,1.3423030376434326,0.6458997092933827,0.6198769807815552,0.02602272851182752,0.5443571398921988,0.6161014254131972,0.28871903576971253,0.5319253238560961,-0.24320628808638362,0.28871903409523275,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7767728349426761,1.7767728349426761,57,1,1,1,56,1.6550491608770412,0.2868671119213104,0.003866745106780701;0.003434372086140614;0.001650148415103967;0.0025509442034941767;0.0036149268608877435;0.005224025066487404;0.01565080132533543;0.014139352757098975;0.006184046204430776;0.010348811063716738;0.004887198708730143;0.009598015796718935;0.002994762349186191;0.00825620550829551;0.021939788450255036;0.006520642732427776;0.0068634770755602705;0.007578072774670977;0.005153031215726797;0.016050748429685232;0.014738127203528675;0.01076278930789113;0.02729607608281595;0.005125039553191099;0.0067625056249969355;0.0025130962471513435;0.01940204293827348;0.007715810629650209;0.00277395324015836;0.006363627661093968;0.0037788680340388766;0.004976853777527529;0.005995282233315146;0.013609993548394957;0.01802529330678197;0.019403276252339126;0.0034101336071878717;0.018480460918533257;0.008714311240657933;0.023510775758386334;0.0033880954150127423;0.0123434770697918;0.013333957287720723;0.025026114335091724;0.009102522520367848;0.006981277038425118;0.02547046798210827;0.006700666303362726;0.005168874610516293;0.008626869202003387;0.0014275285237615935;0.005348209547526455;0.010212583936146196;0.0066684238729007635;0.013648257066682191;0.00948524809469182;0.007977552321620715,0.7013909220695496;0.7013047337532043;0.7020435929298401;0.7020435929298401;0.6911114454269409;0.7020435929298401;0.6990386843681335;0.700200080871582;0.7020435929298401;0.7020435929298401;0.6911256313323975;0.7007730007171631;0.6993191242218018;0.7020435929298401;0.7020435929298401;0.6984449028968811;0.7020435929298401;0.6972354650497437;0.7020435929298401;0.7001948952674866;0.7020435929298401;0.6995221376419067;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6945613026618958;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6997100114822388;0.6991934776306152;0.6988022923469543;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6967777609825134;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7003415822982788;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7013521790504456,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 8, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0014275285237615935,65,57,nan,nan,0.9438821550927938,filtered,0,0,1,0,0,0,1,2,1.0,0.5942325724721255,1.3423030376434326,0.0,1.0,0.1350772115955401,0,0,0,0,0.11300898172686777,0.0,filtered,linprog goal-velocity priority optimal,1.457178734959031,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,workspace_x_lower,,,0,0,0,optimal; continuity_tiebreak,0.5369253091465668,1,continuity_tiebreak,0.999816358089447,0,goal_velocity_linprog,0.0,valid,0.1350772115955401,0.8848151998249819,0|0.114644931|0.402909491|0.456048772|0.410672989|0.410672989,0.527802817|0.493187343|0.2217416|0.180376098|0.135077212|0.138077212,0.702043577|0.667428103|0.39598236|0.354616858|0.309317972|0.312317972,0.647802817|0.613187343|0.3417416|0.300376098|0.255077212|0.258077212,0|0|0|0|0|0,0|0.138747751|0.526663903|0.550958643|0.471502137|0.471502137,0|0|0|0|0|0,2.11121127|2.11149712|1.4136303|1.27246304|1.01181098|1.02381098,optimal,0.5369253091465668,0.5319253238560961,0.004999985290470632,0.587368727|0.56257844|0.325773239,0|-0|0,0.020835507893934846,0.003806869965046644,0.002032181015238166,0.008719564997591078
3,0.2,-0.6464181416599879,0.11950264126062393,0.590366542339325,0.36276108026504517,0.08106456696987152,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3544424772262573,5.030069351196289,70.09111022949219,1.405757188796997,1.405757188796997,0.6198769781098206,0.590366542339325,0.029510435770495613,0.5721179436360891,0.7184724599642328,0.27400585410857164,0.6056007884148908,-0.3315949343063192,0.2740058529275778,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7767728349426761,1.7767728349426761,57,1,1,1,56,1.6550491608770412,0.2868671119213104,0.003866745106780701;0.003434372086140614;0.001650148415103967;0.0025509442034941767;0.0036149268608877435;0.005224025066487404;0.01565080132533543;0.014139352757098975;0.006184046204430776;0.010348811063716738;0.004887198708730143;0.009598015796718935;0.002994762349186191;0.00825620550829551;0.021939788450255036;0.006520642732427776;0.0068634770755602705;0.007578072774670977;0.005153031215726797;0.016050748429685232;0.014738127203528675;0.01076278930789113;0.02729607608281595;0.005125039553191099;0.0067625056249969355;0.0025130962471513435;0.01940204293827348;0.007715810629650209;0.00277395324015836;0.006363627661093968;0.0037788680340388766;0.004976853777527529;0.005995282233315146;0.013609993548394957;0.01802529330678197;0.019403276252339126;0.0034101336071878717;0.018480460918533257;0.008714311240657933;0.023510775758386334;0.0033880954150127423;0.0123434770697918;0.013333957287720723;0.025026114335091724;0.009102522520367848;0.006981277038425118;0.02547046798210827;0.006700666303362726;0.005168874610516293;0.008626869202003387;0.0014275285237615935;0.005348209547526455;0.010212583936146196;0.0066684238729007635;0.013648257066682191;0.00948524809469182;0.007977552321620715,0.7013909220695496;0.7013047337532043;0.7020435929298401;0.7020435929298401;0.6911114454269409;0.7020435929298401;0.6990386843681335;0.700200080871582;0.7020435929298401;0.7020435929298401;0.6911256313323975;0.7007730007171631;0.6993191242218018;0.7020435929298401;0.7020435929298401;0.6984449028968811;0.7020435929298401;0.6972354650497437;0.7020435929298401;0.7001948952674866;0.7020435929298401;0.6995221376419067;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6945613026618958;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6997100114822388;0.6991934776306152;0.6988022923469543;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6967777609825134;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7003415822982788;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7013521790504456,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 8, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0014275285237615935,65,57,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.7415202257177603,1.405757188796997,0.0,1.0,0.15864323611484166,0,0,0,0,0.11300898172686777,0.0,filtered,linprog goal-velocity priority optimal,1.7274653115192937,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.610600799106296,1,continuity_tiebreak,0.9970529675483704,0,goal_velocity_linprog,0.0,valid,0.15864323611484166,0.8919738992627418,0|0.160445442|0.603089025|0.683555569|0.615024815|0.615024815,0.527444882|0.499256951|0.247505435|0.2076313|0.158643236|0.161643236,0.702043577|0.673855646|0.42210413|0.382229995|0.333241931|0.336241931,0.647444882|0.619256951|0.367505435|0.3276313|0.278643236|0.281643236,0|0|0|0|0|0,0|0.144981109|0.616292521|0.655065089|0.580751322|0.580751322,0|0|0|0|0|0,2.10977953|2.14200891|1.60631426|1.48559029|1.21532427|1.22732427,optimal,0.610600799106296,0.6056007884148908,0.00500001069140521,0.587368727|0.56257844|0.325773239,0|-0|0,0.02071044105105102,0.003973711980506778,0.0018630459671840072,0.00840247399173677
4,0.25,-0.5148849900414965,0.09628623723983765,0.5624081492424011,0.39325782656669617,0.06622426211833954,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4001312255859375,1.9628146886825562,77.75041198730469,1.4126847982406616,1.4126847982406616,0.590366566040063,0.5624081492424011,0.027958416797661867,0.5633238871890761,0.7179056865799784,0.2944023005303162,0.5789094755688482,-0.284507175038532,0.29440231234933256,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7767728349426761,1.7767728349426761,57,1,1,1,56,1.6550491608770412,0.2868671119213104,0.003866745106780701;0.003434372086140614;0.001650148415103967;0.0025509442034941767;0.0036149268608877435;0.005224025066487404;0.01565080132533543;0.014139352757098975;0.006184046204430776;0.010348811063716738;0.004887198708730143;0.009598015796718935;0.002994762349186191;0.00825620550829551;0.021939788450255036;0.006520642732427776;0.0068634770755602705;0.007578072774670977;0.005153031215726797;0.016050748429685232;0.014738127203528675;0.01076278930789113;0.02729607608281595;0.005125039553191099;0.0067625056249969355;0.0025130962471513435;0.01940204293827348;0.007715810629650209;0.00277395324015836;0.006363627661093968;0.0037788680340388766;0.004976853777527529;0.005995282233315146;0.013609993548394957;0.01802529330678197;0.019403276252339126;0.0034101336071878717;0.018480460918533257;0.008714311240657933;0.023510775758386334;0.0033880954150127423;0.0123434770697918;0.013333957287720723;0.025026114335091724;0.009102522520367848;0.006981277038425118;0.02547046798210827;0.006700666303362726;0.005168874610516293;0.008626869202003387;0.0014275285237615935;0.005348209547526455;0.010212583936146196;0.0066684238729007635;0.013648257066682191;0.00948524809469182;0.007977552321620715,0.7013909220695496;0.7013047337532043;0.7020435929298401;0.7020435929298401;0.6911114454269409;0.7020435929298401;0.6990386843681335;0.700200080871582;0.7020435929298401;0.7020435929298401;0.6911256313323975;0.7007730007171631;0.6993191242218018;0.7020435929298401;0.7020435929298401;0.6984449028968811;0.7020435929298401;0.6972354650497437;0.7020435929298401;0.7001948952674866;0.7020435929298401;0.6995221376419067;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6945613026618958;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6997100114822388;0.6991934776306152;0.6988022923469543;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6967777609825134;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7003415822982788;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7013521790504456,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 8, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0014275285237615935,65,57,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.9235885289517508,1.4126847982406616,0.0,1.0,0.18777416463228014,0,0,0,0,0.11300898172686777,0.0,filtered,linprog goal-velocity priority optimal,1.7926645161975927,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.583909485417667,1,continuity_tiebreak,0.9980109333992004,0,goal_velocity_linprog,0.0,valid,0.18777416463228014,0.8997383234119987,5.82918593e-17|0.172060416|0.701512918|0.796187543|0.716607741|0.716607741,0.527056661|0.505629754|0.277847871|0.240170303|0.187774165|0.190774152,0.702043577|0.68061667|0.452834787|0.415157219|0.362761081|0.365761068,0.647056661|0.625629754|0.397847871|0.360170303|0.307774165|0.310774152,0|0|0|0|0|0,4.06362042e-17|0.126205687|0.613055367|0.662150611|0.604249371|0.604249371,0|0|0|0|0|0,2.10822664|2.1487247|1.72444685|1.62283182|1.35534603|1.36734598,optimal,0.583909485417667,0.5789094755688482,0.005000009848818765,0.587368727|0.56257844|0.325773239,0|-0|0,0.02051449997816235,0.003926572040654719,0.001976331928744912,0.008268670062534511
5,0.30000000000000004,-0.4254672205498548,0.07804598659276962,0.5366910696029663,0.42409154772758484,0.054602812975645065,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4019044637680054,1.0774939060211182,40.92566680908203,1.4237263202667236,1.4237263202667236,0.5624081384301486,0.5366910696029663,0.025717068827182277,0.5531868879887336,0.716946898554855,0.31371291552854685,0.5393806455288219,-0.22566773000027507,0.3137129094974407,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7767728349426761,1.7767728349426761,57,1,1,1,56,1.6550491608770412,0.2868671119213104,0.003866745106780701;0.003434372086140614;0.001650148415103967;0.0025509442034941767;0.0036149268608877435;0.005224025066487404;0.01565080132533543;0.014139352757098975;0.006184046204430776;0.010348811063716738;0.004887198708730143;0.009598015796718935;0.002994762349186191;0.00825620550829551;0.021939788450255036;0.006520642732427776;0.0068634770755602705;0.007578072774670977;0.005153031215726797;0.016050748429685232;0.014738127203528675;0.01076278930789113;0.02729607608281595;0.005125039553191099;0.0067625056249969355;0.0025130962471513435;0.01940204293827348;0.007715810629650209;0.00277395324015836;0.006363627661093968;0.0037788680340388766;0.004976853777527529;0.005995282233315146;0.013609993548394957;0.01802529330678197;0.019403276252339126;0.0034101336071878717;0.018480460918533257;0.008714311240657933;0.023510775758386334;0.0033880954150127423;0.0123434770697918;0.013333957287720723;0.025026114335091724;0.009102522520367848;0.006981277038425118;0.02547046798210827;0.006700666303362726;0.005168874610516293;0.008626869202003387;0.0014275285237615935;0.005348209547526455;0.010212583936146196;0.0066684238729007635;0.013648257066682191;0.00948524809469182;0.007977552321620715,0.7013909220695496;0.7013047337532043;0.7020435929298401;0.7020435929298401;0.6911114454269409;0.7020435929298401;0.6990386843681335;0.700200080871582;0.7020435929298401;0.7020435929298401;0.6911256313323975;0.7007730007171631;0.6993191242218018;0.7020435929298401;0.7020435929298401;0.6984449028968811;0.7020435929298401;0.6972354650497437;0.7020435929298401;0.7001948952674866;0.7020435929298401;0.6995221376419067;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6945613026618958;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6997100114822388;0.6991934776306152;0.6988022923469543;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.6967777609825134;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7003415822982788;0.7020435929298401;0.7020435929298401;0.7020435929298401;0.7013521790504456,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 8, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0014275285237615935,65,57,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4237263202667236,0.0,1.0,0.2179015125393483,0,0,0,0,0.11300898172686777,0.0,filtered,linprog goal-velocity priority optimal,1.808987984165783,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.5443806545582138,1,continuity_tiebreak,0.9992614388465881,0,goal_velocity_linprog,0.0,valid,0.2179015125393483,0.9071256983805112,0|0.15787509|0.69928776|0.795666084|0.716120182|0.716120182,0.526687292|0.511131163|0.307946574|0.272926037|0.217901513|0.220901513,0.702043577|0.686487448|0.483302859|0.448282322|0.393257797|0.396257797,0.646687292|0.631131163|0.427946574|0.392926037|0.337901513|0.340901513,0|0|0|0|0|0,0|0.108831133|0.604772218|0.663599567|0.614155219|0.614155219,0|0|0|0|0|0,2.10674917|2.15335579|1.83655851|1.75530371|1.48576127|1.49776127,optimal,0.5443806545582138,0.539380645528822,0.005000009029391794,0.587368727|0.56257844|0.325773239,0|-0|0,0.021413112990558147,0.004246440948918462,0.001837710035033524,0.00878750195261091
