step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_rejection_counts,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.1474600276717968,0.20487478375434875,0.46554577350616455,0.32277438044548035,0.13506996631622314,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4898982644081116,9.797965049743652,195.9593048095703,1.6761709451675415,1.6761709451675415,0.4719404985840889,0.46554577350616455,0.006394725077924324,0.57247124036205,0.1767542640882685,0.414565771165364,0.13073462780550713,0.28383114335985693,0.41456578079370354,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,0.6946577691930232,1.6761709451675415,0.0,1.0,0.15114524307088373,0,0,0,0,0.15114524307088373,0.0,filtered,osqp optimal,1.1873073857307772,0,0,12,joint_2_acceleration_lower|joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_lower,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.15114524307088373,0.9091604857148944,0|0|0|0|0|0,,,,,,,,,,0.009807536960579455,0.0028349540662020445,0.0012442689621821046,0.0015860740095376968
1,0.1,-1.4864580067696989,0.3242063522338867,0.45276975631713867,0.31486940383911133,0.22992917895317078,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.979796290397644,9.79796028137207,0.00022130587603896856,1.64260995388031,1.64260995388031,0.46554575791563074,0.45276975631713867,0.01277600159849207,0.5289718973510192,0.3548037594701403,0.36845075081579814,0.2598558422669076,0.10859490854889053,0.3684507384768527,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,0.7083450462817203,filtered,0,0,1,0,0,0,1,2,1.0,0.5948687873542737,1.64260995388031,0.0,1.0,0.1351790059766838,0,0,0,0,0.15114524307088373,0.0,filtered,osqp optimal,0.6779644454379945,0,0,12,joint_0_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_lower|joint_1_acceleration_upper,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.1351790059766838,0.9141279242650049,1.6713967e-17|0.0862914828|0.110382079|0.142158301|0.158896531|0.177415884,,,,,,,,,,0.010068174917250872,0.0027566670905798674,0.0012934119440615177,0.0016388490330427885
2,0.15000000000000002,-1.6111911567050743,0.3667007088661194,0.4389697015285492,0.30599191784858704,0.2595084309577942,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3711673021316528,8.602621078491211,95.89127349853516,1.549224615097046,1.549224615097046,0.45276974925318864,0.4389697015285492,0.013800047724639442,0.4633852694534659,0.4251924565005072,0.2939179249412398,0.2803444555304734,0.013573469410766426,0.29391792035563863,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,0.4127361117205277,filtered,0,0,1,0,0,0,1,2,1.0,0.4645596143764899,1.549224615097046,0.0,1.0,0.1143295383002384,0,0,0,0,0.15114524307088373,0.0,filtered,osqp optimal,0.19999874466610834,0,0,12,,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.1143295383002384,0.9239758004226207,1.73489553e-19|0.173494894|0.222676306|0.286436149|0.319368504|0.357409937,,,,,,,,,,0.010110332048498094,0.002535484964028001,0.0012354740174487233,0.0016242769779637456
3,0.2,-1.6699964009355543,0.37796637415885925,0.42733055353164673,0.2975355088710785,0.2642463445663452,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4937489032745361,4.911989688873291,136.53857421875,1.4937489032745361,1.4937489032745361,0.4389697038649019,0.42733055353164673,0.011639150333255188,0.42507956558995535,0.42507956558995535,0.2400226026755917,0.2400226026755917,0.0,0.24002260395307726,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,0.1290960282435095,filtered,0,0,1,0,0,0,1,2,1.0,0.38884912646712083,1.4937489032745361,0.0,1.0,0.10221586023473933,0,0,0,0,0.15114524307088373,0.0,passthrough,osqp optimal,1.9915395387556395e-09,0,0,12,joint_2_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower|joint_1_velocity_upper,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.10221586023473933,0.9382280419625122,2.02864574e-17|0.257527022|0.294166223|0.344171334|0.373312734|0.428141141,,,,,,,,,,0.009892144938930869,0.003013481036759913,0.0012411460047587752,0.0015281190862879157
4,0.25,-1.6247683613187485,0.3674488663673401,0.4166218042373657,0.2902948558330536,0.2525406777858734,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4278796911239624,2.4143893718719482,102.729248046875,1.4278796911239624,1.4278796911239624,0.42733054149305766,0.4166218042373657,0.010708737255691936,0.3743331967354486,0.3743331967354486,0.21965898842369244,0.21965898842369244,0.0,0.21965898223554542,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,1.3332492056662714e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.34026363219631084,1.4278796911239624,0.0,1.0,0.09444218115140973,0,0,0,0,0.15114524307088373,0.0,passthrough,osqp optimal,2.8160155144436565e-09,0,0,12,joint_2_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.09444218115140973,0.9532182879019399,4.96809484e-19|0.2992363|0.323392584|0.358266836|0.375924495|0.427632541,,,,,,,,,,0.010157807031646371,0.002899702056311071,0.0013230100739747286,0.0015376330120489001
5,0.30000000000000004,-1.5874974469650853,0.3616410493850708,0.40610820055007935,0.2839401960372925,0.24456793069839478,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3820319175720215,1.8176212310791016,14.955583572387695,1.3820319175720215,1.3820319175720215,0.41662180928885056,0.40610820055007935,0.010513608738771218,0.3382968001585483,0.3382968001585483,0.21422878653760466,0.21422878653760466,0.0,0.21422878913510068,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,1.9721658147732432e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.313491955519204,1.3820319175720215,0.0,1.0,0.09015871288307264,0,0,0,0,0.15114524307088373,0.0,passthrough,osqp optimal,4.092839591924491e-09,0,0,12,joint_2_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.09015871288307264,0.967300373746115,0|0.264387199|0.280269253|0.307383064|0.32584112|0.37565001,,,,,,,,,,0.012802415993064642,0.002542153000831604,0.001605476951226592,0.001553682959638536
6,0.35000000000000003,-1.5407717125318894,0.35413724184036255,0.3956037163734436,0.27840694785118103,0.23541618883609772,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3318734169006348,1.7287553548812866,10.030694007873535,1.3318734169006348,1.3318734169006348,0.4061081994729502,0.3956037163734436,0.010504483099506579,0.3077175337526385,0.3077175337526385,0.21282372955790782,0.21282372955790782,0.0,0.21282372899343105,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,2.9614653177582652e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.2861937847926126,1.3318734169006348,0.0,1.0,0.08579100556681801,0,0,0,0,0.15114524307088373,0.0,passthrough,osqp optimal,3.1530637332468056e-09,0,0,12,joint_2_velocity_lower|joint_5_velocity_lower,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.08579100556681801,0.9806892631518902,5.90169461e-18|0.232803714|0.243130209|0.267408982|0.289474747|0.33869295,,,,,,,,,,0.009652661974541843,0.002482837066054344,0.0012844729935750365,0.0016098199412226677
7,0.4,-1.4999887308156838,0.3481540083885193,0.3850633203983307,0.27354463934898376,0.22759786248207092,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2349928617477417,2.3501136302948,31.902738571166992,1.2349928617477417,1.2349928617477417,0.39560370990391147,0.3850633203983307,0.010540389505580783,0.28473916360162005,0.28473916360162005,0.2128089128295365,0.2128089128295365,0.0,0.21280890934935157,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,2.3673899435459953e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.2630486204730002,1.2349928617477417,0.0,1.0,0.08208777927568003,0,0,0,0,0.15114524307088373,0.0,passthrough,osqp optimal,1.9611595479693247e-09,0,0,12,joint_2_velocity_lower,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.08208777927568003,0.9934208337909463,1.01483108e-17|0.203868069|0.209402247|0.233546257|0.260514447|0.307273355,,,,,,,,,,0.010388173977844417,0.0028403650503605604,0.0012240889482200146,0.0017356689786538482
8,0.45,-1.5220720152131393,0.3572535812854767,0.37463539838790894,0.2688547968864441,0.2317480444908142,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2041040658950806,0.7544720768928528,32.304473876953125,1.2041040658950806,1.2041040658950806,0.3850632959014577,0.37463539838790894,0.010427897513548778,0.27783894790283814,0.27783894790283814,0.2104526286011868,0.2104526286011868,0.0,0.21045261521265812,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,1.5879926181872208e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.24148708836116264,1.2041040658950806,0.0,1.0,0.07863793413778603,0,0,0,0,0.15114524307088373,0.0,passthrough,osqp optimal,2.4333444988730107e-09,0,0,12,joint_2_velocity_lower,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.07863793413778603,1.005565426778815,0|0.180408871|0.182225333|0.209043883|0.241154536|0.283435519,,,,,,,,,,0.010169630055315793,0.0026928959414362907,0.001369817997328937,0.0017229269724339247
9,0.5,-1.5463391007936786,0.366683691740036,0.36430850625038147,0.26432371139526367,0.23614391684532166,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1763771772384644,0.6856883764266968,1.3756740093231201,1.1763771772384644,1.1763771772384644,0.37463540981128385,0.36430850625038147,0.010326903560902378,0.27145998567170926,0.27145998567170926,0.20834558307629797,0.20834558307629797,0.0,0.20834558942916723,0,0,disabled,0.0,1,TRACK,direct_path,0,0.8192099099978805,0.8192099099978805,24,1,1,1,20,2.449739406437152,0.1509251743555069,0.009387667984832395;0.023891895099404058;0.014650581639848805;0.007809803210460428;0.003985260536545334;0.0074209900444834175;0.02066141904024699;0.0187430031566059;0.005840435348013253;0.008413470044737558;0.009718106581517682;0.034175037043710305;0.002439751433997604;0.020497690575813535;0.029665519392494216;0.025657977246812725;0.027462347994523486;0.027961460811843787;0.029338462974101562;0.006399568052095948;0.02129388590195546;0.036985354979359134;0.0306663892004233;0.01143181164329284,0.14540110528469086;0.12879611551761627;0.12985406816005707;0.1473422795534134;0.1329820305109024;0.1301753669977188;0.14508281648159027;0.14563153684139252;0.14280055463314056;0.13679374754428864;0.121197409927845;0.12380430847406387;0.12193592637777328;0.13159818947315216;0.1294141560792923;0.12754690647125244;0.14003752171993256;0.1447216421365738;0.12653176486492157;0.13051246106624603;0.1509251743555069;0.14454488456249237;0.1331532746553421;0.13042612373828888,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 41, 'obstacle_contact': 0, 'self_collision': 0}",nan,nan,2.0208755769495423e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.21177413789056654,1.1763771772384644,0.0,1.0,0.07388386206249065,0,0,0,0,0.15114524307088373,0.0,passthrough,osqp optimal,2.9732761082911633e-09,0,0,12,joint_2_velocity_lower,predictive_link_2,,,0,0,1,solved,osqp,0.0,valid,0.07388386206249065,1.0173434337474507,0|0.173897465|0.173570388|0.200794049|0.233725631|0.276226492,,,,,,,,,,0.01007825299166143,0.0026374219451099634,0.0011816619662567973,0.0016853229608386755
