physics_step,time,policy_step,qdot_norm,acc_norm,jerk_norm,qdot_1,acc_1,jerk_1,qdot_2,acc_2,jerk_2,qdot_3,acc_3,jerk_3,qdot_4,acc_4,jerk_4,qdot_5,acc_5,jerk_5,qdot_6,acc_6,jerk_6
0,0.0041666667,0,0.0004892245051451027,0.11741387099027634,28.17932891845703,0.00021804730931762606,0.0523313507437706,12.559523582458496,-0.00021804730931762606,-0.0523313507437706,-12.559523582458496,4.021785571239889e-05,0.009652284905314445,2.3165483474731445,0.00021804730931762606,0.0523313507437706,12.559523582458496,-0.00021804730931762606,-0.0523313507437706,-12.559523582458496,0.00021804730931762606,0.0523313507437706,12.559523582458496
1,0.0083333334,0,0.003412978956475854,0.7017010450363159,140.22891235351562,0.0015211643185466528,0.3127480745315552,62.50000762939453,-0.0015211643185466528,-0.3127480745315552,-62.50000762939453,0.000280571955954656,0.05768498033285141,11.52784538269043,0.0015211643185466528,0.3127480745315552,62.50000762939453,-0.0015211643185466528,-0.3127480745315552,-62.50000762939453,0.0015211643185466528,0.3127480745315552,62.50000762939453
2,0.0125000001,0,0.009953746572136879,1.5697842836380005,208.3399658203125,0.004436383955180645,0.6996526718139648,92.85710144042969,-0.004436383955180645,-0.6996526718139648,-92.85710144042969,0.0008182712481357157,0.12904782593250275,17.12708282470703,0.004436383955180645,0.6996526718139648,92.85710144042969,-0.004436383955180645,-0.6996526718139648,-92.85710144042969,0.004436383955180645,0.6996526718139648,92.85710144042969
3,0.0166666668,0,0.020181093364953995,2.4545626640319824,212.34681701660156,0.008994710631668568,1.0939983129501343,94.64295196533203,-0.008994710631668568,-1.0939983129501343,-94.64295196533203,0.0016590342856943607,0.20178312063217163,17.456470489501953,0.008994710631668568,1.0939983129501343,94.64295196533203,-0.008994710631668568,-1.0939983129501343,-94.64295196533203,0.008994710631668568,1.0939983129501343,94.64295196533203
4,0.020833333500000002,0,0.03332986310124397,3.155704975128174,168.27413940429688,0.014855116605758667,1.4064973592758179,74.99976348876953,-0.014855116605758667,-1.4064973592758179,-74.99976348876953,0.0027399598620831966,0.2594221234321594,13.833359718322754,0.014855116605758667,1.4064973592758179,74.99976348876953,-0.014855116605758667,-1.4064973592758179,-74.99976348876953,0.014855116605758667,1.4064973592758179,74.99976348876953
5,0.0250000002,0,0.04807847738265991,3.5396671295166016,92.15088653564453,0.02142857201397419,1.5776292085647583,41.07164001464844,-0.02142857201397419,-1.5776292085647583,-41.07164001464844,0.003952404484152794,0.29098668694496155,7.575494766235352,0.02142857201397419,1.5776292085647583,41.07164001464844,-0.02142857201397419,-1.5776292085647583,-41.07164001464844,0.02142857201397419,1.5776292085647583,41.07164001464844
6,0.0291666669,0,0.06282707303762436,3.5396621227264404,0.001220239675603807,0.028002018108963966,1.5776269435882568,-0.0005435943603515625,-0.028002018108963966,-1.5776269435882568,0.0005435943603515625,0.005164847243577242,0.29098623991012573,-0.00010728835331974551,0.028002018108963966,1.5776269435882568,-0.0005435943603515625,-0.028002018108963966,-1.5776269435882568,0.0005435943603515625,0.028002018108963966,1.5776269435882568,-0.0005435943603515625
7,0.0333333336,0,0.07597588747739792,3.1557164192199707,92.14691162109375,0.03386244550347328,1.4065024852752686,-41.06986618041992,-0.03386244550347328,-1.4065024852752686,41.06986618041992,0.006245777010917664,0.2594231367111206,-7.575144290924072,0.03386244550347328,1.4065024852752686,-41.06986618041992,-0.03386244550347328,-1.4065024852752686,41.06986618041992,0.03386244550347328,1.4065024852752686,-41.06986618041992
8,0.0375000003,0,0.0862032100558281,2.4545557498931885,168.278564453125,0.03842075914144516,1.093995213508606,-75.00173950195312,-0.03842075914144516,-1.093995213508606,75.00173950195312,0.007086537778377533,0.20178256928920746,-13.833735466003418,0.03842075914144516,1.093995213508606,-75.00173950195312,-0.03842075914144516,-1.093995213508606,75.00173950195312,0.03842075914144516,1.093995213508606,-75.00173950195312
9,0.041666667000000004,0,0.09274392575025558,1.569773554801941,212.3477020263672,0.04133595898747444,0.6996479034423828,-94.64334869384766,-0.04133595898747444,-0.6996479034423828,94.64334869384766,0.007624233141541481,0.12904688715934753,-17.456562042236328,0.04133595898747444,0.6996479034423828,-94.64334869384766,-0.04133595898747444,-0.6996479034423828,94.64334869384766,0.04133595898747444,0.6996479034423828,-94.64334869384766
10,0.0458333337,0,0.0956677719950676,0.7017214298248291,208.33250427246094,0.0426391139626503,0.3127571642398834,-92.85377502441406,-0.0426391139626503,-0.3127571642398834,92.85377502441406,0.007864594459533691,0.057686712592840195,-17.126440048217773,0.0426391139626503,0.3127571642398834,-92.85377502441406,-0.0426391139626503,-0.3127571642398834,92.85377502441406,0.0426391139626503,0.3127571642398834,-92.85377502441406
11,0.0500000004,0,0.09615695476531982,0.11740458011627197,140.2360382080078,0.04285714402794838,0.05232721194624901,-62.5031852722168,-0.04285714402794838,-0.05232721194624901,62.5031852722168,0.007904808968305588,0.009651481173932552,-11.528454780578613,0.04285714402794838,0.05232721194624901,-62.5031852722168,-0.04285714402794838,-0.05232721194624901,62.5031852722168,0.04285714402794838,0.05232721194624901,-62.5031852722168
12,0.054166666700000005,1,0.09718849509954453,0.2524201273918152,33.411190032958984,0.043324388563632965,0.11213868111371994,14.354751586914062,-0.043324388563632965,-0.11213868111371994,-14.354751586914062,0.0077840108424425125,-0.028991548344492912,-9.27432632446289,0.043324388563632965,0.11213868111371994,14.354751586914062,-0.043324388563632965,-0.11213868111371994,-14.354751586914062,0.043324388563632965,0.11213868111371994,14.354751586914062
