step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_avoidability_reason,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.0268063172312967,0.5077922344207764,0.4214625954627991,0.22173462808132172,0.4619256854057312,0.35,1,0,0,0,0,0,0,,,,nan,0,0.3142818212509155,6.2856364250183105,125.71272277832031,0.699999988079071,1.0,0.05907301246316818,1,1,0,0,0.05907301246316818,0.699999988079071,filtered,0.4227349885697211,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_upper,predictive_link_1,0,0,1,solved,osqp,0.0,valid,0.05907301246316818,0.372989867|0.0590730125|0.139406051|0.0779425382|0.119330227|0.10723166,0.522989867|0.209073012|0.289406051|0.227942538|0.269330227|0.25723166,0.492989867|0.179073012|0.259406051|0.197942538|0.239330227|0.22723166,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0110209681|0.138452767|0.193695624|0.179505228,-0.142157351|-0.152095541|-0.20545376|-0.202893352|-0.176108248|-0.17842827,1.34980212|0.0841965084|0.363191411|0.247329568|0.494908285|0.430003597,0.411765277|0.420057207|0.556677818,-0.0229857545|-0.204959616|-0.0262342133,0.005782547406852245,0.0010532354936003685,0.0010153930634260178,0.0016435543075203896
1,0.1,-1.2394242072051032,0.5730159878730774,0.4371248483657837,0.2090451866388321,0.5216163992881775,0.35,1,0,0,0,0,0,0,,,,nan,0,0.5393450260162354,4.828458309173584,60.956539154052734,0.699999988079071,1.0,0.04844941764024188,1,1,0,0,0.05907301246316818,0.699999988079071,filtered,0.19925508293305075,0,0,12,,predictive_link_1,0,0,1,solved,osqp,0.0,valid,0.04844941764024188,0.365848037|0.0484494176|0.13235717|0.074261996|0.119323882|0.106761017,0.515848037|0.198449418|0.28235717|0.224261996|0.269323882|0.256761017,0.485848037|0.168449418|0.25235717|0.194261996|0.239323882|0.226761017,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0254588151|0.263806444|0.340504254|0.31547586,-0.140452046|-0.15137544|-0.204942132|-0.201963807|-0.173841615|-0.176070079,1.3229401|0.0424222301|0.349945361|0.358890621|0.643958166|0.566449848,0.410615861|0.409809381|0.555366039,-0.0229857545|-0.204959616|-0.0262342133,0.005648883059620857,0.0009781960397958755,0.0010182065889239311,0.0015231799334287643
2,0.15000000000000002,-1.3876771910481651,0.6093930602073669,0.4570620656013489,0.19684551656246185,0.5516695976257324,0.35,1,0,0,0,0,0,0,,,,nan,0,0.699999988079071,4.003444671630859,53.28313446044922,0.699999988079071,1.0,0.035586944630815326,1,1,0,0,0.05907301246316818,0.699999988079071,recovery_relaxed,5.6944050968459956e-09,0,0,12,,predictive_link_1,0,1,1,zero_sensitivity,recovery_hard_constraints,0.010117783050216905,valid,0.035586944630815326,0.358717134|0.0355869446|0.128082313|0.0767492822|0.12656109|0.113184857,0.508717134|0.185586945|0.278082313|0.226749282|0.27656109|0.263184857,0.478717134|0.155586945|0.248082313|0.196749282|0.24656109|0.233184857,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0473614408|0.36882087|0.432291994|0.402819581,-0.13870956|-0.152465562|-0.203954409|-0.200471126|-0.171433888|-0.173488226,1.29615897|-0.0101177831|0.355736284|0.475346873|0.767102465|0.682070782,0.409466445|0.399561554|0.55405426,-0.0229857545|-0.204959616|-0.0262342133,0.012402048334479332,0.0017993208020925522,0.0018955133855342865,0.005152637138962746
3,0.2,-1.4439095378546711,0.6394525170326233,0.4765208959579468,0.18573544919490814,0.575233519077301,0.35,1,0,0,0,0,0,0,,,,nan,0,0.6893417835235596,0.7331154942512512,78.17252349853516,0.699999988079071,1.0,0.023079245182161257,1,1,0,0,0.05907301246316818,0.699999988079071,recovery_relaxed,0.020804874334242943,0,0,12,,predictive_link_1,0,1,1,zero_sensitivity; recovery=solved,recovery_maximin,0.06220053998098296,valid,0.023079245182161257,0.351601618|0.0230792452|0.126229152|0.084261374|0.138320377|0.123951307,0.501601618|0.173079245|0.276229152|0.234261374|0.288320377|0.273951307,0.471601618|0.143079245|0.246229152|0.204261374|0.258320377|0.243951307,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0530976475|0.371498942|0.418346887|0.390859846,-0.136930565|-0.154517521|-0.202479054|-0.199017045|-0.169974228|-0.171793227,1.26947591|-0.06220054|0.355535203|0.509527393|0.801654166|0.714871849,0.408317029|0.389313728|0.552742481,-0.0229857545|-0.204959616|-0.0262342133,0.007385500706732273,0.0017995666712522507,0.0010452810674905777,0.002149635925889015
4,0.25,-1.5123402097707364,0.6732844710350037,0.4958186447620392,0.17544953525066376,0.6022894382476807,0.35,1,0,0,0,0,0,0,,,,nan,0,0.6902486085891724,0.4899313747882843,8.548955917358398,0.699999988079071,1.0,0.011664474352747645,1,1,0,0,0.05907301246316818,0.699999988079071,recovery_relaxed,0.020329250641795582,0,0,12,,predictive_link_1,0,1,1,zero_sensitivity; recovery=solved,recovery_maximin,0.10990221052346186,valid,0.011664474352747645,0.344578516|0.0116644744|0.124035844|0.0919958287|0.149527689|0.134248591,0.494578516|0.161664474|0.274035844|0.241995829|0.299527689|0.284248591,0.464578516|0.131664474|0.244035844|0.211995829|0.269527689|0.254248591,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0581285149|0.376635408|0.412254933|0.385637646,-0.135097764|-0.156560108|-0.200812668|-0.197751237|-0.168969162|-0.170551978,1.2432163|-0.109902211|0.353459221|0.546867487|0.841396529|0.752080033,0.407167614|0.379065901|0.551430702,-0.0229857545|-0.204959616|-0.0262342133,0.006342402659356594,0.0009912671521306038,0.0012862738221883774,0.0020984774455428123
5,0.30000000000000004,-1.5897302732870164,0.7094952464103699,0.5152239203453064,0.16586701571941376,0.6313726902008057,0.35,1,0,0,0,0,0,0,,,,nan,0,0.6994305849075317,0.5356321930885315,6.545064449310303,0.699999988079071,1.0,0.0010583377886823064,1,1,0,0,0.05907301246316818,0.699999988079071,recovery_relaxed,0.001258636525908447,0,0,12,,predictive_link_1,0,1,1,zero_sensitivity; recovery=solved,recovery_maximin,0.1544931897648646,valid,0.0010583377886823064,0.337650677|0.00105833779|0.121529955|0.100054297|0.160498317|0.144363824,0.487650677|0.151058338|0.271529955|0.250054297|0.310498317|0.294363824,0.457650677|0.121058338|0.241529955|0.220054297|0.280498317|0.264363824,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0629670384|0.384467254|0.411791636|0.385846374,-0.133209798|-0.158726541|-0.198943791|-0.196638283|-0.168280323|-0.169627238,1.21739291|-0.15449319|0.350143066|0.588046158|0.885504582|0.793674433,0.406018198|0.368818074|0.550118923,-0.0229857545|-0.204959616|-0.0262342133,0.009813412092626095,0.0016608769074082375,0.0016960855573415756,0.003157435916364193
6,0.35000000000000003,-1.4906689644842164,0.7292788624763489,0.5265343189239502,0.15794657170772552,0.6457895040512085,0.35,1,0,0,0,0,0,0,,,,nan,0,0.44078534841537476,5.76727819442749,118.10033416748047,0.0,1.0,-0.008875524510500943,1,1,0,0,0.05907301246316818,0.0,recovery_relaxed,0.4407853494915112,0,0,12,joint_0_acceleration_upper,predictive_link_1,0,1,1,zero_sensitivity; recovery=solved,recovery_maximin,0.19663132028311128,valid,-0.008875524510500943,0.330820301|-0.00887552451|0.118749859|0.108573918|0.171504531|0.154556794,0.480820301|0.141124475|0.268749859|0.258573918|0.321504531|0.304556794,0.450820301|0.111124475|0.238749859|0.228573918|0.291504531|0.274556794,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0491037444|0.231955769|0.228591704|0.217193486,-0.131265551|-0.161129222|-0.196859772|-0.195656086|-0.167834643|-0.168946775,1.19201565|-0.19663132|0.32724341|0.470595355|0.746775184|0.666473887,0.404868782|0.358570248|0.548807144,-0.0229857545|-0.204959616|-0.0262342133,0.010654265061020851,0.001826062798500061,0.0018570078536868095,0.0034695882350206375
7,0.4,-1.4215343722701073,0.7640843391418457,0.53155517578125,0.15040214359760284,0.6761707663536072,0.35,1,0,0,0,0,0,0,,,,nan,0,0.23008376359939575,4.441620826721191,45.165557861328125,0.0,1.0,-0.016805717457316238,1,1,0,0,0.05907301246316818,0.0,recovery_relaxed,0.23008377008508663,0,0,12,,predictive_link_1,0,1,1,zero_sensitivity,recovery_hard_constraints,0.22832342766468064,valid,-0.016805717457316238,0.324160483|-0.0168057175|0.113608254|0.109923681|0.174246819|0.156816002,0.474160483|0.133194283|0.263608254|0.259923681|0.324246819|0.306816002,0.444160483|0.103194283|0.233608254|0.229923681|0.294246819|0.276816002,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.02850964|0.108710419|0.0982489511|0.0951619801,-0.129240289|-0.161100558|-0.195421161|-0.195266823|-0.167628737|-0.168590675,1.16740164|-0.228323428|0.287521495|0.35313832|0.627607491|0.553835313,0.403719366|0.348322421|0.547495365,-0.0229857545|-0.204959616|-0.0262342133,0.011718273162841797,0.001798706129193306,0.0017785308882594109,0.004839313216507435
8,0.45,-1.3889240491309969,0.8081389665603638,0.5322548747062683,0.14221666753292084,0.7236334085464478,0.35,1,0,0,0,0,0,0,,,,nan,0,0.030083855614066124,3.9999983310699463,38.61662292480469,0.0,1.0,-0.024099993861169677,1,1,0,0,0.05907301246316818,0.0,recovery_relaxed,0.0300838547616953,0,0,12,joint_0_acceleration_upper,predictive_link_1,0,1,1,zero_sensitivity,recovery_hard_constraints,0.2556001879573243,valid,-0.024099993861169677,0.317672238|-0.0240999939|0.106351145|0.105280812|0.170675418|0.153008491,0.467672238|0.125900006|0.256351145|0.255280812|0.320675418|0.303008491,0.437672238|0.0959000061|0.226351145|0.225280812|0.290675418|0.273008491,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00372862258|0.0141399249|0.0127094241|0.0123358003,-0.127129717|-0.159200213|-0.194633588|-0.195002147|-0.167045744|-0.167907884,1.14355924|-0.255600188|0.234499616|0.240261026|0.528365354|0.456461882,0.40256995|0.338074595|0.546183586,-0.0229857545|-0.204959616|-0.0262342133,0.01156159583479166,0.0016640657559037209,0.0017663929611444473,0.004744931124150753
9,0.5,-1.3917607214940633,0.7867921590805054,0.5339974761009216,0.13676680624485016,0.7215915322303772,0.35,1,0,0,0,0,0,0,,,,nan,0,0.3087341785430908,5.740320205688477,179.9458465576172,0.0,1.0,-0.0318909657546772,1,1,0,0,0.05907301246316818,0.0,recovery_relaxed,0.3087341779578372,0,0,12,joint_0_acceleration_lower,predictive_link_1,0,1,1,zero_sensitivity; recovery=solved inaccurate,recovery_maximin,0.28380373708730794,valid,-0.0318909657546772,0.311359371|-0.0318909658|0.0969723572|0.0962548131|0.163023008|0.14528883,0.461359371|0.118109034|0.246972357|0.246254813|0.313023008|0.29528883,0.431359371|0.0881090342|0.216972357|0.216254813|0.283023008|0.26528883,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.035423653|0.0514956366|0.0155210417|0.0203608048,-0.12493039|-0.156239874|-0.194433104|-0.194355377|-0.165445174|-0.166231212,1.1205071|-0.283803737|0.228879978|0.242159512|0.502167898|0.435284914,0.401420534|0.327826768|0.544871807,-0.0229857545|-0.204959616|-0.0262342133,0.012554243206977844,0.0017961002886295319,0.0014970172196626663,0.005870901979506016
