step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,lambda,alpha,replay_size
15500,300000,121,225,-0.20081711232267593,0.0,-78.62915996433622,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.013768627308309078,15500
16000,300000,125,39,0.14479818580373238,0.0,1.779098817572796,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01368575356900692,16000
16500,300000,135,6,0.11817196424655883,0.0,1.1935272773498151,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.012727439403533936,16500
17000,300000,139,31,0.01630509408700389,0.0,0.12301609358594526,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.011872558854520321,17000
17500,300000,146,17,-0.05570639200872421,0.0,1.0378169717064458,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.011458863504230976,17500
18000,300000,153,24,-0.10053738376146391,0.0,0.2002033697125853,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.011443313211202621,18000
18500,300000,156,27,0.12776332418795214,0.0,1.0874067933399847,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.011570591479539871,18500
19000,300000,160,19,-0.03191838463328126,0.0,3.2926425774197576,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.011580627411603928,19000
19500,300000,169,29,0.03161073646424198,0.0,-1.3185673153785582,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.011747227050364017,19500
20000,300000,173,211,-0.4371955151714167,0.0,-64.39324714684899,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.010970832780003548,20000
20500,300000,186,12,0.0617963961220812,0.0,0.09713624596759096,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.010508562438189983,20500
21000,300000,192,110,0.026867750975670505,0.0,0.10141599283063718,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.010439534671604633,21000
21500,300000,198,31,0.0056542767087444015,0.0,2.0836241208162636,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.0103909932076931,21500
22000,300000,201,30,-0.23560271568644184,0.0,2.1983051834681593,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.010553546249866486,22000
22500,300000,208,61,0.10332883958871106,0.0,-4.501680816397474,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.010130698792636395,22500
23000,300000,211,160,-0.08087940081262965,0.0,-13.092034078719275,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009711076505482197,23000
23500,300000,217,153,-0.06338061170596859,0.0,-3.6721849450189237,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009669956751167774,23500
24000,300000,220,141,0.03208480186483568,0.0,-2.068264631150161,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009350338019430637,24000
24500,300000,232,57,-0.09151963353759157,0.0,1.919940078758982,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009328254498541355,24500
25000,300000,246,10,0.13449822478802828,0.0,0.5906720545542975,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.00863880105316639,25000
25500,300000,253,92,-0.01823518460135539,0.0,1.7817699979726571,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008386626839637756,25500
26000,300000,262,184,0.06946595849996555,0.0,-4.835006027948399,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008353741839528084,26000
26500,300000,273,156,-0.023747010179368293,0.0,-1.9961484882294815,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008225135505199432,26500
27000,300000,277,158,-0.028967977531545234,0.0,-1.752765475624586,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007907365448772907,27000
27500,300000,288,169,-0.383742141562482,0.0,-29.392002792690576,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008058100938796997,27500
