step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.5583140690708208,0.06312352418899536,0.8152568936347961,0.4552517235279083,0.04553133621811867,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.06823340803384781,1.3646682500839233,27.293365478515625,0.0,0.0,0.8165710144666,0.8152568936347961,0.0013141208318038222,0.0,0.04551538216492337,0.0,0.02631844377629668,-0.02631844377629668,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,0.0,not_enabled,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.28049618741071725,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.06823341465359757,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,4.2084476969267426e-07,valid,0.28049618741071725,0.8899941220028984,0|0|0|0|0|0,0.449040528|0.283829473|0.280496187|0.357279735|0.387151669|0.441342281,0.623540234|0.458329179|0.454995894|0.531779441|0.561651375|0.615841988,0.569040528|0.403829473|0.400496187|0.477279735|0.507151669|0.561342281,0|0|0|0|0|0,-2.34153682e-25|0.0109288047|0.00511697469|-0.00910632891|-0.0141543107|-0.0139244592,0|0|0|0|0|0,1.79616211|1.1462467|1.12710172|1.42001261|1.53445236|1.75144467,optimal,0.20992067837612546,0.026318443776296684,0.18360223459982877,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.1841443390585482,0.002754313056357205,0.0013540920335799456,0.1757488630246371
1,0.1,-1.5591853915511285,0.06304508447647095,0.8142083883285522,0.4554557502269745,0.04547936096787453,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.054495275020599365,0.27477097511291504,32.78867721557617,0.0,0.0,0.8152568594387588,0.8142083883285522,0.0010484711102065614,0.0,0.03639020270335416,0.0,0.02097558341474062,-0.02097558341474062,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2807412372477291,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.05449527014311998,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.9999985694885254,0,osqp,3.309785194180459e-07,valid,0.2807412372477291,0.890208891790822,5.32890076e-22|0.0243520343|0.0265734489|0.0443075733|0.0498739591|0.0455586035,0.449029789|0.284366182|0.280741237|0.355501182|0.384367576|0.438590043,0.623540234|0.458876627|0.455251682|0.530011626|0.558878021|0.613100487,0.569029789|0.404366182|0.400741237|0.475501182|0.504367576|0.558590043,0|0|0|0.15|0.15|0.15,-1.74379154e-25|0.00875877517|0.00408272496|-0.00682500597|-0.0108029048|-0.0107380393,0|0|0|0|0|0,1.79611916|1.14622351|1.12704767|1.41517972|1.5266674|1.74362213,optimal,0.23623401416971043,0.020975583414740623,0.2152584307549698,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.015645500039681792,0.0042756469920277596,0.0019851449178531766,0.002813805011101067
2,0.15000000000000002,-1.5600308010855406,0.06298252195119858,0.8133721351623535,0.45561864972114563,0.045437928289175034,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.043529901653528214,0.21931153535842896,1.1092952489852905,0.0,0.0,0.8142084067123884,0.8133721351623535,0.0008362715500348505,0.0,0.029092788697328665,0.0,0.01672648275640726,-0.01672648275640726,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.28093675150616515,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.04352990167352828,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.9999990463256836,0,osqp,2.598645832824209e-07,valid,0.28093675150616515,0.890380424358242,7.59757697e-24|0.0194303746|0.0212537799|0.0354085795|0.039863044|0.0364188643,0.449021213|0.28479635|0.280936752|0.35540699|0.384221486|0.438446362,0.623540234|0.459315371|0.455455773|0.529926012|0.558740508|0.612965383,0.569021213|0.40479635|0.400936752|0.47540699|0.504221486|0.558446362,0|0|0|0.15|0.15|0.15,-3.36685939e-27|0.00701559487|0.00325912578|-0.0054447182|-0.00863468985|-0.0085818604,0|0|0|0|0|0,1.79608485|1.146201|1.12700613|1.41618324|1.52825126|1.74520359,optimal,0.23094935415017798,0.016726482756407257,0.21422287139377072,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.015117176924832165,0.004239915986545384,0.0019704069709405303,0.002414438989944756
3,0.2,-1.560697155215986,0.06293261051177979,0.8127046823501587,0.4557488262653351,0.04540485888719559,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.03478020802140236,0.1749960035085678,0.8863645195960999,0.0,0.0,0.81337212406244,0.8127046823501587,0.0006674417122812804,0.0,0.02326089955204916,0.0,0.013345977587888098,-0.013345977587888098,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.28109289134633514,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.034780207075436824,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.9999994039535522,0,osqp,2.0478875593574197e-07,valid,0.28109289134633514,0.8905162063705709,2.3630289e-24|0.0155077496|0.0169959361|0.0282963489|0.031859322|0.02911003,0.449014424|0.285140891|0.281092891|0.355332112|0.384105468|0.438332059,0.623540234|0.459666701|0.455618702|0.529857922|0.558631278|0.612857869,0.569014424|0.405140891|0.401092891|0.475332112|0.504105468|0.558332059,0|0|0|0.15|0.15|0.15,-1.33488139e-27|0.00561762237|0.0026029353|-0.00434580465|-0.00690254242|-0.00685969792,0|0|0|0|0|0,1.7960577|1.14618119|1.1269745|1.41698264|1.52951933|1.74646854,optimal,0.22674136115771598,0.0133459775878881,0.21339538356982787,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.014926224015653133,0.004044738016091287,0.00191825395449996,0.0023968819295987487
4,0.25,-1.5612251082021658,0.06289278715848923,0.8121716976165771,0.45585277676582336,0.04537847638130188,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.027794644236564636,0.1397123485803604,0.705700695514679,0.0,0.0,0.812704685908196,0.8121716976165771,0.0005329882916188522,0.0,0.01859911918942877,0.0,0.010653572761988354,-0.010653572761988354,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2812175991188991,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.027794642624745222,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.999999463558197,0,osqp,1.6186233701975805e-07,valid,0.2812175991188991,0.8906247705355805,1.43679477e-24|0.0123823668|0.0135917782|0.0226166066|0.0254664435|0.0232709989,0.449008996|0.285416744|0.281217599|0.355272272|0.384012858|0.438240746,0.623540234|0.459947982|0.455748838|0.52980351|0.558544097|0.612771985,0.569008996|0.405416744|0.401217599|0.475272272|0.504012858|0.558240746,0|0|0|0.15|0.15|0.15,-1.05998604e-27|0.0044970763|0.00207956524|-0.0034700337|-0.00551833431|-0.00548369769,0|0|0|0|0|0,1.79603598|1.14616405|1.12694996|1.41761905|1.5305331|1.74747929,optimal,0.22339025882529936,0.010653572761988353,0.212736686063311,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.014632184989750385,0.003950580023229122,0.0019137549679726362,0.002435739035718143
5,0.30000000000000004,-1.5616457144572098,0.06286096572875977,0.8117460012435913,0.45593586564064026,0.04535740241408348,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.02221527509391308,0.11158790439367294,0.5625027418136597,0.0,0.0,0.8121717481146378,0.8117460012435913,0.0004257468710464618,0.0,0.014872095127460266,0.0,0.008507369846380428,-0.008507369846380428,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2813172504548106,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.02221527474854252,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.9999997019767761,0,osqp,1.2823481029995698e-07,valid,0.2813172504548106,0.8907106484927644,1.18041756e-25|0.00989040616|0.0108699902|0.0180795564|0.0203591677|0.0186053478,0.449004702|0.285637549|0.28131725|0.355224494|0.383938933|0.438167857,0.623540234|0.460173081|0.455852783|0.529760027|0.558474465|0.61270339,0.569004702|0.405637549|0.40131725|0.475224494|0.503938933|0.558167857,0|0|0|0.15|0.15|0.15,-9.43781547e-29|0.00359927798|0.0016618191|-0.00277158625|-0.00441195696|-0.00438402777,0|0|0|0|0|0,1.79601881|1.14614947|1.12693082|1.41812639|1.53134377|1.7482874,optimal,0.2207190917095131,0.008507369846380427,0.21221172186313267,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.014887809986248612,0.004093182971701026,0.001984111964702606,0.002404732978902757
6,0.35000000000000003,-1.561978981380985,0.06283556669950485,0.8114058375358582,0.45600220561027527,0.04534059017896652,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.017757296562194824,0.08915983140468597,0.4485684931278229,0.0,0.0,0.8117460126946275,0.8114058375358582,0.00034017515876938464,0.0,0.011891826745402465,0.0,0.006795258521660131,-0.006795258521660131,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.28139687826380916,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.01775729673021623,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.9999997615814209,0,osqp,1.0178091081752827e-07,valid,0.28139687826380916,0.8907794981897466,0|0.00790192615|0.00869326563|0.0144539009|0.0162773332|0.0148759846,0.449001259|0.285814266|0.281396878|0.355186291|0.383879853|0.438109615,0.623540234|0.460353241|0.455935853|0.529725266|0.558418828|0.61264859,0.569001259|0.405814266|0.401396878|0.475186291|0.503879853|0.558109615,0|0|0|0.15|0.15|0.15,0|0.00288014062|0.0013281771|-0.00221418825|-0.0035274494|-0.00350496976,0|0|0|0|0|0,1.79600504|1.14613721|1.12691569|1.41853097|1.53199196|1.74893349,optimal,0.2185884373023648,0.006795258521660131,0.21179317878070467,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.014675972983241081,0.003966194926761091,0.0018520629964768887,0.002389832050539553
7,0.4,-1.5622423078538668,0.06281527131795883,0.811133861541748,0.45605525374412537,0.04532715305685997,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.014194310642778873,0.07125985622406006,0.35800302028656006,0.0,0.0,0.8114058388115382,0.811133861541748,0.0002719772697901135,0.0,0.009508393427085076,0.0,0.005428635363870078,-0.005428635363870078,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.28146050198968986,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.014194311209336162,0,1,12,workspace_z_lower,workspace_z_lower,,,0,0,1,solved,nan,0,,0.9999998807907104,0,osqp,8.090051735985815e-08,valid,0.28146050198968986,0.890834583332563,4.4032387e-23|0.00631435036|0.00695227442|0.0115558286|0.0130143442|0.0118944406,0.448998505|0.285955671|0.281460502|0.355155705|0.383832614|0.438063073,0.623540234|0.4604974|0.456002231|0.529697435|0.558374343|0.612604802,0.568998505|0.405955671|0.401460502|0.475155705|0.503832614|0.558063073,0|0|0|0.15|0.15|0.15,-4.38092234e-26|0.00230424163|0.00106159216|-0.00176912818|-0.00282020422|-0.00280213883,0|0|0|0|0|0,1.79599402|1.14612693|1.1269036|1.41885369|1.53251025|1.74945015,optimal,0.21688788290141983,0.005428635363870078,0.21145924753754974,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.014504138962365687,0.004056837991811335,0.0018686059629544616,0.0023019929649308324
8,0.45,-1.5624548991391773,0.06279907375574112,0.8109164834022522,0.45609769225120544,0.04531640559434891,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.011345980688929558,0.05696667730808258,0.28586554527282715,0.0,0.0,0.8111338827385796,0.8109164834022522,0.00021739933632736186,0.0,0.007602069293172952,0.0,0.004337259659270854,-0.004337259659270854,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2815113380572747,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.011345980787693782,0,1,12,workspace_z_lower,workspace_z_lower,,,0,0,1,solved,nan,0,,1.0,0,osqp,6.437491123847949e-08,valid,0.2815113380572747,0.8908786843575464,2.33086073e-23|0.00504629546|0.00555967283|0.00923885995|0.0104054508|0.00951036759,0.4489963|0.286068787|0.281511338|0.355131233|0.383794835|0.438025903,0.623540234|0.460612722|0.456055272|0.529675167|0.558338769|0.612569837,0.5689963|0.406068787|0.401511338|0.475131233|0.503794835|0.558025903,0|0|0|0.15|0.15|0.15,-2.44129947e-26|0.00184313094|0.000848518407|-0.00141361804|-0.00225461974|-0.00224011921,0|0|0|0|0|0,1.7959852|1.14611828|1.12689387|1.41911131|1.53292472|1.74986349,optimal,0.21552995609746634,0.004337259659270854,0.2111926964381955,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.014761686907149851,0.003997300984337926,0.0019045600201934576,0.0024320209631696343
9,0.5,-1.5626235516817408,0.06278612464666367,0.8107426762580872,0.45613154768943787,0.045307837426662445,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.009068496525287628,0.04554973170161247,0.2283397912979126,0.0,0.0,0.8109164796464696,0.8107426762580872,0.00017380338838246523,0.0,0.006077188850244032,0.0,0.003465339677919673,-0.003465339677919673,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,1.4618137670913711,1.4618137670913711,0,0,0,0,-1,nan,nan,,,448,0,0,0,0,1,0,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 33, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 407, 'obstacle_contact': 8, 'self_collision': 0}",0.01810546901003409,415,415,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2815519678241861,0,0,0,0,0.28049618741071725,0.0,filtered,osqp optimal,0.009068496183859543,0,1,12,workspace_z_lower,workspace_z_lower,,,0,0,1,solved,nan,0,,1.0,0,osqp,5.12671922544769e-08,valid,0.2815519678241861,0.8909141997341289,6.39014163e-25|0.00403309513|0.00444566998|0.00738616869|0.00831921974|0.00760378221,0.448994524|0.286159299|0.281551968|0.355111608|0.383764594|0.437996203,0.623540234|0.460705009|0.456097678|0.529657318|0.558310304|0.612541913,0.568994524|0.406159299|0.401551968|0.475111608|0.503764594|0.557996203,0|0|0|0.15|0.15|0.15,6.78993033e-28|0.00147397113|0.000678168384|-0.00112953775|-0.00180226294|-0.00179063477,0|0|0|0|0|0,1.7959781|1.14611117|1.12688604|1.41931689|1.53325611|1.75019418,optimal,0.21444518776894694,0.0034653396779196735,0.21097984809102727,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.014261792995966971,0.004003052948974073,0.0017976259114220738,0.0023160859709605575
