step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.05284471656636925,0.08705705404281616,0.07339630275964737,0.4126121401786804,0.08061064779758453,0.35,3,0,0,0,0.34582850337028503,6.916569232940674,138.33139038085938,0.3796868920326233,1.0,0.2753840987369408,filtered,0.04250546364786537,0,0,12,joint_5_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2753840987369408,0.0020557045936584473
1,0.1,-0.1195007671467076,0.09640732407569885,0.07383529841899872,0.4100443124771118,0.08966293931007385,0.35,3,0,0,0,0.5582227110862732,6.5484490394592285,150.7278289794922,0.5582219958305359,1.0,0.27216506470361057,filtered,1.2265183534960685e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.27216506470361057,0.003107719123363495
2,0.15000000000000002,-0.1591337753689379,0.09265933185815811,0.07681310176849365,0.4081789255142212,0.0856308564543724,0.35,3,0,0,0,0.6299570202827454,3.276397466659546,125.8185806274414,0.6299570202827454,1.0,0.26965555278263453,passthrough,1.1506948683755613e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.26965555278263453,0.002459290437400341
3,0.2,-0.21577957251536845,0.1121700257062912,0.0817604809999466,0.40415310859680176,0.10477615892887115,0.35,3,0,0,0,0.5540798306465149,3.445530652999878,85.02644348144531,0.5540798306465149,1.0,0.26786546835815805,passthrough,1.0563679118457883e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.26786546835815805,0.00234051700681448
4,0.25,-0.19070476034261513,0.10403990745544434,0.08570431917905807,0.400657594203949,0.09632062166929245,0.35,3,0,0,0,0.5802372097969055,3.1389567852020264,77.71228790283203,0.5802371501922607,1.0,0.263893119584731,filtered,1.4624852004139461e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.263893119584731,0.0022800741717219353
5,0.30000000000000004,-0.23536712255546466,0.1290351003408432,0.09066300839185715,0.3957054018974304,0.12087363004684448,0.35,3,0,0,0,0.6391574740409851,2.5220115184783936,86.32235717773438,0.6391574740409851,1.0,0.26046057364388125,passthrough,1.3337531284929364e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.26046057364388125,0.0029412806034088135
6,0.35000000000000003,-0.20250287336848716,0.12577107548713684,0.09384498745203018,0.3910811245441437,0.11718369275331497,0.35,2,0,0,0,0.645543098449707,4.292332172393799,111.51718139648438,0.6455427408218384,1.0,0.2555610719465972,filtered,5.323674624755118e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2555610719465972,0.003806167282164097
7,0.4,-0.21822708324599777,0.14450779557228088,0.09687276184558868,0.38436976075172424,0.13540118932724,0.35,2,0,0,0,0.6864319443702698,2.1229333877563477,90.51779174804688,0.6864316463470459,1.0,0.25102258503302666,filtered,4.6939132812092337e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.25102258503302666,0.0025546858087182045
8,0.45,-0.218027556078076,0.13979773223400116,0.10008184611797333,0.3782065212726593,0.13018843531608582,0.35,2,0,0,0,0.7259835600852966,2.0821986198425293,57.369319915771484,0.7259833812713623,1.0,0.24560404929439394,filtered,2.088905022403231e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24560404929439394,0.0023207468912005424
9,0.5,-0.24091666157124159,0.1485453099012375,0.1040019616484642,0.3718729615211487,0.1383824199438095,0.35,2,0,0,0,0.7651606202125549,1.3283675909042358,49.43065643310547,0.7651605606079102,1.0,0.23985190789135968,filtered,1.275407528730907e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.23985190789135968,0.002315610647201538
10,0.55,-0.26852637389193457,0.15105512738227844,0.10919686406850815,0.36571046710014343,0.14031833410263062,0.35,2,0,0,0,0.7896138429641724,1.0728126764297485,16.315364837646484,0.7896138429641724,1.0,0.2334632065190856,passthrough,1.4404957108901153e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2334632065190856,0.002321092411875725
11,0.6000000000000001,-0.3001667461170622,0.1553272306919098,0.11574839800596237,0.35963189601898193,0.14398683607578278,0.35,2,0,0,0,0.8092904090881348,1.0794501304626465,6.03914213180542,0.8092904090881348,1.0,0.2272395402945247,passthrough,1.4680653008045999e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2272395402945247,0.0028842734172940254
